English	Hungarian
against	ellen
among	között
at	-re
at	-re
beside	mellett
during	alatt
for	-nak
from	-ból/-ből (elative case) -tól/-től (ablative case)
from	-ból/-ből (elative case) -tól/-től (ablative case)
into	-ba
of	-tól
on	-n/-on/-en/-ön (superessive case)
on	-n/-on/-en/-ön (superessive case)
since	óta
to	-hoz/-höz/-hez (allative, arriving at), felé (postposition, in the direction of)
with	-val
with	-val
without	nélkül