Hungarian	﻿English
bármi	anything
mindenki	everybody
minden	everything
ő	he
-a/-e/-ja/-je	her
-a/-e/-ja/-je	his
az	it
engem	me
-m, -om	my
-nk/-unk/-ünk	our
ő	she
ez	that
-uk/-ük/-juk/-jük	their
ők	they
ez a (s), ezek a (p)	this
mi	us
mi	we
mi	what
mikor	when
melyik	which
melyik	which
ki, kik	who
kié, kinek	whose
(familiar) ti, (polite) önök	you
