Arabic	﻿English
آخر	another
سيئ	bad
قاعدي	basic
جميل	beautiful
أفضل ، الأفضل	best
أفضل، أحسن	better
كبير	big
نظيف	clean
بارد	cold
صحيح	correct
مظلم	dark
صعب	difficult
وسخ	dirty
سريع	fast
جيد	good
عظيم	great
عظيم	great
سعيد	happy
صحي	healthy
ثقيل	heavy
عالي	high
حار	hot
يسار	left
خفيف	light
قليل	little
طويل	long
قريب	near
جديد	new
جميل	nice
مفتوح	open
حقيقي	real
يمين	right
حاد	sharp
بطيء	slow
ناعم	soft
قوي	strong
ضعيف	weak
خطأ	wrong
حامض	acid
ماضِ، فِي الماضِي، منذ زمن	ago
كل	all
اختياري	any
آلي	automatic
متيسِر، متاح، متوفِر	available
مر	bitter
ممل	boring
لامع	bright
مكسور	broken
يقيني	certain
رخيص	cheap
كيميائي	chemical
صافي	clear
مغلق	closed
ملون	color
شائع	common
مشترك	common
مكتمل	complete
واعي	conscious
وحشي	cruel
حالي	current
خطِر	dangerous
لذيذ	delicate
تعيس	deplorable
مختلف	different
مختلف	different
أسفل	down
جاف	dry
كل	each
مبكر	early
سهل	easy
إقتِصادي	economic
مقتصِد	economic
كهربائي	electric
مساوي	equal
زوجي	even
متساوي	even
كل	every
ممتاز	excellent
خطأ	fake
خطأ	false
بعيد	far
سمين	fat
دسم	fat
قليل	few
نِهائي	final
مالي	financial
صلب	firm
أول	first
محدد	fixed
مسطح	flat
التالي	following
غريب	foreign
سابِق	former
هش	fragile
مجاني	free
متكرر	frequent
طازج	fresh
أمامي	front
كامل, مليء	full
كامل	full
مستقبلي	future
عام	general
صِناعي	industrial
مهِم, Arabic-English-adjectives.txt English-Arabic-adjectives.txt English-Arabic-adverbs.txt English-Arabic-conjunctions.txt English-Arabic-nouns.txt English-Arabic-prepositions.txt English-Arabic-pronouns.txt English-Arabic-verbs.txt ممتِع	interesting
دولي، اممي	international
أخير	last
متأخر	late
قانوني	legal
خفيف	light
سائل	liquid
محلي	local
مرتفع, صاخب	loud
منخفض	low
محظوظ	lucky
رئيسي	main
عظيم، كبير، رئيسي	major
كثير	many
معدني	metal
عسكري	military
دقيق	minute
أكثر	more
كثير	much
ضيق	narrow
وطني	national
طبيعي	natural
ضروري	necessary
غير	no
عادي	normal
مطفأ	off
مشغل	on
مضاد	opposite
أصلي، أولي	original
آخر	other
متوازي	parallel
خاص	particular
ماضي	past
خصوصي	personal
جسدي	physical
سياسي	political
فقير	poor
شعبي، مفهوم عند أكثرية الشعب	popular
ممكن	possible
حالي	present
سابِق	previous
خاص	private
تقريبي	probable
مِهني	professional
عمومي	public
ساكن	quiet
جاهز	ready
جديد	recent
اعتيادي	regular
مسؤول	responsible
قاسي	rigid
خشن	rough
دائري	round
آمن	safe
مثل	same
ثاني	second
سري, مستتر	secret
مفصول	separate
جاد	serious
معين سلفا	set
عِدة	several
قصير	short
ساكن	silent
فضي	silver
بسيط	simple
وحيد، مفرد	single
صغير	small
مصقول	smooth
صلب	solid
نحيل	sparse
خاص	special
معين، محدد، خاص	specific
مربع	square
نموذجي، موحد، عادي	standard
لاصق	sticky
مستقيم	straight
غريب	strange
أنيق، على الطِراز	stylish
فجائي	sudden
حلو	sweet
طويل	tall
كثيف	thick
نحيف	thin
محكم	tight
حقيقي	true
قبيح	ugly
تحت	under
غير عادي	unusual
عادي	usual
دافئ	warm
رطب	wet
كامِل، تام	whole
