Danish	﻿English
rundt om	about
over	above
igen	again
næsten	almost
langs	along
allerede	already
altid	always
omtrent	approximately
som	as
inden	before
bag	behind
mellem	between
ad	by
direkte	directly
ned	down
tidligt	early
hver	either
nok	enough
lige	exactly
til sidst	finally
først	first
generelt	generally
her	here
her	here
alligevel	however
med det samme	immediately
på	in
virkelig	indeed
ind	inside
i stedet	instead
sent	late
mindst	least
lidt	little
kun	merely
aldrig	never
ikke	not
for tiden	now
tydeligvis	obviously
hyppigt	often
én gang	once
udenfor	outside
specielt	particularly
muligvis	possibly
sandsynligt	probably
hurtigt	quickly
faktisk	really
virkelig	really
for nyligt	recently
langsomt	slowly
sådan	so
somme tider	sometimes
snart	soon
stadig	still
den slags	such
helt sikkert	surely
dengang	then
der	there
derfor	therefore
dagens	today
sammen	together
i morgen	tomorrow
i aften	tonight
desuden	too
i	up
normalt	usually
virkeligt	very
vel	well
