English	Danish
anything	hvad som helst
everybody	alle
everything	alt
he	han
her	hendes
herself	sig selv
him	ham
his	hans
it	det onde
itself	selv
me	mig
my	min
our	vores
she	hun
that	den
their	deres
them	dem
they	de
this	dette
us	os
we	vi
what	hvad
when	hvornår
who	hvem
whom	hvem
whose	hvis
you	du, De
your	din, dit (n)
yourself	dig selv