English	Bosnian
servant	službenik
soldier	vojnik
writer	pisac
airport	aerodrom
bank	banka
bridge	most
building	zgrada, građevina
capital	glavni grad
castle	dvorac
church	crkva
cinema	kino
city	grad, metropola
factory	fabrika, mlin
flat	stan
hospital	bolnica, ambulanta
hotel	hotel
library	biblioteka
park	park
prison	zatvor
restaurant	restoran
road	put, cesta
school	škola
street	ulica
structure	struktura, izgradnja
subway	metro
supermarket	supremarket
theater	pozorište
town	grad
university	univerzitet
village	selo, gradić
accident	nesreća, udes
boat	čamac
bus	autobus
car	automobil
curve	okuka
express	ekspresni voz, brzi voz
flight	let
journey	putovanje
passenger	putnik
plane	avion
ship	brod
skid	kilzanje, kliženje na krilo
track	traka, šina
train	voz
transport	saobraćaj
air	zrak
animal	životinje
branch	grana
evolution	evolucija, razvoj
farm	farma
field	polje
fire	vatra
flower	cvijet
forest	šuma
grass	trava
leaf	list, liska
life	život
lightning	munja
moisture	vlaga
nature	priroda
plant	biljka
root	korijen
sex	spol
sky	nebo
sleep	spavanje
smell	miris
smoke	dim
spring	izvor, prirodni izvor
stem	stabljika
stream	potok, tok
tree	drvo, stablo
wave	val, talas
weather	vrijeme, vremenski uslovi
world	svijet
bank	nagib, obala rijeke
beach	plaža
current	potok, tok
direction	pravac
Earth	Zemlja, zemlja
east	istok
hill	brdo
island	ostrvo
lake	jezero
land	zemlja, zemljište
map	karta
Moon	mjesec
north	sjever, sjeverno
plain	ravnica
region	regija
river	rijeka
sea	more
south	jug
space	svemir, kosmos
star	zvijezda
sun	sunce
west	zapad
acid	kiselina
chemical	hemijsko, hemijska supstanca
chemical element	hemijski element, element
coal	ugalj
cotton	vata
dust	prašina
earth	zemlja
fat	masnoća
glass	staklo
glue	ljepilo
grain	zrno
ice	led
iron	željezo
leather	koža
liquid	tekućina
matter	stvar
metallic element	metalni element, metal
oil	nafta
poison	otrov
powder	puder
sand	pjesak
silk	svila
soap	sapun
steel	čelik
wood	drvo
wool	vuna
bag	torba
basket	korpa
bottle	flaša
box	kutija
can	limenka
cup	šolja
drawer	komoda
envelope	koverta
glass	čaša
plate	tanjir
camera	video kamera, kameskop
camera	foto aparat
cellular phone	mobilni, mobilni telefon
clock	sat, sahat
computer	kompjuter, računar
elevator	lift
engine	motor
instrument	instrument, aparat
machine	aparat, mašina
oven	rerna
television	televizor
watch	sat
addition	sabiranje
angle	ugao
area	zona, oblast
center	centar
circle	krug
curve	krivina, okuka
degree	stepen
degree	stepen, nivo
difference	razlika
distance	distanca
division	divizija, segmentacija
edge	ivica, granica
element	sastojak
function	funkcija
half	pola
limit	limit, granica
line	linija, crta
net	mreža
order	red
outside	napolje
percent	procenat, postotak
point	tačka
purpose	funkcija, korist
result	rezultat
root	korijen
rule	pravilo, propis
set	skup
side	strana
square	kvadrat
square	kvadrat
substitution	zamjena
surface	površina
total	suma
behavior	ponašanje
internet	internet
knot	čvor
power	moć
thing	stvar (f)
afternoon	poslijepodne
age	starost
April	April
August	August
autumn	jesen
beginning	početak
century	vijek
date	datum
day	dan, dvadeset četiri sata
December	Decembar
end	kraj, terminal
evening	veče, večer
February	Februar
Friday	Petak
future	budućnost
hour	sat, sahat
January	Januar
July	Juli
June	Juni
May	Maj
midnight	ponoć
minute	minuta
moment	momenat, minut
moment	trenutak, minut
Monday	Ponedjeljak
month	mjesec
morning	jutro, sabah
night	noć
November	Novembar
now	sada
October	Oktobar
past	prošlost
pause	pauza, prekid
period	period , vremenski period
present	sadašnjost, u sanašnje vrijeme
Saturday	subota
season	godišnje doba
second	sekunda
September	Septembar
spring	proljeće
summer	ljeto
Sunday	Nedjelja
Thursday	Četvrtak
today	danas
tomorrow	sutra
Tuesday	Utorak
Wednesday	Srijeda
week	sedmica, hefta
weekend	vikend
while	neko vrijeme
winter	zima
year	godina
art	umjetnost
artist	umjetnik
band	grupa, orkestar
brush	četka
color	boja
concert	koncert
design	dizajn, modeliranje
diversity	raznovrsnost
entertainment	zabava
hit	hit
image	imidž
ink	mastilo
invention	pronalazak, izum
movie	film
museum	muzej
music	muzika
note	nota, muzička nota
orchestra	orkestar
paint	farba
painting	slikanje, slikarstvo
paper	papir
pen	olovka
pencil	olovka
picture	slika, ikona
poem	pjesma, oblik stiha
poetry	poezija, stih
rhythm	ritam
shape	oblik, izgled
singer	pjevač
song	pjesma, vokalan
stage	scena
style	stil
vogue	moda, trend
account	račun, poslovni odnosi
advantage	prednost
advertisement	reklama, oglas
advice	savjet
agreement	sporazum
attention	pažnja
authority	autoritet, ovlaštenje
banknote	novčanica
bargain	pogodba
brand	marka, izrada
business	firma, preduzeće
businesswoman	poslovna žena
capital	kapital
change	sitne pare, sitnih
cheque	ček, bankovni ček
committee	komitet, komisija
company	firma, preduzeće
competition	konkurencija
complaint	žalba, tužba
contract	ugovor
copy	kopija
cost	cijena
council	vijeće
course	kurs, razred
customer	mušterija, klijent
demand	potreba
department	odjeljenje, sekcija
difficulty	teškoća, prepreka
director	direktor, menadžer
economy	ekonomija
environment	okolina
experience	iskustvo
firm	firma, kuća
form	formular
group	grupa
help	pomoć
holiday	odmor
income	prihod
industry	industrija, fabrika
insurance	osiguranje
interest	kamata
invoice	račun
job	posao, zadatak
law	zakon
leave	odsustvo, dopuštenje
loss	gubitak
management	menadžment, upravljanje
mark	oznaka
market	tržište
material	materijal, stvari
mean	srednja vrijednost
meeting	sastanak
money	novac
occupation	zanimanje
offer	ponuda
office	ured, poslovni ured
officer	službenik
operation	operacija
owner	vlasnik
package	paket, pakovanje
payment	plačanje
plan	plan, program
price	cijena
problem	problem
product	proizvod
profit	profit, neto prohod
property	imanje
rate	kurs
rest	ostatak
reward	plata, nagrada
right	pravo
sale	prodaja
section	dio, odjel
section	sekcija, odjeljak
service	servis
share	dionica
shop	prodavnica
show	predstava
skill	vještina, znanost
staff	osoblje
structure	struktura
success	uspjeh
support	podrška
table	tabela
tax	taksa, taksiranje
team	tim, ekipa
trade	trgovina
value	vrijednost
work	rad, posao
worker	radnik
announcement	saopštenje, proklamacija
answer	odgovor
approval	odobrenje, blagoslov
argument	argument, izjava
book	knjiga
call	poziv, telefonski poziv
character	znak, grafički simbol
controversy	rasprava, polemika
cry	plač, call
data	podaci, informacije
decision	odluka, određivanje
dictionary	rječnik
discussion	diskusija, rasprava
doubt	sumnja, nesigurnost
experience	iskustvo
feeling	osjećaj
humor	humor
idea	ideja, misao
information	informacija, info
interest	interes, uključivanje
interview	intervju
language	jezik
language	jezik, prirodni jezik
letter	pismo, slovo
letter	pismo, službeno pismo
lie	laž
look	izraz, izgled
magazine	magazin
mail	pošta, poštanska služba
memory	memorija
memory	sjećanje, pamćenje
mistake	greška
name	ime
newspaper	časopis, list
note	nota, bilješka
number	broj
opinion	mišljenje, ubjeđivanje
page	stranica
pronunciation	izgovor
proposal	prijedlog
protest	protest
question	pitanje
reaction	reakcija
reason	razlog
relation	veza
request	pitati
secret	tajna
sentence	rečenica
sign	znak
speech	govor, izgovorena komunikacija
spelling	pravopis
standard	standard, kriterij
statement	izjava
subject	tema
suggestion	prijedlog, ponuda
voice	glas, avaz
word	riječ
writing	pisanje
best regards	srdačan pozdrav
do you speak English	da li govorite engleski
good day	dobar dan
good luck	sa srećom
good morning	dobro jutro
happy birthday	sretan rođendan
hello	pozdrav, ćao
how are you	kako ste
many thanks	hvala mnogo
no	ne
sorry	oprostite
sorry	oprostite
thank you very much	hvala najljepša
what is your name	kako se zovete
yes	da
you're welcome	nema na čemu
Britain	Ujedinjeno Kraljevstvo
China	Kina
Czech Republic	Češka Republika, Češka
France	Francuska
Germany	Njemačka
India	Indija
Italy	Italija
Japan	Japan
Spain	Španija
United States of America	Sjedinjene Američke Države
class	razred
education	obrazovanje
education	obrazovanje
education	obrazovanje, učenje
examination	ispit, test
grade	ocjena
knowledge	spoznavanje
student	student
teacher	učitelj
training	obuka
fear	strah
hate	mržnja
love	ljubav
pleasure	zadovoljstvo
promise	obećanje, nada
shock	šok
care	njega
cold	prehlada
cough	kašalj
disease	bolest
doctor	ljekar, doktor
health	zdravlje
menstruation	menstruacija
nurse	sestra, medicinska sestra
operation	operacija, hirurška operacija
pain	bol
patient	pacijent
stitch	šav, bod
blade	oštrica, sječivo
board	daska
card	karta
chain	lanac
club	batina
cover	poklopac, ekran
feather	perje
flag	zastava
frame	okvir
handle	drška
menu	meni
nut	šaraf
pin	igla
pipe	cijev
postage	poštanska marka
present	poklon
sail	jedro
scroll	spirala
seed	sjeme
stick	štap
stone	kamen, stijena
ticket	tiket, karta
wheel	točak
wire	žica
balance	ravnoteža
bulk	masa, volumen
charge	električni naboj
energy	energija
light	svjetlost
mass	masa
measurement	mjerenje
mirror	ogledalo
movement	pokret
pressure	pritisak
process	proces, fizički proces
size	veličina
sound	zvuk
steam	para
strength	sila
time	vrijeme, četvrta dimenzija
unit	jedinica
weight	težina
boyfriend	momak
date	randevu, sastanak
girlfriend	djevojka
guest	gost
honey	drag, omiljen
kiss	poljubac
party	zabava
sex	seks
smile	osmjeh
surprise	iznenađenje
visit	posjeta
biology	biologija
cause	uzrok, razlog
chemistry	hemija
comparison	uporešenje
consequence	posljedica, konsekvenca
discipline	predmet, predmetno područje
discovery	otkriće
discovery	otkriće
evidence	dokaz
example	primjer
fact	činjenica
issue	tema
method	način, metod
phase	faza
program	program
project	projekat
research	istraživanje
research	istraživanje
science	nauke
society	društvo
system	sistem
technology	tehnologija
theory	teorija
trend	trend, tendencija
