English	Finnish
Agatha Christie	Agatha Christie
Aggression	Aggressio
Agnatha	Leuattomat kalat
Agnosticism	Agnostisismi
Agora	Agora
Agoraphobia	Agorafobia
Agra	Agra
Agriculture	Maatalous
Agriculture	Luokka:Maatalous
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Air force	Ilmavoimat
Airbus	Airbus
Aircraft	Lentokone
Aircraft	Luokka:Lentokoneet
Aircraft carrier	Lentotukialus
Airline	Lentoyhtiö
Airport	Lentoasema
Ajax	Ajax
Ajax (mythology)	Aias
Ajax (programming)	Ajax (ohjelmointi)
Akhenaten	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaida
Alabama	Alabama
Alabama	Luokka:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alaniini
Alaska	Alaska
Alaska	Luokka:Alaska
Alban Berg	Alban Berg
Albania	Albania
Albania	Luokka:Albania
Albany	Albany (New York)
Albatross	Albatrossit
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Luokka:Alberta
Albinism	Albinismi
Albite	Albiitti
Album	Albumi
Albuquerque	Albuquerque
Alchemy	Alkemia
Alchemy	Luokka:Alkemia
Alcohol	Alkoholi
Alcoholic beverage	Alkoholijuoma
Alcoholism	Alkoholismi
Aldebaran	Aldebaran
Aldehyde	Aldehydi
Alder	Lepät
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Solženitsyn
Aleppo	Aleppo
Aleutian Islands	Aleutit (saaristo)
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Puškin
Alexander the Great	Aleksanteri Suuri
Alexandre Dumas	Alexandre Dumas vanhempi
Alexandre Dumas	Alexandre Dumas nuorempi
Alexandria	Aleksandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfred Suuri
Algae	Levä
Algebra	Algebra
Algebra	Luokka:Algebra
Algebraic number	Algebrallinen luku
Algeria	Algeria
Algeria	Luokka:Algeria
Algiers	Alger
Algorithm	Algoritmi
Alhambra	Alhambra
Ali	Ali ibn Abi Talib
Alkali metal	Alkalimetalli
Alkaloid	Alkaloidi
Alkane	Alkaani
Alkene	Alkeeni
Alkyne	Alkyyni
Allah	Allah
Allegory	Allegoria
Allele	Alleeli
Allen Ginsberg	Allen Ginsberg
Allergy	Allergia
Alliteration	Alkusointu
Allophone	Allofoni
Allosaurus	Allosaurus
Allotropy	Allotropia
Alloy	Metalliseos
Almanac	Almanakka
Almaty	Almatı
Almond	Manteli
Aloe	Aaloet
Alpha (letter)	Alfa
Alpha Centauri	Alfa Centauri
Alpha particle	Alfahiukkanen
Alphabet	Aakkoset
Alps	Alpit
Alps	Luokka:Alpit
Alsace	Alsace
Altair	Altair
Altar	Alttari
Altay Mountains	Altai (vuoristo)
Alternating current	Vaihtovirta
Alternative medicine	Luokka:Uskomuslääkintä
Alternative medicine	Uskomuslääkintä
Altruism	Altruismi
Aluminium	Alumiini
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimerin tauti
Amanita muscaria	Punakärpässieni
Amanita phalloides	Kavalakärpässieni
Amaryllidaceae	Narsissikasvit
Amaterasu	Amaterasu
Amazon River	Amazon (joki)
Ambassador	Suurlähettiläs
Amber	Meripihka
Ambrose	Ambrosius
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Biisoni
American Black Bear	Mustakarhu
American Civil War	Yhdysvaltain sisällissota
American Revolutionary War	Yhdysvaltain vapaussota
American Samoa	Amerikan Samoa
American Standard Code for Information Interchange	ASCII
American football	Amerikkalainen jalkapallo
