Sanskrit	English
१	1
१०	10
१००	100
१०००	1000
१०१	101
१०५	105
११	11
११०	110
११५	115
१२	12
१२०	120
१२५	125
१३	13
१३०	130
१३५	135
१४	14
१४०	140
१४४	144
१४५	145
१५	15
१५०	150
१५५	155
१६	16
१६०	160
१६५	165
१७	17
१७०	170
१७२८	1728
१७५	175
१८	18
१८०	180
१९	19
१९०	190
२	2
२०	20
२००	200
२१	21
२२	22
२३	23
२४	24
२५	25
२६	26
२७	27
२८	28
२९	29
३	3
३०	30
३००	300
३१	31
३२	32
३३	33
३४	34
३५	35
३६	36
३७	37
३८	38
३९	39
४	4
४०	40
४००	400
४१	41
४२	42
४३	43
४४	44
४५	45
४६	46
४७	47
४८	48
४९	49
५	5
५०	50
५००	500
५१	51
५२	52
५३	53
५४	54
५५	55
५६	56
५७	57
५८	58
५९	59
६	6
६०	60
६१	61
६२	62
६३	63
६४	64
६५	65
६६	66
६७	67
६८	68
६९	69
७	7
७०	70
७१	71
७२	72
७३	73
७४	74
७५	75
७६	76
७७	77
७८	78
७९	79
८	8
८०	80
८१	81
८२	82
८३	83
८४	84
८५	85
८६	86
८७	87
८८	88
८९	89
९	9
९०	90
९१	91
९२	92
९३	93
९४	94
९५	95
९६	96
९७	97
९८	98
९९	99
एडम स्मिथ	Adam Smith
एडोल्फ हिटलर	Adolf Hitler
अफगानस्थान	Afghanistan
अफ्रीका	Africa
अकिरा कुरोसावा	Akira Kurosawa
एलेन ट्यूरिंग	Alan Turing
अलास्‍का	Alaska
अल्बानिया	Albania
अलेक्ज़ांडर महान	Alexander the Great
अल्फ्रेड हिच्कक्	Alfred Hitchcock
अल्फ्रेड नोबेल	Alfred Nobel
अल्जीरिया	Algeria
अमूर	Amur
अंडोरा	Andorra
अंगोला	Angola
मानवविज्ञानं	Anthropology
अंटीग्वा	Antigua and Barbuda
पुरातत्त्व	Archaeology
वास्तुशास्त्रम्	Architecture
अर्जन्टीना	Argentina
अरस्तु	Aristotle
आर्कन्‍सा	Arkansas
आर्मीनिया	Armenia
एशिया	Asia
असाम	Assam
फलज्योतिषं	Astrology
ज्योतिष	Astronomy
आस्ट्रेलिया	Australia
आस्ट्रिया	Austria
अजर्बैजान	Azerbaijan
पिच्छकन्दुक	Badminton
बहरैन	Bahrain
बाली	Bali
बंगलोर	Bangalore
बंगलादेश	Bangladesh
बार्बाडोस	Barbados
शिक्यकन्दुक	Basketball
बेलारूस	Belarus
बेल्जियम	Belgium
बेलीज	Belize
बेनिन	Benin
बर्न्हार्ड रीमन	Bernhard Riemann
बिहार	Bihar
बिल गेट्स	Bill Gates
जीवनी	Biography
जीवशास्त्रं	Biology
नील	Blue
बोलिविया	Bolivia
बोरान	Boron
बास्निया	Bosnia and Herzegovina
वनस्पति विज्ञानं	Botany
बोत्सवाना	Botswana
ब्रह्मा	Brahma
ब्रह्मपुत्र	Brahmaputra River
ब्रासील	Brazil
ब्रूनै	Brunei
बुल्गारिया	Bulgaria
बुर्कीना-फासो	Burkina Faso
म्यन्मार	Burma
कालिफोर्नियम	Californium
केमेरून	Cameroon
केनडा	Canada
केप वर्डी	Cape Verde
केन्द्रीय अफ्रीका गणराज्य	Central African Republic
चाड	Chad
चार्लेमन	Charlemagne
चार्ल्स डार्विन	Charles Darwin
चार्ल्स डे गौल	Charles de Gaulle
