English	Croatian
Almond	Badem
Aloe	Aloe
Alpha (letter)	Alfa
Alpha Centauri	Alpha Centauri
Alpha particle	Alfa-čestica
Alphabet	Abeceda
Alps	Alpe
Alsace	Elzas
Altair	Altair
Alternating current	Izmjenična struja
Alternative medicine	Alternativna medicina
Altruism	Altruizam
Aluminium	Aluminij
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimerova bolest
Amanita phalloides	Zelena pupavka
Amaterasu	Amaterasu
Amazon River	Amazona
Ambassador	Veleposlanik
Ambrose	Sveti Ambrozije
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Civil War	Američki građanski rat
American Revolutionary War	Američki rat za neovisnost
American Samoa	Američka Samoa
American Standard Code for Information Interchange	ASCII
American football	Američki nogomet
American football	Kategorija:Američki nogomet
Americium	Americij
Amerigo Vespucci	Amerigo Vespucci
Amine	Amin
Amino acid	Aminokiselina
Amman	Amman
Ammonia	Amonijak
Amnesia	Amnezija
Ampere	Amper
Amphetamine	Amfetamin
Amphibian	Vodozemci
Amphitheatre	Amfiteatar
Amplitude	Amplituda
Amsterdam	Amsterdam
Amun	Amon
Anabaptist	Anabaptizam
Anarchism	Anarhizam
Anarchism	Kategorija:Anarhizam
Anarchy	Anarhija
Anatidae	Patke
Anatole France	Anatole France
Anatomy	Kategorija:Anatomija
Anatomy	Anatomija
Anaxagoras	Anaksagora
Anaximander	Anaksimandar
Anchor	Sidro
Anchorage	Anchorage, Aljaska
Ancient Greek	Starogrčki jezik
Ancient history	Kategorija:Drevna povijest
Andalusia	Andaluzija
Anders Celsius	Anders Celsius
Andes	Ande
Andhra Pradesh	Andhra Pradesh
Andorra	Andora
Andorra	Kategorija:Andora
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Saharov
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (zviježđe)
Andromeda (mythology)	Andromeda (mitologija)
Andromeda Galaxy	Messier 31
Andy Warhol	Andy Warhol
Anemia	Anemija
Anesthesia	Anestezija
Angara River	Angara
Angel	Anđeo
Angle	Kut
Anglicanism	Anglikanstvo
Angola	Angola
Angola	Kategorija:Angola
Anguilla	Angvila
Angular momentum	Kutna količina gibanja
Angular velocity	Kutna brzina
Animal	Životinje
Animal husbandry	Stočarstvo
Animation	Animacija
Anime	Anime
Anime	Kategorija:Manga i anime
Animism	Animizam
Anise	Anis
Ankara	Ankara
Anne Boleyn	Ana Boleyn
Annelid	Kolutićavci
Annunciation	Blagovijest
Anode	Anoda
Anorexia nervosa	Anoreksija
Anseriformes	Patkarice
Anseriformes	Kategorija:Patkarice
Ant	Mravi
Antakya	Antiohija
Antananarivo	Antananarivo
Antarctica	Antarktika
Antarctica	Kategorija:Antarktika
Antares	Antares
Antenna (radio)	Antena
Anthony Hopkins	Anthony Hopkins
Anthrax	Antraks (bolest)
Anthropology	Antropologija
Anthropology	Kategorija:Antropologija
Antibiotic	Antibiotik
Antibody	Antitijelo
Antichrist	Antikrist
Anticyclone	Anticiklona
Antigua and Barbuda	Antigva i Barbuda
Antigua and Barbuda	Kategorija:Antigva i Barbuda
Antimatter	Antimaterija
Antimony	Antimon
Antipope	Protupapa
Antisemitism	Antisemitizam
Antlia	Zračna pumpa (zviježđe)
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Laurent de Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Pavlovič Čehov
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonim
Antwerp	Antwerpen
Anubis	Anubis
Anus	Anus
Aorta	Aorta
Apache	Apači
Apatite	Apatit
Ape	Čovjekoliki majmuni
Aphrodite	Afrodita
Apia	Apia
Apocrypha	Apokrifi
Apodiformes	Srpokrilke
Apollo	Apolon
Apollo (disambiguation)	Apollo
Apollo program	Projekt Apollo
Apple	Jabuka
April	Travanj
April 14	14. travnja
Apse	Apsida
Apulia	Apulija
Apus	Rajska ptica (zviježđe)
Aqua regia	Zlatotopka
Aquarium	Akvarij
Aquarius (constellation)	Vodenjak (zviježđe)
Aquila (constellation)	Orao (zviježđe)
Aquitaine	Akvitanija
Ara (constellation)	Oltar (zviježđe)
Arab	Arapi
Arab League	Arapska liga
Arabian Peninsula	Arapski poluotok
Arabian Sea	Arapsko more
Arabic language	Arapski jezik
Arachnid	Paučnjaci
Aragon	Aragonija
Aral Sea	Aralsko jezero
Arcadia	Arkadija
Arcangelo Corelli	Arcangelo Corelli
Arch	Luk (arhitektura)
Archaeology	Arheologija
Archaeology	Kategorija:Arheologija
Archbishop	Nadbiskup
Archean	Arhaik
Archetype	Arhetip
Archimedes	Arhimed
Archipelago	Otočje
Architecture	Arhitektura
Architecture	Kategorija:Arhitektura
Archive	Arhivalije
Arctic	Arktik
Arctic Circle	Polarni krugovi
Arctic Ocean	Arktički ocean
Arctic fox	Arktička lisica
Ardennes (department)	Ardennes (departman)
Are	Ar
Area	Površina
Arecaceae	Palme
Ares	Ares
Argentina	Argentina
Argentina	Kategorija:Argentina
Argon	Argon
Aria	Arija
Ariadne	Arijadna (mitologija)
Arianism	Arijanstvo
Aries (constellation)	Ovan (zviježđe)
Aristocracy	Aristokracija
Aristophanes	Aristofan
Aristotle	Aristotel
Arithmetic	Aritmetika
Arius	Arius
Arizona	Arizona
Arizona	Kategorija:Arizona
Ark of the Covenant	Kovčeg Saveza
