Frisian	English
100	100
1000	1000
101	101
105	105
110	110
12	12
125	125
130	130
140	140
145	145
16	16
17	17
1728	1728
180	180
19	19
28	28
400	400
43	43
47	47
500	500
53	53
58	58
71	71
83	83
9	9
97	97
98	98
Abraham Lincoln	Abraham Lincoln
Adolf Hitler	Adolf Hitler
Adriatyske See	Adriatic Sea
Afganistan	Afghanistan
Kategory:Afganistan	Afghanistan
Afrika	Africa
Kategory:Afrika	Africa
Afrikaansk	Afrikaans
Agatha Christie	Agatha Christie
Lânbou	Agriculture
Loftfartúch	Aircraft
Ajax	Ajax
Al Kaida	Al-Qaeda
Alabama	Alabama
Alaska	Alaska
Albaanje	Albania
Albatrossen	Albatross
Albert Einstein	Albert Einstein
Aldous Huxley	Aldous Huxley
Alexander Graham Bell	Alexander Graham Bell
Aleksander de Grutte	Alexander the Great
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Algebra	Algebra
Algerije	Algeria
Algiers	Algiers
Alliteraasje	Alliteration
Alpen	Alps
Elsas	Alsace
Amazone	Amazon River
Ambrosius	Ambrose
Amerikaansk Fuotbal	American football
Amsterdam	Amsterdam
Kategory:Amsterdam	Amsterdam
Anagram	Anagram
Einfûgels	Anatidae
Anatomy	Anatomy
Andalûsje	Andalusia
Andorra	Andorra
Andy Warhol	Andy Warhol
Ingel	Angel
Angoala	Angola
Dier	Animal
Animisme	Animism
Goeseftigen	Anseriformes
Antarktika	Antarctica
Antropology	Anthropology
Kategory:Antropology	Anthropology
Antigua en Barbûda	Antigua and Barbuda
April	April
14 april	April 14
Apulje	Apulia
Akwadukt	Aqueduct
Akwitaanje	Aquitaine
Arabysk	Arabic language
Arragon	Aragon
Argeology	Archaeology
Aartsbiskop	Archbishop
Boukeunst	Architecture
Argentynje	Argentina
Arianisme	Arianism
Aristoteles	Aristotle
Arizona	Arizona
Arkansas	Arkansas
Armeenje	Armenia
Kategory:Armeenje	Armenia
Arnhim	Arnhem
Keunst	Art
Kategory:Keunst	Arts
Aazje	Asia
Kategory:Aazje	Asia
Astrology	Astrology
Romtefarder	Astronaut
Astronoom	Astronomer
Stjerrekunde	Astronomy
Kategory:Stjerrekunde	Astronomy
Atene	Athens
Atlantyske Oseaan	Atlantic Ocean
Kategory:Atlantyske Oseaan	Atlantic Ocean
Attila	Attila the Hun
Augustus	August
1 augustus	August 1
15 augustus	August 15
6 augustus	August 6
Augustinus	Augustine of Hippo
Austraalje (lân)	Australia
Kategory:Austraalje	Australia
Eastenryk	Austria
Auvergne	Auvergne (region)
Azerbeidzjan	Azerbaijan
Babyloanje	Babylonia
De Barein	Bahrain
Bakoe	Baku
Balearen	Balearic Islands
Ballet	Ballet
Eastsee	Baltic Sea
Banglades	Bangladesh
Baptisme	Baptist
Barbados	Barbados
Bary (stêd)	Bari
Goudûle	Barn Owl
Boereswel	Barn Swallow
Basilikata	Basilicata
Leech-Normandje	Basse-Normandie
Fagot	Bassoon
Slach by Ferdun	Battle of Verdun
Slach by Waterloo	Battle of Waterloo
Beieren	Bavaria
Golf fan Biskaje	Bay of Biscay
Snaffel	Beak
Bevers	Beaver
Beda	Bede
Peking	Beijing
Wyt-Ruslân	Belarus
Belgje	Belgium
Kategory:Belgje	Belgium
Belisarius	Belisarius
Belize	Belize
Benelúks	Benelux
Benyn	Benin
Benito Mussolini	Benito Mussolini
Beowulf	Beowulf
Beringsee	Bering Sea
Beringstrjitte	Bering Strait
Berlyn	Berlin
Beverly Hills	Beverly Hills
Bûtan	Bhutan
Bibel	Bible
Biogemy	Biochemistry
Biology	Biology
Kategory:Biology	Biology
Fûgels	Bird
Biseksualiteit	Bisexuality
Biskop	Bishop
Bit	Bit
Swarte Glee	Black Kite
Swarte See	Black Sea
Swarte Earrebarre	Black Stork
Swart gat	Black hole
Klyster	Blackbird
Blues	Blues
Wylde baarch	Boar
Bob Dylan	Bob Dylan
Bolivia	Bolivia
Bolzano	Bolzano
Bosnje	Bosnia and Herzegovina
Botswana	Botswana
Boergonje (regio)	Bourgogne
Brandenboarch	Brandenburg
Brazylje	Brazil
Bremen (dielsteat)	Bremen (state)
Bretanje (regio)	Bretagne
Britske Ryk	British Empire
Brûns	Bronze
Brûnstiid	Bronze Age
Brugge	Bruges
Brûnei	Brunei
Brussel	Brussels
Bûkarest	Bucharest
Boedapest	Budapest
Boedisme	Buddhism
Bouwurk	Building
Bulgarije	Bulgaria
Boargemaster	Burgomaster
Bûrkina Faso	Burkina Faso
Birma	Burma
Buster Keaton	Buster Keaton
Bûter	Butter
Kalaabrje	Calabria
Kalinder	Calendar
Kalifornje	California
Kambodja	Cambodia
Kameroen	Cameroon
Kampanje	Campania
Kanada	Canada
Kategory:Kanada	Canada
Kanaryske Eilannen	Canary Islands
Kannibalisme	Cannibalism
