English	Serbian
Czechoslovakia	Чехословачка
Czechoslovakia	Категорија:Чехословачка
D	D (слово латинице)
DDT	ДДТ
DNA	ДНК
DOS	DOS (оперативни систем)
DVD	DVD
Dachshund	Јазавичар
Dada	Дадаизам
Dagger	Нож
Daguerreotype	Дагеротипија
Dakar	Дакар
Dallas	Далас
Dalmatia	Далмација
Damascus	Дамаск
Dance	Плес
Dandelion	Маслачак
Daniel Bernoulli	Данијел Бернули
Daniel Defoe	Данијел Дефо
Danish krone	Данска круна
Dante Alighieri	Данте Алигијери
Danube	Дунав
Daphne	Дафне
Dar es Salaam	Дар ес Салам
Dardanelles	Дарданели
Darfur	Дарфур
Dark matter	Тамна материја
Darmstadtium	Дармштатијум
Darwin	Дарвин (Северна територија)
Darwin	Дарвин
Data	Податак
Data structure	Структура података
Database	База података
Date Palm	Датула
Dative case	Датив
David	Краљ Давид
David Hilbert	Давид Хилберт
David Hume	Дејвид Хјум
David Livingstone	Дејвид Ливингстон
David Ricardo	Давид Рикардо
Davis Cup	Дејвис куп
Day	Дан
Days	Категорија:Дани
De facto	Де факто
Deacon	Ђакон
Dead Sea	Мртво море
Deadly nightshade	Велебиље
Death	Смрт
Death	Категорија:Смрт
Decade	Десетлеће
December	Децембар
December 31	31. децембар
December 8	8. децембар
Decimal	Декадни систем
Decius (emperor)	Деције Трајан
Deductive reasoning	Дедукција
Definition	Дефиниција
Deflation	Дефлација
Degree (angle)	Лучни степен
Deimos (moon)	Деимос
Deism	Деизам
Delaware	Делавер
Delft	Делфт
Dell	Del (kompanija)
Delphi	Делфи
Deluge (mythology)	Потоп
Demagogy	Демагогија
Dementia	Деменција
Demeter	Деметра
Democracy	Демократија
Democratic Party (United States)	Демократска странка (САД)
Democratic Republic of the Congo	Демократска Република Конго
Democratic Republic of the Congo	Категорија:Демократска Република Конго
Democritus	Демокрит
Demography	Демографија
Demography	Категорија:Демографија
Demon	Демон
Dengue fever	Денга грозница
Denis Diderot	Дени Дидро
Denmark	Данска
Denmark	Категорија:Данска
Density	Густина
Dental caries	Каријес
Dentistry	Категорија:Стоматологија
Dentistry	Стоматологија
Denver	Денвер
Derivative	Извод
Desert	Пустиња
Deserts	Категорија:Пустиње
Desiderius Erasmus	Еразмо Ротердамски
Design	Дизајн
Design	Категорија:Дизајн
Destroyer	Разарач
Determinant	Детерминанта
Determinism	Детерминизам
Detroit	Детроит
Deuterium	Деутеријум
Deuteronomy	Пета књига Мојсијева
Developmental psychology	Дечја психоанализа
Device driver	Драјвер
Dhaka	Дака
Dharma	Дарма
Diabetes mellitus	Шећерна болест
Dialect	Дијалект
Diameter	Пречник
Diamond	Дијамант
Diana	Принцеза Дајана од Велса
Diana (mythology)	Дијана
Diarrhea	Дијареја
Diaspora	Дијаспора
Diatom	Силикатне алге
Dicotyledon	Дикотиледоне биљке
Dictatorship	Диктатура
Diego Rivera	Дијего Ривера
Diesel	Дизел гориво
Differential equation	Диференцијална једначина
Diffusion	Дифузија
Digestion	Варење
Digital photography	Дигитална фотографија
Digital subscriber line	ДСЛ
Dijon	Дижон
Dill	Мирођија
Dimension	Димензија
Dinosaur	Диносауруси
Diocese	Бискупија
Diocletian	Диоклецијан
Diode	Диода
Dionysus	Дионис
Diphtheria	Дифтерија
Diplodocus	Диплодокус
Diplomacy	Diplomatija
Diplomacy	Категорија:Дипломатија
Direct current	Једносмерна струја
Disambiguation	Категорија:Вишезначна одредница
Disc jockey	Диџеј
Discrimination	Дискриминација
Disease	Болест
Distillation	Дестилација
Division (mathematics)	Дељење
Divorce	Развод
Dizzy Gillespie	Дизи Гилеспи
Djibouti	Категорија:Џибути
Djibouti (city)	Џибути (град)
Dmitri Mendeleev	Дмитриј Мендељејев
Dmitri Shostakovich	Дмитриј Дмитријевич Шостакович
Dnieper River	Дњепар
Dnipropetrovsk	Дњепропетровск
Doberman Pinscher	Доберман (раса паса)
Dodecahedron	Додекаедар
Dodoma	Додома
Dog	Пас
Dogma	Догма
Doha	Доха
Dolmen	Долмен
Dolomite	Доломит
Dolphin	Delfin
Domain name	Интернет домен
Dome	Купола
Dominica	Доминика
Dominica	Категорија:Доминика
Dominican Order	Доминикански ред
Dominican Republic	Доминиканска Република
Dominican Republic	Категорија:Доминиканска Република
Domitian	Домицијан
Don Quixote	Дон Кихот
Don River (Russia)	Дон
Donald Duck	Паја Патак
Donatello	Донатело
Donato Bramante	Донато Браманте
Donetsk	Доњецк
Donkey	Магарац
Dopamine	Допамин
Doppler effect	Доплеров ефекат
Doric order	Дорски ред
Doris Lessing	Дорис Лесинг
Dortmund	Дортмунд
Double bass	Контрабас
Douglas MacArthur	Даглас Макартур
Down syndrome	Даунов синдром
Dracula	Дракула
Drama	Драма
Dream	Сан
Dresden	Дрезден
Dromedary	Једногрба камила
Drought	Суша
Drug addiction	Наркоманија
Druid	Друиди
Drum	Бубањ (музички инструмент)
Dualism	Дуализам
Dualism (philosophy of mind)	Дуализам
Dubai	Дубаи
Dublin	Даблин
Dubnium	Дубнијум
Dubrovnik	Дубровник
Duodenum	Дванаестопалачно црево
Dushanbe	Душанбе
Dustin Hoffman	Дастин Хофман
Dutch people	Категорија:Холанђани
Dwight D. Eisenhower	Двајт Д. Ајзенхауер
Dynamics (physics)	Динамика (физика)
Dynamite	Dinamit
Dyslexia	Дислексија
Dysprosium	Диспрозијум
Dystopia	Дистопија
E	E (слово латинице)
E (mathematical constant)	Број е
E-mail	Електронска пошта
E. T. A. Hoffmann	Ернст Теодор Вилхелм Хофман
ETA	ЕТА
Eagle	Орао
Ear	Уво
Earth	Земља
Earth	Категорија:Земља
Earth science	Науке о Земљи
Earthquake	Земљотрес
East	Исток
East Africa	Источна Африка
East China Sea	Источнокинеско море
East Germany	Источна Немачка
East Timor	Источни Тимор
East Timor	Категорија:Источни Тимор
Easter	Васкрс
Eastern Orthodox Church	Православље
Eccentricity (mathematics)	Ексцентрицитет
Ecclesiastes	Књига проповедникова
Echidna (mythology)	Ехидна
Echinoderm	Бодљокошци
Eclipse	Помрачење
Ecliptic	Еклиптика
Ecology	Екологија
Ecology	Категорија:Екологија
Economics	Економија
Economics	Категорија:Економија
Economy	Економија
Ecosystem	Екосистем
Ecuador	Еквадор
Ecuador	Категорија:Еквадор
Ecumenical council	Васељенски сабори
Edgar Allan Poe	Едгар Алан По
Edgar Degas	Edgar Dega
Edinburgh	Единбург
Edmond Halley	Едмунд Халеј
Edmonton	Едмонтон
Edmund Burke	Едмунд Берк
Edmund Hillary	Едмунд Хилари
Edmund Husserl	Едмунд Хусерл
Eduard Buchner	Едуард Бухнер
Education	Образовање
Education	Категорија:Образовање
Edvard Grieg	Едвард Григ
Edvard Munch	Едвард Мунк
Edward Jenner	Едвард Џенер
Edward Teller	Едвард Телер
Edward the Confessor	Едвард Исповедник
Egg (biology)	Јаје
Eggplant	Плави патлиџан
Egypt	Египат
Egypt	Категорија:Египат
Egyptology	Египтологија
Eiffel Tower	Ајфелова кула
Eindhoven	Ајндховен
Einsteinium	Ајнштајнијум
El Cid	Родриго Дијаз де Вивар
El Greco	Ел Греко
El Paso	Ел Пасо
El Salvador	Салвадор
Elbe	Лаба (река)
Eleanor Roosevelt	Еленор Рузвелт
Electric charge	Наелектрисање
Electric current	Електрична струја
Electric field	Електрично поље
Electric guitar	Електрична гитара
Electrical engineering	Категорија:Електротехника
Electrical engineering	Електротехника
Electrical resistance	Електрични отпор
Electricity	Електрицитет
Electrochemistry	Категорија:Електрохемија
Electrolysis	Електролиза
Electrolyte	Електролит
Electromagnetic radiation	Електромагнетно зрачење
Electromagnetism	Електромагнетизам
Electromagnetism	Категорија:Електромагнетизам
Electron	Електрон
Electronegativity	Електронегативност
Electronics	Електроника
Electronics	Категорија:Електроника
Elegy	Елегија
Elijah	Илија
Elizabeth Taylor	Елизабет Тејлор
Ellipse	Елипса
Elvis Presley	Елвис Пресли
Embryo	Ембрион
Embryology	Ембриологија
Emerald	Смарагд
Emilia-Romagna	Емилија-Ромања
Emiliano Zapata	Емилијано Запата
Emily Dickinson	Емили Дикинсон
Emma Goldman	Ема Голдман
Emotion	Осећање
Emotion	Категорија:Емоције
Empathy	Емпатија
Empedocles	Емпедокле
Emperor Penguin	Царски пингвин
Empire State Building	Емпајер стејт билдинг
Empiricism	Емпиризам
Emulator	Емулатор
Emulsion	Емулзија
Encyclopedia	Енциклопедија
Endocrine system	Ендокрини систем
Endocrinology	Ендокринологија
Endocrinology	Категорија:Ендокринологија
Energy	Енергија
Energy (society)	Енергија
Engine	Мотор
Engineer	Инжењер
Engineering	Инжењеринг
England	Енглеска
England	Категорија:Енглеска
English Channel	Ламанш
English Civil War	Енглески грађански рат
English language	Енглески језик
English language	Категорија:Енглески језик
English people	Категорија:Енглези
English people	Енглези
Enrico Fermi	Енрико Ферми
Entertainment	Категорија:Забава
Entropy	Ентропија
Environment	Окружење
Enzyme	Ензим
Eon (geology)	Еон (геологија)
Eos	Еос
Ephesus	Ефес
Epic poetry	Епика
Epictetus	Епиктет
Epicurus	Епикур
Epidemic	Епидемија
Epidemiology	Епидемиологија
Epilepsy	Епилепсија
Epinephrine	Адреналин
Epiphany (Christian)	Богојављење
Epirus (periphery)	Периферија Епир
Epistemology	Епистемологија
Epistle to the Galatians	Посланица Галатима
Epistle to the Romans	Посланица Римљанима
Epithelium	Епителско ткиво
Equation	Једначина
Equator	Екватор
Equatorial Guinea	Екваторијална Гвинеја
Equatorial Guinea	Категорија:Екваторијална Гвинеја
Equidae	Коњи
Erasure	Erasure
Erato	Ерато
Eratosthenes	Ератостен
Erbium	Ербијум
Erebus	Ереб
Erectile dysfunction	Импотенција
Erection	Ерекција
Eridanus (constellation)	Сазвежђе Еридан
Erik Axel Karlfeldt	Ерик Карлфелт
Erik Satie	Ерик Сати
Eris (dwarf planet)	Ерида (патуљаста планета)
Eris (mythology)	Ерида (митологија)
Eritrea	Категорија:Еритреја
Ernest Hemingway	Ернест Хемингвеј
Ernest Rutherford	Ернест Радерфорд
Eros (mythology)	Ерос
Erotica	Еротика
Erwin Rommel	Ервин Ромел
Eschatology	Есхатологија
Escherichia coli	Ешерихија коли
Esfahan	Исфахан
Esophagus	Једњак
Esperanto	Есперанто
Esperanto	Категорија:Есперанто
Espionage	Шпијунажа
Espoo	Еспо
Essay	Есеј
Essen	Есен
Essential oil	Етерично уље
Essex	Есекс
Ester	Estar
Estonia	Категорија:Естонија
Ethane	Етан
Ether	Етар (хемија)
Ethics	Етика
Ethics	Категорија:Етика
Ethiopia	Етиопија
Ethiopia	Категорија:Етиопија
Ethnic group	Етничка група
Ethnography	Етнографија
Ethnology	Категорија:Етнологија
Etymology	Етимологија
Eucalyptus	Еукалиптус
Eucharist	Евхаристија
Euclid	Еуклид
Eukaryote	Еукариоте
Eunuch	Евнух
Euphemism	Еуфемизам
Euphrates	Еуфрат
Eurasia	Евроазија
Eurasian Badger	Јазавац
Euripides	Еурипид
Euro	Евро
Europa (moon)	Европа (сателит)
Europe	Европа
Europe	Категорија:Европа
European Central Bank	Европска централна банка
European Union	Европска унија
European Union	Категорија:Европска унија
Europium	Еуропијум
Eusebius of Caesarea	Јевсевије Цезарејски
Euterpe	Еутерпа
Euthanasia	Еутаназија
Eva Braun	Ева Браун
Evolution	Еволуција (биологија)
Exchange rate	Девизни курс
Excommunication	Изопштење
Executive (government)	Извршна власт
Exhibitionism	Егзибиционизам
Existentialism	Egzistencijalizam
Exodus	Друга књига Мојсијева
Expected value	Очекивана вредност
Experiment	Експеримент
Explosion	Експлозија
Exponential function	Експоненцијална функција
Expressionism	Експресионизам
Eye	Око
F	F (слово латинице)
Fabaceae	Fabaceae
Fable	Басна
Fact	Шаблон:Чињеница
Factorial	Факторијел
Fahrenheit	Фаренхајт (јединица)
Fair use	Поштена употреба
Fairy tale	Бајка
Falkland Islands	Фокландска острва
Fallacy	Логичка грешка
Fallopian tube	Јајоводи
Falun Gong	Фалун Гонг
Fantasy	Фантастика
Far East	Далеки Исток
Farad	Фарад
Faroe Islands	Категорија:Фарска Острва
Fascism	Фашизам
Fashion	Категорија:Мода
Fashion	Мода
Fast food	Брза храна
Fasting	Пост
Fauvism	Фовизам
Fax	Факс машина
Fear	Страх
February	Фебруар
February 12	12. фебруар
February 14	14. фебруар
February 2	2. фебруар
February 22	22. фебруар
February 29	29. фебруар
Feces	Измет
Federal Bureau of Investigation	Federalni istražni biro
Federal Reserve System	Савезне резерве САД
Federated States of Micronesia	Федералне Државе Микронезије
Federico Fellini	Федерико Фелини
Fedora (Linux distribution)	Fedora Core
Feedback	Фидбек
Felix Mendelssohn	Феликс Менделсон
Feminism	Феминизам
Feminism	Категорија:Феминизам
Fencing	Мачевање
Feng shui	Фенг Шуи
Ferdinand II	Фердинанд II, цар Светог римског царства
Ferdinand Magellan	Фернандо Магелан
Ferdinand de Saussure	Фердинанд де Сосир
Fermentation (biochemistry)	Ферментација
Fermentation (food)	Ферментација
Fermium	Фермијум
Fern	Папрати
Ferrara	Ферара
Fertilisation	Оплођење
Fetus	Фетус
Feudalism	Феудализам
Fiat	Фијат
Fibonacci number	Фибоначијев низ
Fiction	Категорија:Фикција
Fictional character	Измишљени лик
Fidel Castro	Фидел Кастро
Field (mathematics)	Поље (математика)
Field hockey	Хокеј на трави
Figure skating	Уметничко клизање
Fiji	Фиџи
Fiji	Категорија:Фиџи
File Transfer Protocol	FTP
File system	Датотечни систем
Filippo Brunelleschi	Филипо Брунелески
Film	Категорија:Филм
Film	Филм
Film	Портал:Film
Finance	Категорија:Финансије
Fingerprint	Отисак прста
Finland	Финска
Finland	Категорија:Финска
Fir	Јела
Fire	Ватра
Firefighter	Ватрогасац
Firewall (networking)	Заштитни зид
Firmware	Фирмвер
First Council of Constantinople	Други Васељенски Сабор
First Council of Nicaea	Први васељенски сабор
First Crusade	Први крсташки рат
First Epistle to the Corinthians	Прва посланица Коринћанима
Fish	Рибе
Fish	Категорија:Рибе
Fjord	Фјорд
Flag	Застава
Flagellum	Бич (биологија)
Flamingo	Фламинго
Flanders	Фландрија
Flash memory	Флеш меморија
Flatworm	Пљоснати црви
Flemish (linguistics)	Фламански језик
Flip-flop (electronics)	Бистабилно коло
Flood	Поплава
Floppy disk	Дискета
Florence	Фиренца
Florence Nightingale	Флоренс Најтингејл
Florida	Флорида
Flour	Брашно
Flower	Цвет
Flowering plant	Скривеносеменице
Fluid	Флуид
Flute	Флаута
Fog	Магла
Folic acid	Folna kiselina
Food and Agriculture Organization	Фао
Foot (unit of length)	Стопа (јединица)
Football (soccer)	Фудбал
Football (soccer)	Категорија:Фудбал
Football (soccer) by country	Категорија:Фудбал по државама
Football (soccer) clubs	Категорија:Фудбалски клубови
Football (soccer) managers	Категорија:Фудбалски тренери
Football (soccer) players	Категорија:Фудбалери
Football (soccer) venues	Категорија:Фудбалски стадиони
Forbidden City	Забрањени град
Force	Сила
Forest	Шума
Form of government	Друштвено уређење
Fort Worth	Форт Ворт
Fortification	Тврђава
Fortran	Фортран
Fossil	Фосил
Fossil fuel	Фосилна горива
Fountain	Фонтана
Fourth Crusade	Четврти крсташки рат
Fox	Лисица
Fractal	Фрактал
France	Француска
France	Категорија:Француска
Francis Bacon	Франсис Бејкон
Francis Drake	Френсис Дрејк
Francis Ford Coppola	Франсис Форд Копола
Francis of Assisi	Фрањо Асишки
Franciscan	Фрањевци
Francisco Franco	Франсиско Франко
Francisco Goya	Франсиско Гоја
Francisco Pizarro	Франсиско Пизаро
Francium	Францијум
Franco-Prussian War	Француско-пруски рат
Frank Lloyd Wright	Френк Лојд Рајт
Frank Sinatra	Френк Синатра
Frankfurt	Франкфурт на Мајни
Frankfurt (Oder)	Франкфурт на Одри
Frankfurt (disambiguation)	Франкфурт
Frans Hals	Франс Халс
Franz Kafka	Франц Кафка
Franz Liszt	Франц Лист
Franz Schubert	Франц Шуберт
Fred Astaire	Фред Астер
Frederick I	Фридрих Барбароса
Frederick II	Фридрих II, цар Светог римског царства
Frederick Sanger	Фредерик Сангер
Frederick Soddy	Фредерик Соди
Fredericton	Frederikton
Free will	Слободна воља
Freedom (philosophy)	Слобода
Freemasonry	Слободно зидарство
Freetown	Фритаун
French Polynesia	Француска Полинезија
French Polynesia	Категорија:Француска Полинезија
French Revolution	Француска револуција
French franc	Француски франак
French people	Категорија:Французи
Frequency	Фреквенција
Fresco	Фреска
Fresno	Фрезно
Freyja	Фреја
Freyr	Фрејр
Friday	Петак
Fridtjof Nansen	Фритјоф Нансен
Friedrich Engels	Фридрих Енгелс
Fritz Haber	Фриц Хабер
Friuli-Venezia Giulia	Фурланија-Јулијска крајина
Frog	Жаба
Fructose	Фруктоза
Fruit	Плод
Fruit	Категорија:Воће
Fucking	Фукинг (Аустрија)
Fuel cell	Gorive ćelije
Function (mathematics)	Функција (математика)
Fundamental	Категорија:Основне категорије
Fundamentalism	Фундаментализам
Fungi	Категорија:Гљиве
Fungus	Гљиве
Funk	Фанк
Future	Будућност
Futurism (art)	Футуризам
Fuzzy logic	Расплинута логика
Fyodor Dostoevsky	Фјодор Михајлович Достојевски
G	G (слово латинице)
GIMP	Гимп
GNOME	Гном
GNU	ГНУ
Gabon	Габон
Gabon	Категорија:Габон
Gaborone	Габороне
Gabriel	Арханђел Гаврило
Gadolinium	Гадолинијум
Gaetano Donizetti	Гаетано Доницети
Gaia (mythology)	Геја
Galatia	Галатија
Galaxy	Галаксија
Galena	Галенит
Galicia (Central Europe)	Galicija (provincija)
Galicia (Spain)	Галиција
Galilee	Галилеја
Galileo Galilei	Галилео Галилеј
Galley	Галија (брод)
Gallium	Галијум
Gamal Abdel Nasser	Гамал Абдел Насер
Game	Игра
Game theory	Теорија игара
Gamma	Гама
Gamma ray	Гама зрачење
Ganymede (moon)	Ганимед (сателит)
Garfield	Гарфилд
Garlic	Бели лук
Gas	Гас
Gas giant	Гасовити џин
Gastrointestinal tract	Систем органа за варење
Gastropoda	Пужеви
Gaul	Галија (провинција)
Gautama Buddha	Сидарта Гаутама
Gay	Геј
Gaza	Газа
Gaza Strip	Појас Газе
Geb	Геб
Gemstone	Драго камење
Gene	Ген
Genealogy	Категорија:Генеалогија
General Officer	Генерал
General relativity	Општа теорија релативности
Genesis	Прва књига Мојсијева
Genetic code	Генетски код
Genetic engineering	Генетички инжењеринг
Genetics	Генетика
Genetics	Категорија:Генетика
Geneva	Женева
Genie	Џин (ислам)
Genitive case	Генитив
Genoa	Ђенова
Genocide	Геноцид
Genocide	Категорија:Геноцид
Genome	Геном
Genotype	Генотип
Genus	Род (биологија)
Geochemistry	Геохемија
Geodesy	Геодезија
Geodesy	Категорија:Геодезија
Geography	Географија
Geography	Категорија:Географија
Geography	Портал:Географија
Geology	Категорија:Геологија
Geology	Геологија
Geometry	Геометрија
Geometry	Категорија:Геометрија
Geomorphology	Геоморфологија
Geomorphology	Категорија:Геоморфологија
Geophysics	Геофизика
Geophysics	Категорија:Геофизика
Geopolitics	Геополитика
Georg Wilhelm Friedrich Hegel	Георг Вилхелм Фридрих Хегел
George Berkeley	Џорџ Беркли
George Bernard Shaw	Џорџ Бернард Шо
George Boole	Џорџ Бул
George Bush	Џорџ Буш
George Frideric Handel	Георг Фридрих Хендл
George Gershwin	Џорџ Гершвин
George Harrison	Џорџ Харисон
George Lucas	Џорџ Лукас
George Marshall	Џорџ Маршал (генерал)
George Orwell	Џорџ Орвел
George Paget Thomson	Џорџ Паџет Томсон
George Sand	Жорж Санд
George Stephenson	Џорџ Стивенсон
George W. Bush	Џорџ В. Буш
George Washington	Џорџ Вашингтон
Georges Bizet	Жорж Бизе
Georges Braque	Жорж Брак
Georges Clemenceau	Жорж Клемансо
Georgetown	Џорџтаун
Georgia (U.S. state)	Џорџија
Georgia (country)	Грузија
Georgia (country)	Категорија:Грузија
Gerald Ford	Џералд Форд
German Shepherd Dog	Немачки овчар
German language	Немачки језик
German language	Категорија:Немачки језик
Germanium	Германијум
Germany	Немачка
Germany	Категорија:Немачка
Gestapo	Гестапо
Geyser	Гејзир
Ghana	Гана
Ghana	Категорија:Гана
Ghent	Гент
Ghetto	Гето
Giacomo Puccini	Ђакомо Пучини
Giant Panda	Џиновска панда
Gibraltar	Гибралтар
Gibraltar	Категорија:Гибралтар
Gigabyte	Гигабајт
Gilgamesh	Гилгамеш
Ginger	Ђумбир
Ginkgo	Гинко
Giordano Bruno	Ђордано Бруно
Giorgio Vasari	Ђорђо Вазари
Giorgio de Chirico	Đorđo de Kiriko
Giotto di Bondone	Ђото ди Бондоне
Giovanni Boccaccio	Ђовани Бокачо
Giraffe	Жирафа
Girolamo Savonarola	Ђироламо Савонарола
Gironde	Жиронда
Giuseppe Garibaldi	Ђузепе Гарибалди
Giuseppe Verdi	Ђузепе Верди
Glacier	Ледник
Gladiator	Гладијатор
Gland	Жлезда
Glasgow	Глазгов
Glass	Стакло
Glasses	Наочаре
Glider	Ваздухопловна једрилица
Global Positioning System	Globalni pozicioni sistem
Global warming	Глобално загревање
Globalization	Глобализација
Glucagon	Глукагон
Glucose	Глукоза
Gluon	Глуон
Glycine	Глицин
Glycogen	Гликоген
Glycolysis	Гликолиза
Gneiss	Гнајс
Gnosticism	Гностицизам
Go (board game)	Го
Goa	Гоа
Goalkeeper	Голман
Goat	Коза
Gobi Desert	Гоби
God	Бог
Golan Heights	Голанска висораван
Gold	Злато
Golda Meir	Голда Меир
Golden Horde	Златна хорда
Golden Retriever	Златни ретривер
Golf	Голф
Golf	Категорија:Голф
Golgi apparatus	Голџијев апарат
Google	Гугл
Google	Категорија:Гугл
Googol	Гугол
Gorgon	Горгоне
Gorilla	Гориле
Gospel	Јеванђеље
Gospel of Luke	Јеванђеље по Луки
Gothenburg	Гетеборг
Gotthold Ephraim Lessing	Готхолд Ефраим Лесинг
Gottlieb Daimler	Готлиб Дајмлер
Gout	Гихт
Government	Влада
Grace Kelly	Грејс Кели
Graffiti	Grafiti
Grammar	Граматика
Grammar	Категорија:Граматика
Granada	Гранада
Grand Slam (tennis)	Гренд слем
Grandmaster (chess)	Велемајстор
Granite	Гранит
Grape	Грожђе
Grapefruit	Грејпфрут
Graphic design	Категорија:Графички дизајн
Graphic design	Графички дизајн
Graphite	Графит
Gravitation	Гравитација
Gravitational constant	Гравитациона константа
Gray (unit)	Греј (јединица)
Gray Wolf	Вук
Graz	Грац
Great Barrier Reef	Велики корални гребен
Great Britain	Велика Британија
Great Depression	Велика криза
Great Lakes	Велика језера
Great Rift Valley	Велика раселинска долина
Great Wall of China	Кинески зид
Greater Antilles	Велики Антили
Greatest common divisor	Највећи заједнички делилац
Greece	Грчка
Greece	Категорија:Грчка
Greek alphabet	Грчко писмо
Greek fire	Грчка ватра
Greek mythology	Грчка митологија
Greek mythology	Категорија:Грчка митологија
Green	Зелена боја
Greenhouse	Стаклена башта
Greenhouse effect	Efekat staklene bašte
Greenland	Гренланд
Greenland	Категорија:Гренланд
Greenland Sea	Гренландско море
Greenpeace	Гринпис
Gregor Mendel	Грегор Мендел
Gregorian calendar	Грегоријански календар
Grenada	Категорија:Гренада
Grenoble	Гренобл
Greta Garbo	Грета Гарбо
Griffin	Грифон
Griffon Vulture	Белоглави суп
Gross domestic product	Бруто домаћи производ
Group	Група
Group (mathematics)	Група (математика)
Group theory	Теорија група
Grozny	Грозни
Guadalajara	Гвадалахара (Мексико)
Guadeloupe	Гваделуп
Guam	Гуам
Guangzhou	Гуангџоу
Guanine	Гуанин
Guatemala	Категорија:Гватемала
Guatemala City	Гватемала (град)
Guayaquil	Гвајакил
Guernsey	Гернзи
Guglielmo Marconi	Гуљелмо Маркони
Guild	Еснаф
Guillaume Apollinaire	Гијом Аполинер
Guillotine	Гиљотина
Guinea	Гвинеја
Guinea	Категорија:Гвинеја
Guinea pig	Морско прасе
Guinea-Bissau	Гвинеја Бисао
Guinea-Bissau	Категорија:Гвинеја Бисао
Guitar	Гитара
Gujarat	Гуџарат
Gulf Stream	Голфска струја
Gulf War	Заливски рат
Gulf of Aden	Аденски залив
Gulf of Aqaba	Акабски залив
Gulf of Bothnia	Ботнички залив
Gulf of Finland	Фински залив
Gulf of Guinea	Гвинејски залив
Gulf of Mexico	Мексички залив
Gulf of Oman	Омански залив
Gulf of Thailand	Тајландски залив
Gunpowder	Барут
Gustav Klimt	Густав Климт
Gustav Ludwig Hertz	Густав Лудвиг Херц
Gustav Mahler	Густав Малер
Gustave Courbet	Гистав Курбе
Gustave Flaubert	Гистав Флобер
Guy de Maupassant	Ги де Мопасан
Guyana	Категорија:Гвајана
Gymnastics	Гимнастика
Gypsum	Гипс
H	H (слово латинице)
H. G. Wells	Херберт Џорџ Велс
HIV	ХИВ
HTML	HTML
Habitat	Ареал
Hacker	Хакер
Hades	Хад
Hadrian	Хадријан
Hadrian's Wall	Хадријанов зид
Haemophilia	Хемофилија
Hafnium	Хафнијум
Hagia Sophia	Аја Софија
Haifa	Хаифа
Hail	Град (падавина)
Hair	Коса
Haiti	Хаити
Haiti	Категорија:Хаити
Hajj	Hadžiluk
Halberd	Хелебарда
Half-life	Време полураспада
Halloween	Ноћ вештица
Hallucination	Халуцинација
Halogen	Халогени елементи
Hamas	Хамас
Hamlet	Хамлет
Hammer	Чекић
Hammurabi	Хамураби
Hamster	Хрчак
Hanging Gardens of Babylon	Висећи вртови из Вавилона
Hannah Arendt	Хана Арент
Hannibal	Ханибал
Hanoi	Ханој
Hanover	Хановер
Hans Christian Andersen	Ханс Кристијан Андерсен
Hanseatic League	Ханза
Hanukkah	Ханука
Happiness	Срећа
Harare	Хараре
Hardness	Тврдина
Harmonica	Усна хармоника
Harold Pinter	Харолд Пинтер
Harp	Харфа
Harpsichord	Чембало
Harriet Beecher Stowe	Херијет Елизабет Бичер Стоу
Harriet Tubman	Харијет Табман
Hassium	Хасијум
Hatred	Мржња
Haute-Normandie	Горња Нормандија
Havana	Хавана
Hawaii	Хаваји
Head	Глава
Head of state	Šef države
Health	Здравље
Health	Категорија:Здравље
Heart	Срце
Heat engine	Топлотни мотор
Heaven	Рај
Heavy metal	Категорија:Хеви метал
Heavy metal music	Хеви метал
Heavy water	Тешка вода
Hebe (mythology)	Хеба
Hebrew alphabet	Хебрејско писмо
Hebrew calendar	Јеврејски календар
Hebrides	Хебриди
Hecate	Хеката
Hectare	Хектар
Hector	Хектор
Hector Berlioz	Хектор Берлиоз
Hedgehog	Јеж
Hedonism	Хедонизам
Heinrich Hertz	Хајнрих Рудолф Херц
Heinrich Himmler	Хајнрих Химлер
Heinrich Schliemann	Хајнрих Шлиман
Hel (being)	Хел
Helen	Лепа Јелена
Helen Keller	Хелен Келер
Helicopter	Хеликоптер
Helium	Хелијум
Hell	Пакао
Helmut Schmidt	Хелмут Шмит
Helsinki	Хелсинки
Hematology	Категорија:Хематологија
Hemoglobin	Хемоглобин
Hemorrhoid	Хемороиди
Henri Becquerel	Анри Бекерел
Henri Bergson	Анри Бергсон
Henri Matisse	Анри Матис
Henrik Ibsen	Henrik Ibzen
Henry (unit)	Хенри
Henry Cavendish	Хенри Кевендиш
Henry Fonda	Хенри Фонда
Henry Ford	Хенри Форд
Henry Kissinger	Хенри Кисинџер
Henry Miller	Хенри Милер
Henry Moore	Хенри Мур
Hepatitis	Хепатитис
Hephaestus	Хефест
Hera	Хера
Heracles	Херакле
Heraclitus	Хераклит
Heraldry	Хералдика
Heraldry	Категорија:Хералдика
Herat	Херат
Herbert Marcuse	Херберт Маркузе
Herbert Spencer	Херберт Спенсер
Hercules	Херакле
Heresy	Јерес
Herman Melville	Херман Мелвил
Hermann Hesse	Херман Хесе
Hermann Minkowski	Херман Минковски
Hermaphrodite	Хермафродит
Hermes	Хермес
Hero of Alexandria	Херон
Herodotus	Херодот
Heroin	Хероин
Hertz	Херц
Hesiod	Хесиод
Hesperides	Хеспериде
Hesse	Хесен
