English	Serbian
Alfred North Whitehead	Алфред Норт Вајтхед
Alfred the Great	Alfred Veliki
Algae	Алге
Algebra	Алгебра
Algebra	Категорија:Алгебра
Algebraic number	Алгебарски број
Algeria	Алжир
Algeria	Категорија:Алжир
Algiers	Алжир (град)
Algorithm	Алгоритам
Ali	Алија
Alkali metal	Алкални метали
Alkaloid	Алкалоид
Alkane	Алкан
Alkene	Алкен
Alkyne	Алкин
Allah	Алах
Allegory	Алегорија
Allele	Алел
Allergy	Алергија
Allosaurus	Алосаур
Alloy	Легура
Almaty	Алмати
Almond	Бадем
Aloe	Алоје
Alpha (letter)	Алфа
Alpha Centauri	Алфа Кентаури
Alphabet	Алфабет
Alps	Алпи
Alps	Категорија:Алпи
Alsace	Алзас
Altar	Олтарски простор у хришћанској цркви
Altay Mountains	Алтај (планина)
Alternating current	Наизменична струја
Alternative medicine	Категорија:Алтернативна медицина
Alternative medicine	Алтернативна медицина
Altruism	Алтруизам
Aluminium	Алуминијум
Aluminium oxide	Алуминијум оксид
Alvar Aalto	Алвар Алто
Alzheimer's disease	Алцхајмерова болест
Amanita phalloides	Зелена пупавка
Amazon River	Амазон
Amber	Ћилибар
Ambrose	Амброзије Милански
Amelia Earhart	Амелија Ерхарт
American Civil War	Амерички грађански рат
American Revolutionary War	Амерички рат за независност
American Samoa	Америчка Самоа
American Standard Code for Information Interchange	ASCII
American football	Амерички фудбал
American football	Категорија:Амерички фудбал
Americium	Америцијум
Amerigo Vespucci	Америго Веспучи
Amethyst	Аметист
Amino acid	Аминокиселина
Amish	Амиш
Amman	Аман
Ammonia	Амонијак
Amnesia	Амнезија
Amnesty	Амнестија
Ampere	Ампер
Amphetamine	Амфетамин
Amphibian	Водоземци
Amphitheatre	Амфитеатар
Amphora	Амфора
Amsterdam	Амстердам
Amsterdam	Категорија:Амстердам
Amur	Амур
Anabaptist	Анабаптисти
Anaheim	Анахајм
Anal sex	Анални секс
Analytic geometry	Аналитичка геометрија
Anarchism	Анархизам
Anarchism	Категорија:Анархизам
Anarchy	Анархија
Anatole France	Anatol Frans
Anatomy	Категорија:Анатомија
Anatomy	Анатомија
Anaxagoras	Анаксагора
Anaximander	Анаксимандар
Anchorage	Енкориџ
Ancient Greek	Старогрчки језик
Andalusia	Андалузија
Andaman Sea	Андаманско море
Anders Celsius	Андерс Целзијус
Andes	Анди
Andhra Pradesh	Андра Прадеш
Andorra	Андора
Andorra	Категорија:Андора
Andrei Tarkovsky	Андреј Тарковски
Andrew Jackson	Ендру Џексон
Andrew Johnson	Ендру Џонсон
Android	Андроид
Andromeda	Андромеда
Andromeda (constellation)	Сазвежђе Андромеда
Andromeda Galaxy	Андромеда (галаксија)
Andy Warhol	Енди Ворхол
Anemia	Анемија
Anesthesia	Анестезиологија
Angara River	Ангара
Angel	Анђео
Angle	Угао
Anglicanism	Англиканизам
Angola	Ангола
Angola	Категорија:Ангола
Anguilla	Ангвила
Angular momentum	Момент импулса
Angular velocity	Угаона брзина
Anicius Manlius Severinus Boethius	Боеције
Animal	Животиње
Animal husbandry	Сточарство
Animation	Анимација
Anime	Аниме
Anime	Категорија:Аниме
Animism	Анимизам
Anise	Анис
Ankara	Анкара
Anne Boleyn	Ана Болен
Annelid	Чланковити црви
Annunciation	Благовести
Anode	Анода
Ant	Мрав
Antakya	Антиохија
Antalya	Анталија
Antananarivo	Тананариво
Antarctica	Антарктик
Antarctica	Категорија:Антарктик
Antenna (radio)	Антена
Anthony Hopkins	Ентони Хопкинс
Anthropology	Антропологија
Anthropology	Категорија:Антропологија
Antibiotic	Антибиотик
Antibody	Антитело
Antichrist	Антихрист
Antigen	Антиген
Antigone	Антигона
Antigua and Barbuda	Антигва и Барбуда
Antigua and Barbuda	Категорија:Антигва и Барбуда
Antimatter	Антиматерија
Antimony	Антимон
Antisemitism	Антисемитизам
Antisemitism	Категорија:Антисемитизам
Antofagasta	Антофагаста
Antoine Lavoisier	Антоан Лавоазје
Anton Bruckner	Антон Брукнер
Anton Chekhov	Антон Павлович Чехов
Antonio Stradivari	Антонио Страдивари
Antonio Vivaldi	Антонио Вивалди
Antwerp	Антверпен
Anubis	Анубис
Aorta	Аорта
Apache	Апачи
Apatite	Апатит
Aphasia	Афазија
Aphorism	Афоризам
Aphrodite	Афродита
Apia	Апија
Apollo	Аполон
Apollo program	Пројекат Аполо
Apoptosis	Апоптоза
Appalachian Mountains	Апалачи
Apple	Јабука
Apricot	Кајсија
April	Април
April 14	14. април
Apse	Апсида
Apulia	Апулија
Aqua regia	Царска вода
Aquamarine	Аквамарин
Aqueduct	Аквадукт
Aquitaine	Аквитанија
Arab	Арапи
Arab League	Арапска лига
Arabian Peninsula	Арабијско полуострво
Arabian Sea	Арапско море
Arabic language	Арапски језик
Araceae	Araceae
Arachnid	Арахнида
Arafura Sea	Арафурско море
Aragon	Арагон
Aral Sea	Аралско језеро
Arcadia	Префектура Аркадија
Archaeology	Археологија
Archaeology	Категорија:Археологија
Archangel	Арханђел
Archbishop	Архиепископ
Archetype	Архетип
Archimedes	Архимед
Archipelago	Архипелаг
Architect	Архитекта
Architecture	Архитектура
Architecture	Категорија:Архитектура
Arctic Ocean	Северни ледени океан
Arctic fox	Поларна лисица
Ardennes (department)	Ардени (департман)
Are	Ар (јединица)
Arecaceae	Palme
Ares	Ареј
Argentina	Аргентина
Argentina	Категорија:Аргентина
Argon	Аргон
Arianism	Аријанство
Aristocracy	Аристократија
Aristophanes	Аристофан
Aristotle	Аристотел
Arithmetic	Аритметика
Arithmetic	Категорија:Аритметика
Arius	Арије
Arizona	Аризона
Ark of the Covenant	Ковчег Завета
Arkansas	Арканзас
Arles	Арл (град)
Armenia	Јерменија
Armenia	Категорија:Јерменија
Armenian language	Јерменски језик
Arnhem	Арнем
Arno River	Река Арно
Arnold Schoenberg	Арнолд Шенберг
Arquebus	Аркебуза
Arras	Арас
Arsenic	Арсен
Art	Уметност
Art Deco	Арт деко
Art Nouveau	Арт Нуво
Art history	Категорија:Историја уметности
Art history	Историја уметности
Artemis	Артемида
Artemisia absinthium	Пелен
Arthritis	Гихт
Arthropod	Зглавкари
Arthur Compton	Артур Комптон
Arthur Conan Doyle	Артур Конан Дојл
Arthur Rimbaud	Артур Рембо
Arthur Schopenhauer	Артур Шопенхауер
Arthur Wellesley	Артур Велсли, војвода од Велингтона
Artificial intelligence	Вјештачка интелигенција
Artillery	Артиљерија
Arturo Toscanini	Артуро Тосканини
Aruba	Аруба
Aruba	Категорија:Аруба
Asbestos	Азбест
Asclepius	Асклепије
Ashurbanipal	Асурбанипал
Asia	Азија
Asia	Категорија:Азија
Asmara	Асмара
Aspirin	Аспирин
Assam	Асам
Assassination	Atentat
Assembly language	Асемблер
Association of Southeast Asian Nations	АСЕАН
Assyria	Асирско царство
Assyria	Категорија:Асирско царство
Astana	Астана
Astatine	Астат
Asteroid	Астероид
Asteroid belt	Појас астероида
Asthma	Астма
Astrakhan	Астрахан
Astrobiology	Астробиологија
Astrolabe	Астролаб
Astrology	Астрологија
Astrology	Категорија:Астрологија
Astrometry	Астрометрија
Astronomer	Астроном
Astronomical unit	Астрономска јединица
Astronomy	Астрономија
Astronomy	Категорија:Астрономија
Astronomy	Портал:Астрономија
Astrophysics	Астрофизика
Astrophysics	Категорија:Астрофизика
Asymptote	Асимптота
Atacama Desert	Атакама
Athena	Атина (митологија)
Athens	Атина
Athletics	Категорија:Атлетика
Athletics (track and field)	Атлетика
Atlanta	Атланта
Atlantic Ocean	Атлантски океан
Atlantis	Атлантида
Atlas (disambiguation)	Атлас
Atlas (moon)	Atlas (mesec)
Atlas (mythology)	Атлас (митологија)
Atmospheric pressure	Атмосферски притисак
Atoll	Атол
Atom	Атом
Atomic clock	Атомски сат
Atomic mass	Релативна атомска маса
Atomic mass unit	Јединица атомске масе
Atomic number	Атомски број
Atomic physics	Категорија:Атомска физика
Atropine	Атропин
Attica	Периферија Атика
Attila the Hun	Атила
Auckland	Окланд
Auction	Аукција
August	Август
August 1	1. август
August 15	15. август
August 6	6. август
August Strindberg	August Strindberg
Auguste Comte	Огист Конт
Auguste Rodin	Огист Роден
Augustine of Hippo	Свети Августин
Augustus	Октавијан Август
Aurora (astronomy)	Поларна светлост
Austin	Остин
Australasia	Аустралазија
Australia	Аустралија
Australia	Категорија:Аустралија
Australian dollar	Аустралијски долар
Australopithecus	Аустралопитекус
Austria	Аустрија
Austria	Категорија:Аустрија
Austria-Hungary	Аустро-Угарска
Author	Писац
Authority	Ауторитет
Autobiography	Аутобиографија
Automobile	Аутомобил
Autonomic nervous system	Аутономни нервни систем
Autotroph	Аутотрофи
Autumn	Јесен
Auvergne (region)	Оверња
Avalanche	Снежна лавина
Avant-garde	Авангарда
Avatar	Аватар
Averroes	Ибн Рушд
Avesta	Авеста
Aviation	Категорија:Ваздухопловство
