Icelandic	English
Stjörnuspeki	Astrology
Stjarnfræðieining	Astronomical unit
Stjörnufræði	Astronomy
Flokkur:Stjörnufræði	Astronomy
Stjarneðlisfræði	Astrophysics
Flokkur:Stjarneðlisfræði	Astrophysics
Atacama	Atacama Desert
Flokkur:Guðleysi	Atheism
Aþena (gyðja)	Athena
Aþena	Athens
Frjálsar íþróttir	Athletics (track and field)
Atlanta	Atlanta
Atlantshaf	Atlantic Ocean
Flokkur:Atlantshaf	Atlantic Ocean
Atlantis	Atlantis
Atlas	Atlas (disambiguation)
Atlasfjöll	Atlas Mountains
Andrúmsloft	Atmosphere
Hringrif	Atoll
Frumeind	Atom
Atómmassi	Atomic mass
Sætistala	Atomic number
Flokkur:Atómfræði	Atomic physics
Atreifur	Atreus
Atli Húnakonungur	Attila the Hun
Ágúst	August
1. ágúst	August 1
15. ágúst	August 15
6. ágúst	August 6
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Ágústínus	Augustine of Hippo
Ágústus	Augustus
Segulljós	Aurora (astronomy)
Austin (Texas)	Austin
Ástralasía	Australasia
Ástralía	Australia
Flokkur:Ástralía	Australia
Ástralskur dalur	Australian dollar
Austurríki	Austria
Flokkur:Austurríki	Austria
Austurríki-Ungverjaland	Austria-Hungary
Akstursíþróttir	Auto racing
Sjálfsævisaga	Autobiography
Bifreið	Automobile
Dultaugakerfið	Autonomic nervous system
Frumbjarga lífvera	Autotroph
Haust	Autumn
Snjóflóð	Avalanche
Averróes	Averroes
Avicenna	Avicenna
Lárpera	Avocado
Öxi	Axe
Frumsenda	Axiom
Ayn Rand	Ayn Rand
Aserbaídsjan	Azerbaijan
Flokkur:Aserbaídsjan	Azerbaijan
Áttarhorn	Azimuth
Asóreyjar	Azores
Astekar	Aztec
B	B
BASIC (forritunarmál)	BASIC
Kotra	Backgammon
Gerlar	Bacteria
Kameldýr	Bactrian Camel
Badminton	Badminton
Bagdad	Baghdad
Flokkur:Bahamaeyjar	Bahamas
Barein	Bahrain
Flokkur:Barein	Bahrain
Bakú	Baku
Baldur	Baldr
Balkanskaginn	Balkans
Eystrasalt	Baltic Sea
Baltimore	Baltimore
Bamakó	Bamako
Bambus	Bamboo
Banani	Banana
Bananalýðveldi	Banana republic
Bangkok	Bangkok
Bangladess	Bangladesh
Flokkur:Bangladess	Bangladesh
Bangví	Bangui
Banki	Bank
Flokkur:Bankar	Banks
Skírn	Baptism
Barbados	Barbados
Flokkur:Barbados	Barbados
Barbari	Barbarian
Barselóna	Barcelona
Barentshaf	Barents Sea
Bari	Bari
Barín	Barium
Bygg	Barley
Loftvog	Barometer
Barokk	Baroque
Olíutunna	Barrel (unit)
Þungeind	Baryon
Basalt	Basalt
Basi	Base (chemistry)
Hafnabolti	Baseball
Basel	Basel
Kólfsveppir	Basidiomycota
Basilíka	Basil
Basilíkata	Basilicata
Körfuknattleikur	Basketball
Flokkur:Körfuknattleikur	Basketball
Rafbassi	Bass guitar
Fagott	Bassoon
Bastille	Bastille
Leðurblaka	Bat
Herfylki	Battalion
Rafhlaða	Battery (electricity)
Orrustan við Maraþon	Battle of Marathon
Bæjaraland	Bavaria
Bengalflói	Bay of Bengal
Biskajaflói	Bay of Biscay
Beagle	Beagle
Bjarndýr	Bear
Beaufort-kvarðinn	Beaufort scale
Bekerel	Becquerel
Býfluga	Bee
Bjór (öl)	Beer
Atferlishyggja	Behaviorism
Beijing	Beijing
Beirút	Beirut
Hvíta-Rússland	Belarus
Flokkur:Hvíta-Rússland	Belarus
Belfast	Belfast
Belgía	Belgium
Flokkur:Belgía	Belgium
Belgrad	Belgrade
Belís	Belize
Belo Horizonte	Belo Horizonte
Benelúxlöndin	Benelux
Benín	Benin
Flokkur:Benín	Benin
Benito Mussolini	Benito Mussolini
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Bjólfskviða (kvæði)	Beowulf
Björgvin	Bergen
Beringssund	Bering Strait
Berkshire	Berkshire
Berlín	Berlin
Bermúda	Bermuda
Bern	Berne
Georg Friedrich Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllín	Beryllium
Beta	Beta (letter)
Betasundrun	Beta decay
Betelgás	Betelgeuse
Bette Davis	Bette Davis
Bútan	Bhutan
Flokkur:Bútan	Bhutan
Biblían	Bible
Flokkur:Biblían	Bible
Reiðhjól	Bicycle
Miklihvellur	Big Bang
Gall	Bile
William Jefferson Clinton	Bill Clinton
Bill Gates	Bill Gates
Tvístirni	Binary star
Lífefnafræði	Biochemistry
Flokkur:Lífefnafræði	Biochemistry
Ævisaga	Biography
Líffræði	Biology
Flokkur:Líffræði	Biology
Líftækni	Biotechnology
Birki	Birch
Fugl	Bird
Getnaðarvörn	Birth control
Bishkek	Bishkek
Biskup	Bishop
Bismút	Bismuth
Bissá	Bissau
Samlokur	Bivalvia
Svartur	Black
Svarti dauði	Black Death
Svartahaf	Black Sea
Svarthol	Black hole
Svartþröstur	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Blinda	Blindness
Leifturstríð	Blitzkrieg
Bloemfontein	Bloemfontein
Blogg	Blog
Blóð	Blood
Blóðvökvi	Blood plasma
Æð	Blood vessel
Blár	Blue
Steypireyður	Blue Whale
Borðspil	Board game
Bátur	Boat
Bob Dylan	Bob Dylan
Bobby Fischer	Bobby Fischer
Bæheimur	Bohemia
Suðumark	Boiling point
Bólivía	Bolivia
Flokkur:Bólivía	Bolivia
Bologna	Bologna
Silkiormur	Bombyx mori
Bein	Bone
Bonn	Bonn
Bók	Book
Mormónsbók	Book of Mormon
Bordeaux	Bordeaux
Boris Godúnov	Boris Godunov
Borneó	Borneo
Bór	Boron
Bosnía og Hersegóvína	Bosnia and Herzegovina
Flokkur:Bosnía og Hersegóvína	Bosnia and Herzegovina
Bosporussund	Bosporus
Boston	Boston
Snið:Vélmenni	Bot
Grasafræði	Botany
Flokkur:Grasafræði	Botany
Botsvana	Botswana
Flokkur:Botsvana	Botswana
Flaska	Bottle
Bourgogne	Bourgogne
Bouveteyja	Bouvet Island
Slíðurhyrningar	Bovid
Boxer (hundur)	Boxer (dog)
Hnefaleikar	Boxing
Braga	Braga
Brama	Brahma
Heili	Brain
Látún	Brass
Krossblómaætt	Brassicaceae
Bratislava	Bratislava
Brúnsvík	Braunschweig
Brasilía	Brazil
Flokkur:Brasilía	Brazil
Brazzaville	Brazzaville
Brauð	Bread
Brjóst	Breast
Bremen	Bremen
Bretagne	Bretagne
Brú	Bridge
Brisbane	Brisbane
Bristol	Bristol
Breska Kólumbía	British Columbia
Breska heimsveldið	British Empire
Bretlandseyjar	British Isles
Bresku Jómfrúaeyjar	British Virgin Islands
Flokkur:Bretar	British people
Brno	Brno
Broadway	Broadway (New York City)
Spergilkál	Broccoli
Bróm	Bromine
Brons	Bronze
Bronsöld	Bronze Age
Brooklyn	Brooklyn
Brugge	Bruges
Brúnei	Brunei
Flokkur:Brúnei	Brunei
Brussel	Brussels
Búkarest	Bucharest
Buckinghamhöll	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Búdapest	Budapest
Búddismi	Buddhism
Flokkur:Búddismi	Buddhism
Buddy Holly	Buddy Holly
Búenos Aíres	Buenos Aires
Bújúmbúra	Bujumbura
Búlgaría	Bulgaria
Flokkur:Búlgaría	Bulgaria
Hunangsflugur	Bumblebee
Skrifræði	Bureaucracy
Búrkína Fasó	Burkina Faso
Flokkur:Búrkína Fasó	Burkina Faso
Mjanmar	Burma
Flokkur:Mjanmar	Burma
Flokkur:Búrúndí	Burundi
Strætisvagn	Bus
Smjör	Butter
Fiðrildi	Butterfly
Bydgoszcz	Bydgoszcz
Bæti	Byte
Flokkur:Austrómverska keisaradæmið	Byzantine Empire
C (forritunarmál)	C (programming language)
C. S. Lewis	C. S. Lewis
CD	CD (disambiguation)
Kakó	Cacao
Skyndiminni	Cache
Kadmín	Cadmium
Sesín	Caesium
Kaffín	Caffeine
Kaíró	Cairo
Kaka	Cake
Kalabría	Calabria
Kalsín	Calcium
Örsmæðareikningur	Calculus
Sigketill	Caldera
Dagatal	Calendar
Kalifornía	California
Flokkur:Kalifornía	California
Calígúla	Caligula
Calvin Coolidge	Calvin Coolidge
Kalvínismi	Calvinism
Kambódía	Cambodia
Flokkur:Kambódía	Cambodia
Kambríumtímabilið	Cambrian
Cambridge	Cambridge
Kameldýr	Camel
Myndavél	Camera
Kamerún	Cameroon
Flokkur:Kamerún	Cameroon
Kampanía	Campania
Kanada	Canada
Flokkur:Kanada	Canada
Kanaríeyjar	Canary Islands
Canberra	Canberra
Krabbamein	Cancer
Kandela	Candela
Hundaætt	Canidae
Kannabis	Cannabis
Mannát	Cannibalism
Kantaraborg	Canterbury
Kantonska	Cantonese (linguistics)
Knútur ríki	Canute the Great
Rafrýmd	Capacitance
Þéttir	Capacitor
Hornhöfði	Cape Horn
Höfðaborg	Cape Town
Grænhöfðaeyjar	Cape Verde
Flokkur:Grænhöfðaeyjar	Cape Verde
Góðrarvonarhöfði	Cape of Good Hope
Höfuðborg	Capital
Höfuðstóll	Capital (economics)
Dauðarefsing	Capital punishment
Kapítalismi	Capitalism
Kappadókía	Cappadocia
Karakas	Caracas
Sykra	Carbohydrate
Kolefni	Carbon
Koltvísýringur	Carbon dioxide
Kolmónoxíð	Carbon monoxide
Cardiff	Cardiff
Flokkur:Hjarta- og æðakerfið	Cardiovascular system
Karíbahaf	Caribbean Sea
Carl Orff	Carl Orff
Rándýr	Carnivora
Kjötæta	Carnivore
Karlungar	Carolingian dynasty
Carl von Linné	Carolus Linnaeus
Gulrót	Carrot
Kartesíusarhnitakerfið	Cartesian coordinate system
Faldmengi	Cartesian product
Karþagó	Carthage
Casablanca	Casablanca
Kaspíahaf	Caspian Sea
Kassandra	Cassandra
Kastali	Castle
Köttur	Cat
Katalónía	Catalonia
Hvati	Catalysis
Granar	Catfish
Katarar	Catharism
Dómkirkja	Cathedral
Bakskaut	Cathode
Nautgripur	Cattle
Catullus	Catullus
Flokkur:Kákasus	Caucasus
Kákasusfjöll	Caucasus Mountains
Blómkál	Cauliflower
Orsök	Causality
Riddaralið	Cavalry
Hellir	Cave
Caymaneyjar	Cayman Islands
Miðbaugur himins	Celestial equator
Fruma	Cell (biology)
Frumuhimna	Cell membrane
Frumukjarni	Cell nucleus
Frumuveggur	Cell wall
Selló	Cello
Sellulósi	Cellulose
Selsíus	Celsius
Grafreitur	Cemetery
Nýlífsöld	Cenozoic
Manntal	Census
Kentári	Centaur
Sentimetri	Centimetre
Mið-Afríka	Central Africa
Mið-Afríkulýðveldið	Central African Republic
Flokkur:Mið-Ameríka	Central America
Miðveldin	Central Powers
Miðtaugakerfið	Central nervous system
Deilikorn	Centriole
Öld	Century
Smokkar	Cephalopod
Korn	Cereal
Ceres	Ceres
Seres (dvergreikistjarna)	Ceres (dwarf planet)
Ceres (gyðja)	Ceres (mythology)
Hvalir	Cetacea
Tsjad	Chad
Flokkur:Tsjad	Chad
Bókfinka	Chaffinch
Stóll	Chair
Ermarsundsgöngin	Channel Tunnel
Strandfuglar	Charadriiformes
Karlamagnús	Charlemagne
Karl Bretaprins	Charles
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Sanders Peirce	Charles Peirce
Charles de Gaulle	Charles de Gaulle
Charlie Chaplin	Charlie Chaplin
Charlotte (Norður-Karólína)	Charlotte
Che Guevara	Che Guevara
Ostur	Cheese
Blettatígur	Cheetah
Efnasamband	Chemical compound
Frumefni	Chemical element
Efnaverkfræði	Chemical engineering
Efnahvarf	Chemical reaction
Efnavopn	Chemical warfare
Efnafræði	Chemistry
Flokkur:Efnafræði	Chemistry
Skák	Chess
Flokkur:Skák	Chess
Chester A. Arthur	Chester A. Arthur
Tyggigúmmí	Chewing gum
Kí	Chi (letter)
Chicago	Chicago
Kjúklingur	Chicken
Barn	Child
Chile	Chile
Flokkur:Chile	Chile
Flokkur:Kína	China
Kína	China
Kítín	Chitin
Klór	Chlorine
Grænukorn	Chloroplast
Súkkulaði	Chocolate
Kólera	Cholera
Brjóskfiskar	Chondrichthyes
Seildýr	Chordate
Christiaan Huygens	Christiaan Huygens
Kristni	Christianity
Flokkur:Kristni	Christianity
Jól	Christmas
Flokkur:Jól	Christmas
Aðfangadagur	Christmas Eve
Jólatré	Christmas tree
Kristófer Kólumbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Króm	Chromium
Tjúktahaf	Chukchi Sea
Kirkja	Church
Cíceró	Cicero
Sígaretta	Cigarette
Blóðrásarkerfi	Circulatory system
Skorpulifur	Cirrhosis
Borgríki	City-state
Borgarastríð	Civil war
Siðmenning	Civilization
Civilization (tölvuleikur)	Civilization (computer game)
Klarínett	Clarinet
Flokkur (flokkunarfræði)	Class (biology)
Klasi (forritun)	Class (computer science)
Sígild aflfræði	Classical mechanics
Klassísk tónlist	Classical music
Flokkur:Klassísk tónlist	Classical music
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudíus	Claudius
Cleveland (Ohio)	Cleveland
Loftslag	Climate
Veðurfarsfræði	Climatology
Flokkur:Veðurfarsfræði	Climatology
Klíó	Clio
Snípur	Clitoris
Klukka	Clock
Klukkuturn Westminsterhallar	Clock Tower
Flokkur:Fatnaður	Clothing
Fatnaður	Clothing
Ský	Cloud
Holdýr	Cnidaria
Kol	Coal
Strönd	Coast
Skjaldarmerki	Coat of arms
Kóbolt	Cobalt
Kókaín	Cocaine
Kakkalakkar	Cockroach
Kókoseyjar	Cocos (Keeling) Islands
Kaffi	Coffee
Flokkur:Kaffi	Coffee
Hugræn sálfræði	Cognitive psychology
Vitsmunavísindi	Cognitive science
Kóladrykkur	Cola
Kolkis	Colchis
Kalda stríðið	Cold War
Flokkur:Kalda stríðið	Cold War
Klippimynd	Collage
Köln	Cologne
Kólumbía	Colombia
Flokkur:Kólumbía	Colombia
Nýlenda	Colony
Litur	Color
Colorado	Colorado
Colosseum	Colosseum
Columbia	Columbia
Columbia-háskóli	Columbia University
Dúfur	Columbidae
Flokkur:Dúfnafuglar	Columbiformes
Dúfnafuglar	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Bruni	Combustion
Halastjarna	Comet
Kvef	Common cold
Samveldi sjálfstæðra ríkja	Commonwealth of Independent States
Breska samveldið	Commonwealth of Nations
Samskipti	Communication
Kommúnismi	Communism
Flokkur:Kommúnismi	Communism
Kómoreyjar	Comoros
Flokkur:Kómoreyjar	Comoros
Geisladiskur	Compact Disc
Undirfylki	Company (military unit)
Þýðandi	Compiler
Tvinntölur	Complex number
Tónskáld	Composer
CAT	Computed tomography
Tölva	Computer
Tölvuskjár	Computer display
Vélbúnaður	Computer hardware
Flokkur:Tölvuíhlutir	Computer hardware
Tölvuforrit	Computer program
Flokkur:Forritun	Computer programming
Tölvunarfræði	Computer science
Flokkur:Tölvunarfræði	Computer science
Hugbúnaður	Computer software
Kónakrí	Conakry
Smokkur	Condom
Konfúsíusismi	Confucianism
Konfúsíus	Confucius
Kongó	Congo
Kongófljót	Congo River
Connecticut	Connecticut
Flokkur:Connecticut	Connecticut
Landvinningamaður	Conquistador
Orkuvarðveisla	Conservation of energy
Íhaldsstefna	Conservatism
Samhljóð	Consonant
Konstantínus mikli	Constantine I
Stjórnarskrá	Constitution (political)
Heimsálfa	Continent
Landgrunn	Continental shelf
UTC	Coordinated Universal Time
Kaupmannahöfn	Copenhagen
Kopar	Copper
Höfundarréttur	Copyright
Meitilfuglar	Coraciiformes
Cork	Cork (city)
Cornell-háskóli	Cornell University
Cornwall	Cornwall
Korsíka	Corsica
Korvetta	Corvette
Heimsfræði	Cosmology
Flokkur:Heimsfræði	Cosmology
Kosta Ríka	Costa Rica
Flokkur:Kosta Ríka	Costa Rica
Cotonou	Cotonou
Baðmull	Cotton
Kúlomb	Coulomb
Kúlombskraftur	Coulomb's law
Kontrapunktur	Counterpoint
Coventry	Coventry
Krítartímabilið	Cretaceous
Krít (eyja)	Crete
Krikket	Cricket
Glæpur	Crime
Krímskagi	Crimea
Krímstríðið	Crimean War
Króatía	Croatia
Flokkur:Króatía	Croatia
Krókódílaættbálkur	Crocodilia
Krossfeldi	Cross product
Lásbogi	Crossbow
Jarðskorpa	Crust (geology)
Krabbadýr	Crustacean
Kristallafræði	Crystallography
Flokkur:Kristallafræði	Crystallography
Kúba	Cuba
Flokkur:Kúba	Cuba
Rúmmetri	Cubic metre
Gaukfuglar	Cuculiformes
Menning	Culture
Flokkur:Menning	Culture
Cumbria	Cumbria
Curitiba	Curitiba
Krulla	Curling
Flokkur:Gjaldmiðlar	Currency
Gjaldmiðill	Currency
Karrí	Curry
Flokkur:Hjólreiðar	Cycling
Sívalningur	Cylinder (geometry)
Stararætt	Cyperaceae
Vatnakarpar	Cyprinid
Karpfiskar	Cypriniformes
Kýpur	Cyprus
Kýrillískt stafróf	Cyrillic alphabet
Frymisgrind	Cytoskeleton
Tékkland	Czech Republic
Flokkur:Tékkland	Czech Republic
Tékkóslóvakía	Czechoslovakia
Flokkur:Tékkóslóvakía	Czechoslovakia
D	D
DNA	DNA
Mynddiskur	DVD
Daguerreaðferð	Daguerreotype
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Stífla	Dam
Damaskus	Damascus
Dans	Dance
Túnfífill	Dandelion
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Dönsk króna	Danish krone
Dante Alighieri	Dante Alighieri
Dóná	Danube
Dar es Salaam	Dar es Salaam
Dardanellasund	Dardanelles
Hulduefni	Dark matter
Darwin (Ástralía)	Darwin
Darwin	Darwin
Gagnagrind	Data structure
Gagnagrunnur	Database
Döðlupálmi	Date Palm
Þágufall	Dative case
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
