Chinese	English
阿格里真托	Agrigento
合氣道	Aikido
安省 (法國)	Ain
空军	Air force
空中客车	Airbus
航空器	Aircraft
Category:航空飞行器	Aircraft
航空母舰	Aircraft carrier
航空公司	Airline
機場	Airport
Ajax (消歧義)	Ajax
大埃阿斯	Ajax (mythology)
AJAX	Ajax (programming)
阿蒙霍特普四世	Akhenaten
黑澤明	Akira Kurosawa
艾爾·卡彭	Al Capone
阿尔·戈尔	Al Gore
基地組織	Al-Qaeda
亚拉巴马州	Alabama
Category:阿拉巴马州	Alabama
艾伦·谢泼德	Alan Shepard
艾伦·图灵	Alan Turing
丙氨酸	Alanine
阿拉斯加州	Alaska
Category:阿拉斯加州	Alaska
阿尔班·贝尔格	Alban Berg
阿尔巴尼亚	Albania
Category:阿爾巴尼亞	Albania
奥尔巴尼	Albany
信天翁科	Albatross
反照率	Albedo
阿尔伯特·亚伯拉罕·迈克尔逊	Albert Abraham Michelson
阿尔贝·加缪	Albert Camus
阿尔伯特·爱因斯坦	Albert Einstein
艾伯特·史懷哲	Albert Schweitzer
阿尔伯特·斯佩尔	Albert Speer
艾伯塔	Alberta
白化症	Albinism
钠长石	Albite
音樂專輯	Album
阿布奎基 (新墨西哥州)	Albuquerque
炼金术	Alchemy
Category:炼金术	Alchemy
醇	Alcohol
酒	Alcoholic beverage
酗酒	Alcoholism
畢宿五	Aldebaran
醛	Aldehyde
赤杨	Alder
奥尔德斯·赫胥黎	Aldous Huxley
亚历山大·索尔仁尼琴	Aleksandr Solzhenitsyn
阿勒颇	Aleppo
阿留申群島	Aleutian Islands
亞歷山大	Alexander
亚历山大·弗莱明	Alexander Fleming
亚历山大·格拉汉姆·贝尔	Alexander Graham Bell
亚历山大·汉密尔顿	Alexander Hamilton
亚历山大·蒲柏	Alexander Pope
亚历山大·普希金	Alexander Pushkin
亚历山大大帝	Alexander the Great
大仲马	Alexandre Dumas
小仲马	Alexandre Dumas
亞歷山卓	Alexandria
亞歷西斯·托克維爾	Alexis de Tocqueville
阿尔弗雷德·德雷福斯	Alfred Dreyfus
亞弗列·希治閣	Alfred Hitchcock
阿尔弗雷德·诺贝尔	Alfred Nobel
阿弗烈·諾夫·懷海德	Alfred North Whitehead
阿弗雷德·羅素·華萊士	Alfred Russel Wallace
阿佛列大帝	Alfred the Great
藻類	Algae
代数	Algebra
Category:代数	Algebra
代數數	Algebraic number
阿尔及利亚	Algeria
Category:阿爾及利亞	Algeria
阿爾及爾	Algiers
算法	Algorithm
阿尔罕布拉宫	Alhambra
阿里·伊本·艾比·塔利卜	Ali
碱金属	Alkali metal
生物鹼	Alkaloid
烷烃	Alkane
烯烃	Alkene
炔烴	Alkyne
安拉	Allah
託寓	Allegory
等位基因	Allele
过敏	Allergy
同位異音	Allophone
異特龍	Allosaurus
同素异形体	Allotropy
合金	Alloy
年鑑	Almanac
阿拉木圖	Almaty
扁桃	Almond
芦荟	Aloe
Α	Alpha (letter)
南門二	Alpha Centauri
Α粒子	Alpha particle
字母系統	Alphabet
阿尔卑斯山	Alps
阿爾薩斯	Alsace
河鼓二	Altair
祭壇	Altar
阿尔泰山脉	Altay Mountains
交流電	Alternating current
利他主义	Altruism
铝	Aluminium
氧化铝	Aluminium oxide
阿尔瓦尔·阿尔托	Alvar Aalto
阿兹海默病	Alzheimer's disease
毒鵝膏	Amanita phalloides
石蒜科	Amaryllidaceae
天照大神	Amaterasu
亚马逊河	Amazon River
大使	Ambassador
琥珀	Amber
安波羅修	Ambrose
阿莫迪欧·阿伏加德罗	Amedeo Avogadro
阿梅莉亚·埃尔哈特	Amelia Earhart
美洲野牛	American Bison
美洲黑熊	American Black Bear
南北战争	American Civil War
美國獨立戰爭	American Revolutionary War
美屬薩摩亞	American Samoa
ASCII	American Standard Code for Information Interchange
美式足球	American football
Category:美式足球	American football
镅	Americium
阿美利哥·维斯普西	Amerigo Vespucci
紫水晶	Amethyst
阿姆哈拉语	Amharic
酰胺	Amide
胺	Amine
氨基酸	Amino acid
阿米什人	Amish
安曼	Amman
电流表	Ammeter
氨	Ammonia
健忘症	Amnesia
特赦令	Amnesty
安培	Ampere
苯丙胺	Amphetamine
两栖动物	Amphibian
圓形競技場	Amphitheatre
振幅	Amplitude
阿姆斯特丹	Amsterdam
阿蒙	Amun
黑龙江	Amur
再洗礼派	Anabaptist
易位构词游戏	Anagram
阿納海姆 (加利福尼亞州)	Anaheim
肛交	Anal sex
解析几何	Analytic geometry
无政府主义	Anarchism
Category:無政府主義	Anarchism
鸭科	Anatidae
阿纳托尔·法郎士	Anatole France
Category:解剖学	Anatomy
解剖學	Anatomy
阿那克萨哥拉	Anaxagoras
阿那克西曼德	Anaximander
锚	Anchor
安克拉治	Anchorage
古希臘語	Ancient Greek
Category:古代史	Ancient history
安達魯西亞	Andalusia
安达曼海	Andaman Sea
安德斯·攝爾修斯	Anders Celsius
安地斯山脈	Andes
安得拉邦	Andhra Pradesh
安道尔	Andorra
Category:安道爾	Andorra
安德烈·德米特里耶维奇·萨哈罗夫	Andrei Sakharov
安德烈·塔科夫斯基	Andrei Tarkovsky
安德鲁·杰克逊	Andrew Jackson
安德鲁·约翰逊	Andrew Johnson
安德鲁·劳埃德·韦伯	Andrew Lloyd Webber
仿生人	Android
安德洛墨达 (消歧义)	Andromeda
仙女座	Andromeda (constellation)
安德洛墨達	Andromeda (mythology)
仙女座星系	Andromeda Galaxy
安迪·沃荷	Andy Warhol
贫血	Anemia
风速计	Anemometer
麻醉學	Anesthesia
安加拉河	Angara River
