Greek	English
Αλκίνιο	Alkyne
Αλληγορία	Allegory
Άλλεν Γκίνσμπεργκ	Allen Ginsberg
Αλλόσαυρος	Allosaurus
Αλλότροπα	Allotropy
Κράμα	Alloy
Αλμανάκ	Almanac
Άλφα	Alpha (letter)
Αλφάβητο	Alphabet
Άλπεις	Alps
Αλσατία	Alsace
Εναλλασσόμενο ρεύμα	Alternating current
Εναλλακτική ιατρική	Alternative medicine
Αργίλιο	Aluminium
Αλβάρ Αάλτο	Alvar Aalto
Αμαζόνιος	Amazon River
Κεχριμπάρι	Amber
Αμβρόσιος Μεδιολάνων	Ambrose
Αμεντέο Αβογκάντρο	Amedeo Avogadro
Αμέλια Έρχαρτ	Amelia Earhart
Αμερικανικός Εμφύλιος Πόλεμος	American Civil War
Αμερικανική Σαμόα	American Samoa
ASCII	American Standard Code for Information Interchange
Αμερίκιο	Americium
Αμέριγκο Βεσπούκι	Amerigo Vespucci
Αμέθυστος	Amethyst
Αμινοξύ	Amino acid
Αμμάν	Amman
Αμπερόμετρο	Ammeter
Αμμωνία	Ammonia
Αμνηστία	Amnesty
Αμπέρ (μονάδα μέτρησης)	Ampere
Αμφεταμίνη	Amphetamine
Αμφίβια	Amphibian
Αμφιθέατρο	Amphitheatre
Αμφορέας	Amphora
Άμστερνταμ	Amsterdam
Κατηγορία:Άμστερνταμ	Amsterdam
Άμων	Amun
Αναβαπτιστές	Anabaptist
Αναρχισμός	Anarchism
Κατηγορία:Αναρχισμός	Anarchism
Κατηγορία:Ανατομία	Anatomy
Ανατομία	Anatomy
Αναξαγόρας	Anaxagoras
Αναξίμανδρος	Anaximander
Άγκυρα πλοίου	Anchor
Αρχαία ελληνική γλώσσα	Ancient Greek
Κατηγορία:Αρχαία ιστορία	Ancient history
Ανδαλουσία	Andalusia
Άνδεις	Andes
Ανδόρρα	Andorra
Κατηγορία:Ανδόρρα	Andorra
Αντρέι Ζαχάρωφ	Andrei Sakharov
Αντρέι Ταρκόφσκι	Andrei Tarkovsky
Ανδρομέδα	Andromeda
Ανδρομέδα (αστερισμός)	Andromeda (constellation)
Ανδρομέδα (μυθολογία)	Andromeda (mythology)
Γαλαξίας της Ανδρομέδας	Andromeda Galaxy
Αναιμία	Anemia
Άγγελος	Angel
Γωνία	Angle
Αγκόλα	Angola
Κατηγορία:Αγκόλα	Angola
Ανγκουίλα	Anguilla
Στροφορμή	Angular momentum
Ζώο	Animal
Κτηνοτροφία	Animal husbandry
Anime	Anime
Ανιμισμός	Animism
Άγκυρα	Ankara
Άννα Μπολέυν	Anne Boleyn
Ευαγγελισμός της Θεοτόκου	Annunciation
Μυρμήγκι	Ant
Αντιόχεια	Antakya
Αττάλεια	Antalya
Ανταναναρίβο	Antananarivo
Ανταρκτική	Antarctica
Κατηγορία:Ανταρκτική	Antarctica
Αντάρης	Antares
Άντονυ Χόπκινς	Anthony Hopkins
Ανθρωπολογία	Anthropology
Κατηγορία:Ανθρωπολογία	Anthropology
Αντιβιoτικό	Antibiotic
Αντίχριστος	Antichrist
Υψηλό Βαρομετρικό	Anticyclone
Αντιγόνο	Antigen
Αντιγόνη (μυθολογία)	Antigone
Αντίγκουα και Μπαρμπούντα	Antigua and Barbuda
Κατηγορία:Αντίγκουα και Μπαρμπούντα	Antigua and Barbuda
Αντιύλη	Antimatter
Αντιμόνιο	Antimony
Αντισημιτισμός	Antisemitism
Κατηγορία:Αντισημιτισμός	Antisemitism
Αντλία (αστερισμός)	Antlia
Αντουάν Λωράν Λαβουαζιέ	Antoine Lavoisier
Άντον Μπρούκνερ	Anton Bruckner
Αντόν Τσέχωφ	Anton Chekhov
Αντόνιο Βιβάλντι	Antonio Vivaldi
Αμβέρσα	Antwerp
Αμβέρσα (επαρχία)	Antwerp (province)
Άνουβις	Anubis
Αορτή	Aorta
Αφροδίτη (μυθολογία)	Aphrodite
Άπια	Apia
Απόκρυφα	Apocrypha
Απόλλων	Apollo
Μήλο	Apple
Βερικοκιά	Apricot
Απρίλιος	April
14 Απριλίου	April 14
Πρωταπριλιά	April Fools' Day
Απουλία	Apulia
Πτηνόν	Apus
Άκαμπα	Aqaba
Βασιλικό Ύδωρ	Aqua regia
Υδροχόος (αστερισμός)	Aquarius (constellation)
Υδραγωγείο	Aqueduct
Αετός (αστερισμός)	Aquila (constellation)
Ακουιτανία	Aquitaine
Βωμός (αστερισμός)	Ara (constellation)
Αραβικός Σύνδεσμος	Arab League
Αραβία	Arabian Peninsula
Αραβικό αλφάβητο	Arabic alphabet
Αραβική γλώσσα	Arabic language
Αραγωνία	Aragon
Αράλη	Aral Sea
Άραμ Χατσατουριάν	Aram Khachaturian
Νομός Αρκαδίας	Arcadia
Αρκάντζελο Κορέλι	Arcangelo Corelli
Αρχαιολογία	Archaeology
Κατηγορία:Αρχαιολογία	Archaeology
Αρχιεπίσκοπος	Archbishop
Αρχαιοζωικός αιώνας	Archean
Αρχιμήδης	Archimedes
Αρχιπέλαγος	Archipelago
Αρχιτεκτονική	Architecture
Κατηγορία:Αρχιτεκτονική	Architecture
Αρκτική	Arctic
Αρκτικός Κύκλος	Arctic Circle
Αρκτικός Ωκεανός	Arctic Ocean
Αρκτική αλεπού	Arctic fox
Έκταση	Area
Άρης (μυθολογία)	Ares
Αργεντινή	Argentina
Κατηγορία:Αργεντινή	Argentina
Αργό	Argon
Άργος	Argos
Άρια	Aria
Αριάδνη	Ariadne
Αρειανισμός	Arianism
Κριός (αστερισμός)	Aries (constellation)
Αρίσταρχος ο Σάμιος	Aristarchus of Samos
Αριστοφάνης	Aristophanes
Αριστοτέλης	Aristotle
Αριθμητική	Arithmetic
Άρειος	Arius
Αριζόνα	Arizona
Κιβωτός της Διαθήκης	Ark of the Covenant
Αρλ	Arles
Αρμαντίλλο	Armadillo
Αρμενία	Armenia
Κατηγορία:Αρμενία	Armenia
Αρμενική γλώσσα	Armenian language
Στρατός	Army
Βέλος (όπλο)	Arrow
Αρσενικό (χημικό στοιχείο)	Arsenic
Τέχνη	Art
Κατηγορία:Ιστορία της τέχνης	Art history
Άρτεμις	Artemis
Αρτηρία	Artery
Ουρική αρθρίτιδα	Arthritis
Αρθρόποδα	Arthropod
Αρθούρος Ρεμπώ	Arthur Rimbaud
Αρθούρος Σοπενχάουερ	Arthur Schopenhauer
Τεχνητή νοημοσύνη	Artificial intelligence
Κατηγορία:Τεχνητή νοημοσύνη	Artificial intelligence
Πυροβολικό	Artillery
Κατηγορία:Τέχνες	Arts
Αρούμπα	Aruba
Κατηγορία:Αρούμπα	Aruba
Αμίαντος	Asbestos
Ασκληπιός	Asclepius
Άσγκαρντ	Asgard
Ασία	Asia
Κατηγορία:Ασία	Asia
Ασμάρα	Asmara
Άσφαλτος	Asphalt
Ασπιρίνη	Aspirin
Assembly (γλώσσα προγραμματισμού)	Assembly language
Ένωση Χωρών της Νοτιοανατολικής Ασίας	Association of Southeast Asian Nations
Ασσυρία	Assyria
Κατηγορία:Ασσυρία	Assyria
Άστατο	Astatine
Αστεροειδής	Asteroid
Ασθενόσφαιρα	Asthenosphere
Άσθμα	Asthma
Άστραχαν	Astrakhan
Βιοαστρονομία	Astrobiology
Αστρολάβος	Astrolabe
Αστρολογία	Astrology
Αστρομετρία	Astrometry
Αστρονομική μονάδα	Astronomical unit
Αστρονομία	Astronomy
Κατηγορία:Αστρονομία	Astronomy
Αστροφυσική	Astrophysics
Κατηγορία:Αστροφυσική	Astrophysics
Ασσουάν	Aswan
Ατακάμα	Atacama Desert
Ατέν	Aten
Αθηνά	Athena
Αθήνα	Athens
Στίβος	Athletics (track and field)
Ατλάντα	Atlanta
Ατλαντικός Ωκεανός	Atlantic Ocean
