English	Urdu
Biotechnology	حیاتی طرزیات
Bismarck	بسمارک، شمالی ڈکوٹا
Bismuth	بسمیتھ
Bissau	بساؤ
Black Sea	بحیرہ اسود
Black hole	ثقب اسود
Blaise Pascal	پاسکل
Blog	مدونہ
Blood plasma	آبدم
Blood type	بلڈ گروپ
Blue	نیلا
Blue Whale	نیلی وھیل
Boiling point	نقطہ کھولاؤ
Boise	بوئس، ایڈاہو
Bolivia	بولیویا
Bologna	بلونیا
Bolshevik	بالشویزم
Book	کتاب
Boomerang	بومر ینگ
Borneo	بورنیو
Boson	بوسون
Bosporus	آبنائے باسفورس
Boston	بوسٹن
Botany	نباتیات
Botany	زمرہ:نباتیات
Botswana	بوٹسوانا
Bourgeoisie	بورژوا
Boxing	مکے بازی
Bracket	خطوط وحدانی
Brahma	برہما
Brahmaputra River	دریائے برہم پتر
Braille	بریل سسٹم
Brain	دماغ
Brazil	برازیل
Breast cancer	سرطان پستان
British Empire	سلطنت برطانیہ
Bubonic plague	طاعون
Buddhism	بدھ مت
Bujumbura	بوجومبرا
Bulgaria	بلغاریہ
Bureaucracy	دفتری حکومت
Burkina Faso	برکینا فاسو
Burma	میانمار
Bus	بس
Byte	بائٹ
Cache	ابطن
Cairo	قاہرہ
Calabria	کلابریا
Calculus	حسابان
Calendar	تقویم
California	کیلی فورنیا
Cambodia	کمبوڈیا
Camel	اونٹ
Camera	عکاسہ
Cameroon	کیمرون
Campania	کمپانیہ
Canada	کینیڈا
Canada	زمرہ:کینیڈا
Cancer	سرطان (عارضہ)
Candela	کنڈیلا
Cape Horn	راس ہورن
Cape of Good Hope	راس امید
Capital	دارالحکومت
Carbon dioxide	کاربن ڈائ آکسائڈ
Carolus Linnaeus	لنی اس
Carrot	گاجر
Casablanca	کاسا بلانکا
Caspian Sea	بحیرہ قزوین
Cat	بلی
Caucasus Mountains	کوہ قفقاز
Causality	سببیہ
Cedar	دیودار
Cell (biology)	خلیہ
Centimetre	سنٹی میٹر
Central Powers	مرکزی طاقتیں
Central processing unit	خرد عامل
Century	ٹائم لائن
Cerium	Cerium
Chad	چاڈ
Chamois	چاموعز
Charles Darwin	ڈارون
Charles Dickens	چارلس ڈکنز
Charles de Gaulle	چارلس ڈیگال
Charlie Chaplin	چارلی چیپلن
Che Guevara	چی گویرا
Chemical engineering	کیمیائی ہندسیات
Chemical reaction	کیمیائی تعامل
Chemistry	کیمیاء
Chemistry	زمرہ:کیمیاء
Chennai	چنائی
Chiang Kai-shek	چیانگ کائی شیک
Chile	چلی
China	چین
Chocolate	چاکلیٹ
Christianity	عیسائیت
Christopher Columbus	کولمبس
Chromosome	لونجسیمہ
Church of England	چرچ آف انگلینڈ
Cinnamon	دارچینی
Civil war	خانہ جنگی
Clement Attlee	کلیمنٹ ایٹلی
Client-server	عمیل و معیل
Clock Tower	بگ بین
Cloning	تنسیل
Coffee	کافی
Colombia	کولمبیا
Color	رنگ
Colorado	کولوراڈو
Colosseum	کولوزیئم
Columbia	کولمبیا، جنوبی کیرولینا
Columbus	کولمبس، اوہائیو
Comet	دم دار سیارے
Common Fig	انجیر
Commonwealth of Nations	اقوام کی دولت مشترکہ
Communism	زمرہ:کمیونزم
Compact Disc	قرص مدمج
Compass	قطب نما
Complex number	مختلط عدد
Composite number	مرکب عدد
Computer	شمارِندہ
Computer display	شمارندی تظاہرہ
Computer file	کمپیوٹری مسل
Computer program	شمارندی برنامج
Computer virus	شمارندی حمہ
Conic section	تکونی قطعات
Connecticut	کنیکٹیکٹ
Consumption (economics)	صرف
Continent	براعظم
Coordinated Universal Time	مُتناسق عالمی وقت
Copper	تانبا
Coral	مرجان
Corsica	کورسیکا
Cosmic microwave background radiation	کائناتی ریزموجی پس منظر تابکاری
Cosmology	علم الکائنات
Cosmology	زمرہ:علم الکائنات
Costa Rica	کوسٹاریکا
Crete	کریٹ
Cricket	کرکٹ
Croatia	کروشیا
Cuba	کیوبا
Cuba	زمرہ:کیوبا
Culture	ثقافت
Curitiba	كوريتيبا
Cyprus	قبرص
Czech Republic	چیک جمہوریہ
DNA	ڈی این اے
Dahlia	ڈہلیا
Dakar	ڈاکار
Dalai Lama	دلائی لاما
Damascus	دمشق
Dante Alighieri	دانتے
Danube	دریائے ڈینیوب
Dardanelles	درہ دانیال
Darjeeling	دار جیلنگ
Dark matter	تاریک مادہ
David	داؤد علیہ السلام
Dead Sea	بحیرہ مردار
Death	موت
December	دسمبر
Delaware	ڈیلاویئر
Delhi	دلی
Delta (letter)	ڈیلٹا
Deluge (mythology)	طوفان نوح
Democracy	جمہوریت
Democratic Republic of the Congo	کانگو (زائر)
Democritus	دی مقراطیس
Demography	بشری شماریات
Deng Xiaoping	ڈنگ اکسیاؤ پنگ
Dengue fever	ڈینگو بخار
Denmark	ڈنمارک
Density	کثافت
Determinant	دترمینان
Determinism	جبریت
Dhaka	ڈھاکہ
Dhaulagiri	دہولاگری
Dialectical materialism	جدلیاتی مادیت
Diameter	قُطر
Diana (mythology)	ڈائنا (دیوی)
