English	Urdu
Pericles	پیری کلیز
Period (periodic table)	دور (دوری جدول)
Permutation	تبدل کامل
Persepolis	تخت جمشید
Persian Gulf	خلیج فارس
Peru	پیرو
Philippines	فلپائن
Philosophy	فلسفہ
Philosophy	زمرہ:فلسفہ
Phoenicia	فونیقی
Phoenix	فونیکس، ایریزونا
Phonetics	صوتیات
Phosphorus	فاسفورس
Photon	نوریہ
Photosynthesis	ضیائی تالیف
Physics	طبیعیات
Physics	زمرہ:طبیعیات
Physiology	فعلیات
Pi	پائی
Piedmont	پیعیمونتے
Pink	گلابی
Pixel	عکصر
Plant	نباتات
Plasma (physics)	شاکلہ طبیعیات
Plate tectonics	ساخت الطبقات
Plato	افلاطون
Platypus	ڈک بل
Playing card	برج
Pleiades (star cluster)	ثریا (جھرمٹ)
Pluto	پلوٹو
Po River	دریاۓ پو
Poland	پولینڈ
Polaris	قطبی ستارہ
Polo	پولو
Polygamy	تعدد ازدواج
Polynomial	کثیر رقمی
Pompey	پامپے
Pope	پوپ
Portugal	پرتگال
Positron	مثبرقیہ
Potassium	پوٹاشیم
Poverty	غربت
Prehistory	زمانہ قبل از تاریخ
Priest	پادری
Prime number	مفرد عدد
Prince of Wales	پرنس آف ویلز
Prometheus	پرومیتھیس
Propaganda	پروپیگنڈا
Protein	لحمیات
Protista	زمرہ:اولانیات
Proton	اولیہ (جوہر)
Providence	پروویڈنس، رہوڈ آئی لینڈ
Psychiatry	طب نفسی
Psychology	نفسیات
Ptolemy	بطلیموس
Punjab (India)	پنجاب (بھارت)
Qatar	قطر
Quantum mechanics	مقداریہ آلاتیات
Quark	کوارک
Quito	کیٹو
RNA	رائبو مرکزی ترشہ
Rabat	رباط
Rabindranath Tagore	رابندر ناتھ ٹیگور
Radar	Radar
Radioactive decay	اشعاعی تنزل
Rain	بارش
Rainbow	دھنک
Rama	رام
Ramadan	رمضان
Ramayana	رامائن
Raphael	رافیل
Rawalpindi	راولپنڈی
Red	سرخ
Red Sea	بحیرہ احمر
Red blood cell	سرخ خونی خلیہ
Republic of Ireland	جمہوریہ آئرلینڈ
Republic of the Congo	کانگو
Rhine	دریائے رائن
Rhinoceros	گینڈا
Rhode Island	رہوڈ آئی لینڈ
Rhodes	رہوڈس
River Thames	دریائے ٹیمز
Riyadh	ریاض
Roald Amundsen	رولڈ ایمنڈس
Robot	روبالہ
Roentgenium	Roentgenium
Roger Bacon	راجر بیکن
Roman Empire	رومی سلطنت
Romania	رومانیہ
Rome	روم
Rome	زمرہ:روم
Root	جڑ
Rose	گلاب
Router	سالک
Rubber	ربڑ
Rudolf Diesel	روڈلف ڈیزل
Russia	روس
Russia	زمرہ:روس
Rwanda	روانڈا
Saddam Hussein	صدام حسین
Saffron	کیسر
Sahara	صحرائے اعظم
Saint Kitts and Nevis	سینٹ کیٹز
Saint Lawrence River	دریائے سینٹ لارنس
Saint Peter	پطرس
Saint Vincent and the Grenadines	سینٹ وینسینٹ و گریناڈائنز
Saladin	صلاح الدین ایوبی
Salah	نماز
Salt Lake City	سالٹ لیک سٹی، یوٹاہ
Samoa	سامووا
San Marino	سان مارینو
Sanskrit	سنسکرت
Sardinia	ساردینیا
Satellite	مصنوعی سیارہ
Saturday	ہفتہ
Saturn	زحل
Saudi Arabia	سعودی عرب
Saul Bellow	سال بیلو
Schizophrenia	انفصام
Science	سائنس
Science	زمرہ:سائنس
Scientist	سائنسدان
Scotland	اسکاچستان
Sea of Marmara	بحیرہ مرمرہ
Sears Tower	سیئرز ٹاور
Seine	دریائے سین
September	ستمبر
Sequence	متوالیہ (ریاضی)
Series (mathematics)	سلسلہ (ریاضی)
Set	مجموعہ
Seville	اشبیلیہ
Seychelles	سیچیلیس
Shahadah	شہادت
Shiva	شو
Shrimp	جَمبری
Sicily	صقلیہ
Sigmund Freud	فرائڈ
Silver	چاندی
Sinai Peninsula	جزیرہ نمائے سینا
Singapore	سنگاپور
Six-Day War	6 روزہ جنگ
Skyscraper	بلند ترین عمارات
Sleep	نیند
Snake	سانپ
Socialism	اشتراکیت
Sociology	معاشریات
Socrates	سقراط
Solar System	نظام شمسی
Solid	ٹھوس
Solomon Islands	جزائر سلیمان
Somalia	صومالیہ
South Carolina	جنوبی کیرولینا
South Dakota	جنوبی ڈکوٹا
South Korea	جنوبی کوریا
South Pole	قطب جنوبی
Sovereignty	بادشاہی
Spain	ہسپانیہ
Sparta	سپارٹا
Species	نوع
Spider	مکڑی
Spin (physics)	غزل (طبیعیات)
Springfield	اسپرنگ فیلڈ، الینوائے
Squash (sport)	اسکوائش
Sri Lanka	سری لنکا
Standard deviation	معیاری انحراف
State	ملک
Stem cell	خلیہ جذعیہ
Stephen Hawking	سٹیفن ہاکنگ
Stonehenge	سٹون ہینج
Stub	سانچہ:نامکمل
Subtraction	تفریق (ریاضی)
Sudan	سوڈان
Suez Canal	نہر سوئز
Sufism	تصوف
Suharto	سہارتو
Sultan	سلطان
Sumer	سمیری
Summer	موسم گرما
Sun	سورج
Sunday	اتوار
Sunni Islam	اہل سنت
Superconductivity	فوق ایصالیت
Surgery	جراحت
Suriname	سرینام
Swaziland	سوازی لینڈ
Sweden	سویڈن
Switzerland	سویٹزر لینڈ
Sword	تلوار
Syndicate	ٹریڈ یونین
Syria	شام
T. E. Lawrence	لارنس آف عریبیہ
T. S. Eliot	ٹی۔ ایس ایلیٹ
Taj Mahal	تاج محل
Tajikistan	تاجکستان
Taliban	طالبان
Tanzania	تنزانیہ
Taoism	تائو مت
Taxicab	ٹیکسی
Tea	چائے
Technology	طرزیات
Tehran	تہران
Telepathy	تخاطر
Telephone	ہاتف
Television	بعید نما
Tennessee	ٹینیسی
Tennis	ٹینس
Termite	دیمک
Terrorism	دہشت گردی
Texas	ٹیکساس
Thailand	تھائی لینڈ
Thales	تھالیز
Theory of relativity	نظریۂ اضافیت
Theseus	تھیسیس
Third World	تیسری دنیا
Thomas Aquinas	ایکویناس سینٹ
Thomas Edison	تھامس ایلوا ایڈیسن
Thomas Jefferson	ٹامس جیفرسن
Thucydides	تھوسی ڈائڈز
Thursday	جمعرات
Tiber	دریائے ٹائبر
Tibet	تبت
Tigris	دریائے دجلہ
Timur	امیر تیمور
Tin	قلع
Titania (moon)	ٹیٹانیہ
Tivoli	تیوولی، اٹلی
Togo	ٹوگو
Tokyo	ٹوکیو
Tonga	ٹونگا
Tony Blair	ٹونی بلیئر
Torah	توریت
Toronto	ٹورانٹو
Torpedo	آبیگولہ
Tower of Babel	بابل کا برج
Town	شہر
Toyota	ٹویوٹا
Trade union	اتحاد صنعتی
Trademark	ٹریڈ مارک
Tragedy	المیہ
Train	قطار
Tram	ٹرام وے
Transistor	منتقزاحم
Transliteration	کلمہ نویسی
Transmission Control Protocol	نظم منتقلی دستور
Triangle	مثلث
Trojan War	ٹرائے کی جنگ
Troy	ٹرائے
Tuesday	منگل
Tulip	گل لالہ
Tumor	ورم
Tunisia	تیونس
Tunisia	زمرہ:تیونس
Turkey	ترکی
Turkey	زمرہ:ترکی
Turkmenistan	ترکمانستان
Tuscany	تسکانہ
Tuvalu	تووالو
Typewriter	ٹائپ رائٹر
Typography	خطی تخطیط
Uganda	یوگنڈا
Ukraine	یوکرین
Ultrasound	بالاصوت
Umbria	امبریا
Unicorn	ارنا گھوڑا
Uniform Resource Locator	یکساں وسیلی تعینگر
United Arab Emirates	متحدہ عرب امارات
United Kingdom	برطانیہ
United Nations	اقوام متحدہ
United States	ریاستہائے متحدہ امریکہ
Universe	کائنات
Unix	یونکس
Ur	اُر
Ural Mountains	کوہ یورال
Uranus	یورینس
Urdu	اردو
Ursa Major	دب اکبر
Ursa Minor	دب اصغر
Uruguay	یوراگوئے
Utah	یوٹاہ
Uttar Pradesh	اتر پردیش
Uzbekistan	ازبکستان
Valence (chemistry)	ظرف (کیمیاء)
Valentina Tereshkova	تریشیکووا
Variance	تفاوت
Vatican City	ویٹیکن سٹی
Velocity	سمتار
Veneto	وینیتو
Venezuela	وینیزویلا
Venice	وینس
Venus	زہرہ
Vermont	ورمونٹ
Veto	حق استرداد
Victoria	وکٹوریا
Victoria Falls	وکٹوریا آبشار
Vienna	ویانا
Vietnam	ویتنام
Virginia	ورجینیا
Virginia Woolf	ورجینیا وولف
Virus	حُمہ
Vishnu	وشنو
Vitamin	حیاتین
Volga River	دریائے وولگا
Voltaire	والٹیئر
Walt Disney	والٹ ڈزنی
War crime	جنگی جرائم
Washing machine	آلۂ دھلائی
Washington	واشنگٹن ڈی سی
Washington	ریاست واشنگٹن
Washington (disambiguation)	واشنگٹن
Water	پانی
Water polo	واٹر پولو
Waterfall	آبشار
Watt	واٹ
Wax	موم
Weak interaction	نحیف تفاعل
Web browser	متصفح جال
Wednesday	بدھ
West Africa	مغربی افریقہ
West Virginia	مغربی ورجینیا
White blood cell	سفید خونی خلیہ
Wilhelm Ostwald	ولہلم اوسٹوالڈ
William James	ولیم جیمز
William Wordsworth	ولیم ورڈذورتھ
Winston Churchill	چرچل
Winter	موسم سرما
Wisconsin	وسکونسن
World	دنیا
World Bank	عالمی بنک
World Trade Center	ورلڈ ٹریڈ سینٹر
World War I	پہلی جنگ عظیم
World War II	دوسری جنگ عظیم
World Wide Web	جال محیط عالم
Wormhole	ثقب کرم
Writer	مصنف
Wyoming	وائیومنگ
Yak	یاک
Yard	گز
Yasser Arafat	یاسر عرفات
Year	سال
Yellow River	دریائے زرد
Yemen	یمن
Yo-yo	یو یو
Yom Kippur War	جنگ یوم کپور
Yukon	يوكون
Yuri Gagarin	یوری گاگرین
Zimbabwe	زمبابوے
Zinc	خارصین
Zoology	حیوانیات
Zoroaster	زرتشت
