English	Dutch
Criminology	Criminologie
Criminology	Categorie:Criminologie
Croatia	Kroatië
Croatia	Categorie:Kroatië
Crocodile	Krokodillen
Crocodilia	Krokodilachtigen
Cronus	Kronos
Cross product	Kruisproduct
Crossbow	Kruisboog
Crossword	Kruiswoordpuzzel
Crow	Kraaien
Crucifixion	Kruisiging
Cruiser	Kruiser
Crust (geology)	Aardkorst
Crustacean	Kreeftachtigen
Crux	Zuiderkruis
Cryptography	Cryptografie
Cryptography	Categorie:Cryptografie
Crystal	Kristal (natuurwetenschappen)
Crystallography	Kristallografie
Crystallography	Categorie:Kristallografie
Ctenophore	Ribkwallen
Cuba	Cuba (land)
Cuba	Categorie:Cuba
Cubic metre	Kubieke meter
Cubism	Kubisme
Cuculiformes	Koekoeksvogels
Cucumber	Komkommer
Cucurbitaceae	Komkommerfamilie
Cultural Revolution	Culturele Revolutie
Culture	Cultuur
Culture	Categorie:Cultuur
Cumbria	Cumbria
Cumulus cloud	Cumulus
Cupressaceae	Cipresfamilie
Curitiba	Curitiba
Curium	Curium
Curling	Curling (sport)
Currency	Categorie:Munteenheid
Currency	Valuta
Curry	Kerrie
Curve	Kromme
Cusco	Cuzco (stad)
Cyan	Cyaan
Cyanide	Cyanide
Cyanobacteria	Blauwalgen
Cybele	Cybele
Cybernetics	Cybernetica
Cyberpunk	Cyberpunk
Cyclades	Cycladen
Cycling	Wielersport
Cycling	Categorie:Wielersport
Cyclops	Cycloop
Cygnus (constellation)	Zwaan (sterrenbeeld)
Cylinder (geometry)	Cilinder
Cyperaceae	Cypergrassenfamilie
Cyprinid	Eigenlijke karpers
Cypriniformes	Karperachtigen
Cyprus	Cyprus
Cyprus	Categorie:Cyprus
Cyrillic alphabet	Cyrillisch alfabet
Cyrus the Great	Cyrus II
Cystic fibrosis	Taaislijmziekte
Cytoplasm	Cytoplasma
Cytosine	Cytosine
Cytoskeleton	Cytoskelet
Czech Republic	Tsjechië
Czech Republic	Categorie:Tsjechië
Czechoslovakia	Tsjecho-Slowakije
Czechoslovakia	Categorie:Tsjecho-Slowakije
D	D (letter)
D. H. Lawrence	D.H. Lawrence
D. W. Griffith	D.W. Griffith
DDT	DDT (insecticide)
DNA	DNA
DOS	DOS (besturingssysteem)
DVD	Dvd
Dachshund	Dashond
Dada	Dadaïsme
Daedalus	Daedalus
Dagger	Dolk
Daguerreotype	Daguerreotypie
Dahlia	Dahlia
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas (Texas)
Dalmatia	Dalmatia
Dam	Dam (waterkering)
Damascus	Damascus
Dance	Dans
Dance	Categorie:Dans
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Daniel Ortega	Daniel Ortega
Danish krone	Deense kroon
Dante Alighieri	Dante Alighieri
Danube	Donau
Daphne	Daphne (mythologie)
Dar es Salaam	Dar es Salaam (stad)
Dardanelles	Dardanellen
Darfur	Darfur (regio)
Darjeeling	Darjeeling (stad)
Dark matter	Donkere materie
Darmstadtium	Darmstadtium
Darwin	Darwin (Australië)
Darwin	Darwin
Das Kapital	Het Kapitaal
Data	Gegeven
Data mining	Data mining
Data structure	Datastructuur
Database	Database
Database management system	Databasemanagementsysteem
Date Palm	Dadelpalm
Dative case	Datief
Daugavpils	Daugavpils
David	Koning David
David Hilbert	David Hilbert
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Davis Cup	Davis Cup
Day	Dag
Days	Categorie:Datum
De facto	De facto
Deacon	Diaken
Dead Sea	Dode Zee
Dead Sea scrolls	Dode-Zeerollen
Deadly nightshade	Wolfskers
Death	Dood
Death	Categorie:Dood
Decade	Decennium
December	December
December 31	31 december
December 8	8 december
Decibel	Decibel
Decimal	Decimaal
Decius (emperor)	Decius
Declination	Declinatie (astronomie)
Deco	Deco
Deconstruction	Deconstructie
Deductive reasoning	Deductie
Deer	Hertachtigen
Definition	Definitie
Deflation	Deflatie
Degree	Graad
Degree (angle)	Booggraad
Deimos (moon)	Deimos (maan)
Deism	Deïsme
Delaware	Delaware
Delaware	Categorie:Delaware
Delft	Delft
Delhi	Delhi (stad)
Dell	Dell
Delphi	Delphi (Griekenland)
Delphinus	Dolfijn (sterrenbeeld)
Delta	Delta
Delta (letter)	Delta (letter)
Deluge (mythology)	Zondvloed
Demagogy	Demagogie
Dementia	Dementie
Demeter	Demeter (mythologie)
Democracy	Democratie
Democratic Party (United States)	Democratische Partij (Verenigde Staten)
Democratic Republic of the Congo	Congo-Kinshasa
Democratic Republic of the Congo	Categorie:Congo-Kinshasa
Democritus	Democritus
Demography	Demografie
Demography	Categorie:Demografie
Demon	Demon
Deng Xiaoping	Deng Xiaoping
Dengue fever	Dengue
Denis Diderot	Denis Diderot
Denmark	Denemarken
Denmark	Categorie:Denemarken
Dennis Gabor	Dennis Gabor
Density	Dichtheid (natuurkunde)
Dental caries	Cariës
Dentistry	Categorie:Tandheelkunde
Dentistry	Tandheelkunde
Denver	Denver
Derivative	Afgeleide
Dermatology	Dermatologie
Des Moines	Des Moines (Iowa)
Desert	Woestijn
Deserts	Categorie:Woestijn
Desiderius Erasmus	Desiderius Erasmus
Design	Industriële vormgeving
Design	Categorie:Design
Desmond Tutu	Desmond Tutu
Destroyer	Torpedobootjager
Determinant	Determinant
Determinism	Determinisme (filosofie)
Detroit	Detroit (Michigan)
Deuterium	Deuterium
Deuteronomy	Deuteronomium
Developmental psychology	Ontwikkelingspsychologie
Device driver	Stuurprogramma
Devon	Devon
Devonian	Devoon
Dew	Dauw
Dew point	Dauwpunt
Dewey Decimal Classification	Dewey Decimale Classificatie
Dhaka	Dhaka (stad)
Dharma	Dharma
Dhaulagiri	Dhaulagiri
Dhole	Dhole
Diabetes mellitus	Diabetes mellitus
Diacritic	Diakritisch teken
Dialect	Dialect
Dialectic	Dialectiek
Diameter	Diameter
Diamond	Diamant
Diana	Diana Frances Spencer
Diana (mythology)	Diana (godin)
Diarrhea	Diarree
Diaspora	Diaspora
Diatom	Diatomee
Dice	Dobbelsteen
Dicotyledon	Tweezaadlobbigen
Dictatorship	Dictatuur
Dictionary	Woordenboek
Diego Rivera	Diego Rivera
Diesel	Dieselolie
Diesel engine	Dieselmotor
Dietrich Bonhoeffer	Dietrich Bonhoeffer
Differential equation	Differentiaalvergelijking
Diffraction	Diffractie
Diffusion	Diffusie
Digestion	Spijsvertering
Digital	Digitaal
Digital camera	Digitale camera
Digital photography	Digitale fotografie
Digital subscriber line	DSL
Dijon	Dijon
Dill	Dille
Dimension	Dimensie
Dingo	Dingo
Dinosaur	Dinosauriërs
Diocese	Bisdom
Diocletian	Diocletianus
Diode	Diode
Dionysus	Dionysos
Diphtheria	Difterie
Diphthong	Tweeklank
Diplodocus	Diplodocus
Diplomacy	Diplomatie
Diplomacy	Categorie:Diplomatie
Dire Straits	Dire Straits
Direct current	Gelijkstroom
Disaccharide	Disacharide
Disambiguation	Categorie:Wikipedia:Doorverwijspagina
Disc jockey	Diskjockey
Discourse	Vertoog
Discrimination	Discriminatie
Disease	Ziekte
Distance	Afstand
Distillation	Destillatie
Divergence	Divergentie (vectorveld)
Division (mathematics)	Delen
Divorce	Echtscheiding
Dizzy Gillespie	Dizzy Gillespie
Djibouti	Categorie:Djibouti
Djibouti (city)	Djibouti (stad)
Dmitri Mendeleev	Dmitri Mendelejev
Dmitri Shostakovich	Dmitri Sjostakovitsj
Dnieper River	Dnjepr
Dnipropetrovsk	Dnjepropetrovsk
Doberman Pinscher	Dobermann
Doctor of the Church	Kerkleraar
Document	Document
Dodecahedron	Dodecaëder
Dodecanese	Dodekanesos
Dodo	Dodo
Dodoma	Dodoma (stad)
Dog	Hond
Dogma	Dogma (algemeen)
Doha	Doha
Dollar	Dollar (munt)
Dolly (sheep)	Dolly (schaap)
Dolmen	Hunebed
Dolphin	Dolfijnen
Domain (biology)	Domein (biologie)
Domain name	Domeinnaam
Dome	Koepel
Domesday Book	Domesday Book
Domestication	Domesticatie
Dominica	Dominica
Dominica	Categorie:Dominica
Dominican Order	Dominicanen
Dominican Republic	Dominicaanse Republiek
Dominican Republic	Categorie:Dominicaanse Republiek
Domitian	Titus Flavius Domitianus
Don Quixote	Don Quichot
Don River (Russia)	Don (Rusland)
Donald Duck	Donald Duck (figuur)
Donatello	Donatello
Donato Bramante	Donato Bramante
Donetsk	Donetsk
Donkey	Ezel (dier)
Door	Deur
Dopamine	Dopamine
Doppler effect	Dopplereffect
Dorado	Goudvis (sterrenbeeld)
Doric order	Dorische orde
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Douala
Double bass	Contrabas
Douglas MacArthur	Douglas MacArthur
Dover	Dover (Delaware)
Dover	Dover (Engeland)
Down syndrome	Syndroom van Down
Draco (constellation)	Draak (sterrenbeeld)
Dracula	Dracula
Dragon	Draak (fabeldier)
Drainage basin	Stroomgebied
Drama	Drama (kunst en cultuur)
Draughts	Dammen
Dream	Droom
Dresden	Dresden
Dromedary	Dromedaris
Drought	Droogte
Drug addiction	Verslaving
Druid	Druïde
Drum	Trommel
Dualism	Dualisme
Dualism (philosophy of mind)	Dualisme (filosofie van de geest)
Dubai	Dubai (emiraat)
Dublin	Dublin
Dubnium	Dubnium
Dubrovnik	Dubrovnik
Duck	Eenden
Dugong	Doejong
Duke	Hertog
Duke Ellington	Duke Ellington
Duke University	Duke-universiteit
Dune	Duin
Dunkirk	Duinkerke
Duodenum	Twaalfvingerige darm
Durban	Durban (Zuid-Afrika)
Dushanbe	Doesjanbe
Dustin Hoffman	Dustin Hoffman
Dutch people	Categorie:Nederlands persoon
Dwight D. Eisenhower	Dwight D. Eisenhower
Dynamics (physics)	Dynamica
Dynamite	Dynamiet
Dynasty	Dynastie
Dyslexia	Dyslexie
Dysprosium	Dysprosium
Dystopia	Dystopie
E	E (letter)
E (mathematical constant)	E (wiskunde)
E-mail	E-mail
E. T. A. Hoffmann	E.T.A. Hoffmann
ETA	Euskadi Ta Askatasuna
Eagle	Arend (roofvogel)
Ear	Oor
Eared seal	Oorrobben
Earless seal	Zeehonden
Earth	Aarde (planeet)
Earth	Categorie:Wereld
Earth science	Aardwetenschappen
Earthquake	Aardbeving
East	Oost
East Africa	Oost-Afrika
East China Sea	Oost-Chinese Zee
East Germany	Duitse Democratische Republiek
East Sussex	East Sussex
East Timor	Oost-Timor
East Timor	Categorie:Oost-Timor
Easter	Pasen
Eastern Orthodox Church	Orthodoxe Kerk (algemeen)
Ebola	Ebolavirus
Ebro	Ebro
Eccentricity (mathematics)	Excentriciteit (wiskunde)
Ecclesiastes	Prediker (boek)
Echidna	Mierenegels
Echidna (mythology)	Echidna (mythologie)
Echinoderm	Stekelhuidigen
Eclipse	Eclips
Eclipse (software)	Eclipse (software)
Ecliptic	Ecliptica (astronomie)
Ecological niche	Niche
Ecology	Ecologie
Ecology	Categorie:Ecologie
Econometrics	Econometrie
Economics	Economie
Economics	Categorie:Economie
Economy	Economie
Ecosystem	Ecosysteem
Ecuador	Ecuador
Ecuador	Categorie:Ecuador
Ecumenical council	Concilie
Edgar Allan Poe	Edgar Allan Poe
Edgar Degas	Edgar Degas
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edinburgh
Edirne	Edirne
Edmond Halley	Edmond Halley
Edmonton	Edmonton
Edmund Burke	Edmund Burke
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Edo	Edo (Japan)
Eduard Buchner	Eduard Buchner
Education	Onderwijs
Education	Categorie:Onderwijs
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edward Teller	Edward Teller
Edward the Confessor	Eduard de Belijder
Edwin Hubble	Edwin Hubble
Eel	Palingachtigen
Egg (biology)	Ei (dier)
Eggplant	Aubergine
Egypt	Egypte (land)
Egypt	Categorie:Egypte
Egyptian pound	Egyptisch pond
Egyptology	Egyptologie
Eiffel Tower	Eiffeltoren
Eindhoven	Eindhoven
Einsteinium	Einsteinium
Ejaculation	Ejaculatie
El Cid	Rodrigo Díaz de Vivar
El Greco	El Greco
El Paso	El Paso (Texas)
El Salvador	El Salvador
El Salvador	Categorie:El Salvador
Elam	Elam
Elbe	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Election	Verkiezing
Electra	Elektra (mythologie)
Electric charge	Elektrische lading
Electric current	Elektrische stroom
Electric field	Elektrisch veld
Electric guitar	Elektrische gitaar
Electric motor	Elektromotor
Electrical engineering	Categorie:Elektrotechniek
Electrical engineering	Elektrotechniek
Electrical resistance	Elektrische weerstand (eigenschap)
Electricity	Elektriciteit
Electricity	Categorie:Elektriciteit
Electrocardiogram	Elektrocardiogram
Electrochemistry	Elektrochemie
Electrochemistry	Categorie:Elektrochemie
Electrolysis	Elektrolyse
Electrolyte	Elektrolyt
Electromagnetic radiation	Elektromagnetische straling
Electromagnetic spectrum	Elektromagnetisch spectrum
Electromagnetism	Elektromagnetisme
Electromagnetism	Categorie:Elektromagnetisme
Electron	Elektron
Electron microscope	Elektronenmicroscopie
Electronegativity	Elektronegativiteit
Electronics	Elektronica
Electronics	Categorie:Elektronica
Elegy	Elegie
Element	Element
Elementary particle	Elementair deeltje
Elephant	Olifanten
Elevator	Lift (transport)
Elf	Elf (mythologie)
Elia Kazan	Elia Kazan
Elias Canetti	Elias Canetti
Elijah	Elia (profeet)
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Ellipse	Ellips (wiskunde)
Ellipsis	Beletselteken
Elm	Iep
Elvis Presley	Elvis Presley
Embryo	Embryo
Embryology	Embryologie
Emerald	Smaragd
Emilia-Romagna	Emilia-Romagna
Emiliano Zapata	Emiliano Zapata
Emily Dickinson	Emily Dickinson
Emir	Emir
Emma Goldman	Emma Goldman
Emoticon	Emoticon
Emotion	Emotie
Emotion	Categorie:Gemoedstoestand
Empathy	Empathie
Empedocles	Empedocles
Emperor	Keizer
Emperor Penguin	Keizerspinguïn
Empire	Rijk (staat)
Empire State Building	Empire State Building
Empiricism	Empirisme
Emu	Emoe
Emulator	Emulator
Emulsion	Emulsie
Encyclopedia	Encyclopedie
Endemism	Endemie (biogeografie)
Endocrine system	Endocrien systeem
Endocrinology	Endocrinologie
Endocrinology	Categorie:Endocrinologie
Energy	Energie
Energy	Categorie:Energie
Energy (society)	Energie
Engine	Motor
Engineer	Ingenieur
Engineering	Techniek
Engineering	Categorie:Technische wetenschappen
England	Engeland
England	Categorie:Engeland
English Channel	Het Kanaal
English Civil War	Engelse Burgeroorlog
English language	Engels
English language	Categorie:Engels
English people	Categorie:Engels persoon
English people	Engelsen (volk)
Enki	Enki
Enrico Caruso	Enrico Caruso
Enrico Fermi	Enrico Fermi
Entertainment	Categorie:Amusement
Enthalpy	Enthalpie
Entomology	Entomologie
Entomology	Categorie:Entomologie
Entropy	Entropie
Environment	Categorie:Milieu
Environment	Milieu
Enzyme	Enzym
Eocene	Eoceen
Eon (geology)	Eon (geologie)
Eos	Eos (mythologie)
Ephesus	Efeze
Epic poetry	Epiek
Epicenter	Epicentrum
Epictetus	Epictetus
Epicurus	Epicurus
Epidemic	Epidemie
Epidemiology	Epidemiologie
Epigraphy	Epigrafie
Epilepsy	Epilepsie
Epimetheus (mythology)	Epimetheus (mythologie)
Epinephrine	Adrenaline
Epiphany (Christian)	Driekoningen
Epirus (periphery)	Epirus
Epistemology	Kennistheorie
Epistle to the Galatians	Brief van Paulus aan de Galaten
Epistle to the Romans	Brief van Paulus aan de Romeinen
Epithelium	Epitheel
Epsilon	Epsilon
Equation	Vergelijking (wiskunde)
Equator	Evenaar
Equatorial Guinea	Equatoriaal-Guinea
Equatorial Guinea	Categorie:Equatoriaal-Guinea
Equidae	Paardachtigen
Equinox	Equinox
Equisetum	Paardenstaart (plant)
Erasure	Erasure
Erato	Erato
Eratosthenes	Eratosthenes
Erbium	Erbium
Erebus	Erebus (god)
Erectile dysfunction	Impotentie
Erection	Erectie
Ericaceae	Heifamilie
Ericales	Ericales
Eridanus (constellation)	Eridanus (sterrenbeeld)
Erik Satie	Erik Satie
Eris (dwarf planet)	Eris (dwergplaneet)
Eris (mythology)	Eris (mythologie)
Eritrea	Categorie:Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Ernst Werner von Siemens	Werner von Siemens
Eros (mythology)	Eros (god)
Erosion	Erosie
Erotica	Erotiek
Erwin Rommel	Erwin Rommel
Escape velocity	Ontsnappingssnelheid
Eschatology	Eschatologie
Escherichia coli	Escherichia coli
Esfahan	Isfahan
Esophagus	Slokdarm
Esperanto	Esperanto
Esperanto	Categorie:Esperanto
Espionage	Spion
Espoo	Espoo
Espresso	Espresso
Essay	Essay
Essen	Essen (Noord-Rijnland-Westfalen)
Essential oil	Etherische olie
Essex	Essex
Ester	Ester (chemie)
Estonia	Categorie:Estland
Estrogen	Oestrogeen
Eta (letter)	Èta
Etching	Ets
Ethane	Ethaan
Ethanol	Ethanol
Ether	Ether (chemie)
Ethernet	Ethernet
Ethics	Ethiek
Ethics	Categorie:Ethiek
Ethiopia	Ethiopië
Ethiopia	Categorie:Ethiopië
Ethnic group	Etniciteit
Ethnography	Etnografie (diergeneeskunde)
Ethology	Ethologie
Ethylene	Etheen
Etymology	Etymologie
Eucalyptus	Eucalyptus
Eucharist	Eucharistie
Euclid	Euclides van Alexandrië
Euclidean geometry	Postulaten van Euclides
Eukaryote	Eukaryoten
Eunuch	Eunuch
Euphemism	Eufemisme
Euphrates	Eufraat
Eurasia	Eurazië
Eurasian Badger	Das (dier)
Euripides	Euripides
Euro	Euro
Europa (moon)	Europa (maan)
Europa (mythology)	Europa (mythologie)
Europe	Europa (werelddeel)
Europe	Categorie:Europa
European Central Bank	Europese Centrale Bank
European Community	Europese Gemeenschap
European Magpie	Ekster
European Union	Europese Unie
European Union	Categorie:Europese Unie
Europium	Europium
Eusebius of Caesarea	Eusebius van Caesarea
Euterpe	Euterpe
Euthanasia	Euthanasie
Eva Braun	Eva Braun
Evanescence	Evanescence
Evangelista Torricelli	Evangelista Torricelli
Evaporation	Verdamping
Even-toed ungulate	Evenhoevigen
Evolution	Evolutie
Excalibur	Excalibur
Exchange rate	Wisselkoers
Exclamation mark	Uitroepteken
Excommunication	Excommunicatie
Executive (government)	Uitvoerende macht
Exhibitionism	Exhibitionisme
Existentialism	Existentialisme
Exodus	Exodus (boek)
Expected value	Verwachting (wiskunde)
Experiment	Experiment
Explosion	Explosie
Expo (exhibition)	Wereldtentoonstelling
Exponential function	Exponentiële functie
Exponentiation	Machtsverheffen
Expressionism	Expressionisme
Extinction	Uitsterven
Eye	Oog (anatomie)
Eye	Categorie:Anatomie van het oog
Ezra Pound	Ezra Pound
F	F (letter)
F. Scott Fitzgerald	F. Scott Fitzgerald
Fabaceae	Vlinderbloemenfamilie
Fable	Fabel
Face	Gelaat
Fact	Sjabloon:Feit
Factorial	Faculteit (wiskunde)
Factory	Fabriek
Facula	Zonnevlek
Fado	Fado
Fagaceae	Categorie:Fagaceae
Fagales	Fagales
Fahrenheit	Fahrenheit
Fair use	Fair use
Fairy	Fee
Fairy tale	Sprookje
Falcon	Falco (geslacht)
Falconiformes	Roofvogels
Falkland Islands	Falklandeilanden
Fallacy	Drogreden
Fallopian tube	Eileider
Fallow Deer	Damhert
Falun Gong	Falun Gong
Family (biology)	Familie (biologie)
Family history	Genealogie
Family name	Achternaam
Fantasy	Fantasy
Far East	Verre Oosten
Farad	Farad
Faroe Islands	Categorie:Faeröer
Fascism	Fascisme
Fascism	Categorie:Fascisme
Fashion	Categorie:Mode
Fashion	Mode
Fast food	Fastfood
Fasting	Vasten
Fatah	Fatah
Fatty acid	Vetzuur
Fault (geology)	Breuk (geologie)
Fauna	Fauna (dierenleven)
Fauvism	Les Fauves
Fax	Fax
Fear	Angst
Feather	Veer (vogel)
February	Februari
February 12	12 februari
February 14	14 februari
February 2	2 februari
February 22	22 februari
February 29	29 februari
February Revolution	Februarirevolutie (1917)
Feces	Ontlasting
Federal Bureau of Investigation	Federal Bureau of Investigation
Federal Reserve System	Federal Reserve
Federated States of Micronesia	Micronesia
Federated States of Micronesia	Categorie:Micronesia
Federation	Bondsstaat
Federico Fellini	Federico Fellini
Fedora (Linux distribution)	Fedora
Feedback	Terugkoppeling
Feldspar	Veldspaat
Felidae	Katachtigen
Felix Mendelssohn	Felix Mendelssohn-Bartholdy
Feminism	Feminisme
Feminism	Categorie:Feminisme
Fencing	Schermen
Feng shui	Feng Shui
Fennel	Venkel
Fenrir	Fenrir (mythologie)
Fenugreek	Fenegriek
Ferdinand II	Ferdinand II van het Heilige Roomse Rijk
Ferdinand Magellan	Ferdinand Magellaan
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Fermentatie
Fermentation (food)	Fermentatie
Fermion	Fermion
Fermium	Fermium
Fern	Varens
Ferrara	Ferrara (stad)
Ferry	Veerpont
Fertile Crescent	Vruchtbare Sikkel
Fertilisation	Bevruchting
Fertilizer	Kunstmest
Fetus	Foetus
Feudalism	Feodalisme
Fever	Koorts
Fiat	FIAT
Fibonacci number	Rij van Fibonacci
Fiction	Categorie:Fictie
Fictional character	Personage
Fidel Castro	Fidel Castro
Field (mathematics)	Lichaam (algebra)
Field hockey	Hockey
Fighter aircraft	Jachtvliegtuig
Figure skating	Kunstschaatsen
Fiji	Fiji
Fiji	Categorie:Fiji
File Allocation Table	File Allocation Table
File Transfer Protocol	File Transfer Protocol
File system	Bestandssysteem
Filippo Brunelleschi	Filippo Brunelleschi
Film	Categorie:Film
Film	Film (cinematografie)
Film	Portaal:Film
Film director	Filmregisseur
Fin Whale	Gewone vinvis
Finance	Financiën
Finger	Vinger
Fingerprint	Dactyloscopie
Finland	Finland
Finland	Categorie:Finland
Fir	Zilverspar
Fire	Vuur
Firearm	Vuurwapen
Firefighter	Brandweer
Firewall (networking)	Firewall
Firmware	Firmware
First Council of Constantinople	Concilie van Constantinopel I
First Council of Nicaea	Eerste Concilie van Nicea
First Crusade	Eerste Kruistocht
First Epistle to the Corinthians	Eerste brief van Paulus aan de Korintiërs
First aid	Eerste Hulp bij Ongelukken
First language	Moedertaal
Fish	Vissen (dieren)
Fish	Categorie:Vis
Fishing	Sportvissen
Fishing	Categorie:Visserij
Fjord	Fjord
Flag	Vlag
Flagellum	Zweepstaartje
Flamenco	Flamenco
Flamingo	Flamingo's
Flanders	Vlaanderen
Flash memory	Flashgeheugen
Flatulence	Winderigheid
Flatworm	Platwormen
Flea	Vlooien
Flemish (linguistics)	Vlaams
Flint	Vuursteen
Flip-flop (electronics)	Flip-flop
Flood	Overstroming
Floppy disk	Diskette
Florence	Florence (stad)
Florence Nightingale	Florence Nightingale
Florida	Florida (staat)
Florida	Categorie:Florida
Flour	Meel
Flower	Bloem (plant)
Flowering plant	Bedektzadigen
Fluid	Fluïdum
Fluid mechanics	Stromingsleer
Fluorite	Vloeispaat
Flute	Fluit (muziekinstrument)
Fly	Tweevleugeligen
Fog	Mist
Folic acid	Foliumzuur
Folk music	Folk
Folklore	Folklore
Folklore	Categorie:Folklore
Food	Voedsel
Food additive	Additief
Food and Agriculture Organization	Voedsel- en Landbouworganisatie
Food chain	Voedselketen
Foot	Voet (anatomie)
Foot (unit of length)	Voet (lengtemaat)
Football (soccer)	Voetbal
Football (soccer)	Categorie:Voetbal
Football (soccer) by country	Categorie:Voetbal naar land
Football (soccer) clubs	Categorie:Voetbalclub
Football (soccer) managers	Categorie:Voetbalcoach
Football (soccer) players	Categorie:Voetballer
Football (soccer) venues	Categorie:Voetbalstadion
Forbidden City	Verboden Stad
Force	Kracht
Forest	Bos
Forestry	Bosbouw
Fork	Vork (bestek)
Form of government	Regeringsvorm
Formaldehyde	Formaldehyde
Formic acid	Mierenzuur
Fornax	Oven (sterrenbeeld)
Fort Worth	Fort Worth
Fortification	Vesting (verdedigingswerk)
Fortran	Fortran
Fossil	Fossiel
Fossil fuel	Fossiele brandstof
Foucault pendulum	Slinger van Foucault
Fountain	Fontein
Fourier series	Fourierreeks
Fourth Crusade	Vierde Kruistocht
Fractal	Fractal
Fraction (mathematics)	Breuk (wiskunde)
France	Frankrijk
France	Categorie:Frankrijk
Francis Bacon	Francis Bacon (wetenschapper)
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis II	Frans II van het Heilige Roomse Rijk
Francis Poulenc	Francis Poulenc
Francis of Assisi	Franciscus van Assisi
Franciscan	Franciscanen
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Francium
Franco-Prussian War	Frans-Duitse Oorlog
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfort	Frankfort (Kentucky)
Frankfurt	Frankfurt am Main
Frankfurt	Categorie:Frankfurt am Main
Frankfurt (Oder)	Frankfurt an der Oder
Frankfurt (disambiguation)	Frankfurt
Franklin Pierce	Franklin Pierce
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Liszt	Franz Liszt
Franz Schubert	Franz Schubert
Fred Astaire	Fred Astaire
Frederick I	Frederik I van het Heilige Roomse Rijk
Frederick II	Frederik II van het Heilige Roomse Rijk
Frederick Sanger	Frederick Sanger
Frederick Soddy	Frederick Soddy
Fredericton	Fredericton
Free State	Vrijstaat (provincie)
Free will	Vrije wil
Freedom (philosophy)	Vrijheid
Freedom of speech	Vrijheid van meningsuiting
Freemasonry	Vrijmetselarij
Freetown	Freetown
Freeware	Freeware
French Polynesia	Frans-Polynesië
French Polynesia	Categorie:Frans-Polynesië
French Revolution	Franse Revolutie
French Revolution	Categorie:Franse Revolutie
French franc	Franse frank
French people	Categorie:Frans persoon
Frequency	Frequentie
Fresco	Fresco (schilderterm)
Freshwater	Zoetwater
Fresno	Fresno
Freyja	Freya
Freyr	Freyr
Friction	Wrijving
Friday	Vrijdag
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Friesland	Friesland
Frigate	Fregat
Frigg	Frigg
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Frog	Kikvorsachtigen
Fructose	Fructose
Fruit	Vrucht (plant)
Fruit	Categorie:Fruit
Fucking	Fucking
Fuel	Brandstof
Fuel cell	Brandstofcel
Fugue	Fuga
Fukuoka	Fukuoka (stad)
Full moon	Vollemaan (astronomie)
Funafuti	Funafuti
Function (mathematics)	Functie (wiskunde)
Fundamental	Categorie:Alles
Fundamental interaction	Fundamentele natuurkracht
Fundamentalism	Fundamentalisme
Fungi	Categorie:Schimmel
Fungus	Schimmels
Funicular	Kabelspoorweg
Funk	Funk
Furniture	Categorie:Meubilair
Furniture	Meubilair
Future	Toekomst
Futurism (art)	Futurisme
Fuzzy logic	Fuzzy logic
Fyodor Dostoevsky	Fjodor Dostojevski
G	G (letter)
GIMP	GIMP
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Categorie:Gabon
Gaborone	Gaborone
Gabriel	Gabriël (aartsengel)
Gabriel Lippmann	Gabriel Jonas Lippmann
Gadolinium	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaia (mythology)	Gaea
Galatia	Galatië
Galaxy	Sterrenstelsel
Galen	Claudius Galenus
Galena	Galeniet
Galicia (Central Europe)	Galicië (Oost-Europa)
Galicia (Spain)	Galicië (Spanje)
Galilee	Galilea
Galileo (spacecraft)	Galileo (ruimtesonde)
Galileo Galilei	Galileo Galilei
Gallbladder	Galblaas
Galley	Galei (schip)
Galliformes	Hoendervogels
Galliformes	Categorie:Hoen
Gallium	Gallium
Gallon	Gallon
Galway	Galway (stad)
Gamal Abdel Nasser	Gamal Abdel Nasser
