English	Danish
Alan Shepard	Alan B. Shepard
Alan Turing	Alan Turing
Alanine	Alanin
Alaska	Alaska
Alaska	Kategori:Alaska
Alban Berg	Alban Berg
Albania	Albanien
Albania	Kategori:Albanien
Albany	Albany (New York)
Albatross	Albatrosser
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Albinism	Albinisme
Album	Album
Albuquerque	Albuquerque
Alchemy	Alkymi
Alcohol	Alkohol (stofklasse)
Alcoholic beverage	Alkoholiske drikkevarer
Alcoholism	Alkoholisme
Aldehyde	Aldehyd
Alder	Elleslægten
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Isajevitj Solsjenitsyn
Aleppo	Aleppo
Aleutian Islands	Aleuterne
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Sergejevitj Pusjkin
Alexander the Great	Alexander den Store
Alexandre Dumas	Alexandre Dumas, den ældre
Alexandre Dumas	Alexandre Dumas, den yngre
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Algae	Alge
Algebra	Algebra
Algebra	Kategori:Algebra
Algebraic number	Algebraiske tal
Algeria	Algeriet
Algeria	Kategori:Algeriet
Algiers	Algier
Algorithm	Algoritme
Alhambra	Alhambra
Ali	Ali
Alkali metal	Alkalimetal
Alkaloid	Alkaloid
Alkane	Alkan
Alkene	Alken
Alkyne	Alkyn
Allah	Allah
Allegory	Allegori
Allele	Allel
Allen Ginsberg	Allen Ginsberg
Allergy	Allergi
Allophone	Allofon
Allosaurus	Allosaurus
Alloy	Legering
Almanac	Almanak
Almaty	Almaty
Almond	Mandel
Aloe	Aloe
Alpha (letter)	Alfa (bogstav)
Alpha particle	Alfastråling
Alphabet	Alfabet
Alps	Alperne
Alps	Kategori:Alperne
Alsace	Alsace
Altar	Alter
Altay Mountains	Altai
Alternating current	Vekselstrøm
Alternative medicine	Kategori:Alternativ behandling
Alternative medicine	Alternativ behandling
Altruism	Altruisme
Aluminium	Aluminium
Aluminium oxide	Aluminiumoxid
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimers sygdom
Amaryllidaceae	Påskelilje-familien
Amaterasu	Amaterasu
Amazon River	Amazonfloden
Ambassador	Ambassadør
Amber	Rav
Ambrose	Skt. Ambrosius
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Bison	Amerikansk bison
American Black Bear	Amerikansk sortbjørn
American Civil War	Den amerikanske borgerkrig
American Revolutionary War	USA's uafhængighedskrig
American Samoa	Amerikansk Samoa
American Standard Code for Information Interchange	ASCII
American football	Amerikansk fodbold
American football	Kategori:Amerikansk fodbold
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametyst
Amharic	Amharisk
Amide	Amid (funktionel gruppe)
Amino acid	Aminosyre
Amish	Amish
Amman	Amman
Ammeter	Amperemeter
Ammonia	Ammoniak
Amnesia	Amnesi
Amnesty	Amnesti
Ampere	Ampere
Amphetamine	Amfetamin
Amphibian	Padde
Amphitheatre	Amfiteater
Amphora	Amfora
Amplitude	Amplitude
Amsterdam	Amsterdam
Amsterdam	Kategori:Amsterdam
Amun	Amon
Amur	Amur
Anabaptist	Gendøber
Anagram	Anagram
Anaheim	Anaheim
