English	Welsh
Arabian Sea	Môr Arabia
Arabic alphabet	Yr wyddor Arabeg
Arabic language	Arabeg
Arachnid	Arachnid
Aragon	Aragón
Aral Sea	Môr Aral
Arcadia	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Arch	Bwa (pensaernïaeth)
Archaeology	Archaeoleg
Archaeology	Categori:Archaeoleg
Archangel	Archangel
Archbishop	Archesgob
Archimedes	Archimedes
Architect	Pensaer
Architecture	Pensaernïaeth
Architecture	Categori:Pensaernïaeth
Arctic	Yr Arctig
Arctic Ocean	Cefnfor yr Arctig
Ardennes (department)	Ardennes (département)
Area	Arwynebedd
Arecaceae	Palmwydden
Argentina	Yr Ariannin
Argentina	Categori:Yr Ariannin
Argon	Argon
Argos	Argos (dinas)
Arianism	Ariadaeth
Aristophanes	Aristoffanes
Aristotle	Aristoteles
Arius	Arius
Arizona	Arizona
Arizona	Categori:Arizona
Arkansas	Arkansas
Arkansas	Categori:Arkansas
Armenia	Armenia
Armenia	Categori:Armenia
Armenian language	Armeneg
Arminius	Arminius
Army	Byddin
Arras	Arras
Arsenic	Arsenig
Art	Celfyddyd
Artery	Rhydweli
Arthropod	Arthropod
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Wellesley	Arthur Wellesley, Dug 1af Wellington
Artist	Arlunydd
Arts	Categori:Celfyddydau
Asexuality	Anrhywioldeb
Asia	Asia
Asia	Categori:Asia
Assyria	Categori:Assyria
Asteraceae	Categori:Asteraceae
Asthma	Asthma
Astrobiology	Astrofioleg
Astronomical unit	Uned seryddol
Astronomy	Seryddiaeth
Astronomy	Categori:Seryddiaeth
Astrophysics	Categori:Astroffiseg
Atheism	Categori:Anffyddiaeth
Athena	Athena
Athens	Athen
Athletics (track and field)	Athletau (trac a chae)
Atlantic Ocean	Cefnfor yr Iwerydd
Atlantic Ocean	Categori:Cefnfor yr Iwerydd
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (lloeren)
Atlas Mountains	Mynyddoedd yr Atlas
Atmosphere	Awyrgylch
Atoll	Atol
Atom	Atom
Atomic number	Rhif Atomig
Attica	Attica
Attila the Hun	Attila
Auckland	Auckland
August	Awst
August 1	1 Awst
August 15	15 Awst
August 6	6 Awst
August Strindberg	August Strindberg
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Awstin o Hippo
Augustus	Augustus
Australasia	Awstralasia
Australia	Awstralia
Australia	Categori:Awstralia
Austria	Awstria
Austria	Categori:Awstria
Autism	Awtistiaeth
Auto racing	Rasio ceir
Autobiography	Hunangofiant
Autumn	Hydref (tymor)
Auvergne (region)	Auvergne
Avalanche	Eirlithriad
Avicenna	Avicenna
Azerbaijan	Azerbaijan
Azerbaijan	Categori:Azerbaijan
Aztec	Aztec
B	B
Baal	Baal
Bacteria	Bacteria
Baffin Island	Ynys Baffin
Baghdad	Baghdad
Bahamas	Categori:Bahamas
Bahrain	Bahrain
Bahrain	Categori:Bahrain
Balearic Islands	Ynysoedd Balearig
Bali	Bali
Balkan Wars	Rhyfeloedd y Balcanau
Balkans	Balcanau
Baltic Sea	Y Môr Baltig
Bamako	Bamako
Banana	Banana
Banana republic	Gweriniaeth fanana
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Bangladesh	Categori:Bangladesh
Bank	Banc
Banks	Categori:Banciau
Barbados	Barbados
Barbados	Categori:Barbados
Barcelona	Barcelona
Barium	Bariwm
Barley	Haidd
Barn Owl	Tylluan Wen
Barn Swallow	Gwennol
Baroque	Baróc
Basalt	Basalt
Basketball	Pêl fasged
Basketball	Categori:Pêl Fas
Basse-Normandie	Basse-Normandie
Bastille	Bastille
Bat	Ystlum
Bath	Caerfaddon
Batman	Batman
Battle of Hastings	Brwydr Hastings
Battle of Marathon	Brwydr Marathon
Battle of Thermopylae	Brwydr Thermopylae
Battle of Verdun	Brwydr Verdun
Battle of Waterloo	Brwydr Waterloo
Battle of the Somme	Brwydr y Somme 1916
Bavaria	Bafaria
Bay of Bengal	Bae Bengal
Beach	Traeth
Bear	Arth
Beaver	Afanc
Bede	Beda
Bee	Gwenynen
Beer	Cwrw
Beer	Categori:Cwrw
Beijing	Beijing
Beirut	Beirut
Belarus	Belarws
Belarus	Categori:Belarws
Belfast	Belffast
Belgium	Gwlad Belg
Belgium	Categori:Gwlad Belg
Belgrade	Beograd
Belisarius	Belisarius
Belize	Belize
Belize	Categori:Belize
Benelux	Benelux
Bengal	Bengal
Benghazi	Benghazi
Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Harrison	Benjamin Harrison
Bergen	Bergen
Bering Strait	Culfor Bering
Berkshire	Berkshire
Berlin	Berlin
Bermuda	Bermuda
Bermuda	Categori:Bermuda
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Beriliwm
Beta (letter)	Beta (llythyren)
Bethlehem	Bethlehem
Bhutan	Bhutan
Bhutan	Categori:Bhutan
Bible	Y Beibl
Bible	Categori:Beibl
Bicycle	Beic
Big Bang	Damcaniaeth y Glec Fawr
Bihar	Bihar
Bikini	Bicini (dilledyn)
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Biochemistry	Biocemeg
Biochemistry	Categori:Biocemeg
Biodiversity	Bioamrywiaeth
Biography	Cofiant
Biology	Bioleg
Biology	Categori:Bioleg
Birch	Bedwen
Bird	Aderyn
Bisexuality	Deurywioldeb
Bishop	Esgob
Bishop (chess)	Esgob (gwyddbwyll)
Bismarck (disambiguation)	Bismarck
Bissau	Bissau
Bithynia	Bithynia
Black	Du
Black Death	Pla Du
Black Sea	Y Môr Du
Blaise Pascal	Blaise Pascal
Blindness	Dallineb
Blog	Blog
Blood	Gwaed
Blue	Glas
Blues	Y felan
Boar	Baedd Gwyllt
Boat	Cwch
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bohemia	Bohemia
Bolivia	Bolifia
Bolivia	Categori:Bolifia
Bologna	Bologna
Bolshevik	Plaid Bolsiefic
Bone	Asgwrn
Book	Llyfr
Book of Numbers	Llyfr Numeri
Book of Revelation	Datguddiad Ioan
Bordeaux	Bordeaux
Boris Pasternak	Boris Pasternak
Borneo	Borneo
Boron	Boron
Bosnia and Herzegovina	Bosna a Hercegovina
Bosporus	Bosphorus
Boston	Boston
Botany	Botaneg
Botany	Categori:Botaneg
Botswana	Botswana
Botswana	Categori:Botswana
Bourgogne	Bourgogne
Bouvet Island	Ynys Bouvet
Boxers	Categori:Paffwyr
Brahma	Brahma
Brahmaputra River	Afon Brahmaputra
Brain	Ymennydd
Bratislava	Bratislava
Brazil	Brasil
Brazil	Categori:Brasil
Bread	Bara
Brest	Brest
Bretagne	Bretagne
Bridge	Pont
Bridges	Categori:Pontydd
Bridgetown	Bridgetown
Brighton	Brighton
Brisbane	Brisbane
Bristol	Bryste
British Columbia	British Columbia
British Empire	Yr Ymerodraeth Brydeinig
British Isles	Ynysoedd Prydain ac Iwerddon
British people	Categori:Prydeinwyr
Bromine	Bromin
Bronze Age	Oes yr Efydd
Bruges	Brugge
Brunei	Brunei
Brunei	Categori:Brunei
Brussels	Brwsel
Buckingham Palace	Palas Buckingham
Budapest	Budapest
Buddhism	Bwdhaeth
Buddhism	Categori:Bwdhaeth
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Bulgaria	Bwlgaria
Bulgaria	Categori:Bwlgaria
Burkina Faso	Burkina Faso
Burkina Faso	Categori:Burkina Faso
Burma	Myanmar
Burma	Categori:Myanmar
Burundi	Categori:Bwrwndi
Butter	Menyn
Butterfly	Glöyn byw
C	C
C (programming language)	C (cyfrifiadureg)
C. S. Lewis	C. S. Lewis
Caesium	Cesiwm
Caffeine	Caffein
Cairo	Cairo
Cake	Teisen
Calais	Calais
Calcium	Calsiwm
Calendar	Calendr
California	California
Caligula	Caligula
Calvados	Calvados
