Hindi	English
शून्य	0 (number)
एक	1 (number)
श्रेणी:100	100
1000	1000
श्रेणी:1000	1000
श्रेणी:12	12
श्रेणी:14	14
श्रेणी:16	16
श्रेणी:17	17
1728	1728
500	500
एड्स	AIDS
अबखाजिया	Abkhazia
इब्राहिम	Abraham
अब्राहम लिंकन	Abraham Lincoln
परम ताप	Absolute zero
अबू धाबी	Abu Dhabi
अम्ल	Acid
अम्लीय वर्षा	Acid rain
एडम स्मिथ	Adam Smith
बेऑबॉब	Adansonia
एडिलेड	Adelaide
एडोल्फ हिटलर	Adolf Hitler
अलङ्कार	Aesthetics
अफ़्ग़ानिस्तान	Afghanistan
अफ़्रीका	Africa
श्रेणी:अफ़्रीका	Africa
अफ्रीकी अमरीकन	African American
ऐगथा क्रिस्टी	Agatha Christie
आगरा	Agra
कृषि	Agriculture
श्रेणी:कृषि	Agriculture
वायुयान	Aircraft
अखेनातेन	Akhenaten
अकिरा कुरोसावा	Akira Kurosawa
अल्बर्ट गोर	Al Gore
अल कायदा	Al-Qaeda
अलाबामा	Alabama
एलेन ट्यूरिंग	Alan Turing
अलास्का	Alaska
अल्बानिया	Albania
अल्बर्ट ए मिकेल्सन	Albert Abraham Michelson
आल्बेर कामु	Albert Camus
अल्बर्ट आइनस्टाइन	Albert Einstein
शराब	Alcohol
अलेक्सान्द्र सोल्शेनीत्सिन	Aleksandr Solzhenitsyn
अलेक्ज़ांडर फ्लेमिङ	Alexander Fleming
अलेक्ज़ांडर ग्राहम बेल	Alexander Graham Bell
अलेक्सांद्र पूश्किन	Alexander Pushkin
अलेक्ज़ांडर महान	Alexander the Great
एल्फ़्रेड हिचकॉक	Alfred Hitchcock
अल्फ़्रेद नोबेल	Alfred Nobel
शैवाल	Algae
बीजगणित	Algebra
अल्जीरिया	Algeria
अल्गोरिद्म	Algorithm
अल्लाह	Allah
अल्फा कण	Alpha particle
मूलाक्षर	Alphabet
आल्प्स	Alps
प्रत्यावर्ती धारा	Alternating current
एलुमिनियम	Aluminium
आमेजन	Amazon River
अमरीकी गृहयुद्ध	American Civil War
अमेरिकी सामोआ	American Samoa
अमरीकी फुटबॉल	American football
आमेरिगो वेस्पूची	Amerigo Vespucci
अम्मान	Amman
एम्पीयर	Ampere
एम्सटर्डम	Amsterdam
अमुन	Amun
अशासन	Anarchy
अनातोले फ्रांस	Anatole France
प्राचीन यूनानी भाषा	Ancient Greek
एंडीज़	Andes
आंध्र प्रदेश	Andhra Pradesh
अन्डोरा	Andorra
एंडी वारहोल	Andy Warhol
फ़रिश्ता	Angel
अंगोला	Angola
ऐंगुइला	Anguilla
ऐनिमे	Anime
अंकारा	Ankara
अन्टाननरीवो	Antananarivo
अंटार्कटिका	Antarctica
मानवशास्त्र	Anthropology
अंटीगुआ और बारबूडा	Antigua and Barbuda
एन्टिमोनी	Antimony
यहूदी विरोधवाद	Antisemitism
आंतोन चेखव	Anton Chekhov
अनूबिस	Anubis
ऐफ़्रोडाइटी	Aphrodite
अपोलो	Apollo
सेब	Apple
व्यावहारिक गणित	Applied mathematics
14 अप्रैल	April 14
अरबी प्रायद्वीप	Arabian Peninsula
अरब सागर	Arabian Sea
अरबी लिपि	Arabic alphabet
अरबी भाषा	Arabic language
अरल सागर	Aral Sea
चाप	Arch
पुरातत्त्वशास्त्र	Archaeology
आर्किमिडिज़	Archimedes
वास्तुशास्त्र	Architecture
उत्तरध्रुवीय महासागर	Arctic Ocean
क्षेत्रफल	Area
एरीस	Ares
अर्जेन्टीना	Argentina
आर्गन	Argon
अंकगणित	Arithmetic
श्रेणी:अंकगणित	Arithmetic
एरीजोना	Arizona
अरकांसास	Arkansas
आर्मीनिया	Armenia
बाण	Arrow
आर्सेनिक	Arsenic
कला	Art
आर्टेमिस	Artemis
आर्थर एच काम्पटन	Arthur Compton
आर्टिफिशियल इंटेलिजेंस	Artificial intelligence
एशिया महाद्वीप	Asia
श्रेणी:एशिया	Asia
असम	Assam
असेम्बली भाषा	Assembly language
फल ज्योतिष	Astrology
श्रेणी:ज्योतिष	Astrology
खगोलीय इकाई	Astronomical unit
खगोल शास्त्र	Astronomy
श्रेणी:खगोल शास्त्र	Astronomy
अतेन	Aten
श्रेणी:नास्तिकता	Atheism
अथीना	Athena
एथेंस	Athens
अटलांटा	Atlanta
अन्ध महासागर	Atlantic Ocean
एटलस पर्वत	Atlas Mountains
वायुमण्डल	Atmosphere
परमाण्विक भार इकाई	Atomic mass unit
अटिला	Attila the Hun
आकलैंड	Auckland
15 अगस्त	August 15
आगस्टस कैसर	Augustus
ऑस्टिन	Austin
ऑस्ट्रेलिया	Australia
ऑस्ट्रिया	Austria
ऑटिज्म (आत्मवृति)	Autism
वर्षा ऋतु	Autumn
हिमप्रपात	Avalanche
अवतार	Avatar
आवेरोस	Averroes
अवेस्ता	Avesta
आज़र्बैजान	Azerbaijan
बाबिल	Babylon
बेबीलोनिया	Babylonia
जीवाणु	Bacteria
बग़दाद	Baghdad
बहरीन	Bahrain
बाली	Bali
बाल्कन युद्ध	Balkan Wars
बाल्कन	Balkans
बाल्टिक सागर	Baltic Sea
बमाको	Bamako
बंगलोर	Bangalore
बैंकॉक	Bangkok
बांग्लादेश	Bangladesh
श्रेणी:बांग्लादेश	Bangladesh
बैंक	Bank
बारबाडोस	Barbados
बार्सिलोना	Barcelona
बारी	Bari
जौ	Barley
क्षार	Base (chemistry)
बेसबॉल	Baseball
बास्त	Bast (mythology)
बेटन रूज	Baton Rouge
ट्राफलगार का युद्ध	Battle of Trafalgar
बंगाल की खाड़ी	Bay of Bengal
भालू	Bear
बेजिंग	Beijing
बेलारूस	Belarus
बेलग्रेड	Belgrade
बेलीज़	Belize
बंगाल	Bengal
बेनिटो मुसोलिनी	Benito Mussolini
बेञ्जमिन डिज़्रैली	Benjamin Disraeli
बेंजमिन हेरिसन	Benjamin Harrison
बेरिंग जलसन्धि	Bering Strait
बर्कशायर	Berkshire
बर्लिन	Berlin
बर्मूडा	Bermuda
बर्न	Berne
बर्टराण्ड रसेल	Bertrand Russell
बेरिलियम	Beryllium
भूटान	Bhutan
श्रेणी:भूटान	Bhutan
बाइबिल	Bible
सायकिल	Bicycle
बिहार	Bihar
विलियम क्लिंटन	Bill Clinton
बिल गेट्स	Bill Gates
जैवरसायनिकी	Biochemistry
श्रेणी:जैवरसायनिकी	Biochemistry
जीवनी	Biography
जीव विज्ञान	Biology
श्रेणी:जीव विज्ञान	Biology
जैवमण्डल	Biosphere
जैवप्रौद्योगिकी	Biotechnology
श्रेणी:जैवप्रौद्योगिकी	Biotechnology
पक्षी	Bird
काला	Black
कृष्ण सागर	Black Sea
काल कोठरी	Black hole
काली मिर्च	Black pepper
ब्लेज पास्कल	Blaise Pascal
अन्धापन	Blindness
ब्लॉग	Blog
रक्तचाप	Blood pressure
रक्त वर्ग	Blood type
नीला	Blue
बोधिसत्व	Bodhisattva
क्वथनांक	Boiling point
बोलीविया	Bolivia
बॉलीवुड	Bollywood
बोर्दो	Bordeaux
बोरिस पास्टेरनक	Boris Pasternak
बोरॉन्	Boron
बॉस्निया और हर्ज़ेगोविना	Bosnia and Herzegovina
बोसान	Boson
बोस्पोरुस जलसन्धि	Bosporus
वनस्पति विज्ञान	Botany
श्रेणी:वनस्पति विज्ञान	Botany
बोत्सवाना	Botswana
ब्रह्मा	Brahma
ब्रह्मपुत्र नदी	Brahmaputra River
पीतल	Brass
ब्राज़ील	Brazil
ब्रैस्त	Brest
सेतु	Bridge
ब्रिंडिसि	Brindisi
ब्रिस्टल	Bristol
ब्रिटिश साम्राज्य	British Empire
ब्रिटिश वर्जिन द्वीप-समूह	British Virgin Islands
ब्रोमिन	Bromine
कांसा	Bronze
कांस्य युग	Bronze Age
ब्रुनेई	Brunei
प्लेग	Bubonic plague
बुखारेस्ट	Bucharest
बकमिन्स्टर फुलर	Buckminster Fuller
बौद्ध धर्म	Buddhism
श्रेणी:बौद्ध धर्म	Buddhism
ब्युएनॉस एरीस	Buenos Aires
बुल्गारिया	Bulgaria
उत्प्लावन बल	Buoyancy
बुरकीना फ़ासो	Burkina Faso
म्यान्मार	Burma
व्यापार	Business
बाइट	Byte
सी प्रोग्रामिंग भाषा	C (programming language)
काडमियम	Cadmium
काल्सियम	Calcium
कैलकुलेटर	Calculator
कलन	Calculus
पंचांग	Calendar
कैलिफोर्निया	California
श्रेणी:केलिफोर्निया	California
कालविन कूलिज	Calvin Coolidge
कम्बोडिया	Cambodia
कैमरा	Camera
कनाडा	Canada
श्रेणी:कनाडा	Canada
कैनरी द्वीप-समूह	Canary Islands
कैनबरा	Canberra
कर्कट रोग	Cancer
कर्क	Cancer (constellation)
कैण्डेला	Candela
कैंटोनी भाषा	Cantonese (linguistics)
केप वर्दे	Cape Verde
पूंजीवाद	Capitalism
कार्बन	Carbon
कार्बन डाइआक्साइड	Carbon dioxide
कार्डिफ़	Cardiff
कार्ल डी एन्डरसन	Carl David Anderson
गाजर	Carrot
कार्तीय निर्देशांक पद्धति	Cartesian coordinate system
श्रेणी:मानचित्रण	Cartography
कैस्पियन सागर	Caspian Sea
बिल्ली	Cat
फूल गोभी	Cauliflower
केमन द्वीप-समूह	Cayman Islands
कोशिका	Cell (biology)
सेल्सियस	Celsius
केन्द्रीय अफ्रीकी गणराज्य	Central African Republic
सिरीस	Ceres (mythology)
व्हेल	Cetacea
कुर्सी	Chair
चार्लेमन	Charlemagne
चार्ल्स डार्विन	Charles Darwin
शार्ल डु गोल	Charles de Gaulle
चार्ली चैपलिन	Charlie Chaplin
चे ग्वेरा	Che Guevara
पनीर	Cheese
रासायनिक तत्व	Chemical element
रासायनिक अभियान्त्रिकी	Chemical engineering
रसायन शास्त्र	Chemistry
श्रेणी:रसायन शास्त्र	Chemistry
चेन्नई	Chennai
चेंग कै शेक	Chiang Kai-shek
शिकागो, इलिनॉय	Chicago
चना	Chickpea
चिले	Chile
चिम्बरोजी	Chimborazo (volcano)
श्रेणी:चीन	China
चीन	China
क्लोरीन	Chlorine
क्लोरोफ़ॉर्म	Chloroform
विसूचिका	Cholera
कशेरुकी जीव	Chordate
क्राइस्टचर्च	Christchurch
क्रिस्टियन हुगेन्स	Christiaan Huygens
ईसाई धर्म	Christianity
श्रेणी:ईसाई धर्म	Christianity
क्रिसमस	Christmas
क्रिस्टोफ़र कोलम्बस	Christopher Columbus
क्रोमियम	Chromium
गिरजाघर	Church
दालचीनी	Cinnamon
ख़तना	Circumcision
शास्त्रीय संगीत	Classical music
क्लाद मोने	Claude Monet
श्रेणी:जलवायु	Climate
बादल	Cloud
कोबाल्ट	Cobalt
नारियल	Coconut
कोकोज (कीलिंग) द्वीप समूह	Cocos (Keeling) Islands
कॉफ़ी	Coffee
शीतयुद्ध	Cold War
कोलंबो	Colombo
रंग	Color
कोलोरैडो	Colorado
कोलोरेडो नदी	Colorado River
धूमकेतु	Comet
सर्दी	Common cold
राष्ट्रों का राष्ट्रमंडल	Commonwealth of Nations
साम्यवाद	Communism
कोमोरोस	Comoros
दिक्सूचक	Compass
कंप्यूटर	Computer
हार्डवेयर	Computer hardware
प्रोग्रामिंग	Computer programming
सॉफ्टवेयर	Computer software
कम्प्यूटर वायरस	Computer virus
शिश्वावेष्टन गर्भ निरोधक्	Condom
कुन्फ़्यूशियसी धर्म	Confucianism
कुन्फ़्यूशियस	Confucius
शांकव	Conic section
कनाटीकट	Connecticut
उर्जा संरक्षण का नियम	Conservation of energy
व्यंजन वर्ण	Consonant
कोन्स्टान्टिन प्रथम	Constantine I
महाद्वीप	Continent
कॉण्टीनेण्टल शैल्फ	Continental shelf
समन्वयित विश्वव्यापी समय	Coordinated Universal Time
कोपेनहेगन	Copenhagen
ताम्र	Copper
स्वच्छमण्डल	Cornea
कॉर्नवल	Cornwall
कोस्टा रीका	Costa Rica
कपास	Cotton
कूलम्ब	Coulomb
क्रिकेट	Cricket
क्रीमिया का युद्ध	Crimean War
क्रोएशिया	Croatia
क्रोनोस	Cronus
बीज-लेखन	Cryptography
क्रिस्टल	Crystal
क्यूबा	Cuba
खीरा	Cucumber
संवर्धन आमूल परिवर्त	Cultural Revolution
संस्कृति	Culture
श्रेणी:संस्कृति	Culture
कम्ब्रिया	Cumbria
मोरपंखी	Cupressaceae
Curitiba	Curitiba
