Hindi	English
क्यान (रंग)	Cyan
साइप्रस	Cyprus
चेक गणराज्य	Czech Republic
चेकोस्लोवाकिया	Czechoslovakia
डकार	Dakar
दलाईलामा	Dalai Lama
डालास	Dallas
नृत्य	Dance
श्रेणी:नृत्य	Dance
दान्ते ऐलिगिरी	Dante Alighieri
डार्डेनलीज जलसन्धि	Dardanelles
दार्जीलिंग	Darjeeling
डेटाबेस	Database
डेविड हिल्बर्ट	David Hilbert
डेविस कप	Davis Cup
मृत्यु	Death
31 दिसंबर	December 31
8 दिसंबर	December 8
हिरण	Deer
डेलावर	Delaware
दिल्ली	Delhi
डिमीटर	Demeter
लोकतंत्र	Democracy
डेंगू	Dengue fever
डेनमार्क	Denmark
घनत्व	Density
मरुस्थल	Desert
डिजाइन	Design
डेसमंड टूटू	Desmond Tutu
डेट्राइट, मिशिगन	Detroit
डेवन	Devon
ढाका	Dhaka
मधुमेह	Diabetes mellitus
हीरा	Diamond
राजकुमारी डायना	Diana
डायना	Diana (mythology)
तानाशाही	Dictatorship
शब्दकोश	Dictionary
डीजल	Diesel
दीजों	Dijon
डायनोसोर	Dinosaur
डायोनाइसस	Dionysus
राजनय	Diplomacy
श्रेणी:बहुविकल्पी शब्द	Disambiguation
रोग	Disease
डोडो	Dodo
गुम्बज	Dome
डोमिनिका	Dominica
डोमिनिकन गणराज्य	Dominican Republic
डोनाल्ड डक	Donald Duck
डॉप्लर प्रभाव	Doppler effect
डोरिस लेसिंग	Doris Lessing
नाटक	Drama
ऊँट	Dromedary
दुबई	Dubai
बालुका स्तूप	Dune
दैंकर्क	Dunkirk
डर्बन	Durban
ड्वैट ऐज़नहौवर	Dwight D. Eisenhower
ईमेल	E-mail
कान	Ear
पृथ्वी	Earth
श्रेणी:पृथ्वी	Earth
भूकंप	Earthquake
ईस्ट ससेक्स	East Sussex
पूर्वी तिमोर	East Timor
ईस्टर	Easter
ग्रहण	Eclipse
पारिस्थितिकी	Ecology
श्रेणी:पर्यावरण	Ecology
अर्थशास्त्र	Economics
एद्गर देगास	Edgar Degas
एडिनबरा	Edinburgh
एडमंड हिलारी	Edmund Hillary
शिक्षा	Education
एडवर्ड मुंख	Edvard Munch
एडवार्ड गिबन	Edward Gibbon
एडवार्ड जेनर	Edward Jenner
बैंगन	Eggplant
मिस्र	Egypt
श्रेणी:मिस्र	Egypt
एल-साल्वाडोर	El Salvador
विद्युत धारा	Electric current
विद्युत मोटर	Electric motor
वैद्युत अभियांत्रिकी	Electrical engineering
विद्युत प्रतिरोध	Electrical resistance
विद्युत	Electricity
श्रेणी:विद्युत	Electricity
इ॰ सी॰ जी॰	Electrocardiogram
विद्युत अपघट्य	Electrolyte
विद्युतचुंबकीय विकिरण	Electromagnetic radiation
विद्युतचुंबकीय वर्णक्रम	Electromagnetic spectrum
विद्युतचुम्बकत्व	Electromagnetism
विद्युद्णु	Electron
इलेक्ट्रॉनिक्स	Electronics
हाथी	Elephant
एलायस कनेटी	Elias Canetti
दीर्घवृत्त	Ellipse
एल्विस प्रेस्ली	Elvis Presley
अमीर	Emir
एमा गोल्डमन	Emma Goldman
एंपेडोक्लीज़	Empedocles
एम्पायर स्टेट भवन	Empire State Building
विश्वज्ञानकोष	Encyclopedia
ऊर्जा	Energy
ऊर्जा	Energy (society)
इंजन	Engine
अभियन्ता	Engineer
अभियान्त्रिकी	Engineering
श्रेणी:अभियाँत्रिकी	Engineering
इंग्लैंड	England
श्रेणी:इंग्लैंड	England
अंग्रेज़ी गृहयुद्ध	English Civil War
अंग्रेज़ी भाषा	English language
श्रेणी:अंग्रेज़ी	English people
एन्रीको फर्मी	Enrico Fermi
कीटविज्ञान	Entomology
उत्क्रम	Entropy
पर्यावरण	Environment
समीकरण	Equation
भूमध्य रेखा	Equator
ईक्वीटोरियल गीनी	Equatorial Guinea
इरैटोस्थनिज़	Eratosthenes
एरिक एक्सेल कार्लफेल्ट	Erik Axel Karlfeldt
अर्नेस्ट हेमिंगवे	Ernest Hemingway
अर्नेस्ट रदरफोर्ड	Ernest Rutherford
ईरोस	Eros (mythology)
इस्फ़हान	Esfahan
एस्पेरान्तो	Esperanto
निबंध	Essay
एसेक्स	Essex
नैतिकता	Ethics
व्युत्पत्ति	Etymology
यूजीन ओ'नील	Eugene O'Neill
यूकैरियोट	Eukaryote
यूरेशिया	Eurasia
यूरो	Euro
यूरोप	Europe
श्रेणी:यूरोप	Europe
यूरोपीय संघ	European Union
श्रेणी:यूरोपीय संघ	European Union
विनिमय दर	Exchange rate
आंख	Eye
फॉरेन्हाइट	Fahrenheit
मिथ्या तर्क	Fallacy
फ़ासी वाद	Fascism
फ़तह	Fatah
12 फरवरी	February 12
14 फरवरी	February 14
2 फरवरी	February 2
22 फरवरी	February 22
29 फरवरी	February 29
फैडरल रिसर्व बैंक	Federal Reserve System
नारीवाद	Feminism
फ़र्दिनान्द मैगलन	Ferdinand Magellan
फर्मियान	Fermion
भ्रूण	Fetus
ज्वर	Fever
हेमचन्द्र श्रेणी	Fibonacci number
फिदेल कास्ट्रो	Fidel Castro
फील्ड हॉकी	Field hockey
फ़िजी	Fiji
श्रेणी:फ़िल्म	Film
फ़िल्म	Film
फ़िल्म निर्देशक	Film director
उंगली	Finger
फ़िनलैंड	Finland
प्राथमिक चिकित्सा	First aid
मातृभाषा	First language
मछली	Fish
बाढ़	Flood
फ्लोरेन्स	Florence
फ्लोरेन्स नैटिन्गेल	Florence Nightingale
भोजन	Food
फुट (लम्बाई की इकाई)	Foot (unit of length)
फ़ुटबॉल	Football (soccer)
फुरिअर श्रेणी	Fourier series
फ़्राँस	France
फ़्रांसिस ड्रेक	Francis Drake
फ्रांसिस्को डि गोया	Francisco Goya
पिज़ारो	Francisco Pizarro
मुक्त कर्म	Free will
आज़ादी	Freedom (philosophy)
फ़्रांसीसी क्रांति	French Revolution
आवृत्ति	Frequency
शुक्रवार	Friday
फ्रेडरिक एंजेल्स	Friedrich Engels
फल	Fruit
पूर्णिमा	Full moon
फलन	Function (mathematics)
कवक	Fungus
रज्जुरेल	Funicular
गोबोर्नी	Gaborone
गाब्रियल लिपमन	Gabriel Lippmann
गालीलेओ गालीलेई	Galileo Galilei
गैलिअम	Gallium
खेल	Game
गामा किरण	Gamma ray
गणेश	Ganesha
गंगा नदी	Ganges
गांसू	Gansu
गौतम बुद्ध	Gautama Buddha
गज़ा	Gaza
मिथुन	Gemini (constellation)
आनुवंशिकी	Genetics
जनीवा	Geneva
जेनोआ	Genoa
भूगोल	Geography
श्रेणी:भूगोल	Geography
प्रवेशद्वार:भूगोल	Geography
ज्यामिति	Geometry
श्रेणी:रेखागणित	Geometry
भूराजनीति	Geopolitics
जार्ज विल्हेम फ्रेडरिच हेगेल	Georg Wilhelm Friedrich Hegel
जार्ज बर्नार्ड शा	George Bernard Shaw
जॉर्ज बूल	George Boole
जार्ज हरिसन	George Harrison
ज्योर्ज लुकास	George Lucas
जॉर्ज ऑरवेल	George Orwell
जार्ज पेजेट थामसन	George Paget Thomson
जॉर्ज वॉकर बुश	George W. Bush
जार्ज वाशिंगटन	George Washington
जार्जिया (अमरीकी राज्य)	Georgia (U.S. state)
जोर्जिया	Georgia (country)
जेरल्ड फोर्ड	Gerald Ford
जर्मन भाषा	German language
जर्मेनियम	Germanium
जर्मनी	Germany
उष्णोत्स	Geyser
घाना	Ghana
हिमनद	Glacier
ग्लासगो	Glasgow
भूमंडलीय ऊष्मीकरण	Global warming
ग्लॉस्टरशायर	Gloucestershire
गोआ	Goa
ईश्वर	God
सोना	Gold
गोल्डा मेयर	Golda Meir
गुड फ़्राइडे	Good Friday
गूगल	Google
श्रेणी:गूगल	Google
सरकार	Government
ग्राम	Gram
व्याकरण	Grammar
श्रेणी:व्याकरण	Grammar
ग्रैन्ड कैन्यन	Grand Canyon
महान संयुक्त झीलें	Great Lakes
चीन की महान दीवार	Great Wall of China
ग्रेटर लंदन	Greater London
ग्रीस	Greece
यूनानी धर्म	Greek mythology
श्रेणी:यूनानी धर्म	Greek mythology
हरा	Green
ग्रीन हाउस प्रभाव	Greenhouse effect
ग्रीनपीस	Greenpeace
ग्रेनिच बरो	Greenwich
जी एम टी	Greenwich Mean Time
ग्रेगोरी कैलंडर	Gregorian calendar
ग्रेनोब्ल	Grenoble
ग्रेलैग हंस	Greylag Goose
सकल घरेलू उत्पाद	Gross domestic product
गुआदेलूप	Guadeloupe
ग्वांगदूंग	Guangdong
गुल्येल्मो मार्कोनी	Guglielmo Marconi
गिलोटिन	Guillotine
गिनी	Guinea
गिनी-बिसाऊ	Guinea-Bissau
गिटार	Guitar
गुजरात	Gujarat
गल्फ स्ट्रीम	Gulf Stream
बारूद	Gunpowder
एचआईवी	HIV
एच.टी.एम.एल.	HTML
हेडीस	Hades
हाइकु	Haiku
हैती	Haiti
हथौड़ा	Hammer
हाम्मुरबी	Hammurabi
हैम्पशायर	Hampshire
हान्निबल	Hannibal
हनोई	Hanoi
हांस अल्ब्रेक्त बेटू	Hans Bethe
हनुका	Hanukkah
हनुमान	Hanuman
हरारे	Harare
हेरिएट टबमान	Harriet Tubman
हवाई	Hawaii
स्वास्थ्य	Health
हृदय	Heart
ऊष्मा	Heat
भारी जल	Heavy water
होबेइ	Hebei
हेलेन केलर	Helen Keller
हीलियम	Helium
ऑँरी बेकेरेल	Henri Becquerel
आन्रि बर्गसां	Henri Bergson
हेनरिक इबसन	Henrik Ibsen
हेनरी (इकाई)	Henry (unit)
हेनरी फ़ोर्ड	Henry Ford
हैफ़ीस्टस	Hephaestus
हीरा (देवी)	Hera
हेरात	Herat
हर्बर्ट हूवर	Herbert Hoover
हर्मान हेस्से	Hermann Hesse
हरमीस	Hermes
हेरोद महान	Herod the Great
हिरोडोटस	Herodotus
हर्टफ़र्डशायर	Hertfordshire
हर्ट्ज़	Hertz
हेस्टिया	Hestia
हिमालय	Himalayas
हिन्दु कुश	Hindu Kush
हिन्दू धर्म	Hinduism
श्रेणी:हिन्दू धर्म	Hinduism
हिप्पोक्रेटस	Hippocrates
हिरोहितो	Hirohito
हिरोशिमा	Hiroshima
इतिहास	History
श्रेणी:इतिहास	History
हो चि मिन्ह्	Ho Chi Minh
हॉलीवुड	Hollywood
होम्योपैथी	Homeopathy
होमर	Homer
समलैंगिकता	Homosexuality
हॉण्डुरास	Honduras
हांग कांग	Hong Kong
हुक्का	Hookah
हुक का नियम	Hooke's law
सींग	Horn (anatomy)
कुण्डली	Horoscope
होरस	Horus
होटल	Hotel
घंटा	Hour
हाउस	House (TV series)
घरेलू गौरैया	House Sparrow
ह्युस्टन	Houston
हावर्ड कार्टर	Howard Carter (archaeologist)
हडसन नदी	Hudson River
आर्द्रता	Humidity
हूनान	Hunan
हंगरी	Hungary
हैदराबाद	Hyderabad
हाइड्रोकार्बन	Hydrocarbon
हाइड्रोजन	Hydrogen
जलमण्डल	Hydrosphere
अति परवलय	Hyperbola
बर्फ	Ice
आइसलैंड	Iceland
इलियाड	Iliad
इलिनॉय	Illinois
इमानुएल कांट	Immanuel Kant
स्वतन्त्रता	Independence
भारत	India
श्रेणी:भारत	India
हिन्द महासागर	Indian Ocean
इंडियाना	Indiana
श्रेणी:इंडियाना	Indiana
इन्दिरा गांधी	Indira Gandhi
इण्डियम	Indium
हिन्दचीन	Indochina
इंडोनेशिया	Indonesia
इन्द्र	Indra
सिन्धु नदी	Indus River
औद्योगिक क्रांति	Industrial Revolution
औपसर्गिक रोग	Infectious disease
मुद्रा स्फीति	Inflation
सूचना प्रौद्योगिकी	Information technology
अधोरक्त	Infrared
इंगमार बर्गमान	Ingmar Bergman
आंतरिक मंगोलिया	Inner Mongolia
नवाचार	Innovation
पूर्ण संख्या	Integer
बौद्धिक सम्पदा	Intellectual property
अंतर्राष्ट्रीय परमाणु ऊर्जा अधिकरण	International Atomic Energy Agency
अंतर्राष्ट्रीय न्यायालय	International Court of Justice
अन्तर्राष्ट्रीय इकाई प्रणाली	International System of Units
अंतरजाल	Internet
श्रेणी:अंतरजाल	Internet
ईरान	Iran
श्रेणी:ईरान	Iran
इराक़	Iraq
लोहम्	Iron
लौह युग	Iron Age
सर आइज़क न्यूटन	Isaac Newton
ईसिस	Isis
इस्लाम	Islam
श्रेणी:इस्लाम धर्म	Islam
इस्लामाबाद	Islamabad
हिजरी	Islamic calendar
द्वीप	Island
आइल ऑफ मान	Isle of Man
आइल ऑफ़ वाइट	Isle of Wight
इस्राइल	Israel
इस्तांबुल	Istanbul
इटली	Italy
इवान तुर्गेन्येव	Ivan Turgenev
जैक लंडन	Jack London
ज़ाक कार्तिए	Jacques Cartier
डेरिडा	Jacques Derrida
हरिताश्म	Jade
जैन धर्म	Jainism
जकार्ता	Jakarta
जेम्स बॉन्ड	James Bond
जेम्स क्लर्क माक्सवेल	James Clerk Maxwell
जेम्स मनरो	James Monroe
जम्मू और कश्मीर	Jammu and Kashmir
1 जनवरी	January 1
19 जनवरी	January 19
20 जनवरी	January 20
6 जनवरी	January 6
जापान	Japan
श्रेणी:जापान	Japan
जावा द्वीप	Java
जवाहरलाल नेहरू	Jawaharlal Nehru
जैज़	Jazz
रूसो	Jean-Jacques Rousseau
ज्यां-पाल सार्त्र	Jean-Paul Sartre
येरुशलम	Jerusalem
ईसा मसीह	Jesus
यहूदी	Jew
जेहाद	Jihad
जिमी कार्टर	Jimmy Carter
योहान सेबास्तियन बाख़	Johann Sebastian Bach
योहान वुल्फगांग फान गेटे	Johann Wolfgang von Goethe
जोहान गुटेनबर्ग	Johannes Gutenberg
योहानेस केप्लर	Johannes Kepler
योहानेस विल्हेल्म जेन्सेन	Johannes Vilhelm Jensen
जाह्न एडम्स	John Adams
जॉन बर्दीन	John Bardeen
जाह्न गाल्सवर्दी	John Galsworthy
जान कीट्स	John Keats
जॉन मेजर	John Major
जोन मेनार्ड केन्स	John Maynard Keynes
जाह्न स्टैनबेक	John Steinbeck
जॉनी कैश	Johnny Cash
यार्दन	Jordan
जोसेफ़ स्टालिन	Joseph Stalin
पत्रकारिता	Journalism
यहूदी धर्म	Judaism
श्रेणी:यहूदी धर्म	Judaism
जूलियन कैलंडर	Julian calendar
जुलियस सीसर	Julius Caesar
1 जुलाई	July 1
जून	June
14 जून	June 14
21 जून	June 21
23 जून	June 23
24 जून	June 24
29 जून	June 29
3 जून	June 3
जूनो	Juno (mythology)
बृहस्पति	Jupiter
जुपिटर	Jupiter (mythology)
काबुल	Kabul
कांधार	Kandahar
कंगारू	Kangaroo
कैंसस	Kansas
कराची	Karachi
कार्ल मार्क्स	Karl Marx
कर्म	Karma
कर्नाटक	Karnataka
काठमांडू	Kathmandu
क़ाज़ाक़्स्तान	Kazakhstan
कैल्विन	Kelvin
केंट	Kent
कीनिया	Kenya
कीव	Kiev
किलोग्राम	Kilogram
किन्शासा	Kinshasa
नॉट (इकाई)	Knot (speed)
ज्ञान	Knowledge
क्नूट हामसन	Knut Hamsun
कोबे	Kobe
कोलकाता	Kolkata
कोरिया युद्ध	Korean War
कोसोवो गणराज्य	Kosovo
एनैक क्राकाटाओ	Krakatoa
श्रीकृष्ण	Krishna
क्रिप्टन	Krypton
क्वाला लमपुर	Kuala Lumpur
गुओमिंदांग	Kuomintang
क़ुर्दिस्तान	Kurdistan
कुवैत	Kuwait
लागोस	Lagos
लाहौर	Lahore
झील	Lake
ईरी	Lake Erie
ह्यूरॉन	Lake Huron
मिशिगन झील	Lake Michigan
ओन्टारियो झील	Lake Ontario
सुपीरियर झील	Lake Superior
लक्ष्मी	Lakshmi
