English	Icelandic
David Hume	David Hume
David Livingstone	David Livingstone
David Ricardo	David Ricardo
Day	Sólarhringur
Days	Flokkur:Dagar
Deacon	Djákni
Dead Sea	Dauðahaf
Death	Dauði
Decade	Áratugur
December	Desember
December 31	31. desember
December 8	8. desember
Decibel	Desíbel
Decimal	Tugakerfi
Deconstruction	Afbygging
Deductive reasoning	Afleiðsla
Deer	Hjartardýr
Degree	Gráða
Deimos (moon)	Deimos
Deism	Frumgyðistrú
Delaware	Delaware (fylki)
Delphi	Delfí
Delta (letter)	Delta
Demeter	Demetra
Democracy	Lýðræði
Democratic Party (United States)	Demókrataflokkurinn
Democratic Republic of the Congo	Austur-Kongó
Democratic Republic of the Congo	Flokkur:Austur-Kongó
Democritus	Demókrítos
Demography	Lýðfræði
Demosthenes	Demosþenes
Denis Diderot	Denis Diderot
Denmark	Danmörk
Denmark	Flokkur:Danmörk
Density	Eðlismassi
Dentistry	Tannlækningar
Denver	Denver
Derivative	Deildun
Desert	Eyðimörk
Deserts	Flokkur:Eyðimerkur
Desiderius Erasmus	Desiderius Erasmus
Design	Hönnun
Destroyer	Tundurspillir
Determinant	Ákveða
Detroit	Detroit
Developmental psychology	Þroskasálfræði
Device driver	Rekill (tölvunarfræði)
Devon	Devon
Devonian	Devontímabilið
Dhaka	Daka
Diabetes mellitus	Sykursýki
Dialect	Mállýska
Dialectic	Þrætubók
Diameter	Þvermál
Diamond	Demantur
Diana	Díana prinsessa
Diarrhea	Niðurgangur
Diatom	Kísilþörungar
Dicotyledon	Tvíkímblöðungar
Dictatorship	Einræði
Dictionary	Orðabók
Diesel engine	Díselvél
Digestion	Melting
Digestive system	Flokkur:Meltingarkerfið
Digital camera	Stafræn ljósmyndun
Dinosaur	Risaeðlur
Diocletian	Diocletianus
Diode	Tvistur
Diphthong	Tvíhljóð
Diplomacy	Ríkiserindrekstur
Direct current	Jafnstraumur
Disaccharide	Tvísykrur
Disambiguation	Flokkur:Aðgreiningarsíður
Disease	Sjúkdómur
Distance	Fjarlægðarformúlan
Divergence	Sundurleitni
Division (mathematics)	Deiling
Djibouti	Flokkur:Djíbútí
Dmitri Mendeleev	Dmitri Mendelejev
Dmitri Shostakovich	Dímítríj Sjostakovítsj
Dnieper River	Dnjepr
Doberman Pinscher	Dobermann
Dodecanese	Tylftareyjar
Dodo	Dúdúfugl
Dodoma	Dódóma
Dog	Hundur
Dollar	Dalur (gjaldmiðill)
Dolly (sheep)	Dolly
Dolphin	Höfrungar
Domain (biology)	Lén (líffræði)
Domain name	Lén (tölvunarfræði)
Dome	Hvolfþak
Dominica	Flokkur:Dóminíka
Dominican Republic	Dóminíska lýðveldið
Dominican Republic	Flokkur:Dóminíska lýðveldið
Domitian	Dómitíanus
Don Quixote	Don Kíkóti
Don River (Russia)	Don
Donald Duck	Andrés Önd
Donatello	Donatello
Door	Hurð
Doppler effect	Dopplerhrif
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Douala	Dóúala
Double bass	Kontrabassi
Dracula	Drakúla
Dragon	Dreki (goðsagnavera)
Drama	Leikrit
Draughts	Damm
Dream	Draumur
Dresden	Dresden
Dromedary	Drómedari
Drug addiction	Fíkn
Drum	Tromma
Dualism	Tvíhyggja
Dualism (philosophy of mind)	Tvíhyggja
Dubai	Dúbæ
Dublin	Dyflinn
Duck	Önd
Duke University	Duke-háskóli
Dune	Sandalda
Dunkirk	Dunkerque
Duodenum	Skeifugörn
Dushanbe	Dúshanbe
Dutch people	Flokkur:Hollendingar
Dwight D. Eisenhower	Dwight D. Eisenhower
Dyslexia	Lesblinda
Dystopia	Dystópía
E	E
E (mathematical constant)	E (stærðfræðilegur fasti)
E-mail	Tölvupóstur
Ear	Eyra
Eared seal	Eyrnaselir
Earless seal	Selaætt
Earth	Jörðin
Earth	Flokkur:Jörðin
Earth science	Jarðvísindi
Earthquake	Jarðskjálfti
East	Austur
East Africa	Austur-Afríka
East Germany	Austur-Þýskaland
East Sussex	Austur-Sussex
East Timor	Austur-Tímor
East Timor	Flokkur:Austur-Tímor
Easter	Páskar
Eastern Orthodox Church	Rétttrúnaðarkirkjan
Ecliptic	Sólbaugur
Ecology	Vistfræði
Ecology	Flokkur:Vistfræði
Economics	Hagfræði
Economics	Flokkur:Hagfræði
Ecosystem	Vistkerfi
Ecuador	Ekvador
Ecuador	Flokkur:Ekvador
Edgar Allan Poe	Edgar Allan Poe
Edinburgh	Edinborg
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Education	Menntun
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Egg (biology)	Egg (matvæli)
Egypt	Egyptaland
Egypt	Flokkur:Egyptaland
Eiffel Tower	Eiffelturninn
El Cid	El Cid
El Paso	El Paso
El Salvador	El Salvador
El Salvador	Flokkur:El Salvador
Elbe	Saxelfur
Eleanor Roosevelt	Eleanor Roosevelt
Electra	Elektra
Electric charge	Rafhleðsla
Electric current	Rafstraumur
Electrical resistance	Rafmótstaða
Electricity	Rafmagn
Electricity	Flokkur:Rafmagn
Electrolysis	Rafgreining
Electrolyte	Raflausn
Electromagnetic radiation	Rafsegulgeislun
Electromagnetism	Rafsegulfræði
Electron	Rafeind
Electronics	Rafeindatækni
Elementary particle	Öreind
Elephant	Fíll
Elf	Álfur
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Emilia-Romagna	Emilía-Rómanja
Emily Dickinson	Emily Dickinson
Emma Goldman	Emma Goldman
Emotion	Tilfinning
Empedocles	Empedókles
Emperor	Keisari
Emperor Penguin	Keisaramörgæs
Empire State Building	Empire State-byggingin
Empiricism	Raunhyggja
Encyclopedia	Alfræðirit
Endocrine system	Innkirtlakerfið
Endocrinology	Innkirtlafræði
Endocrinology	Flokkur:Innkirtlafræði
Energy	Orka
Energy	Flokkur:Orka
Energy (society)	Orka
Engineering	Verkfræði
Engineering	Flokkur:Verkfræði
England	England
England	Flokkur:England
English Channel	Ermarsund
English Civil War	Enska borgarastyrjöldin
English language	Enska
English language	Flokkur:Enska
English people	Flokkur:Englendingar
Enrico Fermi	Enrico Fermi
Entertainment	Flokkur:Afþreying
Entomology	Skordýrafræði
Entomology	Flokkur:Skordýrafræði
Environment	Flokkur:Umhverfið
Enzyme	Ensím
Ephesus	Efesos
Epicenter	Skjálftamiðja
Epictetus	Epiktetos
Epicurus	Epikúros
Epilepsy	Flogaveiki
Epistemology	Þekkingarfræði
Epsilon	Epsílon
Equation	Jafna
Equator	Miðbaugur
Equatorial Guinea	Miðbaugs-Gínea
Equinox	Jafndægur
Erasure	Erasure
Eratosthenes	Eratosþenes
Erection	Standpína
Ericaceae	Lyngætt
Ericales	Lyngbálkur
Eritrea	Flokkur:Erítrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Erosion	Rof
Eschatology	Heimslitafræði
Esophagus	Vélinda
Esperanto	Esperanto
Esperanto	Flokkur:Esperanto
Espoo	Espoo
Espresso	Espressó
Essen	Essen
Essex	Essex
Estonia	Flokkur:Eistland
Estrogen	Estrógen
Eta (letter)	Eta
Ethanol	Etanól
Ethics	Siðfræði
Ethics	Flokkur:Siðfræði
Ethiopia	Eþíópía
Ethiopia	Flokkur:Eþíópía
Ethnology	Flokkur:Þjóðfræði
Etymology	Orðsifjafræði
Euclid	Evklíð
Eukaryote	Heilkjörnungar
Euphemism	Veigrunarorð
Euphrates	Efrat
Eurasia	Evrasía
Euripides	Evripídes
Euro	Evra
Europa (mythology)	Evrópa (gyðja)
Europe	Evrópa
Europe	Flokkur:Evrópa
European Community	Evrópubandalagið
European Union	Evrópusambandið
European Union	Flokkur:Evrópusambandið
Eva Braun	Eva Braun
Even-toed ungulate	Klaufdýr
Evolution	Þróunarkenningin
Excommunication	Bannfæring
Exhibitionism	Strípihneigð
Existentialism	Tilvistarstefna
Explosion	Sprenging
Exponentiation	Veldi (stærðfræði)
Eye	Auga
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Fact	Snið:Heimild vantar
Factorial	Aðfeldi
Factory	Verksmiðja
Fado	Fado
Fagales	Beykibálkur
Falkland Islands	Falklandseyjar
Fallacy	Rökvilla
Falun Gong	Falun Gong
Family (biology)	Ætt (flokkunarfræði)
Farad	Farad
Faroe Islands	Flokkur:Færeyjar
Fascism	Fasismi
Fashion	Flokkur:Tíska
Fashion	Tíska
Fast food	Skyndibiti
Fatah	Fatah
Fauna	Fána
Fax	Símbréf
Fear	Ótti
February	Febrúar
February 12	12. febrúar
February 14	14. febrúar
February 2	2. febrúar
February 22	22. febrúar
February 29	29. febrúar
Federal Bureau of Investigation	Bandaríska alríkislögreglan
Federated States of Micronesia	Míkrónesía (ríki)
Federated States of Micronesia	Flokkur:Míkrónesía
Federico Fellini	Federico Fellini
Feldspar	Feldspat
Felidae	Kattardýr
Feminism	Femínismi
Feminism	Flokkur:Femínismi
Fencing	Skylmingar
Fennel	Fennikka
Fenrir	Fenrisúlfur
Ferdinand II	Ferdinand 2. keisari
Ferdinand Magellan	Ferdinand Magellan
Fermion	Fermíeind
Fertilizer	Áburður
Feudalism	Lénsskipulag
Fibonacci number	Fibonacciruna
Fidel Castro	Fidel Castro
Fiji	Fídjieyjar
File Transfer Protocol	FTP
File system	Skráakerfi
Film	Flokkur:Kvikmyndir
Film	Kvikmynd
Fin Whale	Langreyður
Finance	Fjármál
Finger	Fingur
Finland	Finnland
Finland	Flokkur:Finnland
Fire	Eldur
Firearm	Skotvopn
Fish	Fiskur
Fish	Flokkur:Fiskar
Fjord	Fjörður
Flag	Fáni
Flamenco	Flamenco
Flamingo	Flæmingjar
Flanders	Flæmingjaland
Flemish (linguistics)	Flæmska
Flood	Flóð
Florence	Flórens
Florence Nightingale	Florence Nightingale
Florida	Flórída
Florida	Flokkur:Flórída
Flower	Blóm
Flowering plant	Dulfrævingar
Fluid	Kvikefni
Flute	Flauta
Fog	Þoka
Folic acid	Fólinsýra
Folk music	Þjóðlagatónlist
Folklore	Þjóðsaga
Food	Matur
Football (soccer)	Knattspyrna
Football (soccer)	Flokkur:Knattspyrna
Force	Kraftur
Forest	Skógur
Formic acid	Maurasýra
Fort Worth	Fort Worth
Fossil	Steingervingur
Fossil fuel	Jarðefnaeldsneyti
Fox	Refir
Fraction (mathematics)	Almenn brot
France	Frakkland
France	Flokkur:Frakkland
Francis Bacon	Francis Bacon (heimspekingur)
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Francis of Assisi	Frans frá Assisí
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Francium	Fransín
Franco-Prussian War	Fransk-prússneska stríðið
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt	Frankfurt am Main
Frankfurt	Flokkur:Frankfurt
Frankfurt (disambiguation)	Frankfurt (aðgreining)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Frederick I	Friðrik barbarossa
Free will	Frjáls vilji
Freedom of speech	Málfrelsi
Freemasonry	Frímúrarareglan
Freetown	Freetown
French Polynesia	Franska Pólýnesía
French Polynesia	Flokkur:Franska Pólýnesía
French Revolution	Franska byltingin
French people	Flokkur:Frakkar
Frequency	Tíðni
Freyja	Freyja
Freyr	Freyr (norræn goðafræði)
Friday	Föstudagur
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Frigate	Freigáta
Frigg	Frigg Fjörgynsdóttir
Friuli-Venezia Giulia	Friúlí
Frog	Froskar
Fruit	Ávöxtur
Fruit	Flokkur:Ávextir
Fucking	Fucking
Funafuti	Fúnafútí
Function (mathematics)	Fall (stærðfræði)
Fundamental	Flokkur:Grunnflokkar
Fundamental interaction	Frumkraftur
Fundamentalism	Bókstafstrú
Fungus	Sveppur
Funicular	Fjallatoglest
Furniture	Húsgagn
Future	Framtíð
Fyodor Dostoevsky	Fjodor Dostojevskíj
G	G
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Gabon	Flokkur:Gabon
Gaborone	Gaboróne
Gaia (mythology)	Gaia
Galatia	Galatía
Galaxy	Stjörnuþoka
Galen	Galenos
Galicia (Spain)	Galisía
Galileo Galilei	Galíleó Galílei
Gallbladder	Gallblaðra
Galley	Galeiða
Galliformes	Hænsnfuglar
Gallium	Gallín
Gamal Abdel Nasser	Gamal Abdel Nasser
Gambling	Fjárhættuspil
Game	Spil
Game theory	Leikjafræði
Gamma	Gamma
Gamma ray	Gammageisli
Ganges	Ganges
Ganymede (moon)	Ganýmedes (tungl)
Garden	Garður
Gargoyle	Ufsagrýla
Gas	Gas
Gas giant	Gasrisi
Gastrointestinal tract	Meltingarkerfið
Gastropoda	Sniglar
Gaul	Gallía
Gautama Buddha	Gautama Búdda
Gaza Strip	Gasaströndin
Gene	Erfðavísir
Genealogy	Ættfræði
Genealogy	Flokkur:Ættfræði
General relativity	Almenna afstæðiskenningin
Genetics	Erfðafræði
Genetics	Flokkur:Erfðafræði
Geneva	Genf
Genitive case	Eignarfall
Genoa	Genoa
Genocide	Flokkur:Þjóðarmorð
Genus	Ættkvísl (flokkunarfræði)
Geochemistry	Jarðefnafræði
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Landafræði
Geography	Flokkur:Landafræði
Geography	Gátt:Landafræði
Geology	Flokkur:Jarðfræði
Geology	Jarðfræði
Geometry	Rúmfræði
Geometry	Flokkur:Rúmfræði
Geomorphology	Flokkur:Landmótunarfræði
Geophysics	Jarðeðlisfræði
Geophysics	Flokkur:Jarðeðlisfræði
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Harrison	George Harrison
George Lucas	George Lucas
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georges Clemenceau	Georges Clemenceau
Georgetown	Georgetown
Georgia (U.S. state)	Georgía (fylki BNA)
Georgia (U.S. state)	Flokkur:Georgíufylki
Georgia (country)	Georgía
Gerald Ford	Gerald Ford
German Shepherd Dog	Þýskur fjárhundur
German language	Þýska
German language	Flokkur:Þýska
Germanium	German
Germany	Þýskaland
Germany	Flokkur:Þýskaland
Ghana	Gana
Ghana	Flokkur:Gana
Ghent	Gent
Giacomo Puccini	Giacomo Puccini
Giant Panda	Pandabjörn
Gibraltar	Gíbraltar
Gibraltar	Flokkur:Gíbraltar
Gilgamesh	Gilgamesh
Giordano Bruno	Giordano Bruno
Giorgio de Chirico	Giorgio de Chirico
Giovanni Boccaccio	Giovanni Boccaccio
Giuseppe Verdi	Giuseppe Verdi
Glacier	Jökull
Glasgow	Glasgow
Glass	Gler
Global Positioning System	Global Positioning System
Global warming	Heimshlýnun
Globalization	Hnattvæðing
Gloucestershire	Gloucestershire
Glucagon	Glúkagon
Glucose	Glúkósi
Glycerol	Glýseról
Gnathostomata	Kjálkadýr
Go (board game)	Gó
God	Guð
Gold	Gull
Golda Meir	Golda Meir
Golden Retriever	Gullinsækir
Golf	Golf
Golf	Flokkur:Golf
Golgi apparatus	Golgiflétta
Good Friday	Föstudagurinn langi
Google	Google
Googol	Googol
Gothenburg	Gautaborg
Gothic	Gotneskur
Government	Ríkisstjórn
Gradient	Stigull
Graham Greene	Graham Greene
Grammar	Málfræði
Grammar	Flokkur:Málfræði
Grand Canyon	Miklagljúfur
Grape	Vínber
Graphite	Grafít
Gravitation	Þyngdarafl
Gray (unit)	Grei
Gray Wolf	Úlfur
Graz	Graz
Great Barrier Reef	Kóralrifið mikla
Great Britain	Stóra-Bretland
Great Depression	Kreppan mikla
Great Lakes	Vötnin miklu
Great Wall of China	Kínamúrinn
Great white shark	Hvíthákarl
Greater Antilles	Stóru-Antillaeyjar
Greater London	Stórborgarsvæði Lundúna
Grebe	Goðar
Greece	Grikkland
Greece	Flokkur:Grikkland
Greek alphabet	Grískt stafróf
Greek mythology	Grísk goðafræði
Greek mythology	Flokkur:Grísk goðafræði
Greenhouse effect	Gróðurhúsaáhrif
Greenhouse gas	Gróðurhúsalofttegund
Greenland	Grænland
Greenland	Flokkur:Grænland
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Staðartími Greenwich
Gregorian calendar	Gregoríska tímatalið
Grenada	Flokkur:Grenada
Grenoble	Grenoble
Greylag Goose	Grágæs
Gross domestic product	Landsframleiðsla
Group (mathematics)	Grúpa
Group (periodic table)	Flokkur (lotukerfið)
Group theory	Grúpa
Grover Cleveland	Grover Cleveland
Guadeloupe	Gvadelúpeyjar
Guam	Gvam
Guatemala	Flokkur:Gvatemala
Guatemala City	Gvatemalaborg
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guillotine	Fallöxi
Guinea	Gínea
Guinea	Flokkur:Gínea
Guinea-Bissau	Gínea-Bissá
Guinea-Bissau	Flokkur:Gínea-Bissá
Guitar	Gítar
Gulf Stream	Golfstraumurinn
Gulf War	Persaflóastríðið
Gulf of Aden	Adenflói
Gulf of Aqaba	Akabaflói
Gulf of Bothnia	Helsingjabotn
Gulf of Guinea	Gíneuflói
Gulf of Oman	Ómanflói
Gulf of Thailand	Taílandsflói
Gunpowder	Byssupúður
Gunpowder Plot	Púðursamsærið
Gustav Mahler	Gustav Mahler
Guyana	Flokkur:Gvæjana
Gymnastics	Fimleikar
H	H
H. G. Wells	H. G. Wells
HTML	HTML
Hades	Hades
Hadith	Hadíða
Hadrian	Hadríanus
Hadron	Sterkeind
Hafnium	Hafnín
Hagia Sophia	Ægisif
Haifa	Haífa
Haiku	Hæka
Hair	Hár
Haiti	Haítí
Haiti	Flokkur:Haítí
Hajj	Hadsjí
Halal	Halal
Half-life	Helmingunartími
Halloween	Hrekkjavaka
Halogen	Halógen
Hamas	Hamas
Hamburg	Hamborg
Hamburger	Hamborgari
Hammer	Hamar
Hammurabi	Hammúrabí
Hampshire	Hampshire
Handgun	Skammbyssa
Hanging Gardens of Babylon	Hengigarðarnir í Babýlon
Hannibal	Hannibal Barca
Hanoi	Hanoí
Hanover	Hannover
Hans Christian Andersen	H.C. Andersen
Hanseatic League	Hansasambandið
Happiness	Hamingja
Harare	Harare
Harold Pinter	Harold Pinter
Harriet Tubman	Harriet Tubman
Harry Houdini	Harry Houdini
Hatred	Hatur
Havana	Havana
Hawaii	Hawaii
Head	Höfuð
Head of state	Þjóðhöfðingi
Health	Heilsa
Health	Flokkur:Heilsa
Heart	Hjarta
Heat	Varmi
Hebe (mythology)	Heba
Hebrew calendar	Hebreska almanakið
Hebrides	Suðureyjar
Hectare	Hektari
Hector	Hektor
Hector Berlioz	Hector Berlioz
Hedonism	Nautnahyggja
Heimdall	Heimdallur
Heinrich Himmler	Heinrich Himmler
Helen Keller	Helen Keller
Helena	Helena (borg í Montana)
Helicopter	Þyrla
Helios	Helíos
Helium	Helín
Hell	Helvíti
Helsinki	Helsinki
Hematology	Blóðfræði
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry (SI-mælieining)
Henry Cavendish	Henry Cavendish
Henry Ford	Henry Ford
Henry Purcell	Henry Purcell
Hepatitis	Lifrarbólga
Hephaestus	Hefæstos
Hera	Hera (gyðja)
Heraclitus	Herakleitos
Herbert Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Heresy	Villutrú
Hermann Hesse	Hermann Hesse
Hermaphrodite	Tvíkynjungur
Hero of Alexandria	Heron frá Alexandríu
Herodotus	Heródótos
Heroin	Heróín
Hertfordshire	Hertfordshire
Hesiod	Hesíódos
Hesse	Hessen
Heterosexuality	Gagnkynhneigð
Heterotroph	Ófrumbjarga lífvera
Hexadecimal	Sextánundakerfi
Hezbollah	Hizbollah
Himalayas	Himalajafjöll
Hinduism	Hindúismi
Hinduism	Flokkur:Hindúismi
Hippocrates	Hippókrates
Hippocratic Oath	Hippókratesareiðurinn
Hirohito	Showa keisari
Hispaniola	Hispaníóla
History	Sagnfræði
History	Flokkur:Saga
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Ho Chi Minh-borg
Hobart	Hobart
Hokusai	Hokusai
Holiday	Helgidagur
Hollywood	Hollywood
Holocene	Nútími (jarðfræði)
Holy Roman Empire	Heilaga rómverska ríkið
Holy Roman Empire	Flokkur:Heilaga rómverska ríki
Holy Spirit	Heilagur andi
Homeostasis	Samvægi
Homer	Hómer
Hominidae	Mannætt
Homosexuality	Samkynhneigð
Honduras	Hondúras
Honduras	Flokkur:Hondúras
Honey	Hunang
Hong Kong	Hong Kong
Hong Kong	Flokkur:Hong Kong
Honiara	Honíara
Hookah	Vatnsreykjarpípa
Horace	Hóratíus
Horizon	Sjóndeildarhringur
Hormone	Hormón
Horn of Africa	Horn Afríku
Horse	Hestur
Hosni Mubarak	Hosni Mubarak
Hour	Klukkustund
House	Hús
House Mouse	Húsamús
House Sparrow	Gráspör
Houston	Houston
Howard Carter (archaeologist)	Howard Carter
Hugo Grotius	Hugo Grotius
Human	Maður
Humanities	Flokkur:Hugvísindi
Hummingbird	Kólibrífuglar
Hundred Years' War	Hundrað ára stríðið
Hungary	Ungverjaland
Hungary	Flokkur:Ungverjaland
Hunting	Veiðar
Hydrocarbon	Kolvetni
Hydrochloric acid	Saltsýra
Hydrogen	Vetni
Hydrogen cyanide	Vetnissýaníð
Hydrology	Vatnafræði
Hyperbole	Ýkjur
Hypertext	Stiklutexti
Hypertext Transfer Protocol	HTTP
Hypothesis	Tilgáta
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Iapetus (mythology)	Japetos
Iberian Peninsula	Íberíuskaginn
Ice	Ís
Ice hockey	Íshokkí
Iceland	Ísland
Iceland	Flokkur:Ísland
Ichthyology	Fiskifræði
Idaho	Idaho
Idealism	Hughyggja
Ideology	Hugmyndafræði
Ido	Ido
Igneous rock	Storkuberg
Igor Stravinsky	Ígor Stravinskíj
Iliad	Ilíonskviða
Illinois	Illinois
Illinois	Flokkur:Illinois
Illyria	Illyría
Imam	Imam
Immanuel Kant	Immanuel Kant
Imperialism	Heimsvaldastefna
Incest	Sifjaspell
Inclined plane	Skábraut
Independence	Sjálfstæði
India	Indland
India	Flokkur:Indland
Indian Ocean	Indlandshaf
Indian Ocean	Flokkur:Indlandshaf
Indiana	Indiana fylki
Indiana	Flokkur:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indín
Indochina	Indókína
Indonesia	Indónesía
Indonesia	Flokkur:Indónesía
Inductance	Span
Inductive reasoning	Tilleiðsla
Inductor	Spanspóla
Indus River	Indusfljót
Industrial Revolution	Iðnbyltingin
Industry	Iðnaður
Infantry	Fótgöngulið
Infinitive	Nafnháttur
Infinity	Óendanleiki
Inflation	Verðbólga
Influenza	Inflúensa
Information	Upplýsingar
Information technology	Upplýsingatækni
Infrared	Innrautt ljós
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Innsbruck	Innsbruck
Inorganic chemistry	Flokkur:Ólífræn efnafræði
Insect	Skordýr
Insulin	Insúlín
Integer	Heiltölur
Integral	Heildun
Intelligence quotient	Greindarvísitala
International Atomic Energy Agency	Alþjóða kjarnorkumálastofnunin
International Civil Aviation Organization	Alþjóðaflugmálastofnunin
International Court of Justice	Alþjóðadómstóllinn
International Date Line	Daglínan
International Monetary Fund	Alþjóðagjaldeyrissjóðurinn
International System of Units	Alþjóðlega einingakerfið
International law	Flokkur:Þjóðaréttur
International organization	Alþjóðastofnun
Internet	Internetið
Internet	Flokkur:Internetið
Internet Explorer	Internet Explorer
Interpreter (computing)	Túlkur (tölvunarfræði)
Intersection (set theory)	Sniðmengi
Interval (music)	Tónbil
Invertebrate	Hryggleysingjar
Io (moon)	Íó
Io (mythology)	Íó (gyðjan)
Iodine	Joð
Ion	Jón (efnafræði)
Ionia	Jónía
Ionian Sea	Jónahaf
Iota	Jóta
Iowa	Iowa
Iran	Íran
Iran	Flokkur:Íran
Iran-Iraq War	Stríð Íraks og Írans
Iraq	Írak
Iraq	Flokkur:Írak
Ireland	Írland
Ireland	Flokkur:Írland
Iridium	Iridín
Irish Sea	Írlandshaf
Irish people	Flokkur:Írar
Iron	Járn
Iron Age	Járnöld
Iron Curtain	Járntjaldið
Iron Maiden	Iron Maiden
Irony	Íronía
Irrational number	Óræðar tölur
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Islam	Íslam
Islam	Flokkur:Íslam
Islamabad	Islamabad
Islamic calendar	Íslamska tímatalið
Island	Eyja
Isle of Man	Mön (Írlandshafi)
Isle of Wight	Wighteyja
Isotope	Samsæta
Israel	Ísrael
Israel	Flokkur:Ísrael
Istanbul	Istanbúl
Isthmus	Eiði
Isthmus of Panama	Panamaeiðið
Italian Peninsula	Appennínaskagi
Italo Calvino	Italo Calvino
Italy	Ítalía
Italy	Flokkur:Ítalía
Ivan Pavlov	Ívan Petrovítsj Pavlov
Ivan Turgenev	Ívan Túrgenjev
Ivy League	Ivy League
J	J
J. D. Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Jackdaw	Dvergkráka
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jainism	Jaínismi
Jakarta	Djakarta
Jamaica	Jamaíka
Jamaica	Flokkur:Jamaíka
James A. Garfield	James Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Watt	James Watt
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
January	Janúar
January 1	1. janúar
January 19	19. janúar
January 20	20. janúar
January 6	6. janúar
Japan	Japan
Japan	Flokkur:Japan
Jason	Jason Argóarfari
Java	Java
Java (programming language)	Java (forritunarmál)
Jazz	Djass
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jeddah
Jehovah	JHVH
Jehovah's Witnesses	Vottar Jehóva
Jellyfish	Marglyttur
Jeremy Bentham	Jeremy Bentham
Jersey	Jersey
Jerusalem	Jerúsalem
Jesus	Jesús
Jew	Gyðingar
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jóhanna af Örk
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Gutenberg	Johann Gutenberg
Johannes Kepler	Johannes Kepler
Johannesburg	Jóhannesarborg
John Adams	John Adams
John Dewey	John Dewey
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Liðamót
Jordan	Jórdanía
Jordan	Flokkur:Jórdanía
Jordan River	Jórdan
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Smith	Joseph Smith
