English	Icelandic
Andorra	Andorra
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andromeda	Andrómeda
Andromeda (mythology)	Andrómeda (grísk goðafræði)
Andy Warhol	Andy Warhol
Angle	Bogagráða
Angola	Angóla
Angola	Flokkur:Angóla
Anguilla	Angvilla
Angular momentum	Hverfiþungi
Anicius Manlius Severinus Boethius	Boethíus
Animal	Dýr
Animal husbandry	Búfjárrækt
Animation	Teiknimynd
Anime	Anime
Anime	Flokkur:Anime
Animism	Andatrú
Ankara	Ankara
Anno Domini	Anno Domini
Anode	Forskaut
Anorexia nervosa	Lystarstol
Anseriformes	Gásfuglar
Anseriformes	Flokkur:Gásfuglar
Ant	Maurar
Antananarivo	Antananarívó
Antarctica	Suðurskautslandið
Anthony Hopkins	Anthony Hopkins
Anthrax	Miltisbrandur
Anthropology	Mannfræði
Anthropology	Flokkur:Mannfræði
Antibiotic	Sýklalyf
Antigua and Barbuda	Antígva og Barbúda
Antigua and Barbuda	Flokkur:Antígva og Barbúda
Antimony	Antimon
Anton Chekhov	Anton Tsjekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Andheiti
Antwerp	Antwerpen
Antwerp (province)	Antwerpen-hérað
Anus	Endaþarmsop
Ape	Api
Aphrodite	Afródíta
Apocrypha	Apókrýf rit
Apodiformes	Þytfuglar
Appalachian Mountains	Appalachiafjöll
Apple	Epli
April	Apríl
April 14	14. apríl
April Fools' Day	Aprílgabb
Apulia	Apúlía
Aqua regia	Kóngavatn
Aquarium	Fiskabúr
Arab League	Arababandalagið
Arabian Peninsula	Arabíuskaginn
Arabian Sea	Arabíuhaf
Arabic language	Arabíska
Arachnid	Áttfætlur
Aral Sea	Aralvatn
Arch	Bogi (byggingarlist)
Archaeology	Fornleifafræði
Archaeology	Flokkur:Fornleifafræði
Archaeopteryx	Öglir
Archangel	Erkiengill
Archbishop	Erkibiskup
Archimedes	Arkímedes
Archipelago	Eyjaklasi
Architect	Arkitekt
Architecture	Byggingarlist
Architecture	Flokkur:Byggingarlist
Arctic	Norðurslóðir
Arctic Ocean	Norður-Íshaf
Arctic fox	Heimskautarefur
Area	Flatarmál
Ares	Ares
Argentina	Argentína
Argentina	Flokkur:Argentína
Argon	Argon
Aristocracy	Aðalsveldi
Aristophanes	Aristófanes
Aristotle	Aristóteles
Arithmetic	Talnareikningur
Arius	Aríus
Arizona	Arizona
Arizona	Flokkur:Arizona
Arkansas	Arkansas
Armenia	Armenía
Armenia	Flokkur:Armenía
Armenian language	Armenska
Armour	Herklæði
Arno River	Arnó
Arsenic	Arsen
Art	List
Artery	Slagæð
Arthropod	Liðdýr
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Artificial intelligence	Gervigreind
Artificial intelligence	Flokkur:Gervigreind
Artillery	Stórskotalið
Arts	Flokkur:List
Aruba	Arúba
Aruba	Flokkur:Arúba
Asgard	Ásgarður
Ash Wednesday	Öskudagur
Asia	Asía
Asia	Flokkur:Asía
Asmara	Asmara
Aspartame	Aspartam
Aspirin	Acetýlsalicýlsýra
Assembly language	Smalamál
Association of Southeast Asian Nations	Samband Suðaustur-Asíuríkja
Astana	Astana
Astatine	Astat
Asteraceae	Körfublómaætt
Asteraceae	Flokkur:Körfublómaætt
Asteroid	Smástirni
Asteroid belt	Smástirnabeltið
Asthma	Astmi
Astrobiology	Stjörnulíffræði
Astrology	Stjörnuspeki
Astronomical unit	Stjarnfræðieining
Astronomy	Stjörnufræði
Astronomy	Flokkur:Stjörnufræði
Astrophysics	Stjarneðlisfræði
Astrophysics	Flokkur:Stjarneðlisfræði
Atacama Desert	Atacama
Atheism	Flokkur:Guðleysi
Athena	Aþena (gyðja)
Athens	Aþena
Athletics (track and field)	Frjálsar íþróttir
Atlanta	Atlanta
Atlantic Ocean	Atlantshaf
Atlantic Ocean	Flokkur:Atlantshaf
Atlantis	Atlantis
Atlas (disambiguation)	Atlas
Atlas Mountains	Atlasfjöll
Atmosphere	Andrúmsloft
Atoll	Hringrif
Atom	Frumeind
Atomic mass	Atómmassi
Atomic number	Sætistala
Atomic physics	Flokkur:Atómfræði
Atreus	Atreifur
Attila the Hun	Atli Húnakonungur
August	Ágúst
August 1	1. ágúst
August 15	15. ágúst
August 6	6. ágúst
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Ágústínus
Augustus	Ágústus
Aurora (astronomy)	Segulljós
Austin	Austin (Texas)
Australasia	Ástralasía
Australia	Ástralía
Australia	Flokkur:Ástralía
Australian dollar	Ástralskur dalur
Austria	Austurríki
Austria	Flokkur:Austurríki
Austria-Hungary	Austurríki-Ungverjaland
Auto racing	Akstursíþróttir
Autobiography	Sjálfsævisaga
Automobile	Bifreið
Autonomic nervous system	Dultaugakerfið
Autotroph	Frumbjarga lífvera
Autumn	Haust
Avalanche	Snjóflóð
Averroes	Averróes
Avicenna	Avicenna
Avocado	Lárpera
Axe	Öxi
Axiom	Frumsenda
Ayn Rand	Ayn Rand
Azerbaijan	Aserbaídsjan
Azerbaijan	Flokkur:Aserbaídsjan
Azimuth	Áttarhorn
Azores	Asóreyjar
Aztec	Astekar
B	B
BASIC	BASIC (forritunarmál)
Backgammon	Kotra
Bacteria	Gerlar
Bactrian Camel	Kameldýr
Badminton	Badminton
Baghdad	Bagdad
Bahamas	Flokkur:Bahamaeyjar
Bahrain	Barein
Bahrain	Flokkur:Barein
Baku	Bakú
Baldr	Baldur
Balkans	Balkanskaginn
Baltic Sea	Eystrasalt
Baltimore	Baltimore
Bamako	Bamakó
Bamboo	Bambus
Banana	Banani
Banana republic	Bananalýðveldi
Bangkok	Bangkok
Bangladesh	Bangladess
Bangladesh	Flokkur:Bangladess
Bangui	Bangví
Bank	Banki
Banks	Flokkur:Bankar
Baptism	Skírn
Barbados	Barbados
Barbados	Flokkur:Barbados
Barbarian	Barbari
Barcelona	Barselóna
Barents Sea	Barentshaf
Bari	Bari
Barium	Barín
Barley	Bygg
Barometer	Loftvog
Baroque	Barokk
Barrel (unit)	Olíutunna
Baryon	Þungeind
Basalt	Basalt
Base (chemistry)	Basi
Baseball	Hafnabolti
Basel	Basel
Basidiomycota	Kólfsveppir
Basil	Basilíka
Basilicata	Basilíkata
Basketball	Körfuknattleikur
Basketball	Flokkur:Körfuknattleikur
Bass guitar	Rafbassi
Bassoon	Fagott
Bastille	Bastille
Bat	Leðurblaka
Battalion	Herfylki
Battery (electricity)	Rafhlaða
Battle of Marathon	Orrustan við Maraþon
Bavaria	Bæjaraland
Bay of Bengal	Bengalflói
Bay of Biscay	Biskajaflói
Beagle	Beagle
Bear	Bjarndýr
Beaufort scale	Beaufort-kvarðinn
Becquerel	Bekerel
Bee	Býfluga
Beer	Bjór (öl)
Behaviorism	Atferlishyggja
Beijing	Beijing
Beirut	Beirút
Belarus	Hvíta-Rússland
Belarus	Flokkur:Hvíta-Rússland
Belfast	Belfast
Belgium	Belgía
Belgium	Flokkur:Belgía
Belgrade	Belgrad
Belize	Belís
Belo Horizonte	Belo Horizonte
Benelux	Benelúxlöndin
Benin	Benín
Benin	Flokkur:Benín
Benito Mussolini	Benito Mussolini
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Beowulf	Bjólfskviða (kvæði)
Bergen	Björgvin
Bering Strait	Beringssund
Berkshire	Berkshire
Berlin	Berlín
Bermuda	Bermúda
Berne	Bern
Bernhard Riemann	Georg Friedrich Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Beryllín
Beta (letter)	Beta
Beta decay	Betasundrun
Betelgeuse	Betelgás
Bette Davis	Bette Davis
Bhutan	Bútan
Bhutan	Flokkur:Bútan
Bible	Biblían
Bible	Flokkur:Biblían
Bicycle	Reiðhjól
Big Bang	Miklihvellur
Bile	Gall
Bill Clinton	William Jefferson Clinton
Bill Gates	Bill Gates
Binary star	Tvístirni
Biochemistry	Lífefnafræði
Biochemistry	Flokkur:Lífefnafræði
Biography	Ævisaga
Biology	Líffræði
Biology	Flokkur:Líffræði
Biotechnology	Líftækni
Birch	Birki
Bird	Fugl
Birth control	Getnaðarvörn
Bishkek	Bishkek
Bishop	Biskup
Bismuth	Bismút
Bissau	Bissá
Bivalvia	Samlokur
Black	Svartur
Black Death	Svarti dauði
Black Sea	Svartahaf
Black hole	Svarthol
Blackbird	Svartþröstur
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Blinda
Blitzkrieg	Leifturstríð
Bloemfontein	Bloemfontein
Blog	Blogg
Blood	Blóð
Blood plasma	Blóðvökvi
Blood vessel	Æð
Blue	Blár
Blue Whale	Steypireyður
Board game	Borðspil
Boat	Bátur
Bob Dylan	Bob Dylan
Bobby Fischer	Bobby Fischer
Bohemia	Bæheimur
Boiling point	Suðumark
Bolivia	Bólivía
Bolivia	Flokkur:Bólivía
Bologna	Bologna
Bombyx mori	Silkiormur
Bone	Bein
Bonn	Bonn
Book	Bók
Book of Mormon	Mormónsbók
Bordeaux	Bordeaux
