English	Lithuanian
Aldebaran	Aldebaranas
Alder	Alksnis
Aldous Huxley	Aldous Huxley
Aleksandr Solzhenitsyn	Aleksandras Solženicynas
Aleppo	Alepas
Aleutian Islands	Aleutų salos
Alexander	Aleksandras
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pushkin	Aleksandras Puškinas
Alexander the Great	Aleksandras Didysis
Alexandre Dumas	Alexandre Dumas (tėvas)
Alexandria	Aleksandrija
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfredas Nobelis
Alfred Russel Wallace	Alfred Russel Wallace
Algae	Dumbliai
Algebra	Algebra
Algebra	Kategorija:Algebra
Algeria	Alžyras
Algeria	Kategorija:Alžyras
Algiers	Alžyras (miestas)
Algorithm	Algoritmas
Alkali metal	Šarminiai metalai
Alkaloid	Alkaloidas
Alkane	Alkanas
Alkene	Alkenas
Allah	Alachas
Allegory	Alegorija
Allen Ginsberg	Allen Ginsberg
Allergy	Alergija
Allosaurus	Alozauras
Alloy	Lydinys
Almanac	Almanachas
Almaty	Almata
Almond	Migdolas
Aloe	Alavijas
Alpha (letter)	Alfa (raidė)
Alpha Centauri	Kentauro alfa
Alpha particle	Alfa dalelė
Alphabet	Abėcėlė
Alps	Alpės
Alsace	Elzasas
Altair	Altayras
Altar	Aukuras
Altay Mountains	Altajaus kalnai
Alternating current	Kintamoji elektros srovė
Altruism	Altruizmas
Aluminium	Aliuminis
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimerio liga
Amanita muscaria	Paprastoji musmirė
Amanita phalloides	Žalsvoji musmirė
Amaryllidaceae	Amariliniai
Amazon River	Amazonė (upė)
Ambassador	Ambasadorius
Amber	Gintaras
Amedeo Avogadro	Amadeo Avogadro
American Bison	Bizonas
American Black Bear	Juodasis lokys
American Civil War	JAV pilietinis karas
American Samoa	Amerikos Samoa
American Standard Code for Information Interchange	ASCII
American football	Amerikietiškasis futbolas
Americium	Americis
