Croatian	English
Badem	Almond
Aloe	Aloe
Alfa	Alpha (letter)
Alpha Centauri	Alpha Centauri
Alfa-čestica	Alpha particle
Abeceda	Alphabet
Alpe	Alps
Elzas	Alsace
Altair	Altair
Izmjenična struja	Alternating current
Alternativna medicina	Alternative medicine
Altruizam	Altruism
Aluminij	Aluminium
Alvar Aalto	Alvar Aalto
Alzheimerova bolest	Alzheimer's disease
Zelena pupavka	Amanita phalloides
Amaterasu	Amaterasu
Amazona	Amazon River
Veleposlanik	Ambassador
Sveti Ambrozije	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Američki građanski rat	American Civil War
Američki rat za neovisnost	American Revolutionary War
Američka Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Američki nogomet	American football
Kategorija:Američki nogomet	American football
Americij	Americium
Amerigo Vespucci	Amerigo Vespucci
Amin	Amine
Aminokiselina	Amino acid
Amman	Amman
Amonijak	Ammonia
Amnezija	Amnesia
Amper	Ampere
Amfetamin	Amphetamine
Vodozemci	Amphibian
Amfiteatar	Amphitheatre
Amplituda	Amplitude
Amsterdam	Amsterdam
Amon	Amun
Anabaptizam	Anabaptist
Anarhizam	Anarchism
Kategorija:Anarhizam	Anarchism
Anarhija	Anarchy
Patke	Anatidae
Anatole France	Anatole France
Kategorija:Anatomija	Anatomy
Anatomija	Anatomy
Anaksagora	Anaxagoras
Anaksimandar	Anaximander
Sidro	Anchor
Anchorage, Aljaska	Anchorage
Starogrčki jezik	Ancient Greek
Kategorija:Drevna povijest	Ancient history
Andaluzija	Andalusia
Anders Celsius	Anders Celsius
Ande	Andes
Andhra Pradesh	Andhra Pradesh
Andora	Andorra
Kategorija:Andora	Andorra
Andrea Palladio	Andrea Palladio
Andrej Saharov	Andrei Sakharov
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (zviježđe)	Andromeda (constellation)
Andromeda (mitologija)	Andromeda (mythology)
Messier 31	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anemija	Anemia
Anestezija	Anesthesia
Angara	Angara River
Anđeo	Angel
Kut	Angle
Anglikanstvo	Anglicanism
Angola	Angola
Kategorija:Angola	Angola
Angvila	Anguilla
Kutna količina gibanja	Angular momentum
Kutna brzina	Angular velocity
Životinje	Animal
Stočarstvo	Animal husbandry
Animacija	Animation
Anime	Anime
Kategorija:Manga i anime	Anime
Animizam	Animism
Anis	Anise
Ankara	Ankara
Ana Boleyn	Anne Boleyn
Kolutićavci	Annelid
Blagovijest	Annunciation
Anoda	Anode
Anoreksija	Anorexia nervosa
Patkarice	Anseriformes
Kategorija:Patkarice	Anseriformes
Mravi	Ant
Antiohija	Antakya
Antananarivo	Antananarivo
Antarktika	Antarctica
Kategorija:Antarktika	Antarctica
Antares	Antares
Antena	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Antraks (bolest)	Anthrax
Antropologija	Anthropology
Kategorija:Antropologija	Anthropology
Antibiotik	Antibiotic
Antitijelo	Antibody
Antikrist	Antichrist
Anticiklona	Anticyclone
Antigva i Barbuda	Antigua and Barbuda
Kategorija:Antigva i Barbuda	Antigua and Barbuda
Antimaterija	Antimatter
Antimon	Antimony
Protupapa	Antipope
Antisemitizam	Antisemitism
Zračna pumpa (zviježđe)	Antlia
Antofagasta	Antofagasta
Antoine Laurent de Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Pavlovič Čehov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Antonim	Antonym
Antwerpen	Antwerp
Anubis	Anubis
Anus	Anus
Aorta	Aorta
Apači	Apache
Apatit	Apatite
Čovjekoliki majmuni	Ape
Afrodita	Aphrodite
Apia	Apia
Apokrifi	Apocrypha
Srpokrilke	Apodiformes
Apolon	Apollo
Apollo	Apollo (disambiguation)
Projekt Apollo	Apollo program
Jabuka	Apple
Travanj	April
14. travnja	April 14
Apsida	Apse
Apulija	Apulia
Rajska ptica (zviježđe)	Apus
Zlatotopka	Aqua regia
Akvarij	Aquarium
Vodenjak (zviježđe)	Aquarius (constellation)
Orao (zviježđe)	Aquila (constellation)
Akvitanija	Aquitaine
Oltar (zviježđe)	Ara (constellation)
Arapi	Arab
Arapska liga	Arab League
Arapski poluotok	Arabian Peninsula
Arapsko more	Arabian Sea
Arapski jezik	Arabic language
Paučnjaci	Arachnid
Aragonija	Aragon
Aralsko jezero	Aral Sea
Arkadija	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Luk (arhitektura)	Arch
Arheologija	Archaeology
Kategorija:Arheologija	Archaeology
Nadbiskup	Archbishop
Arhaik	Archean
Arhetip	Archetype
Arhimed	Archimedes
Otočje	Archipelago
Arhitektura	Architecture
Kategorija:Arhitektura	Architecture
Arhivalije	Archive
Arktik	Arctic
Polarni krugovi	Arctic Circle
Arktički ocean	Arctic Ocean
Arktička lisica	Arctic fox
Ardennes (departman)	Ardennes (department)
Ar	Are
Površina	Area
Palme	Arecaceae
Ares	Ares
Argentina	Argentina
Kategorija:Argentina	Argentina
Argon	Argon
Arija	Aria
Arijadna (mitologija)	Ariadne
Arijanstvo	Arianism
Ovan (zviježđe)	Aries (constellation)
Aristokracija	Aristocracy
Aristofan	Aristophanes
Aristotel	Aristotle
Aritmetika	Arithmetic
Arius	Arius
Arizona	Arizona
Kategorija:Arizona	Arizona
Kovčeg Saveza	Ark of the Covenant
Arkansas	Arkansas
Kategorija:Arkansas	Arkansas
Arles	Arles
Armenija	Armenia
Kategorija:Armenija	Armenia
Armenski jezik	Armenian language
Arminije	Arminius
Arnhem	Arnhem
Arnold Schönberg	Arnold Schoenberg
Areni	Aromatic hydrocarbon
Arkebuza	Arquebus
Strijela	Arrow
Arsen	Arsenic
Umjetnost	Art
Art Nouveau	Art Nouveau
Povijest umjetnosti	Art history
Artemida	Artemis
Arterija	Artery
Člankonošci	Arthropod
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, Vojvoda od Wellingtona	Arthur Wellesley
Umjetna inteligencija	Artificial intelligence
Kategorija:Umjetna inteligencija	Artificial intelligence
Topništvo	Artillery
Kategorija:Topništvo	Artillery
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Asklepije	Asclepius
Aseksualnost	Asexuality
Asgard	Asgard
Pepelnica	Ash Wednesday
Asurbanipal	Ashurbanipal
Azija	Asia
Kategorija:Azija	Asia
Asmara	Asmara
Acetilsalicilna kiselina	Aspirin
Atentat	Assassination
Asemblerski jezik	Assembly language
Asirija	Assyria
Kategorija:Asirija	Assyria
Astana	Astana
Astat	Astatine
Asteroidi	Asteroid
Asteroidni pojas	Asteroid belt
Astenosfera	Asthenosphere
Astma	Asthma
Astrahan	Astrakhan
Astrobiologija	Astrobiology
Astrolab	Astrolabe
Astrologija	Astrology
Kategorija:Astrologija	Astrology
Astronaut	Astronaut
Astronom	Astronomer
Astronomska jedinica	Astronomical unit
Astronomija	Astronomy
Kategorija:Astronomija	Astronomy
Astrofizika	Astrophysics
Kategorija:Astrofizika	Astrophysics
Asuan	Aswan
ATM	Asynchronous Transfer Mode
Atacama	Atacama Desert
Aton	Aten
Atena (mitologija)	Athena
Atena (grad)	Athens
Kategorija:Atletika	Athletics
Atletika	Athletics (track and field)
Atlanta, Georgia	Atlanta
Atlantski ocean	Atlantic Ocean
Kategorija:Atlantski ocean	Atlantic Ocean
Atlantida	Atlantis
Atlas	Atlas (disambiguation)
Atlas (mjesec)	Atlas (moon)
Atlant	Atlas (mythology)
Atmosfera	Atmosphere
Standardna atmosfera	Atmosphere (unit)
Atmosferski tlak	Atmospheric pressure
Atol	Atoll
Atom	Atom
Atomska masa	Atomic mass
Atomska jedinica mase	Atomic mass unit
Atomski broj	Atomic number
Atropin	Atropine
Atila	Attila the Hun
Au	Au
Kolovoz	August
1. kolovoza	August 1
15. kolovoza	August 15
6. kolovoza	August 6
August Strindberg	August Strindberg
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Sveti Augustin	Augustine of Hippo
August	Augustus
Kočijaš (zviježđe)	Auriga (constellation)
Polarna svjetlost	Aurora (astronomy)
Australazija	Australasia
Australija	Australia
Kategorija:Australija	Australia
Australski dolar	Australian dollar
Australopitek	Australopithecus
Austrija	Austria
Kategorija:Austrija	Austria
Austro-Ugarska	Austria-Hungary
Autizam	Autism
Automobilizam	Auto racing
Autobiografija	Autobiography
Automobil	Automobile
Autotrofija	Autotroph
Jesen	Autumn
Auvergne	Auvergne (region)
Snježna lavina	Avalanche
Ibn Rušd	Averroes
Kategorija:Zrakoplovstvo	Aviation
Zrakoplovstvo	Aviation
Ibn Sina	Avicenna
Avignon	Avignon
Avogadrov zakon	Avogadro's law
Sjekira	Axe
Aksiom	Axiom
Akson	Axon
Azerbejdžan	Azerbaijan
Kategorija:Azerbejdžan	Azerbaijan
Azimut	Azimuth
Asteci	Aztec
B	B
BASIC	BASIC
Babilon	Babylon
Babilonija	Babylonia
