English	Basque
1	১
10	১০
100	১০০
100	Category:১০০
1000	১০০০
1000	Category:১০০০
101	১০১
105	১০৫
11	১১
110	১১০
115	১১৫
12	১২
12	Category:১২
120	১২০
125	১২৫
13	১৩
130	১৩০
135	১৩৫
14	১৪
14	Category:১৪
140	১৪০
144	১৪৪
145	১৪৫
15	১৫
150	১৫০
155	১৫৫
16	১৬
16	Category:১৬
160	১৬০
165	১৬৫
17	১৭
17	Category:১৭
170	১৭০
1728	১৭২৮
1728	Category:১৭২৮
175	১৭৫
18	১৮
180	১৮০
19	১৯
190	১৯০
2	২
20	২০
200	২০০
21	২১
22	২২
23	২৩
24	২৪
25	২৫
26	২৬
27	২৭
28	২৮
29	২৯
3	৩
30	৩০
300	৩০০
31	৩১
32	৩২
33	৩৩
34	৩৪
35	৩৫
36	৩৬
37	৩৭
38	৩৮
39	৩৯
4	৪
40	৪০
400	৪০০
41	৪১
42	৪২
43	৪৩
44	৪৪
45	৪৫
46	৪৬
47	৪৭
48	৪৮
49	৪৯
5	৫
50	৫০
500	৫০০
500	Category:৫০০
51	৫১
52	৫২
53	৫৩
54	৫৪
55	৫৫
56	৫৬
57	৫৭
58	৫৮
59	৫৯
6	৬
60	৬০
61	৬১
62	৬২
63	৬৩
64	৬৪
65	৬৫
66	৬৬
67	৬৭
68	৬৮
69	৬৯
7	৭
70	৭০
71	৭১
72	৭২
73	৭৩
74	৭৪
75	৭৫
76	৭৬
77	৭৭
78	৭৮
79	৭৯
8	৮
80	৮০
81	৮১
82	৮২
83	৮৩
84	৮৪
85	৮৫
86	৮৬
87	৮৭
88	৮৮
89	৮৯
9	৯
90	৯০
91	৯১
92	৯২
93	৯৩
94	৯৪
95	৯৫
96	৯৬
97	৯৭
98	৯৮
99	৯৯
AIDS	এইডস
ALGOL	অ্যালগল ৬০
Aardvark	আর্ডভার্ক
Abacus	অ্যাবাকাস
Abelian group	আবেলীয় গ্রুপ
Abkhazia	আবখাজিয়া
Abortion	গর্ভপাত
Abraham Lincoln	আব্রাহাম লিংকন
Academy Award	একাডেমি পুরস্কার
Acceleration	ত্বরণ
Achilles	অ্যাকিলিস
Acid	অম্ল
Acre	একর
Actinium	অ্যাক্টিনিয়াম
Actor	অভিনেতা
Acupuncture	আকুপাংচার
Ada (programming language)	অ্যাডা
Adam Smith	অ্যাডাম স্মিথ
Adolf Hitler	আডল্‌ফ হিটলার
Adrenal gland	অ্যাড্রিনাল গ্রন্থি
Advertising	বিজ্ঞাপন
Aeneid	ঈনীড
Aeschylus	ইস্কিলুস
Afghanistan	আফগানিস্তান
Africa	আফ্রিকা
Afrikaans	আফ্রিকান্স ভাষা
Agar	আগার
Agatha Christie	আগাথা ক্রিস্টি
Agnosticism	অজ্ঞেয়বাদ
Agora	আগোরা
Ajax (programming)	এজ্যাক্স (ওয়েব প্রোগ্রামিং কৌশল)
Akira Kurosawa	আকিরা কুরোসাওয়া
Al Gore	আল গোর
Al-Qaeda	আল-কায়িদা
Alabama	আলাবামা
Alan Turing	অ্যালান টুরিং
Alanine	অ্যালানিন
Alaska	আলাস্কা
Albania	আলবেনিয়া
Albatross	আলবাট্রস
Albedo	প্রতিফলন অনুপাত
Albert Abraham Michelson	আলবার্ট আব্রাহাম মাইকেলসন
Albert Camus	আলবেয়ার কামু
Albert Einstein	আলবার্ট আইনস্টাইন
Alchemy	আলকেমি
Alcohol	অ্যালকোহল
Aleksandr Solzhenitsyn	আলেক্সান্দ‌র সল‌ঝেনিত‌সিন
Alexander Fleming	অ্যালেকজান্ডার ফ্লেমিং
Alexander Graham Bell	আলেকজান্ডার গ্রাহাম বেল
Alexander the Great	মহামতি আলেকজান্ডার
Alexandre Dumas	আলেক্সাঁদ্র্ দ্যুমা
Alexandria	আলেকজান্দ্রিয়া
Alfred Hitchcock	আলফ্রেড হিচকক
Alfred Nobel	আলফ্রেদ নোবেল
Alfred North Whitehead	আলফ্রেড নর্থ হোয়াইটহেড
Alfred Russel Wallace	আলফ্রেড রাসেল ওয়ালেস
Algebra	বীজগণিত
Algebraic number	বীজগাণিতিক সংখ্যা
Algeria	আলজেরিয়া
Algorithm	অ্যালগোরিদম
Ali	আলী ইবন আবী তালিব
Alkali metal	ক্ষার ধাতু
Alkaloid	উপক্ষার
Allah	আল্লাহ
Allen Ginsberg	অ্যালেন গিন্সবার্গ
Alpha Centauri	আলফা সেন্টরাই
Alps	আল্পস্‌ পর্বতমালা
Alsace	আল্‌জাস
Altay Mountains	আলতাই পর্বতমালা
Aluminium	অ্যালুমিনিয়াম
Amanita muscaria	অ্যামানিটা মাস্কারিয়া
Amazon River	আমাজন নদী
Amedeo Avogadro	আমাদিও আভোগাদ্রো
American Civil War	মার্কিন যুক্তরাষ্ট্রের গৃহযুদ্ধ
American Revolutionary War	আমেরিকান বিপ্লব
American Standard Code for Information Interchange	অ্যাস্‌কি
Americium	অ্যামেরিসিয়াম
Amharic	আমহারীয় ভাষা
Amine	অ্যামিন
Amino acid	অ্যামিনো অ্যাসিড
Amman	আম্মান
Ampere	অ্যাম্পিয়ার
Amphibian	উভচর প্রাণী
Amsterdam	অ্যামস্টারডাম
Amun	আমুন
Anagram	অ্যানাগ্রাম
Anatomy	Category:শারীরস্থান
Anaxagoras	এনাক্সাগোরাস
Anaximander	এনাক্সিম্যান্ডার
Anchorage	অ্যাংকারিজ, আলাস্কা
Andalusia	আন্দালুসিয়া
Andaman Sea	আন্দামান সাগর
