English	Catalan
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Qaida
Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanina
Alaska	Alaska
Alban Berg	Alban Berg
Albania	Albània
Albania	Categoria:Albània
Albany	Albany
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Alberta	Alberta
Album	Àlbum musical
Albuquerque	Albuquerque
Alchemy	Alquímia
Alcohol	Alcohol
Alcoholic beverage	Beguda alcohòlica
Alcoholism	Alcoholisme
Aldebaran	Aldebaran
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Aleksandr Soljenitsin
Aleppo	Alep
Aleutian Islands	Illes Aleutianes
Alexander	Alexandre
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Aleksandr Puixkin
Alexander the Great	Alexandre el Gran
Alexandre Dumas	Alexandre Dumas (pare)
Alexandre Dumas	Alexandre Dumas (fill)
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Algae	Alga
Algebra	Àlgebra
Algebra	Categoria:Àlgebra
Algebraic number	Nombre algebraic
Algeria	Algèria
Algeria	Categoria:Algèria
Algiers	Alger
Algorithm	Algorisme
Alhambra	Alhambra
Ali	Alí ibn Abi-Tàlib
Alkali metal	Metall alcalí
Alkaloid	Alcaloide
Alkane	Alcà
Alkene	Alquè
Alkyne	Alquí
Allah	Al·là
Allegory	Al·legoria
Allele	Al·lel
Allergy	Al·lèrgia
Alliteration	Al·literació
Allosaurus	Al·losaure
Allotropy	Al·lotropia
Alloy	Aliatge
Almanac	Almanac
Almaty	Almati
Almond	Ametller
Aloe	Àloe
Alpha (letter)	Alfa
Alpha Centauri	Alpha Centauri
Alpha particle	Partícula alfa
Alphabet	Alfabet
Alps	Alps
Alps	Categoria:Alps
Alsace	Alsàcia
Altair	Altair
Altar	Altar
Altay Mountains	Massís de l'Altai
Alternating current	Corrent altern
Alternative medicine	Categoria:Medicines alternatives
Altruism	Altruisme
Aluminium	Alumini
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Malaltia d'Alzheimer
Amanita muscaria	Reig de fageda
Amanita phalloides	Farinera borda
Amaryllidaceae	Amaril·lidàcia
Amaterasu	Amaterasu
Amazon River	Riu Amazones
Amber	Ambre
Ambrose	Sant Ambròs
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
American Black Bear	Ós negre
American Civil War	Guerra civil dels Estats Units
American Samoa	Samoa Nord-americana
American Standard Code for Information Interchange	ASCII
American football	Futbol americà
American football	Categoria:Futbol americà
Americium	Americi
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametista
Amharic	Amhàric
Amide	Amida (grup funcional)
Amine	Amina
Amino acid	Aminoàcid
Amish	Amish
Amman	Amman
Ammeter	Amperímetre
Ammonia	Amoníac
Amnesty	Amnistia
Ampere	Ampere
Amphibian	Amfibi
Amphitheatre	Amfiteatre
Amphora	Àmfora (recipient)
Amplitude	Amplitud
Amsterdam	Amsterdam
Amsterdam	Categoria:Amsterdam
Amun	Ammon
Amur	Amur
Anabaptist	Anabaptisme
Anagram	Anagrama
Anal sex	Sexe anal
Analytic geometry	Geometria analítica
Anarchism	Anarquisme
Anarchism	Categoria:Anarquisme
Anatole France	Anatole France
Anatomy	Categoria:Anatomia
Anatomy	Anatomia
Anaxagoras	Anaxàgores
Anaximander	Anaximandre de Milet
Anchor	Àncora
Anchorage	Anchorage
Ancient Greek	Grec antic
Andalusia	Andalusia
Andaman Sea	Mar d'Andaman
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Categoria:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrei Dmítrievitx Sàkharov
Andrei Tarkovsky	Andrei Tarkovski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Andromeda	Andròmeda
Andromeda (constellation)	Andròmeda (constel·lació)
Andromeda (mythology)	Andròmeda (mitologia)
Andromeda Galaxy	Gran galàxia d'Andròmeda
Andy Warhol	Andy Warhol
Anemia	Anèmia
Anemometer	Anemòmetre
Anesthesia	Anestèsia
Angel	Àngel
Angle	Angle
Anglicanism	Anglicanisme
Angola	Angola
Angola	Categoria:Angola
Anguilla	Anguilla
Angular momentum	Moment angular
Anicius Manlius Severinus Boethius	Boeci
Aniline	Anilina
Animal	Animal
Animal husbandry	Ramaderia
Animation	Animació
Anime	Anime
Anime	Categoria:Anime
Animism	Animisme
Anise	Anís
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anna Bolena
Annelid	Anèl·lid
Anno Domini	Era cristiana
Annunciation	Anunciació
Anode	Ànode
Anorexia nervosa	Anorèxia nerviosa
Anseriformes	Anseriforme
Anseriformes	Categoria:Anseriformes
Ant	Formiga
Antananarivo	Antananarivo
Antarctica	Antàrtida
Antarctica	Categoria:Antàrtida
Antares	Antares (estrella)
Antenna (radio)	Antena
Anthony Hopkins	Anthony Hopkins
Anthropology	Antropologia
Anthropology	Categoria:Antropologia
Antibiotic	Antibiòtic
Antibody	Anticòs
Antichrist	Anticrist
Antigen	Antigen
Antigone	Antígona (filla d'Èdip)
Antigua and Barbuda	Antigua i Barbuda
Antigua and Barbuda	Categoria:Antigua i Barbuda
Antimatter	Antimatèria
Antimony	Antimoni
Antioxidant	Antioxidant
Antipope	Antipapa
Antisemitism	Antisemitisme
Antlia	Màquina Pneumàtica (constel·lació)
Antofagasta	Antofagasta (ciutat)
Antoine Lavoisier	Antoine Laurent Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Txèkhov
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antònim
Antwerp	Anvers
Antwerp (province)	Província d'Anvers
Anubis	Anubis
Anus	Anus
Aorta	Aorta
Apache	Apatxe
Apatite	Apatita
Ape	Hominoide
Aphrodite	Afrodita
Apia	Apia
Apiaceae	Apiàcia
Apocrypha	Llibres apòcrifs
Apodiformes	Apodiforme
Apollo	Apol·lo
Apollo program	Programa Apollo
Appalachian Mountains	Apalatxes
Appendicitis	Apendicitis
Apple	Pomera
