Danish	English
Alan B. Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanin	Alanine
Alaska	Alaska
Kategori:Alaska	Alaska
Alban Berg	Alban Berg
Albanien	Albania
Kategori:Albanien	Albania
Albany (New York)	Albany
Albatrosser	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Albinisme	Albinism
Album	Album
Albuquerque	Albuquerque
Alkymi	Alchemy
Alkohol (stofklasse)	Alcohol
Alkoholiske drikkevarer	Alcoholic beverage
Alkoholisme	Alcoholism
Aldehyd	Aldehyde
Elleslægten	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Isajevitj Solsjenitsyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleuterne	Aleutian Islands
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Aleksandr Sergejevitj Pusjkin	Alexander Pushkin
Alexander den Store	Alexander the Great
Alexandre Dumas, den ældre	Alexandre Dumas
Alexandre Dumas, den yngre	Alexandre Dumas
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alge	Algae
Algebra	Algebra
Kategori:Algebra	Algebra
Algebraiske tal	Algebraic number
Algeriet	Algeria
Kategori:Algeriet	Algeria
Algier	Algiers
Algoritme	Algorithm
Alhambra	Alhambra
Ali	Ali
Alkalimetal	Alkali metal
Alkaloid	Alkaloid
Alkan	Alkane
Alken	Alkene
Alkyn	Alkyne
Allah	Allah
Allegori	Allegory
Allel	Allele
Allen Ginsberg	Allen Ginsberg
Allergi	Allergy
Allofon	Allophone
Allosaurus	Allosaurus
Legering	Alloy
Almanak	Almanac
Almaty	Almaty
Mandel	Almond
Aloe	Aloe
Alfa (bogstav)	Alpha (letter)
Alfastråling	Alpha particle
Alfabet	Alphabet
Alperne	Alps
Kategori:Alperne	Alps
Alsace	Alsace
Alter	Altar
Altai	Altay Mountains
Vekselstrøm	Alternating current
Kategori:Alternativ behandling	Alternative medicine
Alternativ behandling	Alternative medicine
Altruisme	Altruism
Aluminium	Aluminium
Aluminiumoxid	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimers sygdom	Alzheimer's disease
Påskelilje-familien	Amaryllidaceae
Amaterasu	Amaterasu
Amazonfloden	Amazon River
Ambassadør	Ambassador
Rav	Amber
Skt. Ambrosius	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Amerikansk bison	American Bison
Amerikansk sortbjørn	American Black Bear
Den amerikanske borgerkrig	American Civil War
USA's uafhængighedskrig	American Revolutionary War
Amerikansk Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikansk fodbold	American football
Kategori:Amerikansk fodbold	American football
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametyst	Amethyst
Amharisk	Amharic
Amid (funktionel gruppe)	Amide
Aminosyre	Amino acid
Amish	Amish
Amman	Amman
Amperemeter	Ammeter
Ammoniak	Ammonia
Amnesi	Amnesia
Amnesti	Amnesty
Ampere	Ampere
Amfetamin	Amphetamine
Padde	Amphibian
Amfiteater	Amphitheatre
Amfora	Amphora
Amplitude	Amplitude
Amsterdam	Amsterdam
Kategori:Amsterdam	Amsterdam
Amon	Amun
Amur	Amur
Gendøber	Anabaptist
Anagram	Anagram
Anaheim	Anaheim
Analsex	Anal sex
Anarkisme	Anarchism
Kategori:Anarkisme	Anarchism
Anarki	Anarchy
Egentlige andefugle	Anatidae
Kategori:Anatomi	Anatomy
Anatomi	Anatomy
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anker (søfart)	Anchor
Anchorage	Anchorage
Oldgræsk	Ancient Greek
Kategori:Antikken	Ancient history
Andalusien	Andalusia
Andamanhavet	Andaman Sea
Anders Celsius	Anders Celsius
Andesbjergene	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Kategori:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrej Sakharov	Andrei Sakharov
Andrej Tarkovskij	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Andromeda	Andromeda
Andromeda (stjernebillede)	Andromeda (constellation)
Andromeda (mytologi)	Andromeda (mythology)
Andromedagalaksen	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anæmi	Anemia
Anemometer	Anemometer
Anæstesi	Anesthesia
Engel	Angel
Salto del Angel	Angel Falls
Vinkel	Angle
Angola	Angola
Kategori:Angola	Angola
Anguilla (land)	Anguilla
Impulsmoment	Angular momentum
Vinkelhastighed	Angular velocity
Anicius Manlius Severinus Boëthius	Anicius Manlius Severinus Boethius
Anilin	Aniline
Dyr	Animal
Animation	Animation
Anime	Anime
Kategori:Anime	Anime
Animisme	Animism
Anis	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna (bjerg)	Annapurna
Anne Boleyn	Anne Boleyn
Ledorme	Annelid
Anno Domini	Anno Domini
Anode	Anode
Anoreksi	Anorexia nervosa
Andefugle	Anseriformes
Kategori:Andefugle	Anseriformes
Myre	Ant
Antiokia	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarktis	Antarctica
Kategori:Antarktis	Antarctica
Antares	Antares
Radioantenne	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Miltbrand	Anthrax
Antropologi	Anthropology
Kategori:Antropologi	Anthropology
Antroposofi	Anthroposophy
Antibiotikum	Antibiotic
Antistof (biologi)	Antibody
Antikrist	Antichrist
Anticyklon	Anticyclone
Antigen	Antigen
Antigua og Barbuda	Antigua and Barbuda
Kategori:Antigua og Barbuda	Antigua and Barbuda
Antistof (fysik)	Antimatter
Antimon	Antimony
Antioxidant	Antioxidant
Modpave	Antipope
Antisemitisme	Antisemitism
Kategori:Antisemitisme	Antisemitism
Luftpumpen	Antlia
Antoine Laurent Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Tjekhov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonym
Antwerpen	Antwerp
Anubis	Anubis
Endetarmsåbningen	Anus
Aorta	Aorta
Apache	Apache
Afrodite	Aphrodite
Skærmplante-familien	Apiaceae
Apokryfe skrifter	Apocrypha
Apollon	Apollo
Apollo	Apollo (disambiguation)
Apollo-programmet	Apollo program
Kategori:Apollo-programmet	Apollo program
Apoptosis	Apoptosis
Appalacherne	Appalachian Mountains
Blindtarmsbetændelse	Appendicitis
Æble (frugt)	Apple
Anvendt matematik	Applied mathematics
Abrikos (træ)	Apricot
April	April
14. april	April 14
Aprilsnar	April Fools' Day
Apsis	Apse
Apulien	Apulia
Paradisfuglen	Apus
Akaba	Aqaba
Kongevand	Aqua regia
Akvamarin	Aquamarine
Akvarium	Aquarium
Vandmanden (stjernebillede)	Aquarius (constellation)
Akvædukt	Aqueduct
Ørnen (stjernebillede)	Aquila (constellation)
Aquitaine	Aquitaine
Alteret	Ara (constellation)
Araber	Arab
Den Arabiske Liga	Arab League
Arabiske Halvø	Arabian Peninsula
Arabiske Hav	Arabian Sea
Arabiske alfabet	Arabic alphabet
Arabisk (sprog)	Arabic language
Arum-familien	Araceae
Spindlere	Arachnid
Aragonien	Aragon
Aralsøen	Aral Sea
Aram Khatjaturian	Aram Khachaturian
Arkadien	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Arkæologi	Archaeology
Kategori:Arkæologi	Archaeology
Archaeopteryx	Archaeopteryx
Ærkeengel	Archangel
Ærkebiskop	Archbishop
Arkæikum	Archean
Arketype	Archetype
Arkimedes	Archimedes
Arkipelag	Archipelago
Arkitekt	Architect
Arkitektur	Architecture
Kategori:Arkitektur	Architecture
Arktis	Arctic
Nordlige polarcirkel	Arctic Circle
Ishavet	Arctic Ocean
Polarræv	Arctic fox
Ardennerne	Ardennes
Ardennes	Ardennes (department)
Ar (enhed)	Are
Areal	Area
Palme-familien	Arecaceae
Ares	Ares
Argentina	Argentina
Kategori:Argentina	Argentina
Argon	Argon
Argos	Argos
Arie	Aria
Ariadne	Ariadne
Arianisme	Arianism
Vædderen	Aries (constellation)
Aristarchos	Aristarchus of Samos
Aristokrati	Aristocracy
Aristofanes	Aristophanes
Aristoteles	Aristotle
Aritmetik	Arithmetic
Kategori:Aritmetik	Arithmetic
Differensrække	Arithmetic progression
Arius	Arius
Arizona	Arizona
Kategori:Arizona	Arizona
Pagtens Ark	Ark of the Covenant
Arkansas	Arkansas
Kategori:Arkansas	Arkansas
Arles	Arles
Bæltedyr	Armadillo
Armenien	Armenia
Kategori:Armenien	Armenia
Armensk (sprog)	Armenian language
