English	Chinese
Agrigento	阿格里真托
Aikido	合氣道
Ain	安省 (法國)
Air force	空军
Airbus	空中客车
Aircraft	航空器
Aircraft	Category:航空飞行器
Aircraft carrier	航空母舰
Airline	航空公司
Airport	機場
Ajax	Ajax (消歧義)
Ajax (mythology)	大埃阿斯
Ajax (programming)	AJAX
Akhenaten	阿蒙霍特普四世
Akira Kurosawa	黑澤明
Al Capone	艾爾·卡彭
Al Gore	阿尔·戈尔
Al-Qaeda	基地組織
Alabama	亚拉巴马州
Alabama	Category:阿拉巴马州
Alan Shepard	艾伦·谢泼德
Alan Turing	艾伦·图灵
Alanine	丙氨酸
Alaska	阿拉斯加州
Alaska	Category:阿拉斯加州
Alban Berg	阿尔班·贝尔格
Albania	阿尔巴尼亚
Albania	Category:阿爾巴尼亞
Albany	奥尔巴尼
Albatross	信天翁科
Albedo	反照率
Albert Abraham Michelson	阿尔伯特·亚伯拉罕·迈克尔逊
Albert Camus	阿尔贝·加缪
Albert Einstein	阿尔伯特·爱因斯坦
Albert Schweitzer	艾伯特·史懷哲
Albert Speer	阿尔伯特·斯佩尔
Alberta	艾伯塔
Albinism	白化症
Albite	钠长石
Album	音樂專輯
Albuquerque	阿布奎基 (新墨西哥州)
Alchemy	炼金术
Alchemy	Category:炼金术
Alcohol	醇
Alcoholic beverage	酒
Alcoholism	酗酒
Aldebaran	畢宿五
Aldehyde	醛
Alder	赤杨
Aldous Huxley	奥尔德斯·赫胥黎
Aleksandr Solzhenitsyn	亚历山大·索尔仁尼琴
Aleppo	阿勒颇
Aleutian Islands	阿留申群島
Alexander	亞歷山大
Alexander Fleming	亚历山大·弗莱明
Alexander Graham Bell	亚历山大·格拉汉姆·贝尔
Alexander Hamilton	亚历山大·汉密尔顿
Alexander Pope	亚历山大·蒲柏
Alexander Pushkin	亚历山大·普希金
Alexander the Great	亚历山大大帝
Alexandre Dumas	大仲马
Alexandre Dumas	小仲马
Alexandria	亞歷山卓
Alexis de Tocqueville	亞歷西斯·托克維爾
Alfred Dreyfus	阿尔弗雷德·德雷福斯
Alfred Hitchcock	亞弗列·希治閣
Alfred Nobel	阿尔弗雷德·诺贝尔
Alfred North Whitehead	阿弗烈·諾夫·懷海德
Alfred Russel Wallace	阿弗雷德·羅素·華萊士
Alfred the Great	阿佛列大帝
Algae	藻類
Algebra	代数
Algebra	Category:代数
Algebraic number	代數數
Algeria	阿尔及利亚
Algeria	Category:阿爾及利亞
Algiers	阿爾及爾
Algorithm	算法
Alhambra	阿尔罕布拉宫
Ali	阿里·伊本·艾比·塔利卜
Alkali metal	碱金属
Alkaloid	生物鹼
Alkane	烷烃
Alkene	烯烃
Alkyne	炔烴
Allah	安拉
Allegory	託寓
Allele	等位基因
Allergy	过敏
Allophone	同位異音
Allosaurus	異特龍
Allotropy	同素异形体
Alloy	合金
Almanac	年鑑
Almaty	阿拉木圖
Almond	扁桃
Aloe	芦荟
Alpha (letter)	Α
Alpha Centauri	南門二
Alpha particle	Α粒子
Alphabet	字母系統
Alps	阿尔卑斯山
Alsace	阿爾薩斯
Altair	河鼓二
Altar	祭壇
Altay Mountains	阿尔泰山脉
Alternating current	交流電
Altruism	利他主义
Aluminium	铝
Aluminium oxide	氧化铝
Alvar Aalto	阿尔瓦尔·阿尔托
Alzheimer's disease	阿兹海默病
Amanita phalloides	毒鵝膏
Amaryllidaceae	石蒜科
Amaterasu	天照大神
Amazon River	亚马逊河
Ambassador	大使
Amber	琥珀
Ambrose	安波羅修
Amedeo Avogadro	阿莫迪欧·阿伏加德罗
Amelia Earhart	阿梅莉亚·埃尔哈特
American Bison	美洲野牛
American Black Bear	美洲黑熊
American Civil War	南北战争
American Revolutionary War	美國獨立戰爭
American Samoa	美屬薩摩亞
American Standard Code for Information Interchange	ASCII
American football	美式足球
American football	Category:美式足球
Americium	镅
Amerigo Vespucci	阿美利哥·维斯普西
Amethyst	紫水晶
Amharic	阿姆哈拉语
Amide	酰胺
Amine	胺
Amino acid	氨基酸
Amish	阿米什人
Amman	安曼
Ammeter	电流表
Ammonia	氨
Amnesia	健忘症
Amnesty	特赦令
Ampere	安培
Amphetamine	苯丙胺
Amphibian	两栖动物
Amphitheatre	圓形競技場
Amplitude	振幅
Amsterdam	阿姆斯特丹
Amun	阿蒙
Amur	黑龙江
Anabaptist	再洗礼派
Anagram	易位构词游戏
Anaheim	阿納海姆 (加利福尼亞州)
Anal sex	肛交
Analytic geometry	解析几何
Anarchism	无政府主义
Anarchism	Category:無政府主義
Anatidae	鸭科
Anatole France	阿纳托尔·法郎士
Anatomy	Category:解剖学
Anatomy	解剖學
Anaxagoras	阿那克萨哥拉
Anaximander	阿那克西曼德
Anchor	锚
Anchorage	安克拉治
Ancient Greek	古希臘語
Ancient history	Category:古代史
Andalusia	安達魯西亞
Andaman Sea	安达曼海
Anders Celsius	安德斯·攝爾修斯
Andes	安地斯山脈
Andhra Pradesh	安得拉邦
Andorra	安道尔
Andorra	Category:安道爾
Andrei Sakharov	安德烈·德米特里耶维奇·萨哈罗夫
Andrei Tarkovsky	安德烈·塔科夫斯基
Andrew Jackson	安德鲁·杰克逊
Andrew Johnson	安德鲁·约翰逊
Andrew Lloyd Webber	安德鲁·劳埃德·韦伯
Android	仿生人
Andromeda	安德洛墨达 (消歧义)
Andromeda (constellation)	仙女座
Andromeda (mythology)	安德洛墨達
Andromeda Galaxy	仙女座星系
Andy Warhol	安迪·沃荷
Anemia	贫血
Anemometer	风速计
Anesthesia	麻醉學
Angara River	安加拉河
Angel	天使
Angel Falls	安赫尔瀑布
Angle	角
Anglicanism	聖公宗
Angola	安哥拉
Angola	Category:安哥拉
Anguilla	安圭拉
Angular momentum	角动量
Angular velocity	角速度
Anicius Manlius Severinus Boethius	波伊提烏
Aniline	苯胺
Animal	动物
Animal husbandry	畜牧业
Animation	动画
Anime	日本动画
Anime	Category:日本動畫
Animism	泛靈論
Ankara	安卡拉
Annapolis	安那波利斯
Annapurna	安纳布尔纳峰
Anne Boleyn	安妮·博林
Annelid	环节动物门
Anno Domini	公元
Anode	陽極
Anorexia nervosa	神经性厌食症
Anseriformes	雁形目
Anseriformes	Category:雁形目
Ant	蚂蚁
Antakya	安条克
Antalya	安塔利亚
