Finnish	English
Agatha Christie	Agatha Christie
Aggressio	Aggression
Leuattomat kalat	Agnatha
Agnostisismi	Agnosticism
Agora	Agora
Agorafobia	Agoraphobia
Agra	Agra
Maatalous	Agriculture
Luokka:Maatalous	Agriculture
Agrigento	Agrigento
Aikido	Aikido
Ain	Ain
Ilmavoimat	Air force
Airbus	Airbus
Lentokone	Aircraft
Luokka:Lentokoneet	Aircraft
Lentotukialus	Aircraft carrier
Lentoyhtiö	Airline
Lentoasema	Airport
Ajax	Ajax
Aias	Ajax (mythology)
Ajax (ohjelmointi)	Ajax (programming)
Akhenaten	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaida	Al-Qaeda
Alabama	Alabama
Luokka:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alaniini	Alanine
Alaska	Alaska
Luokka:Alaska	Alaska
Alban Berg	Alban Berg
Albania	Albania
Luokka:Albania	Albania
Albany (New York)	Albany
Albatrossit	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Luokka:Alberta	Alberta
Albinismi	Albinism
Albiitti	Albite
Albumi	Album
Albuquerque	Albuquerque
Alkemia	Alchemy
Luokka:Alkemia	Alchemy
Alkoholi	Alcohol
Alkoholijuoma	Alcoholic beverage
Alkoholismi	Alcoholism
Aldebaran	Aldebaran
Aldehydi	Aldehyde
Lepät	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solženitsyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleutit (saaristo)	Aleutian Islands
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Aleksandr Puškin	Alexander Pushkin
Aleksanteri Suuri	Alexander the Great
Alexandre Dumas vanhempi	Alexandre Dumas
Alexandre Dumas nuorempi	Alexandre Dumas
Aleksandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred Suuri	Alfred the Great
Levä	Algae
Algebra	Algebra
Luokka:Algebra	Algebra
Algebrallinen luku	Algebraic number
Algeria	Algeria
Luokka:Algeria	Algeria
Alger	Algiers
Algoritmi	Algorithm
Alhambra	Alhambra
Ali ibn Abi Talib	Ali
Alkalimetalli	Alkali metal
Alkaloidi	Alkaloid
Alkaani	Alkane
Alkeeni	Alkene
Alkyyni	Alkyne
Allah	Allah
Allegoria	Allegory
Alleeli	Allele
Allen Ginsberg	Allen Ginsberg
Allergia	Allergy
Alkusointu	Alliteration
Allofoni	Allophone
Allosaurus	Allosaurus
Allotropia	Allotropy
Metalliseos	Alloy
Almanakka	Almanac
Almatı	Almaty
Manteli	Almond
Aaloet	Aloe
Alfa	Alpha (letter)
Alfa Centauri	Alpha Centauri
Alfahiukkanen	Alpha particle
Aakkoset	Alphabet
Alpit	Alps
Luokka:Alpit	Alps
Alsace	Alsace
Altair	Altair
Alttari	Altar
Altai (vuoristo)	Altay Mountains
Vaihtovirta	Alternating current
Luokka:Uskomuslääkintä	Alternative medicine
Uskomuslääkintä	Alternative medicine
Altruismi	Altruism
Alumiini	Aluminium
Alvar Aalto	Alvar Aalto
Alzheimerin tauti	Alzheimer's disease
Punakärpässieni	Amanita muscaria
Kavalakärpässieni	Amanita phalloides
Narsissikasvit	Amaryllidaceae
Amaterasu	Amaterasu
Amazon (joki)	Amazon River
Suurlähettiläs	Ambassador
