Urdu	English
آگاہی	Perception
پیری کلیز	Pericles
دور (دوری جدول)	Period (periodic table)
تبدل کامل	Permutation
تخت جمشید	Persepolis
خلیج فارس	Persian Gulf
پیرو	Peru
فلپائن	Philippines
فلسفہ	Philosophy
زمرہ:فلسفہ	Philosophy
فونیقی	Phoenicia
فونیکس، ایریزونا	Phoenix
صوتیات	Phonetics
فاسفورس	Phosphorus
نوریہ	Photon
ضیائی تالیف	Photosynthesis
طبیعیات	Physics
زمرہ:طبیعیات	Physics
فعلیات	Physiology
پائی	Pi
پیعیمونتے	Piedmont
گلابی	Pink
عکصر	Pixel
نباتات	Plant
شاکلہ طبیعیات	Plasma (physics)
ساخت الطبقات	Plate tectonics
افلاطون	Plato
ڈک بل	Platypus
برج	Playing card
ثریا (جھرمٹ)	Pleiades (star cluster)
پلوٹو	Pluto
دریاۓ پو	Po River
پولینڈ	Poland
قطبی ستارہ	Polaris
پولو	Polo
تعدد ازدواج	Polygamy
کثیر رقمی	Polynomial
پامپے	Pompey
پوپ	Pope
پرتگال	Portugal
مثبرقیہ	Positron
پوٹاشیم	Potassium
غربت	Poverty
زمانہ قبل از تاریخ	Prehistory
پادری	Priest
مفرد عدد	Prime number
پرنس آف ویلز	Prince of Wales
پرومیتھیس	Prometheus
پروپیگنڈا	Propaganda
لحمیات	Protein
زمرہ:اولانیات	Protista
اولیہ (جوہر)	Proton
پروویڈنس، رہوڈ آئی لینڈ	Providence
طب نفسی	Psychiatry
نفسیات	Psychology
بطلیموس	Ptolemy
پنجاب (بھارت)	Punjab (India)
قطر	Qatar
مقداریہ آلاتیات	Quantum mechanics
کوارک	Quark
کیٹو	Quito
رائبو مرکزی ترشہ	RNA
رباط	Rabat
رابندر ناتھ ٹیگور	Rabindranath Tagore
Radar	Radar
اشعاعی تنزل	Radioactive decay
بارش	Rain
دھنک	Rainbow
رام	Rama
رمضان	Ramadan
رامائن	Ramayana
رافیل	Raphael
راولپنڈی	Rawalpindi
سرخ	Red
بحیرہ احمر	Red Sea
سرخ خونی خلیہ	Red blood cell
جمہوریہ آئرلینڈ	Republic of Ireland
کانگو	Republic of the Congo
دریائے رائن	Rhine
گینڈا	Rhinoceros
رہوڈ آئی لینڈ	Rhode Island
رہوڈس	Rhodes
دریائے ٹیمز	River Thames
ریاض	Riyadh
رولڈ ایمنڈس	Roald Amundsen
روبالہ	Robot
Roentgenium	Roentgenium
راجر بیکن	Roger Bacon
رومی سلطنت	Roman Empire
رومانیہ	Romania
روم	Rome
زمرہ:روم	Rome
جڑ	Root
گلاب	Rose
سالک	Router
ربڑ	Rubber
روڈلف ڈیزل	Rudolf Diesel
روس	Russia
زمرہ:روس	Russia
روانڈا	Rwanda
صدام حسین	Saddam Hussein
کیسر	Saffron
صحرائے اعظم	Sahara
سینٹ کیٹز	Saint Kitts and Nevis
دریائے سینٹ لارنس	Saint Lawrence River
پطرس	Saint Peter
سینٹ وینسینٹ و گریناڈائنز	Saint Vincent and the Grenadines
صلاح الدین ایوبی	Saladin
نماز	Salah
سالٹ لیک سٹی، یوٹاہ	Salt Lake City
سامووا	Samoa
سان مارینو	San Marino
سنسکرت	Sanskrit
ساردینیا	Sardinia
مصنوعی سیارہ	Satellite
ہفتہ	Saturday
زحل	Saturn
سعودی عرب	Saudi Arabia
سال بیلو	Saul Bellow
انفصام	Schizophrenia
سائنس	Science
زمرہ:سائنس	Science
سائنسدان	Scientist
اسکاچستان	Scotland
بحیرہ مرمرہ	Sea of Marmara
سیئرز ٹاور	Sears Tower
دریائے سین	Seine
ستمبر	September
متوالیہ (ریاضی)	Sequence
سلسلہ (ریاضی)	Series (mathematics)
مجموعہ	Set
اشبیلیہ	Seville
سیچیلیس	Seychelles
شہادت	Shahadah
شو	Shiva
جَمبری	Shrimp
صقلیہ	Sicily
فرائڈ	Sigmund Freud
چاندی	Silver
جزیرہ نمائے سینا	Sinai Peninsula
سنگاپور	Singapore
6 روزہ جنگ	Six-Day War
بلند ترین عمارات	Skyscraper
نیند	Sleep
سانپ	Snake
اشتراکیت	Socialism
معاشریات	Sociology
سقراط	Socrates
نظام شمسی	Solar System
ٹھوس	Solid
جزائر سلیمان	Solomon Islands
صومالیہ	Somalia
جنوبی کیرولینا	South Carolina
جنوبی ڈکوٹا	South Dakota
جنوبی کوریا	South Korea
قطب جنوبی	South Pole
بادشاہی	Sovereignty
ہسپانیہ	Spain
سپارٹا	Sparta
نوع	Species
مکڑی	Spider
غزل (طبیعیات)	Spin (physics)
اسپرنگ فیلڈ، الینوائے	Springfield
اسکوائش	Squash (sport)
سری لنکا	Sri Lanka
معیاری انحراف	Standard deviation
ملک	State
خلیہ جذعیہ	Stem cell
سٹیفن ہاکنگ	Stephen Hawking
سٹون ہینج	Stonehenge
سانچہ:نامکمل	Stub
تفریق (ریاضی)	Subtraction
سوڈان	Sudan
نہر سوئز	Suez Canal
تصوف	Sufism
سہارتو	Suharto
سلطان	Sultan
سمیری	Sumer
موسم گرما	Summer
سورج	Sun
اتوار	Sunday
اہل سنت	Sunni Islam
فوق ایصالیت	Superconductivity
جراحت	Surgery
سرینام	Suriname
سوازی لینڈ	Swaziland
سویڈن	Sweden
سویٹزر لینڈ	Switzerland
تلوار	Sword
ٹریڈ یونین	Syndicate
شام	Syria
لارنس آف عریبیہ	T. E. Lawrence
ٹی۔ ایس ایلیٹ	T. S. Eliot
تاج محل	Taj Mahal
تاجکستان	Tajikistan
طالبان	Taliban
تنزانیہ	Tanzania
تائو مت	Taoism
ٹیکسی	Taxicab
چائے	Tea
طرزیات	Technology
تہران	Tehran
تخاطر	Telepathy
ہاتف	Telephone
بعید نما	Television
ٹینیسی	Tennessee
ٹینس	Tennis
دیمک	Termite
دہشت گردی	Terrorism
ٹیکساس	Texas
تھائی لینڈ	Thailand
تھالیز	Thales
نظریۂ اضافیت	Theory of relativity
تھیسیس	Theseus
تیسری دنیا	Third World
ایکویناس سینٹ	Thomas Aquinas
تھامس ایلوا ایڈیسن	Thomas Edison
ٹامس جیفرسن	Thomas Jefferson
تھوسی ڈائڈز	Thucydides
جمعرات	Thursday
دریائے ٹائبر	Tiber
تبت	Tibet
دریائے دجلہ	Tigris
امیر تیمور	Timur
قلع	Tin
ٹیٹانیہ	Titania (moon)
تیوولی، اٹلی	Tivoli
ٹوگو	Togo
ٹوکیو	Tokyo
ٹونگا	Tonga
ٹونی بلیئر	Tony Blair
توریت	Torah
ٹورانٹو	Toronto
آبیگولہ	Torpedo
بابل کا برج	Tower of Babel
شہر	Town
ٹویوٹا	Toyota
اتحاد صنعتی	Trade union
ٹریڈ مارک	Trademark
المیہ	Tragedy
قطار	Train
ٹرام وے	Tram
منتقزاحم	Transistor
کلمہ نویسی	Transliteration
نظم منتقلی دستور	Transmission Control Protocol
مثلث	Triangle
ٹرائے کی جنگ	Trojan War
ٹرائے	Troy
منگل	Tuesday
گل لالہ	Tulip
ورم	Tumor
تیونس	Tunisia
زمرہ:تیونس	Tunisia
ترکی	Turkey
زمرہ:ترکی	Turkey
ترکمانستان	Turkmenistan
تسکانہ	Tuscany
تووالو	Tuvalu
ٹائپ رائٹر	Typewriter
خطی تخطیط	Typography
یوگنڈا	Uganda
یوکرین	Ukraine
بالاصوت	Ultrasound
امبریا	Umbria
ارنا گھوڑا	Unicorn
یکساں وسیلی تعینگر	Uniform Resource Locator
متحدہ عرب امارات	United Arab Emirates
برطانیہ	United Kingdom
اقوام متحدہ	United Nations
ریاستہائے متحدہ امریکہ	United States
کائنات	Universe
یونکس	Unix
اُر	Ur
کوہ یورال	Ural Mountains
یورینس	Uranus
اردو	Urdu
دب اکبر	Ursa Major
دب اصغر	Ursa Minor
یوراگوئے	Uruguay
یوٹاہ	Utah
اتر پردیش	Uttar Pradesh
ازبکستان	Uzbekistan
ظرف (کیمیاء)	Valence (chemistry)
تریشیکووا	Valentina Tereshkova
تفاوت	Variance
ویٹیکن سٹی	Vatican City
سمتار	Velocity
وینیتو	Veneto
وینیزویلا	Venezuela
وینس	Venice
زہرہ	Venus
ورمونٹ	Vermont
حق استرداد	Veto
وکٹوریا	Victoria
وکٹوریا آبشار	Victoria Falls
ویانا	Vienna
ویتنام	Vietnam
ورجینیا	Virginia
ورجینیا وولف	Virginia Woolf
حُمہ	Virus
وشنو	Vishnu
حیاتین	Vitamin
دریائے وولگا	Volga River
والٹیئر	Voltaire
والٹ ڈزنی	Walt Disney
جنگی جرائم	War crime
آلۂ دھلائی	Washing machine
واشنگٹن ڈی سی	Washington
ریاست واشنگٹن	Washington
واشنگٹن	Washington (disambiguation)
پانی	Water
واٹر پولو	Water polo
آبشار	Waterfall
واٹ	Watt
موم	Wax
نحیف تفاعل	Weak interaction
متصفح جال	Web browser
بدھ	Wednesday
مغربی افریقہ	West Africa
مغربی ورجینیا	West Virginia
سفید خونی خلیہ	White blood cell
ولہلم اوسٹوالڈ	Wilhelm Ostwald
ولیم جیمز	William James
ولیم ورڈذورتھ	William Wordsworth
چرچل	Winston Churchill
موسم سرما	Winter
وسکونسن	Wisconsin
دنیا	World
عالمی بنک	World Bank
ورلڈ ٹریڈ سینٹر	World Trade Center
پہلی جنگ عظیم	World War I
دوسری جنگ عظیم	World War II
جال محیط عالم	World Wide Web
ثقب کرم	Wormhole
مصنف	Writer
وائیومنگ	Wyoming
یاک	Yak
گز	Yard
یاسر عرفات	Yasser Arafat
سال	Year
دریائے زرد	Yellow River
یمن	Yemen
یو یو	Yo-yo
جنگ یوم کپور	Yom Kippur War
يوكون	Yukon
یوری گاگرین	Yuri Gagarin
زمبابوے	Zimbabwe
خارصین	Zinc
حیوانیات	Zoology
زرتشت	Zoroaster
