German	English
Agra (Indien)	Agra
Landwirtschaft	Agriculture
Kategorie:Landwirtschaft	Agriculture
Agrigent	Agrigento
Aikidō	Aikido
Ain (Département)	Ain
Luftstreitkräfte	Air force
Airbus	Airbus
Luftfahrzeug	Aircraft
Kategorie:Luftfahrzeug	Aircraft
Flugzeugträger	Aircraft carrier
Fluggesellschaft	Airline
Flughafen	Airport
Ajax	Ajax
Ajax der Große	Ajax (mythology)
Ajax (Programmierung)	Ajax (programming)
Echnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaida	Al-Qaeda
Alabama	Alabama
Kategorie:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanin	Alanine
Alaska	Alaska
Kategorie:Alaska	Alaska
Alban Berg	Alban Berg
Albanien	Albania
Kategorie:Albanien	Albania
Albany (New York)	Albany
Albatrosse	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Kategorie:Alberta	Alberta
Albinismus	Albinism
Albit	Albite
Musikalbum	Album
Albuquerque	Albuquerque
Alchemie	Alchemy
Kategorie:Alchemie	Alchemy
Alkohole	Alcohol
Getränk#Alkoholische Getr.C3.A4nke	Alcoholic beverage
Alkoholkrankheit	Alcoholism
Aldebaran	Aldebaran
Aldehyde	Aldehyde
Erlen (Botanik)	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Alexander Issajewitsch Solschenizyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleuten	Aleutian Islands
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Sergejewitsch Puschkin	Alexander Pushkin
Alexander der Große	Alexander the Great
Alexandre Dumas der Ältere	Alexandre Dumas
Alexandre Dumas der Jüngere	Alexandre Dumas
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred der Große	Alfred the Great
Alge	Algae
Algebra	Algebra
Kategorie:Algebra	Algebra
Algebraische Zahl	Algebraic number
Algerien	Algeria
Kategorie:Algerien	Algeria
Algier	Algiers
Algorithmus	Algorithm
Alhambra	Alhambra
Ali ibn Abi Talib	Ali
Alkalimetalle	Alkali metal
Alkaloide	Alkaloid
Alkane	Alkane
Alkene	Alkene
Alkine	Alkyne
Allah	Allah
Allegorie	Allegory
Allel	Allele
Allen Ginsberg	Allen Ginsberg
Allergie	Allergy
Alliteration	Alliteration
Allophon	Allophone
Allosaurus	Allosaurus
Allotropie	Allotropy
Legierung	Alloy
Almanach	Almanac
Almaty	Almaty
Mandel	Almond
Aloen	Aloe
Alpha	Alpha (letter)
Alpha Centauri	Alpha Centauri
Alphastrahlung	Alpha particle
Alphabet	Alphabet
Alpen	Alps
Kategorie:Alpen	Alps
Elsass	Alsace
Altair	Altair
Altar	Altar
Altai	Altay Mountains
Wechselstrom	Alternating current
Kategorie:Alternativmedizin	Alternative medicine
Alternativmedizin	Alternative medicine
Altruismus	Altruism
Aluminium	Aluminium
Aluminiumoxid	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimer-Krankheit	Alzheimer's disease
Fliegenpilz	Amanita muscaria
Grüner Knollenblätterpilz	Amanita phalloides
Amaryllisgewächse	Amaryllidaceae
Amaterasu	Amaterasu
Amazonas	Amazon River
Botschafter	Ambassador
Bernstein	Amber
Ambrosius von Mailand	Ambrose
Lorenzo Romano Amedeo Carlo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Amerikanischer Bison	American Bison
Amerikanischer Schwarzbär	American Black Bear
Sezessionskrieg	American Civil War
Amerikanischer Unabhängigkeitskrieg	American Revolutionary War
Amerikanisch-Samoa	American Samoa
American Standard Code for Information Interchange	American Standard Code for Information Interchange
American Football	American football
Kategorie:American Football	American football
Americium	Americium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Amethyst
Amharische Sprache	Amharic
Amide	Amide
Amine	Amine
Aminosäuren	Amino acid
Amische	Amish
Amman	Amman
Strommesser	Ammeter
Ammoniak	Ammonia
Amnesie	Amnesia
Amnestie	Amnesty
Ampere	Ampere
Amphetamin	Amphetamine
Amphibien	Amphibian
Amphitheater	Amphitheatre
Amphore	Amphora
Amplitude	Amplitude
Amsterdam	Amsterdam
Kategorie:Amsterdam	Amsterdam
Amun	Amun
Amur	Amur
Täufer	Anabaptist
Anagramm	Anagram
Anaheim	Anaheim
Analverkehr	Anal sex
Analytische Geometrie	Analytic geometry
Anarchismus	Anarchism
