English	Turkish
everybody	herkes
everything	her şey
he	o,
her	onun
herself	kendi
him	onu
his	onun
it	o
itself	kendi
me	bana
my	benim
our	bizim
she	o,
that	o
their	onların
they	onlar
this	bu
us	bize
we	biz
what	ne
which	hangi
which	hangi
who	kim
whom	kimi
you	sen, siz
your	senin
yourself	kendine