English	Indonesian
Abidjan	Abidjan
Abkhazia	Abkhazia
Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln	Abraham Lincoln
Adelaide	Adelaide
Aegean Sea	Laut Aegea
Albania ; Republic of Albania	Albania
Algeria ; People's Democratic Republic of Algeria	Aljazair
Alps	Alpen
American Samoa	Samoa Amerika
Andorra ; Principality of Andorra	Andorra
Angola ; Republic of Angola	Angola
Anguilla	Anguilla
Antarctica	Antarktika
Antigua and Barbuda	Antigua dan Barbuda
April	april
Apus	Apus
Aquarius	Aquarius
Aquila	Aquila
Argentina ; Argentine Republic	Argentina
Aries	Aries
Arizona	Arizona
Armenia	Armenia
August	Agustus
Australia ; Commonwealth of Australia	Australia
Austria ; Republic of Austria	Austria
Azerbaijan ; Republic of Azerbaijan	Azerbaijan
Bahrain	Bahrain
Balearic Islands	Kepulauan Balears
Bangladesh ; People's Republic of Bangladesh	Bangladesh
Belgium ; Kingdom of Belgium	Belgia
Belize	Belize
Belmopan	Belmopan
Bengali ; Bengali	Bahasa Bengali
Bermuda	Bermuda
Bethlehem	Betlehem
Bhutan ; Kingdom of Bhutan	Bhutan
Bible	Alkitab
Birmingham	Birmingham
Borneo ; Kalimantan	Pulau Borneo
Botswana ; Republic of Botswana	Botswana
Bourgogne	Bourgogne
Bouvet Island	Pulau Bouvet
Boötes	Boötes
Brazil	Brasil
British Indian Ocean Territory ; BIOT	Teritorial Britania di Samudra Hindia
Brunei ; Negara Brunei Darussalam	Brunei
Bulgaria ; Republic of Bulgaria	Bulgaria
Burundi ; Republic of Burundi	Burundi
Cairo	Kairo
Cambodia ; Kingdom of Cambodia	Kamboja
Cameroon ; Republic of Cameroon	Kamerun
Canada	Kanada
Cancer	Cancer
Canes Venatici	Canes Venatici
Canis Major	Canis Major
Canis Minor	Canis Minor
Capricorn	Capricornus
Caribbean Sea	Laut Karibia
Cassiopeia	Cassiopeia
Cayman Islands	Kepulauan Cayman
Chad ; Republic of Chad	Chad
Charente	Charente
Chihuahua	Chihuahua
Chihuahua ; chihuahua	chihuahua
Chile ; Republic of Chile	Chili
Christmas Island	Pulau Christmas
Christmas tree	pohon Natal
Corfu	Corfu
Croatia ; Republic of Croatia	Kroasia
Cyprus ; Republic of Cyprus	Siprus
Dagestan	Dagestan
Dakar	Dakar
December	Desember
Democratic Republic of the Congo ; Congo-Kinshasa	Republik Demokratik Kongo
Denmark ; Kingdom of Denmark	Denmark
Dominican Republic	Republik Dominika
Dutch	bahasa Belanda
EU ; European Union	Uni Eropa
East Timor ; Democratic Republic of Timor-Leste	Timor Timur
Easter	Paskah
Egypt ; Arab Republic of Egypt	Mesir
El Salvador ; Republic of El Salvador	El Salvador
Epiphany	Epifani
Eritrea	Eritrea
Estonia ; Republic of Estonia	Estonia
Ethiopia ; Federal Democratic Republic of Ethiopia	Ethiopia
Faroese ; Faeroese	Faro
Finland ; Republic of Finland	Finlandia
Flevoland	Flevoland
France	Peransis
French Guiana	Guyana Perancis
French Polynesia	Polinesia Perancis
Frisian ; Western Frisian	Frisia
Gabon ; Gabonese Republic	Gabon
Gaborone	Gaborone
Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia	Gambia
Gemini	Gemini
Georgia	Georgia
Georgian ; Georgian	Georgia
German	bahasa Jerman
Germany ; Federal Republic of Germany	Jerman
Ghana ; Republic of Ghana	Ghana
Gibraltar	Gibraltar
Greece ; Hellenic Republic	Yunani
Greenland	Greenland
Grenada	Grenada
Guadeloupe	Guadeloupe
Guam ; Guam ; Guam	Guam
H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)	H5N1
Haiti ; Republic of Haiti	Haiti
Happy New Year	selamat tahun baru
Hercules	Hercules
Holland ; Kingdom of the Netherlands ; The Netherlands	Belanda
Hungary ; Republic of Hungary	Hongaria
India ; Republic of India	India
Indonesia ; Republic of Indonesia	Indonesia
Indonesian	indónesíska ; bahasa Indonesia
Indre	Indre
Iran ; Islamic Republic of Iran	Iran
Iraq ; Republic of Iraq	Irak
Ireland ; Republic of Ireland	Irlandia
Israel ; State of Israel	Israel
Italian Republic ; Italy	Italia
Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire	Pantai Gading
Jakarta ; Djakarta ; DKI Jakarta	Jakarta
Jamaica	Jamaika
January	januari
Japan ; State of Japan	Jepang
Javanese	bahasa Jawa
Jersey ; Bailiwick of Jersey	Jersey
Jordan ; Hashemite Kingdom of Jordan	Yordania
June	juni
Jupiter	Jupiter
Kenya ; Republic of Kenya	Kenya
Khartoum	Khartoum
Kiribati ; Republic of Kiribati	Kiribati
Kyrgyzstan ; Kyrgyz Republic	Kirgizstan
Lagos	Lagos
Lausanne	Lausanne
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	St. Petersburg
Leo	Leo
Lesotho ; Kingdom of Lesotho	Lesotho
Liberia ; Republic of Liberia	Liberia
Libra	Libra
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Libya
Lithuania ; Republic of Lithuania	Lithuania
Lower Saxony	Niedersachsen
Lyon	Lyon
Malawi ; Republic of Malaŵi	Malawi
Malaysia	Malaysia
Malta ; Republic of Malta	Malta
Martinique	Martinique
Mauritania ; Islamic Republic of Mauritania	Mauritania
Mayotte	Mayotte
Mecca	Mekkah
Mercury	Merkurius
Merry Christmas	Selamat Hari Natal
Milan	Milan
Milky Way ; Galaxy	Bima Sakti ; Bimasakti
Milwaukee	Milwaukee
Monaco	Monako
Montenegro	Montenegro
Montserrat	Montserrat
Morocco ; Kingdom of Morocco	Maroko
Mount Fuji	Gunung Fuji
Myanmar	Myanmar
Nairobi	Nairobi
Namibia	Namibia
Neptune	Neptunus
New Caledonia	Kaledonia Baru
New York	New York
New Zealand	Selandia Baru
Nicaragua	Nikaragua
Niue	Niue
Norway ; Kingdom of Norway	Norwegia
Nuuk	Nuuk
Orleans	Orléans
Pakistan ; Islamic Republic of Pakistan	Pakistan
Papua New Guinea	Papua Nugini
Peru ; Republic of Peru	Peru
Philadelphia	Philadelphia
Poland	Polandia
Portugal	Portugal
Puerto Rico	Puerto Riko
Qatar	Qatar
Romania	Rumania
Sagittarius	Sagittarius
Saint-Pierre and Miquelon	Saint-Pierre dan Miquelon
Saturn	Saturnus
Saudi Arabia ; Kingdom of Saudi Arabia	Arab Saudi
Scorpio	Scorpius
Seine	Sungai Seine
Senegal	Senegal
Serbia	Serbia
Slovakia	Slowakia
Spain	Spanyol
Sri Lanka	Sri Lanka
Sudan	Sudan ; Súdan
Sun King	Raja Matahari
Suriname	Suriname
Sweden	Swedia
Switzerland	Swiss
Taiwan	Taiwan
Tajik	Bahasa Tajik
Tanzania	Tanzania
Taurus	Taurus
Telugu ; Telugu	Bahasa Telugu
Tennessee	Tennessee
Thailand	Thailand
Thuringia	Thüringen
Togo	Togo
Tonga	Tonga
Toronto	Toronto
Turkey	Turki
Uganda ; Republic of Uganda	Uganda
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Kerajaan Inggris
Uranus	Uranus
Urdu ; Urdu	Bahasa Urdu
Utah	Utah
Vaduz	Vaduz
Vatican City ; The Holy See ; State of the Vatican City	Vatikan
Venezuela	Venezuela
Venice	Venesia
Venus	Venus
Wallis and Futuna ; Territory of the Wallis and Futuna Islands	Wallis dan Futuna
Wiktionary	KamusWiki
Xhosa	Bahasa Xhosa
Yiddish	bahasa Yiddish
Zambia ; Republic of Zambia	Zambia
Zanzibar	Zanzibar
Zimbabwe ; Republic of Zimbabwe	Zimbabwe
aAmplitude ; amplitude	amplitudo
aback	terkejut
accident	kecelakaan ; musibah
accordion ; squeeze box ; piano accordion	akordeon
accountancy	akuntansi
actinium	aktinium
aggressive	agresif
aggressor ; assailant ; attacker ; assaulter	penyerang
alchemy	alkimia
alcoholism	alkoholisme
almanac	almanak
almost	hampir ; nyaris
alongside ; amongst ; with	dengan
aluminium	aluminium
amber	ambar
amphetamine	amfetamin
anarchism	anarkisme
and ; as well as ; in addition to ; together with ; too	dan ; serta
angel	malaikat
ant	semut
anthropology	antropologi
apartheid	apartheid
apoptosis	apoptosis
apple	apel
apricot	aberikos
aquarium	akuarium
archaeological	arkeologis
arson	sengaja
artful	cerdik
asbestos	asbestos
ascendancy	kekuasaan
ascent	pendakian
ascent	tanjakan
ascertain	menemukan
ashen	pucat
ashtray	asbak
asleep	sofandi
asphalt	aspal
aspiration	ambisi
assassin ; assassinator	pembunuh
assemble ; get together ; gather	mengumpulkan
assent	persetujuan
assent	menyetujui
assert	menyatakan
assert	memaksakan
assign	menugaskan
assignment	tugas
assimilate	mencernakan
assist	membantu
assorted	campuran
astatine	astatin
asteroid	asteroide
astonish	mengherankan
astonishing	mengagumkan
astonishment	keheranan
astound	terkejut
astounding	mengejutkan
astrometry	astrometri
atractive	menarik
atrocity	kekeja ; kekejaman
attached	menyayangi
attachment	menyukai
attain	mencapai
attend	melayani
attend	mengikuti
attend	memperhatikan
attend	menangani
attendant	penjaga
attire	pakaian
attire	berpakaian
attitude	posisi
attract	menarik
audacious	berani
augment	meningkatkan
auspicious	menguntungkan
authoritative	berwenang
autocracy	otokrasi
autopsy	otopsi
available	tersedia
badminton	bulutangkis
baker ; bakery	toko roti
ballad	balada
ballroom	ruang dansa
banana	pisang
barium	barium
barometer	barometer
beatification	beatifikasi
beer	bir
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	pusat
berkelium	berkelium
beryllium ; glucinium	berilium
beverage ; drink	minuman
bicycle ; bike ; cycle	sepeda
biome	bioma
bismuth	bismut
blind	buta
blood plasma	plasma darah
blue	biru
bonsai	bonsai
boron	boron
boundary	perbatasan
bread	roti
broccoli	brokoli
bromine	brom
bureaucracy	birokrasi
butcher	penjagal
butterfly	kupu-kupu
button ; clit ; clitoris	klitoris
buy ; purchase	membeli
caesium	sesium
caffeine	kafein
calcium	kalsium
calendar	kalender
camouflage	kamuflase
carbon dioxide	zat asam arang
cauliflower	bungkul
celery	seledri
cerium	serium
chair	kursi
champagne	sampanye
chaos theory	teori chaos
chemist ; pharmacist	apoteker
chemist's ; chemist's shop ; pharmacy	apotek
chipmunk	tupai chipmunk
cholesterol	kolesterol
chromium	kromium
chromosome	kromosom
cigar	cerutu
cigarette	rokok
cobalt	kobal
communism	komunisme
compound ; chemical compound	senyawa kimia
conference	konferensi
copper	tembaga
crime	kejahatan
crossword	teka-teki silang ; TTS
crystal	kristal
deaf	tuli
death penalty ; capital punishment ; death sentence	hukuman mati
deflation	Deflasi
democracy	demokrasi
demography	kependudukan
dengue fever	demam berdarah
dentist	dokter gigi
dermatology	dermatologi
dialect	dialek
dictionary	kamus
digestion	pencernaan
divorce	perceraian
do	buat ; melakukan
dog	anjing
doll	boneka
dolphin	lumba-lumba
donation	sumbangan
door	pintu
dry	kering
duck	bebek
dumb	bisu
dysprosium	disprosium
earth ; Earth ; the world ; Blue Planet	Bumi
elbow	siku
emergency	darurat
epicentre	episenter
epilepsy	epilepsi
equation	persamaan
equator	khatulistiwa
erbium	erbium
ethics	etika
europium	europium
fascism	fasisme
flint ; flintstone	rijang
fluorine	fluor
flute	flute
food chain	rantai makanan
francium	fransium
full	penuh
gallium	galium
gas	gas
general	jendral
genome	genom
germanium	germanium
gland	kelenjar
glycolysis	glikolisis ; glicolisi
gold	emas
gonorrhea	gonorhea
goose	angsa
grandson	cucu lelaki
guillotine ; guillotine ; guillotine	guillotine
haematology	hematologi
haiku	haiku
handkerchief	sapu tangan
helicopter	helikopter
helium	helium
heroin	heroin
historiography	historiografi
home ; home ; house	rumah
honey	madu
horizon	horison
hormone	hormon
horse	kuda
hour	jam
huckleberry ; blueberry	beri biru
hydrogen	wetterstof
iceberg	gunung es
ideology	ideologi
indium	indium
infectious disease ; communicable diseases	penyakit menular
inflation	inflasi
instep	telapak atas
instrument ; musical instrument	alat musik
iodine	yodium
iridium	iridium
iron	besi
jade	jade
jazz	jazz
journalism	jurnalisme
journalist	jurnalis
judo	yudo
karate	karate
krypton	kripton
lanthanum	lantanum
lead	timbal
leg	kaki
lemon	limau
lens	lensa
liberalism	liberalisme
library	perpustakaan
limnology	limnologi
lithography	litografi
little finger ; pinkie	jari kelingking
logic	logika
lutetium	lutesium
malaria	malaria
manganese	mangan
marsupial	marsupial
mayonnaise	mayones
merchant	pedagang
mercury	merkurius
metaphysics	metafisika
meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star	meteor ; meteor ; meteor ; meteor ; meteor
meteorite	meteorit
microphone	mikrofon
mineralogy	mineralogi
miniskirt ; mini-skirt	rok mini
molybdenum	molibdenum
morphine	morfin
mosque	mesjid
mumps	beguk
museum	museum
mysterious	misterius
neighbour ; vecino	tetangga
neodymium	neodimium
neologism	neologisme
neon	neon
neptunium	neptunium
neurology	neurologi
nickel	nikel
niobium	niobium
nitrogen	nitrogen
no	tidak
noun ; substantive	kata benda
obesity	obesitas
obstacle ; obstruction	halangangan
octave	oktaf
official language	bahasa resmi
oligarchy	oligarhija ; oligarchia
oligopoly	oligopoli
oncology	onkologi
opera	opera
optics	optik
osmium	osmium
ostrich	burung unta
ovary	ovarium
oyster	tiram
paediatrician	dokter anak
palladium	paladium
palm	palma
pancreas	pankreas
pear	buah pir
pencil	pensil
peninsula	semenanjung
philology	filologi
philosophy	filsafat
phishing	phishing
phone ; telephone	telepon
phosphorus	fosfor
physiology	fisiologia
pigeon ; dove	merpati
pike ; spear	tombak
platinum	platina
plutonium ; plutonium ; plutonium	plutonium ; plutonium ; plutonium
polar bear	beruang kutub
polonium	polonium
polymer	polimer
potassium	kalium
poverty	kemiskinan
praseodymium	praseodimium
pregnancy	kehamilan
preposition	kata depan
prime number ; prime	bilangan prima
prisoner of war ; POW ; PoW ; PW	tahanan perang
promethium	prometium
prostate	prostat
pump	pompa
pyrolysis	pirolisis
rabbit	kelinci
radiology	radiologi
radium	radium
radon	radon
rainbow	pelangi ; bianglala
referendum ; plebiscite	referendum
refrigerator ; fridge	koelkas
rhenium	renium
rhodium	rhodium
rice	nasi ; padi
roof ; roof ; roof	atap
rubidium	rubidium
ruby	rubi
ruthenium	rutenium
rutherfordium	rutherfordium
sahara	sahara
samarium	samarium
scandium	skandium
seaborgium	seaborgium
secret	rahasia
selenium	selenium
sell	jual ; menjual
shark	cápa
sheep	domba
silicon	silikon
silver	perak
skull	tengkorak
slaughter	menyembelih
sociolinguistics ; sociology of language	sosiolinguistik
sphinx	sphinx
star	bintang
storm ; tempest	angin topan ; badai
strontium	stronsium
sulphur	belerang
supernova	supernova
sword	pedang
synagogue	sinagoga
syndrome	sindrom
syphilis	sifilis
tadpole ; polliwog	berudu
tantalum	tantalum
tea	teh
technetium	teknesium
tellurium	telurium
terminology	terminologi
testosterone	testosteron
thallium	talium
theocracy	teokrasi
theology	teologi
thorium	torium
thousand	ribu
thumb	ibu jari
timezone	zona waktu
tin	timah
titanium	titanium
together	bersama ; bareng
tomato	tomat
topology	topologi
torpedo	torpedo
translate ; interpret	terjemah
tree	pohon
trombone	trombon
trousers	celana
trumpet	terompet
tulip	tulip
tunafish	tuna
tungsten	wolfram
turkey	kalkun
twin	kembar
university ; university ; academy	universitas ; universitas
ununbium	ununbium
ununoctium	ununoktium
uranium	uranium
vanadium	vanadium
vegetable	sayur mayur
verb	kata kerja
vinegar	cuka
water	air
wheelchair	kursi roda
white	putih
wood	kayu
word	kata
world war	perang dunia
wound	luka
xenon	xenon
yak	yak
yttrium	itrium
zebra	zebra
zero ; null	nol
zinc	seng
zirconium	zirkonium
Åland Islands	Åland
