Slovenian	English
preprečiti	avert
odvrniti	avert
zakon o zračnem prometu	aviation law
vzreja ptic	aviculture
željan	avid
ptice določenega območja	avifauna
strahospoštovanje	awe
hipec	awhile
ozadje	background level
hrup ozadja	background noise
radioaktivno sevanje ozadja	background radiation
bakterijska plast	bacterial bed
baktericid	bactericide
bakteriološko onesnaženje	bacteriological pollution
bakteriologija	bacteriology
bakterija	bacterium
pecilni prašek	baking powder
bilanca ; izravnava ; saldo ; stanje	balance
ravnovesje snovi	balance of matter
usklajevanje interesov	balancing of interests
balada	ballad
plesna dvorana	ballroom
banana	banana
breg	bank
varstvo obrežij	bank protection
bančništvo, bančno poslovanje	banking
barij	barium
ječmen	barley
barometer	barometer
baron	baron
zemeljska kosa, sipina	barrier beach
koralni greben	barrier reef
baza	base
dolgoročni monitoring	baseline monitoring
osnovna potreba po hrani	basic food requirement
bazičnost	basicity
prostotrosnice (Basidiomycetes)	basidiomycete
košarka	basketball ; basketball game
fagot	bassoon
križanje živalskih vrst	bastardisation of fauna
križanje rastlinskih vrst	bastardisation of flora
serijski proces	batch process
kopane sladke vode	bathing freshwater
kopalne morske vode	bathing seawater
kopalne vode	bathing water
baterija	battery
odlaganje baterij	battery disposal
zaliv	bay
plaža	beach
čiščenje obale	beach cleansing
fižol	bean ; edible bean
beatifikacija	beatification
bober	beaver
čebele	bee
varstvo čebel	bee conservation
govedo za prirejo mesa	beef cattle
pivo	beer
hrošči (Coleoptera)	beetle
vedenje	behaviour
reaktivnost snovi	behaviour of substances
vedenjski vzorec	behaviour pattern
preučevanje obnašanja organizmov	behavioural science
koristen organizem	beneficial organism
bentoško območje	benthic division
bentos, organizmi na morskem dnu ; bentos ; organizmi na morskem dnu	benthos
benzen	benzene
benzopiren	benzopyrene
berkelij	berkelium
berilij	beryllium ; glucinium
sevanje beta	beta radiation
pijača	beverage ; drink
proizvodnja pijač	beverage industry
bibliografska informacija ; bibliografska informacije	bibliographic information
bibliografski informacijski sistem	bibliographic information system
bibliografija	bibliography
kolo	bicycle ; bike ; cycle
velike prostoživeče živali	big game
bilateralna konvencija	bilateral convention
žolč	bile
odpadno olje v podladju	bilge oil
kalužna voda	bilge water
biorazpoložljivost	bio-availability
bioakumulacija	bioaccumulation
bioakumulacijsko onesnaževalo	bioaccumulative pollutant
biokemijska metoda	biochemical method
biološka potreba po kisiku	biochemical oxygen demand
biokemijski proces	biochemical process
biokemična snov	biochemical substance
biokemija	biochemistry
biocid	biocide
bioklimatologija	bioclimatology
biocenoza	biocoenosis
faktor biokoncentracije	bioconcentration factor
biorazgradljivost	biodegradability
biorazgradljivo onesnaževalo	biodegradable pollutant
biorazgradnja	biodegradation
biotska raznovrstnost	biodiversity
bioetika	bioethics
biofiltracija	biofiltration
biogorivo	biofuel
bioplin	biogas
biogeokemijski cikel	biogeochemical cycle
biogeografska regija	biogeographical region
biogeografija	biogeography
biološka analiza	biological analysis
biološka lastnost/značilnost	biological attribute
biološka kontaminacija	biological contamination
biološki cikel/ciklus	biological cycle
biološki razvoj	biological development
biološki učinek/vpliv, biološka posledica	biological effect
biološki vpliv/učinek onesnaženja	biological effect of pollution
biološko inženirstvo	biological engineering
biološka dediščina	biological heritage
biološki indikator/kazalec	biological indicator
biološki monitoring	biological monitoring
biološko zatiranje škodljivcev	biological pest control
biološko onesnaževalo	biological pollutant
biološko onesnaženje	biological pollution
biološki proces	biological process
biološka proizvodnja	biological production
biološki rezervat	biological reserve ; wildlife reserve
biološki viri	biological resource
biološki preskus	biological test
biološko čiščenje odpadnih vod	biological treatment
biološko čiščenje odpadnih plinov	biological waste gas purification
biološka obdelava odpadkov	biological waste treatment
biološko čiščenje odpadnih vod	biological wastewater treatment
biološko vodno ravnovesje	biological water balance
biološko orožje	biological weapon
biologija	biology ; biological science
bioluminiscenca	bioluminescence
biološki kazalec	biomarker
biomasa	biomass
energija biomase	biomass energy
biom	biome
biofizika	biophysics
bioreaktor	bioreactor
bioritem	biorhythm
biološka varnost	biosafety
biosfera	biosphere
biosferno območje	biosphere reserve
biosinteza	biosynthesis
biotehnološka nevarnost	biotechnological hazard
biotehnologija	biotechnology
biotski dejavnik	biotic factor
biotski indeks/kazalec	biotic index
biotop	biotope
mreža biotopov	biotope network
uredba o biotopih	biotope order
varstvo biotopa	biotope protection
ptice ; ptiči	bird
ptica roparica	bird of prey
ptičji rezervat	bird sanctuary
ptičja vrsta	bird species
kontracepcija, nadzorovanje rojstev ; kontracepcija ; nadzorovanje rojstev	birth control
škof	bishop
bizmut	bismuth
bitumen	bitumen
črni premog	black coal ; black coal ; black coal ; anthracite coal
kos	blackbird
plavž	blast furnace
belilo	bleaching agent
belilna glina	bleaching clay
beljenje	bleaching process
slep	blind
blog	blog ; weblog ; web log
kri	blood
moder	blue
modrozelena cepljivka	blue-green alga ; cyanobacteria
čolnarjenje	boating
sistem zaprtih polj	bocage
barje	bog
kotel, grelec	boiler
vrelišče	boiling point
knjiga	book
knjigovodstvo	bookkeeping
meja	border
bor	boron
rastlinski rezervat	botanical conservatory
botanični vrt	botanical garden
botanika	botany ; phytology
zamašek	bottle cap
prečkanje meje	boundary crossing
mejna plast	boundary layer
lok	bow
brakična voda	brackish water
veja	branch
vrsta dejavnosti	branch of activity
krúh	bread
materino mleko	breast milk
gojenje rastlin ; vzreja živali ; vzreja živali, gojenje rastlin	breeding
starševska ptica	breeding bird
tehnologija reje	breeding technique
opeka	brick
most	bridge
prinesti	bring
listavec	broad-leaved tree
brom	bromine
valjenje	brooding
potok	brook
grmovje	brushwood
mahovi (Bryophyta) ; mahovi	bryophyte
politika mehurčka (trgovanje z emisijami) ; politika mehurčka	bubble policy (emissions trading) ; bubble policy
proračun, finančni načrt, predračun	budget
proračunska politika	budget policy
stenice (Heteroptera) ; stenice	bug ; põrnikas
zgradba, stavba, poslopje ; zgradba ; stavba ; poslopje	building
zazidalno območje	building area
gradbena sestavina	building component
rušenje zgradb	building destruction
gradbeništvo	building industry
zazidljivo zemljišče	building land
gradbeni material	building material
industrija gradbenega materiala	building materials industry
gradbeno dovoljenje	building permit
gradbeno načrtovanje	building planning
gradbeni predpis	building regulation
sindrom bolnih zgradb	building related illness ; sick building syndrome
obnova, restavriranje zgradb	building restoration
gradbena storitev	building service
gradbišče	building site
priprava gradbišča	building site preparation
gradbena tehnologija	building technology
gradbeni odpadki	building waste
drenažni ali osuševalni sistem	built drainage system
grajeno okolje	built environment
grajeni objekt	built structure
pozidano območje, strnjeno naselje ; pozidano območje ; strnjeno naselje	built-up area
gojenje čebulic	bulb cultivation
kosovni odpadki	bulky waste
бык	bull
krogla	bullet
čmrlj	bumblebee
birokratizacija	bureaucratisation
avtobus	bus ; coach
avtobusna postaja	bus station
odstranjevanje grmovja	bush clearing
delo ; poklic ; posel/delo, dejavnost/poklic, podjetje/firma ; posel ; dejavnost ; podjetje ; firma	business
poslovna dejavnost	business activity
klasifikacija podjetij	business classification
poslovna ekonomija/ekonomika	business economics
poslovna organizacija	business organisation
poslovna politika	business policy
mesar	butcher
maslo	butter
metulji	butterfly
baterija v obliki gumba, gumb baterija	button-cell battery
kupiti	buy ; purchase
nakup	buy ; purchase
stranski ulov	by-catch
stranski produkt	by-product
kabel	cable
kadmij	cadmium
cezij	caesium
kofein	caffeine
kalcij	calcium
vsebnost kalcija	calcium content
izračunavanje, preračunavanje, izračun ; izračunavanje ; preračunavanje ; izračun	calculation
metoda izračunavanja	calculation method
kaliber	caliber
kalibracija	calibration
kalifornij	californium
kamela	camel
fotoaparat ; fotográfski aparát	camera
kamp ; kamp, tabor ; tabor	camp ; military camp ; army camp ; campsite
kamp	camping ; camping ground
kamp, urejen prostor za taborjenje	camping site
kanal	canal
zapornica	canal lock
rak	cancer
tveganje obolelosti za rakom	cancer risk
pes	canid
kanjon	canyon
avtomobil	car ; automobile
parkirišče	car park
avtomobilska pnevmatika	car tyre
ogljikov hidrat	carbohydrate
ogljik	carbon
ogljikov dioksid	carbon dioxide
davek na ogljikov dioksid	carbon dioxide tax
ogljikov monoksid	carbon monoxide
karbonat	carbonate
odlaganje živalskih trupel	carcass disposal
rakotvoren	carcinogen
rakotvornost	carcinogenicity
preskus za rakotvornost	carcinogenicity test
kardinal	cardinal
kardiologija	cardiology
kardiovaskularna bolezen, bolezen srca in ožilja ; kardiovaskularna bolezen ; bolezen srca in ožilja	cardiovascular disease
kardiovaskularni sistem, sistem srca in ožilja ; kardiovaskularni sistem ; sistem srca in ožilja	cardiovascular system
mesojed, karnivor	carnivore
učinek prenosa	carry-over effect
kartografija	cartography
sodni proces, sodna obravnava ; sodna obravnava ; sodni proces	case ; lawsuit ; trial
pridelek za trg	cash crop
grad	castle
kataliza	catalysis
katalizator	catalyst
avtomobilski katalizator	catalytic converter
katapult	catapult
katastrofa	catastrophe
ulov	catch yield
(vodni) zbiralnik	catchment
zbirno območje	catchment area
ogrožena vrsta	category of endangered species
kation	cation
govedo, goveja živina	cattle
razmerje med vzrokom in posledico	cause-effect relation
jama	cave
celica ; celica	cell ; cell
galvanski člen	cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο
celuloza	cellulose
celulozna industrija	cellulose industry
cement	cement
cementna industrija	cement industry
proizvodnja cementa	cement manufacture
popis prebivalstva	census survey
osrednja vlada	central government
osrednje območje parka	central park area
centralizacija	centralisation
centrifugiranje	centrifugation
glavonožci (Cephalopoda) ; glavonožci	cephalopod
keramika	ceramics
keramična industrija	ceramics industry
cerij	cerium
potrdilo	certification
kiti (Cetacea) ; kiti ; Cetacea ; veľryby	cetacean
stol	chair
kreda	chalk
šampanjec	champagne
sprememba vrednosti	change in value
sistem vodov	channelling
oglje	charcoal
zapisnik	chart
karta	chart ; nautical chart
sir	cheese
pipalkarji (Chelicherata)	chelicerate
kemikalija	chemical
adicija	chemical addition
kemijska analiza	chemical analysis
kemična sestava	chemical composition
kemična kontaminacija	chemical contamination
korozivnost	chemical corrosivity
kemična dekontaminacija	chemical decontamination
kemični element	chemical element ; element
usedanje delcev	chemical fallout
umetno gnojilo	chemical fertiliser
prisotnost kemikalij v okolju	chemical in the environment
kemična industrija	chemical industry
obrat kemične proizvodnje	chemical installation
kemične meritve onesnaženosti	chemical measurement of pollution
kemična potreba po kisiku	chemical oxygen demand
kemično zatiranje škodljivcev	chemical pest control
kemična tovarna	chemical plant
kemijska politika	chemical policy
kemično onesnaževalo	chemical pollutant
kemično onesnaženje	chemical pollution
kemijski proces	chemical process
kemični izdelek	chemical product
kemična lastnost	chemical property
kemijska reakcija	chemical reaction
kemična redukcija	chemical reduction
kemično tveganje	chemical risk
kemična struktura	chemical structure
kemična obdelava	chemical treatment
kemični odpadki	chemical waste
kemično orožje	chemical weapon
zakon o kemikalijah	chemicals act
kemijska adsorpcija	chemisorption
kemija	chemistry
šah	chess
kostanj	chestnut
otrok	child
dimnik	chimney
višina dimnika	chimney height
vrsta severnoameriške veverice	chipmunk
netopir	chiropteran
klorid	chloride
klorirani ogljikovodik	chlorinated hydrocarbon
kloriranje	chlorination
klor	chlorine
klorofenol	chlorophenol
klorofil	chlorophyll
kloroza (pomanjkanje klorofila) ; kloroza	chlorosis
strunarji (Chordata) ; strunarji	chordate
horologija	chorology
kromatografska analiza	chromatographic analysis
kromatografija	chromatography
krom	chromium
zlatorjave in oranžnorumene alge (Chrysophyta)	chrysophyta
cerkev	church
cigareta	cigarette
film	cinematographic film
okrožnica	circular mail
državljan, meščan, občan ; državljan ; meščan ; občan	citizen
ozaveščenost državljanov	citizen awareness
državljanska pobuda	citizen initiative
državljanske pravice	citizen rights
mesto	city
mestno središče	city centre
civilni zračni promet	civil air traffic
gradbeništvo	civil engineering
civilno/zasebno pravo, rimsko pravo	civil law
varnost ljudi	civil safety
zaščita civilnega prebivalstva	civilian protection
zahtevek za povračilo	claim for restitution
klarinet	clarinet
razvrstitev	classification
glina	clay
območje čistega zraka	clean air area
vozilo, ki ne onesnažuje zraka	clean air car
čista tehnologija	clean technology
melioracija	cleaning up
čistoča ; čistost	cleanliness
komunalna služba	cleansing department
aktivno blato	clearing sludge
klif	cliff
podnebje ; podnebje, klima ; klima	climate
varstvo podnebja	climate protection
podnebni vir	climate resource
podnebni tip	climate type
spreminjanje podnebja	climatic alteration
podnebne spremembe	climatic change ; climate change
podnebni vpliv	climatic effect
podnebni poskus/eksperiment	climatic experiment
podnebni pas	climatic zone
klimatologija	climatology
klimaks	climax
plezalka	climbing plant (wall) ; climbing plant
klinični simptom	clinical symptom
kloniranje	cloning
zaprtje	closing down
zaprtje podjetja	closing down of firm
oblačila, obleke ; oblačila ; obleke	clothing ; apparel
industrija oblačil, konfekcijska industrija	clothing industry
oblak	cloud
sosežig	co-incineration
sodelovanje	co-operation
politika sodelovanja	co-operation policy
načelo sodelovanja	co-operation principle
koordinatni sistem	co-ordinate system
usklajevanje, koordinacija	co-ordination
kosmičenje	coagulation
premog	coal
premogovništvo	coal industry
utekočinjanje premoga	coal liquefaction
premogovništvo	coal mining
rafiniranje premoga	coal refining
predelava premoga	coal technology
energija premoga	coal-based energy
termoelektrarna	coal-fired power plant
obala	coast
varstvo obale	coast protection
obalno območje	coastal area
razvoj obalnih območij	coastal development
obalni ekosistem	coastal ecosystem
obalno okolje	coastal environment
priobalni ribolov	coastal fishing
onesnaženje obale	coastal pollution
obalno morje	coastal water
prostorsko načrtovanje na obalnih območjih	coastal zone planning
obalna straža	coastguard
premaz	coating
kobalt	cobalt
ščurek	cockroach
kodeks, zbirka pravil/zakonov, zakonik	code
kodeks, pravila obnašanja	code of practice
kodifikacija	codification
ožigalkarji (Cnidaria) in rebrače (Ctenophora)	coelenterate
kava	coffee
kogeneracija	cogeneration
kovanec	coin ; money
koks	coke
mraz	cold
koliformna bakterija	coliform bacterium
grič	colina ; hill ; loma
skupno čiščenje odpadne vode	collective wastewater treatment
koloid	colloid
koloidno stanje	colloidal state
kolonizacija ; poselitev	colonisation
barva ; barva ; barva	colour ; colour ; colo(u)r
barvna sestava	colour composition
kolorimetrija	colourimetry
goži (Colubridae)	colubrid
sinergijski učinek	combination effect
kogeneracija električne energije	combined cycle-power station
kombinirani sistem kanalizacije	combined sewer system
kombinirani prevoz	combined transport
mešane odpadne vode (komunalne, industrijske, meteorne)	combined waste water
gorljivost	combustibility
motor z notranjim zgorevanjem	combustion engine
izpušni plin	combustion gas
ostanek pri zgorevanju	combustion residue
komet	comet
komercialni ribolov	commercial fishery
trgovinsko pravo, gospodarsko pravo	commercial law
hrup gospodarskih dejavnosti	commercial noise
trgovinski promet	commercial traffic
posel, kupčija	commercial transaction
vozilo za prevoz blaga	commercial vehicle
komercializacija	commercialisation
skupni dogovor	common agreement
skupna kmetijska politika	common agricultural policy ; common agricultural policy of the EU
skupna/enotna trgovinska politika	common commercial policy
skupna/enotna carinska politika	common tariff policy
komunikacije	communications
komunikacije (dejavnost)	communications industry
komunikacijska politika	communications policy
komunikacijski sistem	communications system
komunizem	communism
javna zgradba/oprema/storitev	community facility ; public facility
načelo, po katerem plača skupnost	community-pays principle
dnevna migracija	commuter traffic
zgoščevanje ; zgoščevanje, kompaktiranje ; kompaktiranje	compaction
politika podjetja/družbe	company policy
struktura podjetja	company structure
primerjalno pravo	comparative law
primerjalni preskus	comparative test
primerjava	comparison
nadomestilo ; nadomestilo (škode), odškodnina, povračilo, kompenzacija ; odškodnina ; nadomestilo škode ; kompenzacija ; povračilo	compensation
odškodnina, nadomestilo za škodo	compensation for damage
kompenzacijski ukrep	compensatory measure
kompenzacijski davek	compensatory tax
tekmovalnost	competition
zakon o omejevanju konkurence	competition law
izbirni preskus	competitive examination
konkurenčnost, konkurenčna sposobnost	competitiveness
tvorba kompleksa	complex formation
snov, sposobna tvoriti kompleks	complexing agent
kombinirano onesnaženje	composite pollution
sestava prebivalstva	composition of population
kompost	compost
odpadki, primerni za kompostiranje	compostable waste
kompostiranje	composting
kompostiranje, ki ga izvaja proizvajalec	composting by producer
stiskanje ; stiskanje, kompresija ; kompresija	compression
kompresor	compressor
koncentracija	concentration
okoljski koncept	concept of environment
dovoljenje ; koncesija, dovoljenje, izključna pravica ; koncesija ; izključna pravica	concession
beton	concrete
proizvodnja betonskih izdelkov	concrete products industry
kondenzacija ; kondenzacija (proces)	condensation (process) ; condensation
prevodnost	conductivity ; electrical conductivity
konflikt, spor ; konflikt ; spor	conflict
nasprotje/nasprotnost ciljev, križanje ciljev	conflict of aims
nasprotje/nasprotnost interesov, križanje interesov	conflict of interests
sporna uporaba/raba	conflicting use
kongres, zbor	congress
iglavec	conifer
iglasti gozd	coniferous forest
iglavec	coniferous tree
ohranjanje, konzerviranje ; ohranjanje ; konzerviranje	conservation
ohranjanje spomenikov	conservation of monuments
politika ohranjanja	conservation policy
ustava	constitution
ustavno pravo, ustavni zakon	constitutional law
gradbena oprema	construction equipment
hrup gradbenih dejavnosti	construction noise
gradbena politika	construction policy
gradbena tehnologija	construction technology
gradnja z recikliranim materialom	construction with recycled material
gradbene dejavnosti	construction work
svetovanje	consultancy
posvetovanje, konzultacija ; posvetovanje ; konzultacija	consultation
vedenje potrošnika/kupca	consumer behaviour
blago/izdelki za široko porabo	consumer goods
potrošniška skupina	consumer group
potrošniške informacije	consumer information
potrošniški izdelek	consumer product
varstvo potrošnikov	consumer protection
gospodinjski odpadki	consumer waste
poraba, potrošnja ; poraba ; potrošnja	consumption
vzorec/model porabe ; vzorec ; model porabe	consumption pattern
kontejner ; zabojnik	container
zadrževalni hram (jedrski reaktor) ; zadrževalni hram	containment (nuclear industry) ; containment
onesnažena tla	contaminated soil
onesnaženje	contamination
celina ; kontinent	continent
celinsko/kontinentalno podnebje	continental climate
celinska polica	continental shelf
stalno/permanentno izobraževanje	continuing education
stalna obremenitev	continuous load
kmetijska pridelava na terasah	contour farming
pogodba ; pogodba, sporazum ; sporazum	contract
nadzorni ukrep, nadzor	control measure
nadzorovano požiganje	controlled burning
območje nadzorovanega lova	controlled hunting zone
nadzorna pristojnost, upravna pristojnost	controlling authority
somestje, konurbacija ; somestje ; konurbacija	conurbation
konvencija ; mednarodni sporazum	convention
konvencionalna energija	conventional energy
hlajenje	cooling
hladilno olje	cooling oil
hladilni stolp	cooling tower
hladilna voda	cooling water
baker	copper
panjevec	coppice
panjevec s semenjaki, srednji gozd	coppice with standards
korala	coral
koralni greben	coral reef
laguna za koralnim grebenom	coral reef lagoon
taljenje jedra	core meltdown
pluta	cork
koridor ; prehod	corridor
korozija	corrosion
inhibitor korozije	corrosion inhibitor
kozmetična industrija	cosmetic industry
kozmično sevanje	cosmic radiation
kozmologija	cosmology
strošek, proizvodni stroški ; proizvodni stroški ; strošek	cost
zvišanje stroškov	cost increase
znižanje stroškov	cost reduction
stroški in koristi	cost-benefit
analiza stroškov in koristi	cost-benefit analysis
bombaž	cotton
država	country ; nation ; state
koča, brunarica	country lodge
okrožje, okraj ; okraj ; okrožje	county
sodišče	court
sodišče	court of justice
zajeda, soteska ; zajeda ; soteska	cove
prekritje	covering ; roofing
krava	cow
obrt	craft ; arts and crafts
posojilo, kredit	credit
kreditna pomoč	credit assistance
kreditna politika	credit policy
zalivček	creek
zločin, kaznivo dejanje ; zločin ; kaznivo dejanje	crime
kazensko pravo	criminal law
kazenski postopek	criminal law procedure
kazenska odgovornost	criminal liability
kriminaliteta	criminality
krizno upravljanje	crisis management
kritična koncentracija	critical level
kritična obremenitev	critical load
krokodil	crocodile
pridelava poljščin	crop production
zaščita pridelka	crop protection
kolobarjenje	crop rotation
kemična zaščita pridelka	crop treatment
prehod (čez cesto itd.)	crossing place
prehod za živali	crossing place for animals
križanka	crossword
surova nafta	crude oil
križarjenje	cruising
raki (Crustacea)	crustacean
kritosemenka, brezcvetnica ; kritosemenka ; brezcvetnica	cryptogam
kristal	crystal
kristalizacija	crystallisation
kristalografija	crystallography
kulturna rastlina	cultivated plant
gojenje rastlin	cultivation ; tillage
tehnologija obdelovanja	cultivation method
obdelovanje kmetijske zemlje	cultivation of agricultural land
sistem obdelave tal	cultivation system
kulturni razvoj	cultural development
kulturna ustanova	cultural facility
kulturna dediščina	cultural heritage
kulturni indikator/kazalec	cultural indicator
kulturna politika	cultural policy
kultura	culture
kirij	curium
življenjepis	curriculum
carinske dajatve	customs
carinski predpis	customs regulation
carinska tarifa	customs tariff
sečnja	cutting
sečnja	cutting ; cutting (vegetative propagation)
cianat	cyanate
cianid	cyanide
kolesarska pot	cycle path
ciklon	cyclone
citologija	cytology
citotoksičnost	cytotoxicity
mlečna kmetija	dairy farm
mlečna industrija	dairy industry
mlečni proizvod	dairy product
jez	dam
spuščanje vode iz akumulacije	dam draining
škoda	damage
ocenitev škode	damage assessment
škoda, ki jo povzročijo vojaški manevri	damage from military manoeuvres
škodno zavarovanje	damage insurance
preprečevanje škode	damage prevention
ples	dance
analiza nevarnosti	danger analysis
nevarno blago	dangerous goods
zakon o nevarnem blagu	dangerous goods law
predpis o nevarnem blagu	dangerous goods regulation
nevarne naprave/objekti	dangerous installation
prevoz nevarnih snovi	dangerous materials transport
darmštatij	darmstadtium
pridobivanje podatkov	data acquisition
analiza podatkov	data analysis
nosilec podatkov	data carrier
podatkovno središče, podatkovni center	data centre
izmenjava podatkov	data exchange
podatki o stanju okolja	data on the state of the environment
obdelava podatkov	data processing
zakon o obdelavi podatkov	data processing law
sistem obdelave podatkov	data processing system
varstvo/varovanje podatkov	data protection
tehnika beleženja/evidentiranja podatkov	data recording technique
baza podatkov ; podatkovna baza	database
datiranje	dating
zaslepiti	dazzle
razbarvanje, deinking	de-inking
smrtna kazen	death penalty ; capital punishment ; death sentence
bremeniti	debit
dolg	debt
odplačevanje dolga	debt service
razpadni produkt	decay product
decentralizacija	decentralisation
dekloriranje	dechlorination
decibel	decibel
listopadni gozd	deciduous forest ; deciduous wood
listavec	deciduous tree
odločitev	decision
podpora pri sprejemanju odločitev	decision making support
proces odločanja	decision process
sistem za podporo pri odločanju	decision-support system
širši družbeni interes	declaration of public utility
razpad	decomposition
dekontaminacija	decontamination
odredba, dekret, odlok, odločba ; odredba ; dekret ; odlok ; odločba	decree
globoko morje	deep sea
ribolov na odprtem morju	deep sea fishing
črpanje nafte v globokem morju	deep sea mining
odlaganje v globoko morje	deep-sea disposal
jeleni (Cervidae) ; jeleni	deer
obramba, odgovor na tožbo ; obramba ; odgovor na tožbo	defence
odpadanje listja/iglic, defoliacija	defoliation
izsekavanje, krčenje gozdov ; izsekavanje ; krčenje gozdov	deforestation
razgradljivost	degradability
razgradnja	degradation
propadanje/degradacija naravnih virov	degradation of natural resources
degradacija okolja	degradation of the environment
produkt razgradnje	degradation product
razmaščevanje	degreasing
dehidrirano blato	dehydrated sludge
upravljanje s prenosom pooblastil	delegated management
delta	delta
povpraševanje	demand
javna voda	demesnial water
demokracija	democracy
demografski razvoj	demographic development
demografski razvoj	demographic evolution
demografija	demography
rušenje	demolition business
gradbeni odpadki (iz rušenja starih objektov)	demolition waste
dokaznost, nazornost	demonstrability
dendrokronologija	dendrochronology ; tree-ring dating
dendrometrija	dendrometry
denitrifikacija	denitrification
denitrifikacija odpadnih plinov	denitrification of waste gas
gostota	density
usedanje	deposition
deregulacija	deregulation
dermatologija	dermatology
razsoljevanje	desalination
obrat za razsoljevanje	desalination plant
puščava	desert
puščavsko podnebje	desert climate
puščavska kobilica	desert locust
širjenje puščavskih razmer, širjenje puščav	desertification
preprečevanje širjenja puščav	desertification control
načrt (projekt)	design (project) ; design ; project design
teoretična raziskava/študija	desk study
desorpcija	desorption
cilj, destinacija	destination of transport
razžvepljevanje, odžvepljevanje ; razžvepljevanje ; odžvepljevanje	desulphurisation
razžvepljevanje/odžvepljevanje goriva	desulphurisation of fuel
detekcija, odkritje, preiskava ; detekcija ; odkritje ; preiskava	detection
detektor	detector
detergent, čistilno sredstvo	detergent
metoda določanja	determination method
svarilo, opomin	deterrence
ovira	deterrent
razstrupitev	detoxification
devterij	deuterium
razvita država	developed country
država v razvoju	developing country
razvojna pomoč	development aid
območje v razvoju	development area
razvojno sodelovanje	development co-operation
razvojni model	development model
razvojni vzorec	development pattern
razvojni načrt	development plan
prenos odgovornosti na podrejene	devolution
dializa	dialysis
dnevnik	diary
kremenaste alge (Diatomeae)	diatom
slovar	dictionary
didaktika	didactics
dizelski motor	diesel engine
dizelsko gorivo	diesel fuel ; diesel
diferenciacija	differentiation
razpršeno onesnaženje	diffuse pollution
razpršeni vir	diffuse source
razprševanje	diffusion
pregnito blato	digested sludge
gnilišče	digester
prebava	digestion
anaerobna presnova ; gnitje	digestion
digitalna tehnika obdelave slik	digital image processing technique
digitalni model reliefa	digital land model
digitalizacija	digitising
razredčena kislina	diluted acid
dioksin	dioxin
dvokrilec	dipteran
onesnaževalec z neposrednim izpustom	direct discharger
smernica, direktiva	directive
invalid	disabled person
katastrofa ; nesreča	disaster
sanacija posledic nesreče/katastrofe	disaster cleanup operation
načrt ravnanja ob nesreči/katastrofi	disaster contingency plan
služba za varstvo pred nesrečami	disaster control service
pripravljenost v primeru nesreč	disaster preparedness
preprečevanje nesreč	disaster prevention
odpravljanje posledic nesreč	disaster relief
območje katastrofe/nesreče	disaster zone
rečni pretok	discharge regime
diskriminacija ; diskriminácia	discrimination
bolezen	disease ; illness ; affliction
povzročitelj bolezni	disease cause
dezinfekcijsko sredstvo	disinfectant
dezinfekcija	disinfection
obvestilo o odpremi, odpremnica, paketni list	dispatch note
disperzija	dispersion
izračun razpršitve	dispersion calculation
pregnanec, razseljena oseba	displaced person
odstranjevanje trupel	disposal of the dead
odstranjevanje vojnega materiala	disposal of warfare materials
razkroj, raztopitev	dissolution
raztopljeni organski ogljik	dissolved organic carbon
raztopljeni kisik	dissolved oxygen
destilacija	distillation
motenje konkurence, izkrivljanje konkurenčnosti	distortion of competition
širjenje onesnaženja	distribution
območje razširjenosti	distribution area
trgovina, prodajna dejavnost	distributive trade
daljinsko ogrevanje	district heating
toplarna	district heating plant
opuščeno vojaško območje	disused military site
jarek	ditch
deljenje	division
doktrina	doctrine
dokument	document
izposoja (knjižničnega) gradiva	document lending
vrsta dokumenta	document type
dokumentarni film	documentary film
dokumentarni sistem	documentary system
dokumentacija	documentation
dokumentacijski center	documentation centre
pes	dog
delfin	dolphin
gospodinjski aparat	domestic appliance
gorivo za ogrevanje gospodinjstev	domestic fuel
kurilno olje za ogrevanje gospodinjstev	domestic fuel oil
hrup iz gospodinjstev	domestic noise
onesnaženje iz gospodinjstev	domestic pollution
notranja trgovina	domestic trade
gospodinjski odpadki	domestic waste
odlagališče komunalnih odpadkov	domestic waste landfill
odpadna voda iz gospodinjstev	domestic waste water
udomačena žival	domesticated animal
osel	donkey ; ass
vrata	door
doziranje ; odmerjanje količin	dosage
doza	dose
razmerje doza-učinek	dose-effect relationship
osnutek zakonodaje	draft legislation
kačji pastir	dragonfly
odtok, odvodnja	drainage
drenažni sistem	drainage system
padavinska voda	drainage water
izsuševanje	draining
vprežna žival	draught animal
material, odstranjen z morskega ali rečnega dna	dredged material
poglabljanje (morskega, rečnega) dna	dredging
obleka	dress
ribolov z visečimi mrežami	drift net fishing
vrtanje	drilling
naftna vrtina	drilling for oil
vrtalna naprava	drilling installation
pitna voda	drinking water
območje varovanja pitne vode, vodovarstveno območje	drinking water protection area
oskrba s pitno vodo	drinking water supply
čiščenje pitne vode	drinking water treatment
dromedar	dromedary
suša	drought
ukrepi za zmanjševanje posledic suše	drought control
zdravilo	drug
suh ; suha ; suho	dry
kemično čiščenje	dry cleaning
suho usedanje	dry deposition
ekstenzivno kmetijstvo v sušnih območjih	dry farming
suhi travnik	dry lawn
sušenje	drying
izsuševanje	drying out
dualno gospodarstvo	dual economy
dvojni sistem ravnanja z odpadno embalažo	dual waste management
raca	duck
odlaganje (odpadkov) - črna odlagališča, smetišča	dumping
