Norwegian	﻿English
Grenada	Grenada
Guadeloupe	Guadeloupe
Guam	Guam ; Guam ; Guam
gujarati	Gujarati ; Gujarati
Influenza A/H5N1 ; H5N1	H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)
Haiti	Haiti ; Republic of Haiti
Hanukka ; hanukka	Hannukah
Hannover	Hanover
godt nyttår	Happy New Year
hebraisk	Hebrew
Herkules	Hercules
Herkules ; Herakles	Hercules
hindi	Hindi ; Hindi
Kongeriket_Nederlandene ; Nederland ; Kongeriket Nederlandene	Holland ; Kingdom of the Netherlands ; The Netherlands
Honduras	Honduras ; Republic of Honduras
ungarsk	Hungarian
jeg	I
IMKO-koden	IMCO code
Det internasjonale pengefond	IMF ; International Monetary Fund
ISO-standard	ISO standard
Island	Iceland ; Republic of Iceland
islandsk	Icelandic
ido	Ido ; Ido
Iliaden	Iliad
India	India ; Republic of India
Indiahavet	Indian Ocean
Indonesia	Indonesia ; Republic of Indonesia
indonesisk	Indonesian
Indre	Indre
interlingua	Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin
internasjonal domstol	International Court of Justice
Internettet	Internet
Den islamske republikk Iran	Iran ; Islamic Republic of Iran
Irak	Iraq ; Republic of Iraq
Irland	Ireland ; Republic of Ireland
irsk	Irish ; Irish ; Irish Gaelic ; Irish
Israel	Israel ; State of Israel
italiensk	Italian ; Italian
Italia	Italian Republic ; Italy
Elfenbenskysten ; Republikken Elfenbenskysten	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
Jakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamaica	Jamaica
Japan	Japan ; State of Japan
japansk	Japanese ; Japanese
Det hasjimittiske kongerike Jordan	Jordan ; Hashemite Kingdom of Jordan
jødedom	Judaism
juni	June
grønlandsk	Kalaallisut
karelsk	Karelian
Kasakhstan	Kazakhstan ; Republic of Kazakhstan
Khartoum	Khartoum
khmer	Khmer ; Central Khmer
Kiribati	Kiribati ; Republic of Kiribati
koreansk	Korean ; Korean
Kosovo	Kosovo
Kyoto	Kyoto
Kirgisistan	Kyrgyzstan ; Kyrgyz Republic
Lagos	Lagos
Den demokratiske folkerepublikk Laos	Laos ; Lao People's Democratic Republic
latin	Latin ; Latin
Latvia	Latvia ; Republic of Latvia
latvisk	Latvian ; Latvian
Lausanne	Lausanne
Lesotho	Lesotho ; Kingdom of Lesotho
Liberia	Liberia ; Republic of Liberia
Den sosialistiske arabiske folkerepublikk Libya	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Fyrstedømet Liechtenstein	Liechtenstein ; Principality of Liechtenstein
Lisboa	Lisbon
Litauen	Lithuania ; Republic of Lithuania
litauisk	Lithuanian ; Lithuanian
underhus	Lower House
Niedersachsen	Lower Saxony
Lyon	Lyon
Madagaskar	Madagascar ; Republic of Madagascar
Malawi	Malawi ; Republic of Malaŵi
malayalam	Malayalam ; Malayalam
Malaysia	Malaysia
Republikken Maldivene ; Maldivene	Maldives ; Republic of the Maldives
Malta	Malta ; Republic of Malta
maltesisk	Maltese
marathi	Marathi ; Marāthi ; Marāthi ; MarÄthi
Markovkjede	Markov chain ; Markoff chain
Republikken Marshalløyene ; Marshalløyene	Marshall Islands ; Republic of the Marshall Islands
Martinique	Martinique
Mauritania	Mauritania ; Islamic Republic of Mauritania
Mayotte	Mayotte
Mekka	Mecca
Middelhavsområdet	Mediterranean Area
Middelhavet	Mediterranean Sea
middelhavsklima	Mediterranean climate
middelhavsskog	Mediterranean forest
middelhavsskog	Mediterranean wood
Merkur	Mercury
god jul	Merry Christmas
De forente stater Mexico	Mexico ; United Mexican States
Milano	Milan
Melkeveien	Milky Way ; Galaxy
Milwaukee	Milwaukee
Monaco	Monaco
mandag	Monday
Montenegro	Montenegro
Montserrat	Montserrat
Marokko	Morocco ; Kingdom of Morocco
Moskva	Moscow
Fuji-san	Mount Fuji
München	Munich
usoledarisk miljøholdning	NIMBY aptitude ; NIMBY attitude
NOEL	NOEL
Nairobi	Nairobi
Namibia	Namibia
napolitansk	Neapolitan ; Neapolitan
nepali	Nepali ; Nepali
Neptun	Neptune
Ny-Caledonia	New Caledonia
New Zealand ; Ny-Zealand	New Zealand
Nicaragua	Nicaragua
Niue	Niue
Nord-Afrika	North Africa
Nord-Amerika	North America
Nordatlanteren	North Atlantic Ocean
nord-sør-forhold	North-South relationship
Norge ; Kongeriket Norge	Norway ; Kingdom of Norway
norsk	Norwegian
novial	Novial
Godthåb	Nuuk
nynorsk	Nynorsk
Oceania	Oceania
Orléans	Orleans
Oslo	Oslo
Pakistan ; Den islamske republikk Pakistan	Pakistan ; Islamic Republic of Pakistan
Panama	Panama
parlament	Parliament
persisk	Persian ; Western Farsi ; Farsi
Philadelphia	Philadelphia
Polen	Poland
polsk	Polish ; Polish
Portugal	Portugal
portugisisk	Portuguese ; Portuguese
Puerto Rico	Puerto Rico
panjabi	Punjabi ; Panjabi
Pyreneene	Pyrenees
pyrrhosseier	Pyrrhic victory
Qatar	Qatar
Rhône	Rhône
rumensk	Romanian ; Romanaian
russisk	Russian ; Russian
Skytten	Sagittarius
Saint-Pierre og Miquelon	Saint-Pierre and Miquelon
Sakhalin	Sakhalin ; Saghalien
lørdag	Saturday
Sachsen	Saxony
Skottland	Scotland
Seinen	Seine
Senegal	Senegal
Serbia	Serbia
Serbia og Montenegro	Serbia and Montenegro
serbisk	Serbian ; Serbian
sindhi	Sindhi ; Sindhi
slovakisk	Slovak ; Slovak
Slovakia	Slovakia
slovensk	Slovene ; Slovenian ; Slovenian
somalisk	Somali ; somali
Sør-Afrika	South Africa
Sør-Amerika	South America
Sørøst-Asia	Southeast Asia
Sør-Asia	Southern Asia ; South Asia
Sri Lanka	Sri Lanka
Sudan	Sudan
Solkongen	Sun King
søndag	Sunday
swahili	Swahili
Sverige	Sweden
svensk	Swedish
Sveits	Switzerland
Syria ; Den arabiske republikk Syria	Syria ; Syrian Arab Republic
Taiwan	Taiwan
Tanzania	Tanzania
telugu	Telugu ; Telugu
thai	Thai ; Thai
Thüringen	Thuringia
Togo	Togo
Tokyo	Tokyo
Toronto	Toronto
tirsdag	Tuesday
Tunezja	Tunisia
Tyrkia	Turkey
tyrkisk	Turkish ; Turkish
FN	UN ; United Nations
Uganda	Uganda ; Republic of Uganda
Ukraina	Ukraine
ukrainsk	Ukrainian ; Ukrainian
Det forente kongerike Storbritannia og Nord-Irland	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
De forente stater ; Amerikas forente stater	United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States
urdu	Urdu ; Urdu
Vaduz	Vaduz
Vatikanstaten	Vatican City ; The Holy See ; State of the Vatican City
Venus	Venus
vietnamesisk	Vietnamese ; Vietnamese
volapyk	Volapük
Volga	Volga
Wales	Wales
Wallis og Futuna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
vallonsk	Walloon ; Walloon
valisisk ; walisisk ; kymrisk	Welsh ; Welsh
Vest-Asia	Western Asia ; Southwest Asia
Vest-Europa	Western Europe
Verdensveven	World Wide Web ; WWW
Jemen	Yemen ; Republic of Yemen
jiddisk ; jiddisch	Yiddish
Zambia	Zambia ; Republic of Zambia
overrumplet	aback
kuleramme ; abakus	abacus
forlatt område	abandoned industrial site
forlatt kjøretøy	abandoned vehicle ; car wreck
forkortelse	abbreviation
abiotisk miljø	abiotic environment
abiotisk faktor	abiotic factor
forgjeves	abortive
forkorte	abridge
absorpsjon	absorption
akseptabelt daglig inntak	acceptable daily intake
akseptabelt risikonivå	acceptable risk level
tilkjørselsvei	access road
tilgang til administrative dokumenter	access to administrative documents
kulturtilbud	access to culture
informasjonstilgang	access to information
tilgang til domstol	access to the courts
ulykke	accident
ulykkeskilde	accident source ; cause of the accident
utilsiktet utsetting av organismer	accidental release of organisms
trekkspill	accordion ; squeeze box ; piano accordion
bokføring	accountancy
bokholderi	accounting
regnskapssystem	accounting system
akkumulator	accumulator
syre	acid
sur avsetning	acid deposition
sur nedbør	acid rain
forsuring	acidification
surhet	acidity
surhetsgrad	acidity degree
akustisk komfort	acoustic comfort
akustisk filter	acoustic filter ; audio filter
lydisolasjon	acoustic insulation
akustisk nivå	acoustic level ; sound pressure level
akustisk egenskap	acoustic property
akustisk kvalitet	acoustical quality
akustikk	acoustics
skarp	acrid
lov ; lov	act ; deed
actinoid	actinide
actinium	actinium
aksjonsgruppe	action group ; action committee
aktivkull	activated carbon
aktivslam	activated sludge
aktiv deltakelse	active participation
yrkesaktiv befolkning	active population
adapsjonsfrist	adaptation period
tilleggsemballasje	additional packaging
tilsetningsstoff	additive
adekvat matforsyning	adequate food supply
adhesjonsmiddel	adhesive
adjektiv	adjective ; describing word
justere	adjust
administrasjon	administration ; direction ; management
administrativt organ	administrative body ; administrative organ
administrativ grense	administrative boundary
administrativ kompetanse	administrative competence ; administrative ability
forvaltningsvedtak	administrative deed
administrativ ordre	administrative fiat
administrativ instruks	administrative instructions
forvaltningsrett (rettslære) ; forvaltningsrett	administrative law
administrativt yrke	administrative occupation
administrativ organisasjon	administrative organisation
forvaltningsprosedyre	administrative procedure
administrativ sanksjon	administrative sanction
adsorpsjon	adsorption
voksent individ	adult
voksenopplæring	adult education
antesipasjon	advance
adverb	adverb
annonse	advertisement ; promotion
råd	advice
lufting	aeration
antenne	aerial
flyfoto	aerial photograph
flyfotografering	aerial photography
aerob prosess	aerobic process
aerob behandling	aerobic treatment
aerobiologi	aerobiology
aerodynamisk støy	aerodynamic noise
aerosol	aerosol
estetikk	aesthetics
skogreisning	afforestation ; tree planting ; afforestment
etterbrenning	afterburning ; afterburning ; afterburner
alder	age
aggressiv	aggressive
angriper	aggressor ; assailant ; attacker ; assaulter
avtale	agreement
landbruks- og matvareindustri	agri-foodstuff
bioteknologi i landbruket	agricultural biotechnology
landbruksbygning	agricultural building
landbrukskatastrofe	agricultural disaster
landbruksøkologi	agricultural ecology ; agroecology
landbruksøkonomi	agricultural economics
landbruksavrenning	agricultural effluent
landbruksteknikk	agricultural engineering
landbruksutstyr	agricultural equipment
landbruksmaskin ; landbruksutstyr	agricultural equipment ; agricultural machinery ; farm machinery
landbruksutnyttelse	agricultural exploitation
landbrukshydraulikk	agricultural hydraulics
jordbruksområde	agricultural land
jordbrukslandskap	agricultural landscape
landbrukslovgivning	agricultural legislation
landbruksforvaltning	agricultural management
jordbruksmetode	agricultural method
skadegjører i landbruket	agricultural pest
landbruksplanlegging	agricultural planning
landbrukspolitikk	agricultural policy
landbruksforurensning	agricultural pollution
landbruksprodukt	agricultural product
jordbruksproduksjon	agricultural production ; farm production ; agricultural output
fast landbrukseiendom	agricultural real estate
lagring av landbruksprodukt	agricultural storage
landbrukssstruktur	agricultural structure
undervurdering av landbruket	agricultural undervaluation
landbruksavfall	agricultural waste
landbruk	agriculture
landbruk ; landbruk	agriculture ; agriculture
jordbruk og kvegdrift	agriculture and cattle industry
rammeplan for landbruket	agriculture framework plan
landbruksturisme	agritourism
landbrukskjemikalie	agrochemical
landbruksskogbruk	agroforestry
landbruksindustri	agroindustry
landbruksmeteorologi	agrometeorology
agronomisk verdi	agronomic value
agronomi	agronomy
agrosystem	agrosystem
hjelpepolitikk	aid policy
luft	air
luftkondisjonering	air conditioning ; AC ; air-conditioning
luftbevegelse	air movement
luftforurensende stoff	air pollutant
luftforurensning	air pollution
luftkvalitet	air quality
luftkvalitetskontroll	air quality control
luftkvalitetsforvaltning	air quality management
luftkvalitetsovervåking	air quality monitoring
alveole	air sac ; alveolus
luftsikkerhet	air safety
lufttemperatur	air temperature
lufttrafikk	air traffic
lufttrafikklovgivning	air traffic law
lufttransport	air transportation
luft/vanninteraksjon	air-water interaction
luftbåren støy	airborne noise
luftfartøy	aircraft
flystøy	aircraft noise
luftpost	airmail
lufthavn	airport
luftromsplanlegging	airspace planning
alarm	alarm ; alert ; warning
albinisme	albinism
alkymist	alchemist
alkymi	alchemy
alkoholer	alcohol
alkoholisme	alcoholism
alge	alga
algeoppblomstring	algal bloom
algebra	algebra
algemiddel	algicide ; algaecide
algoritme	algorithm
alibi	alibi
alisyklisk forbindelse	alicyclic compound
alisyklisk hydrokarbon	alicyclic hydrocarbon
trasering	alignment
alifatisk forbindelse	aliphatic compound
alifatisk hydrokarbon	aliphatic hydrocarbon
alkalijord	alkali soil
alkalimetall	alkaline ; element of group I ; alkaline metal ; alkali metal
alkalisk batteri	alkaline battery
alkan	alkane ; paraffin ; methane series ; alkane series
alkylforbindelse	alkyl compound
terrengkjøretøy	all-terrain vehicle
allergifremkallende stoff	allergen
allergi	allergy
allokering	allocation ; allotment ; resource allotment
arealbruksplan	allocation plan
allotropi	allotropy
godtgjørelse	allowance
legering	alloy
elveslette	alluvial plain
elveavsetning	alluvion ; flood ; overflowing ; inundation
almanakk	almanac
mandel	almond
med ; sammen med	alongside ; amongst ; with
alfastråling	alpha radiation
alfabet	alphabet
alternativt materiale	alternative material
alternativ teknologi	alternative technology
høyde over havet	altitude
aluminiumoksid	alumina
aluminium	aluminium
aluminiumboks	aluminium container
aluminiuminnhold	aluminium content
aluminiumsindustri	aluminium industry
amalgam	amalgam
ambulanse	ambulance
americium	americium
ametyst	amethyst
amin	amine
aminosyre	amino acid
ammoniakk	ammonia
ammoniakkdannelse	ammonification
ammonium	ammonium
amfetamin	amphetamine
amfibie	amphibian
fornøyelsespark	amusement park
anakondaer	anaconda
anaerob prosess	anaerobic process
anaerob behandling	anaerobic treatment
anagram	anagram
analogi	analogy
analyse	analysis
undersøkelsesprogram	analysis programme
analytisk kjemi	analytical chemistry
analyseutstyr	analytical equipment
analytisk metode	analytical method
anarkisme	anarchism
anatomi	anatomy
anker	anchor
og	and
og	and ; as well as ; in addition to ; together with ; too
blomsterplante ; dekkfrøet plante	angiosperm ; flowering plant
fritidsfiske	angling ; fishing ; line-fishing
dyr	animal
dyrs adferd	animal behaviour
dyrebiologi	animal biology
dyrereservat	animal conservatory
dyrekorridor	animal corridor
dyreskade	animal damage
dyresykdom	animal disease
fortrenging av dyr	animal displacement
dyreøkologi	animal ecology
dyreekskrement	animal excrement
dyreforsøk	animal experiment
dyrefor	animal foodstuff
slaktedyr	animal for slaughter
dyrehabitat	animal habitat
dyrearv	animal heritage
husdyrbruk	animal husbandry
husdyrgjødsel	animal manure
dyremigrasjon	animal migration
støy fra dyr	animal noise
animalsk føde	animal nutrition
zoofysiologi	animal physiology
dyrepopulasjon	animal population
animalsk produkt	animal product
husdyrproduksjon	animal production
dyrebeskyttelse	animal protection
reproduksjon av dyr	animal reproduction
dyreressurs	animal resource
dyrs rettigheter	animal rights
leskur for dyr	animal shelter
dyreart	animal species
gjeninnføring av dyrearter	animal species reintroduction
dyrehandel	animal trade
dyreavfall	animal waste
anion	anion
leddorm	annelid
maur	ant
antagonisme	antagonism
menneskelig aktivitet	anthropic activity
antropologisk reservat	anthropologic reserve
antibiotika ; antibiotikum	antibiotic
antistoff	antibody
risikokalkulering	anticipation of danger
begroingshindrende middel	antifouling agent
antimon	antimony
antipartikkel	antiparticle
incitament mot forurensning	antipollution incentive
gammelt anlegg	antiquated plant
forskrift relatert til antiseismikk	antiseismic regulation
ambolt	anvil
apartheid	apartheid
flerfamiliehus	apartment block
aforisme	aphorism
birøkt	apiculture ; beekeeping
apoptose	apoptosis
anke	appeal
klagemål	appeal procedure
anvendt økologi	applied ecology
anvendt ernæringsvitenskap	applied nutrition
anvendt forskning	applied research
anvendt vitenskap	applied science
vurdering	appraisal
tilnærmingsmåte	approach
egnet teknologi	appropriate technology
godkjenning	approval ; approbation
installasjonsgodkjenning	approval of installations
aprikos	apricot
forkle	apron
akvakultur	aquaculture
akvamarin	aquamarine
akvarium	aquarium
akvatisk dyr	aquatic animal
akvatisk økologi	aquatic ecology
akvatisk økosystem	aquatic ecosystem
akvatisk miljø	aquatic environment
sjøpattedyr	aquatic mammal
akvatisk organisme	aquatic organism
vannplante	aquatic plant
akvedukt	aqueduct
akvifer	aquifer
åkerbruk	arable farming
arboret	arboretum
planteskoledrift	arboriculture
arkeologisk	archaeological
arkeologisk funnsted	archaeological site
arkeologi	archaeology ; archeology ; archæology
erkehertug	archduke
bueskytter	archer ; archer
arkipel	archipelago
arkitektur	architecture
arkiv	archive
potensielt forurenset område	area of potential pollution
belastet område	area under stress
argon	argon
steppe og halvørken	arid land
aristokrati	aristocracy
aritmetikk	arithmetic ; arithmetics
arm	arm
opprustning	armament
omdanning av krigsmateriell	armament conversion
militærvesen	armed forces
våpenarsenal	armoury
armhule	armpit
aromatisk forbindelse	aromatic compound
aromatisk hydrokarbon	aromatic hydrocarbon
aromatisk stoff	aromatic substance
emballasjepant	arrangement for a deposit on packaging
pilspiss	arrowhead
arsen	arsenic
brannstiftelse	arson
kunst	art
listig	artful
leddgikt	arthritis
leddyr	arthropod
artikkel	article
kunstig innsjø	artificial lake
kunstig reproduksjonsteknikk	artificial reproductive technique
kunstig satellitt	artificial satellite
asbest	asbestos
asbestsement	asbestos cement
asbestose	asbestosis
herredømme	ascendancy
oppstigning	ascent
finne ut	ascertain
asket	ascetic
aske (forurensning)	ash
skamfull	ashamed
askegrå	ashen
i land	ashore
askebeger	ashtray
i søvn	asleep
asfalt	asphalt
snikmorder	assassin ; assassinator
assay	assay
samle	assemble ; get together ; gather
samtykke	assent
påstå	assert
insistere	assert
påståelig	assertive
utpeke	assign
oppgave	assignment
assimilere	assimilate
assimilasjon	assimilation
assistere	assist
forening	association
assortert	assorted
astat	astatine
stjerne	asterisk
asteroide	asteroid
astenosfære	asthenosphere
forbause	astonish
forbausende	astonishing
forbauselse	astonishment
forbløffe	astound
forbløffende	astounding
overskrevs	astride
skrevende	astride
astrologi	astrology ; star divination
astrometri	astrometry
astronautikk	astronautics
astronom	astronomer
astronomi	astronomy
atlas	atlas
atmosfære	atmosphere
atmosfærisk aerosol	atmospheric aerosol
atmosfærekjemi	atmospheric chemistry
atmosfæresirkulasjon	atmospheric circulation
atmosfærisk komponent	atmospheric component
atmosfærisk sammensetning	atmospheric composition
atmosfærisk korreksjon	atmospheric correction
utslipp til luft	atmospheric emission
atmosfærisk nedfall	atmospheric fallout
atmosfærisk lagdeling	atmospheric layering
luftovervåking	atmospheric monitoring
atmosfærisk ozon	atmospheric ozone
atmosfærepartikkel	atmospheric particulate
atmosfærefysikk	atmospheric physics
atmosfærisk forurensning	atmospheric pollution
nedbør (meteorologisk fenomen) ; nedbør	atmospheric precipitation ; precipitation
atmosfærisk prosess	atmospheric process
atmosfærevitenskap	atmospheric science
atmosfærisk struktur	atmospheric structure
atoll	atoll
atommasse	atomic mass
tiltrekkende	atractive
atrazin	atrazine
grusomhet	atrocity
knyttet til	attached
hengivenhet	attachment
tilbehør	attachment
ta seg av	attend
gå på	attend
høre etter	attend
vakt	attendant
oppmerksom	attentive
loft(srom)	attic
antrekk	attire
kle	attire
stilling	attitude
tiltrekke	attract
attributt	attribute
auksjon	auction
dristig	audacious
audiovisuell presentasjon	audio-visual presentation
audiovisuelt utstyr	audiovisual equipment
audiovisuelt medium	audiovisual media
revisjon	audit
øke	augment
lovende	auspicious
autorisasjon	authorisation
autoritær	authoritarian
autoritativ	authoritative
autorativt organ	authority body
forfatterskap	authorship
enevelde	autocracy
autoøkologi	autoecology
bilindustri	automobile industry
obduksjon	autopsy
disponibel	available
snøskred ; snøskred ; skred	avalanche
skredvern	avalanche protection
avverge	avert
vende bort	avert
fuglebur	aviary
luftfartslovgivning	aviation law
avikultur	aviculture
begjærlig	avid
avifauna	avifauna
ærefrykt	awe
en stund	awhile
bakgrunnsnivå	background level
bakgrunnsstøy	background noise
bakgrunnsstråling	background radiation
bacon	bacon
bakteriefilter	bacterial bed
bakteriedrepende middel	bactericide
bakteriologisk forurensning	bacteriological pollution
bakteriologi	bacteriology
bakterie	bacterium
sekkepipe	bagpipes
baker	baker
bakeri	baker ; bakery
bakepulver	baking powder
balanse	balance
stoffbalanse	balance of matter
interesseutgjevning	balancing of interests
ballade	ballad
ballsal	ballroom
elvebredd	bank
bankeforbygning	bank protection
bankvirksomhet	banking
barium	barium
bygg	barley
baron	baron
strandvoll	barrier beach
kystrev	barrier reef
baser	base
baseball	baseball ; baseball game
grunnlinjeovervåking	baseline monitoring
kjeller	basement
grunnleggende matbehov	basic food requirement
