English	Maltese
oil	pitrolju, żejt
poison	velenu, semm
powder	trab
sand	ramel
silk	ħarir
soap	sapuna
steel	azzar
wood	injam, għuda
wool	suf
bag	borża
basket	qoffa, ġewlaq
bottle	flixkun
box	kaxxa
can	bott, landa
cup	kikkra
drawer	kexxun
envelope	envelopp
glass	tazza
plate	platt
bell	qampiena
button	buttuna
gun	xkubetta
hammer	martel, martell
hook	sunnara, ganċ
key	ċavetta, muftieħ
lock	lukkett, serratura
match	sulfarina
nail	musmar
needle	labra
pump	pompa
rope	ħabel, ċima
scissors	mqass
spring	molla
stamp	bolla
whip	frosta
addition	għadd
angle	anġlu
circle	ċirku
curve	liwja
degree	grad
degree	grad
difference	differenza
distance	bogħod, distanza
division	qsim, partizzjoni
edge	xifer, tarf
half	nofs
limit	limitu
line	linja
net	xibka
order	ordni
point	tikka
purpose	għan, skop
root	radiċi
rule	regola, regulament
side	naħa
square	qwadru
square	kwadrat
substitution	sostituzzjoni
surface	wiċċ
act	għemil, att
action	għemil, azzjoni
addition	żieda, addizzjoni
amount	ammont, kwantità
attack	attakk
attempt	prova, sforz
back	dahar
behavior	mġieba, kondotta
bit	biċċa, farka
blow	daqqa
break	intervall, waqfa
campaign	kampanja, kawża
chance	opportunita, ċans
choice	selezzjoni, għażla
condition	stat, kundizzjoni
connection	konnessjoni
connection	konnessjoni, x'jaqsam
crack	xaqq
crush	tgħaffig, tgħattin
cut	qtugħ, qatgħa
damage	ħsara
danger	periklu
decoration	tiżjin, ornament
destruction	qirda, distruzzjoni
detail	dettal
dominance	dominanza
drop	qatra
duty	dmir, dover
effort	sforz
fall	waqa', waqgħa
fight	ġlied, ġlieda
front	quddiem
hit	lqit
hole	toqba, ħofra
increase	żieda, kobor
increase	żieda
internet	internet
jolt	skoss
kick	daqqa ta' sieq
kind	tip, varjetà
knot	għoqda
list	lista
mind	moħħ
operation	iffunzjonar
opposite	kuntrarju
outburst	tifqigħa
part	parti
personality	personalità
piece	biċċa
place	post
position	post, lok
power	qawwa, poter
practice	prattika
project	proġett, intrapriża
property	karatteristika
quality	kwalità
quiet	kwiet
responsibility	responsabbiltà
rest	mistrieħ
return	ritorn, miġja lura
seat	post
silence	skiet, silenzju
state	stat
step	pass
stop	waqfa
taste	togħma
thing	ħaġa
top	quċċata, akme
touch	messa
treatment	trattament, trattazzjoni
tremble	rogħda
trick	trikk
use	użu
way	mezz, mezzi
will	rieda, volontà
art	arti
band	banda taż-żfin
brush	xkupilja
color	kulur
concert	kunċert
design	disin, disinjar
diversity	varjetà, diversità
entertainment	divertiment
ink	linka
invention	invenzjoni, innovazzjoni
manner	maniera, mod
movie	ċinema
museum	muzew
music	mużika
note	nota
orchestra	*orkestra??
paint	żebgħa
painting	pittura
paper	karta
pen	pinna
pencil	lapes
picture	stampa
rhythm	ritmu
shape	forma, għamla
song	kanzunetta
stage	palk
account	kont
advertisement	riklam
agreement	ftehim
attention	attenzjoni
authority	awtorità
banknote	karta tal-flus
brand	marka
business	negozju
change	żgħar
cheque	ċekk
committee	kumitat, kummissjoni
company	kumpanija
competition	kompetizzjoni
copy	kopja
course	kors
customer	klijent
demand	bżonn
director	direttur
environment	ambjent
experience	esperjenza
form	formola
group	grupp
help	għajnuna, assistenza
industry	industrija
insurance	assigurazzjoni
interest	interess
invoice	kont
job	biċċa xogħol
law	liġi
loss	telfa
management	amministrazzjoni, management
mark	marka
market	suq
material	materjal
meeting	laqgħa
money	flus
occupation	xogħol, impieg
offer	offerta
office	uffizzju
operation	operazzjoni
owner	propjetarju
package	pakkett
payment	ħlas
price	prezz
product	prodott
profit	qliegħ, dħul
property	propjeta
rate	rata
rest	bqija
reward	paga, ħlas
right	dritt
sale	bejħ
section	parti
service	servizz
shop	ħanut
show	wirja
structure	struttura
support	appoġġ, manteniment
table	tabella
tax	taxxa
team	tim, skwadra
trade	kummerċ
value	valur
work	xogħol
worker	ħaddiem
answer	tweġiba, risposta
approval	barka, approvazzjoni
argument	argument
book	ktieb, volum
controversy	polemika, kontroversja
cry	għajta
decision	deċizjoni
dictionary	dizzjunarju, kalepin
discussion	diskussjoni
doubt	dubju
experience	esperjenza
feeling	sensazzjoni
humor	umoriżmu
idea	idea, ħsieb
interest	interess
interview	intervista
language	lsien, lingwa
letter	ittra
letter	ittra
look	espressjoni, ħarsa
magazine	magażżin, rivista
mail	posta
memory	memorja
memory	memorja
mistake	żball
name	isem
newspaper	gażżetta, ġurnal
note	nota
number	numru
opinion	fehma, opinjoni
page	paġna, faċċata
protest	protesta
question	mistoqsija, domanda
reaction	reazzjoni
relation	relazzjoni
request	talba
secret	sigriet
sign	sinjal
speech	lingwa
statement	asserzjoni
subject	tema, suġġett
suggestion	suġġeriment
voice	leħen, vuċi
word	kelma
writing	kitba
good day	il-ġurnata t-tajba
good luck	ix-xorti t-tajba
how are you	kif int? (s), kif intkom? (p)
many thanks	grazzi ħafna ħafna, niringrazzjak minn qiegħ qalbi
no	le
