Dutch	﻿English
iedereen	anyone
iedereen	everybody
alles	everything
hij	he
haar	her
zich	herself
hem	him
zich	himself
zijn	his
het	it
mij	me
mijn	my
ons	our
zij	she
dat	that
hun	their
hen	them
deze	these
zij	they
dit	this
die	those
ons	us
wij	we
wat	what
wanneer	when
welke	which
welke	which
wie	who
wie	whom
wiens	whose
jij, je	you
