English	Dutch
render	retourneren, [wij] teruggeven
replace	vervangen, [wij] vervangen
reply	antwoorden, [wij] antwoorden
report	rapporteren, [wij] rapporteren
represent	vertegenwoordigen, [wij] vertegenwoordigen
request	verlangen, [wij] verlangen
respect	eerbiedigen, [wij] respecteren
rest	0
reveal	onthullen, [wij] onthullen
risk	wagen, [wij] wagen
round	off afronden, [wij] afronden
rule	regeren, [wij] regeren
save	besparen, [wij] sparen
save	redden, [wij] redden
see	zien, aanschouwen
see	beschouwen, [wij] beschouwen
send	op de post doen, [wij] posten
serve	dienen, uitgevoerd hebben
sew	naaien, [wij] naaien
share	delen, [wij] delen
shout	schreeuwen, [wij][wij] schreeuwen
show	tonen, laten zien
smash	slaan, [wij] slaan
smell	ruiken, geuren
smell	stinken, [wij] stinken
smell	ruiken, [wij] ruiken
smoke	roken, [wij] roken
spend	doorbrengen, [wij] brengen door
stand	staan, [wij] staan
stay	blijven, [wij] blijven
steal	stelen, ontvreemden
stop	stoppen, [wij] stoppen
study	studeren, instuderen
suffer	lijden, [wij] lijden
suggest	voorstellen, [wij] stellen voor
supply	voorzien, [wij] bestellen
support	steunen, [wij] steunen
suppose	0, [wij] veronderstellen
surprise	verrassen, [wij] verrassen
taste	smaken, [wij] smaken
teach	aanleren, leren
test	proberen, [wij] proberen
thank	bedanken, [wij] bedanken
think	0, [wij] denken
throw	werpen, gooien
title	betitelen, [wij] betitelen
trade	handel, [wij] handelen
train	trainen, opleiden
travel	lopen, [wij] lopen
treat	behandelen, [wij] behandelen
trick	beetnemen, [wij] nemen beet
try	pogen, proberen
turn	draaien, [wij] draaien
visit	bezoeken, opzoeken
walk	lopen, wandelen
warm	warmen, [wij] warmen
wash	wassen, [wij] wassen
watch	kijken, [wij] kijken
wear	aanhebben, [wij] dragen
weigh	wegen
win	winnen, [wij] behalen
wish	wensen, [wij] wensen