English	Dutch
anyone	iedereen
everybody	iedereen
everything	alles
he	hij
her	haar
herself	zich
him	hem
himself	zich
his	zijn
it	het
me	mij
my	mijn
our	ons
she	zij
that	dat
their	hun
them	hen
these	deze
they	zij
this	dit
those	die
us	ons
we	wij
what	wat
when	wanneer
which	welke
which	welke
who	wie
whom	wie
whose	wiens
you	jij, je
yourself	jezelf