Dutch	﻿English
ander	another
slecht	bad
basis-	basic
mooi	beautiful
best	best
beter	better
groot	big
schoon	clean
koud	cold
correct, juist	correct
donker	dark
diep	deep
moeilijk	difficult
onrein	dirty
snel, vlug	fast
goed	good
0	great
mieters	great
gelukkig, blij	happy
gezond	healthy
zwaar, zware	heavy
hoog	high
heet	hot
0	important
links	left
licht, lichte	light
gering	little
lang, lange	long
dichtbij	near
nieuw	new
aardig	nice
open, geopend	open
echt	real
rechts, rechtse	right
scherp	sharp
gelijk	similar
langzaam	slow
zacht	soft
sterk	strong
zwak	weak
onjuist	wrong
zuur	acid
aan	after
geleden	ago
al, alle	all
een	any
automatisch	automatic
beschikbaar	available
bitter	bitter
vervelend	boring
beide, allebei	both
helder	bright
gebroken	broken
centraal	central
zeker	certain
goedkoop, goedkope	cheap
chemisch	chemical
duidelijk	clear
gesloten	closed
kleur	color
gewoon	common
gemeen, overeenkomst	common
volledig, compleet	complete
welbewust	conscious
barbaars	cruel
tegenwoordig	current
gevaarlijk, gevaarlijke	dangerous
fijn	delicate
0	deplorable
anders	different
0	different
anders	different
onder	down
droog	dry
elk	each
vroeg	early
makkelijk	easy
economisch	economic
economisch	economic
elektrisch	electric
gelijke	equal
even	even
vlak	even
ieder, elk	every
uitstekend	excellent
vals	fake
vals	false
ver, ver	far
vet, vette	fat
vettig	fat
weinig	few
finaal	final
financieel	financial
stevig	firm
eerst	first
vast	fixed
vlak, plat	flat
volgende	following
buitenlands, vreemd	foreign
vroegere	former
broos	fragile
gratis	free
frequent, frequente	frequent
fris	fresh
voorste	front
vol	full
totaal	full
verder	further
toekomstig	future
algemeen	general
0	good
industrieel	industrial
interessant	interesting
internationaal, internationale	international
laatste	last
laat	late
wettig	legal
dieet	light
vloeistof, vloeibaar	liquid
plaatselijk	local
luid, luide	loud
laag	low
gelukkig	lucky
hoofdzakelijk, hoofdzakelijke	main
0	major
velen	many
metalen	metal
militair	military
nietig	minute
0	modern
meer	more
veel	much
nauw	narrow
vaderlands	national
natuurlijk	natural
nodig	necessary
aangrenzend	next
geen	no
normaal	normal
van	off
tot	on
tegenovergesteld	opposite
origineel	original
ander	other
eigen	own
parallel	parallel
bijzonder	particular
voorbij	past
persoonlijk	personal
lichamelijk	physical
politiek	political
arm	poor
0	popular
mogelijk, mogelijke	possible
tegenwoordig	present
vorig	previous
besloten	private
waarschijnlijk	probable
professioneel	professional
[het] publiek	public
stil, zwijgzaam	quiet
klaar	ready
0	recent
regelmatig, regelmatige	regular
verantwoordelijk, verantwoordelijke	responsible
onbuigzaam	rigid
onbehouwen	rough
rondschrijven, ronde	round
veilig	safe
hetzelfde	same
tweede	second
geheim	secret
afzonderlijk	separate
ernstig, degelijk	serious
vastgesteld	set
verscheidene	several
kort, korte	short
stil	silent
zilverkleurig, zilverkleurige	silver
eenvoudig	simple
enkel	single
klein, een beetje	small
glad	smooth
0	social
solide	solid
dun	sparse
bijzonder	special
specifiek	specific
vierkant	square
teer	squeamish
normaal	standard
kleverig	sticky
recht, rechte	straight
raar	strange
modieus	stylish
plotseling, plotselinge	sudden
zoet	sweet
(thing) hoog, (person) lang	tall
dicht	thick
dun	thin
dicht	tight
waar, echt	true
lelijk	ugly
onder	under
ongewoon	unusual
0	used
0	useful
0	usual
gewoon	usual
divers	various
hartelijk	warm
nat, natte	wet
geheel	whole
