Dutch	﻿English
[wij] zijn, [ik] ben	be
beginnen, [wij] beginnen	begin
breken, [wij] breken	break
verwerven, [wij] kopen	buy
sluiten, dichtklappen	close
komen, [wij] komen	come
snijden, afsnijden	cut
dansen	dance
uitoefenen, [wij] beoefenen	do
tekenen, [wij] tekenen	draw
drinken, [wij] drinken	drink
eten, [wij] eten	eat
vallen, [wij] vallen	fall
tasten, [wij] tasten	feel
vinden, [wij] vinden	find
vuren, afvuren	fire
vliegen, [wij] vliegen	fly
volgen, [wij] voortvloeien	follow
vergeten, [wij] vergeten	forget
verkrijgen, [wij] verkrijgen	get
geven, overhandigen	give
hebben, [wij] hebben	have
horen, [wij] horen	hear
helpen, [wij] helpen	help
hopen, [wij] hopen	hope
springen, [wij] springen	jump
kussen, zoenen	kiss
0, [wij] weten	know
lachen, [wij] lachen	laugh
leren, [wij] leren	learn
liggen, [wij] liggen	lie
liegen, [wij] liegen	lie
houden van, graag hebben	like
beluisteren, [wij] beluisteren	listen
kijken, [wij] kijken	look
verliezen, [wij] verliezen	lose
houden van, [wij] houden van	love
doen, [wij] doen	make
ontmoeten, [wij] ontmoeten	meet
verroeren, [wij] verroeren	move
hebben, [wij] hebben	need
aanbieden, [wij] aanbieden	offer
openen, [wij] openen	open
betalen, [wij] betalen	pay
spelen, [wij] spelen	play
trekken, [wij] trekken	pull
duwen, [wij] duwen	push
zetten, [wij] zetten	put
lezen, [wij] lezen	read
onthouden, [wij] herinneren	remember
rennen, lopen	run
vertellen, zeggen	say
verkopen, [wij] verkopen	sell
zingen	sing
zitten, [wij] zitten	sit
glimlachen, [wij] glimlachen	smile
zwemmen, [wij] zwemmen	swim
pakken, oppakken	take
praten, spreken	talk
verstaan, begrijpen	understand
gebruiken, [wij] gebruiken	use
wachten, afwachten	wait
schrijven, [wij] schrijven	write
aanvaarden, [wij] nemen aan	accept
beschuldigen, [wij] beschuldigen	accuse
bereiken, [wij] bereiken	achieve
handelen, [wij] handelen	act
bijvoegen, toevoegen	add
optellen, [wij] tellen op	add
erkennen, [wij] erkennen	admit
invloed hebben op	affect
afspreken, overeenstemmen	agree
toelaten, [wij] laten toe	allow
aankondigen, [wij] kondigen aan	announce
redetwisten, ruzie	argue
aankomen, [wij] aankomen	arrive
vragen, [wij] vragen	ask
aanvallen, [wij] tackelen	attack
vermijden, [wij] vermijden	avoid
leven, [wij] leven	be
dragen, torsen	bear
overwinnen, [wij] overwinnen	beat
worden, [wij] worden	become
0	behave
geloven, [wij] geloven	believe
ten goede komen aan, goed doen	benefit
bijten, [wij] bijten	bite
halen, [wij] halen	bring
bouwen, [wij] bouwen	build
afbranden, [wij] branden af	burn
roepen, schreeuwen	call
0, [wij] geven om	care
dragen, [wij] dragen	carry
opvangen, [wij] opvangen	catch
teweegbrengen, [wij] teweegbrengen	cause
veranderen, aanpassen	change
kiezen, [wij] kiezen	choose
classificeren, [wij] classificeren	classify
schoonmaken, [wij] maken schoon	clean
vergelijken, [wij] vergelijken	compare
0, [wij] connectie leggen	connect
bevatten, [wij] bevatten	contain
voortzetten, [wij] voortzetten	continue
beheersen, beheren	control
koken, [wij] koken	cook
kopiëren, [wij] kopiëren	copy
hoesten, [wij] hoesten	cough
verpletteren, [wij] verpletteren	crush
knijpen, [wij] knijpen	crush
huilen, [wij] huilen	cry
beslissen, [wij] beslissen	decide
0	deliver
beschrijven, [wij] beschrijven	describe
ontwerpen, [wij] ontwerpen	design
willen, [wij] willen	desire
ontwikkelen, [wij] ontwikkelen	develop
sterven, [wij] overlijden	die
ontdekken, [wij] vinden	discover
bespreken, [wij] bespreken	discuss
0	dislike
verdelen, [wij] verdelen	divide
twijfelen, [wij] twijfelen	doubt
besturen, [wij] mennen	drive
