English	Slovak
another	iný
bad	zlý
basic	základný
beautiful	krásny
best	najlepší
better	lepší
big	veľký
clean	čistý
cold	studený
correct	správny
dark	tmavý
difficult	ťažký
dirty	špinavý
fast	rýchly
good	dobrý
great	veľký
great	báječný
happy	šťastný
healthy	zdravý
heavy	ťažký
high	vysoký
hot	horúci
important	dôležitý
left	ľavý
light	ľahký
little	malý
long	dlhý
near	blízky
new	nový
nice	príjemný
open	otvorený
real	skutočný
right	pravý
sharp	jemný
similar	podobný
slow	pomalý
soft	mäkký
strong	ostrý
weak	slabý
wrong	nesprávny
acid	kyselý
after	po
ago	predtým
all	všetko
any	akýkoľvek
automatic	automatický
available	dostupný, k dispozícii
bitter	horký
boring	otravný
both	obidva
bright	jasný
broken	zlomený
central	ústredný
certain	istý
cheap	lacný
chemical	chemický
clear	jasný
closed	zatvorený
common	bežný
common	spoločný
complete	úplný
conscious	úmyselný
cruel	krutý
current	bežný
dangerous	nebezpečný
delicate	jemný
deplorable	skľúčený
different	odlišný
different	nepodobný
down	dolu
dry	suchý
each	každý
early	skorý
easy	ľahký
economic	hospodársky
economic	úsporný
electric	elektrický
equal	rovnaký
even	párny
even	vyrovnaný
every	každý
excellent	skvelý
fake	falošný
false	chybný
far	ďaleko
fat	tučný
fat	veľký
few	málo
final	konečný
financial	finančný
firm	pevný
first	prvý
flat	plochý
following	nasledujúci
foreign	zahraničný
former	bývalý
fragile	krehký
free	bezplatný
frequent	častý
fresh	čerstvý
full	plný
full	celkový
further	ďalej
future	budúci
general	všeobecný
industrial	priemyselný
interesting	zaujímavý
international	medzinárodný
last	posledný
late	oneskorený
legal	legálny
liquid	tekutý
local	miestny
loud	hlasný
low	nízky
lucky	šťastný
main	hlavný
major	veľký
many	mnoho
metal	kovový
military	vojenský
minute	nepatrný
modern	moderný
more	viac
much	veľa
narrow	úzky
national	národný
natural	prírodný
necessary	nutný
next	susedný
no	číslo
normal	normálny
off	z
on	pri
opposite	opačný
original	pôvodný
other	iný
own	vlastný
parallel	rovnobežný
particular	osobitný
past	minulý
personal	osobný
physical	telesný
political	politický
poor	chudobný
popular	populárny
possible	možný
present	prítomný
previous	predošlý
private	súkromný
probable	pravdepodobný
professional	profesionálny
public	verejný
quiet	tichý
ready	pripravený
recent	nedávny
regular	pravidelný
responsible	zodpovedný
rigid	neohybný
rough	hrubý
round	guľatý
safe	bezpečný
same	rovnaký
second	druhý
secret	tajný
separate	oddelený
serious	vážny
set	stanovený
several	niekoľko
short	krátky
silent	tichý
simple	ľahký
single	jediný
small	malý
smooth	hladký
solid	pevný
sparse	riedky
special	osobitný
specific	špecifický
square	štvorcový
standard	bežný
sticky	lepkavý
straight	rovný
strange	zvláštny
stylish	elegantný
sudden	náhly
sweet	sladký
tall	vysoký
thick	hustý
thin	tenký
tight	tesný
true	pravdivý
ugly	škaredý
under	pod
unusual	nezvyčajný
usual	obvyklý
usual	bežný
various	odchylný
warm	teplý
wet	mokrý
whole	celý
wide	široký