Slovak	﻿English
hocičo	anything
každý	everybody
čokoľvek	everything
on	he
jej	her
sa	herself
jemu	him
seba	himself
jeho	his
to	it
sa	itself
ja	me
môj	my
náš	our
ona	she
ten / tá / to m/f/n, tamten / tamtá / tamto m/f/n distant (lit., that there)	that
ich	their
ich	them
tieto	these
oni	they
tento (m), táto (f)	this
ty	those
nás	us
my	we
to	what
kedy	when
ktorý	which
ktorý	which
kto	who
s kým	whom
čí	whose
ty, vy	you
tvoj, váš	your
