English	Slovak
about	okolo
above	nad
again	znova
almost	skoro
along	po
already	už
always	vždy
approximately	približne
as	ako
before	predtým
behind	za
between	medzi
beyond	za
by	po
clearly	jasno
directly	priamo
down	dolu
early	skoro
either	obidva
enough	dostatočný
even	práve
exactly	presne
finally	nakoniec
first	najskôr
forward	vpred
generally	zvyčajne
here	tu
here	tu
however	avšak
immediately	ihneď
in	v
indeed	skutočne
inside	dovnútra
late	neskoro
later	neskôr
least	najmenej
little	málo
merely	len
more	viacej
never	nikdy
not	nie
now	aktuálne
obviously	zrejme
often	často
once	raz
outside	von
particularly	obzvlášť
possibly	možno
probably	pravdepodobne
quickly	rýchlo
really	skutočne
really	naozaj
recently	nedávno
slowly	pomaly
so	takto
solely	iba
sometimes	niekedy
soon	skoro
still	ešte
such	taký
suddenly	náhle
surely	určite
then	potom
there	tak
therefore	preto
today	dnes
together	spoločne
tomorrow	zajtra
tonight	dnes večer
too	tiež
up	hore
usually	obyčajne
very	skutočne
well	dobre
why	prečo