Norwegian	﻿English
valg	choice
status	condition
kobling	connection
brist	crack
snitt	cut
skade	damage
fare	danger
ornament	decoration
forsvar	defense
ødeleggelse	destruction
enkelthet	detail
dråpe	drop
fall	fall
kamp	fight
forside	front
støt	hit
vekst	increase
tilvekst	increase
cyberspace	internet
art	kind
knute	knot
liste	list
flertall	majority
ting	matter
vett	mind
ytelse	operation
motsetning	opposite
utbrudd	outburst
part	part
del	piece
plass	place
posisjon	position
kraft	power
praksis	practice
egenskap	property
kvalitet	quality
ro	quiet
rapport	report
ansvar	responsibility
oppgang	rise
fare	risk
plass	seat
stillhet	silence
fottrinn	step
stopp	stop
smak	taste
tingest	thing
topp	top
behandling	treatment
knep	trick
slag	type
anvendelse	use
hele	whole
vilje	will
ønske	wish
kunst	art
kunstner	artist
farge	color
konsert	concert
underholdning	entertainment
blekk	ink
måte	manner
film	movie
museum	museum
musikk	music
note	note
orkester	orchestra
maling	paint
papir	paper
penn	pen
blyant	pencil
avbildning	picture
poesi	poetry
rytme	rhythm
sang	song
scene	stage
stil	style
mote	vogue
konto	account
fordel	advantage
annonse	advertisement
råd	advice
avtale	agreement
oppmerksomhet	attention
autoritet	authority
seddel	banknote
handel	bargain
merke	brand
kapital	capital
småpenger	change
kontroll	cheque
nemnd	committee
firma	company
konkurranse	competition
anklage	complaint
kontrakt	contract
kostnad	cost
råd	council
kurs	course
kunde	customer
behov	demand
avdeling	department
vanskelighet	difficulty
bestyrer	director
økonomi	economy
miljø	environment
erfaring	experience
firma	firm
skjema	form
gruppere	group
hjelp	help
ferie	holiday
inntekt	income
industri	industry
forsikring	insurance
rente	interest
faktura	invoice
oppgave	job
lov	law
permisjon	leave
tap	loss
forvaltning	management
indikator	mark
torg	market
materiale	material
møte	meeting
penger	money
arbeid	occupation
tilbud	offer
kontor	office
embetsmann	officer
operasjon	operation
eier	owner
pakke	package
betaling	payment
plan	plan
produkt	product
fortjeneste	profit
eiendeler	property
takst	rate
rest	rest
dusør	reward
rettighet	right
salg	sale
avdeling	section
seksjon	section
tjeneste	service
aksje	share
butikk	shop
utstilling	show
ferdighet	skill
personale	staff
struktur	structure
suksess	success
tabell	table
avgift	tax
team	team
handel	trade
verdi	value
arbeid	work
arbeider	worker
kunngjøringsfil	announcement
svar	answer
godkjenning	approval
argument	argument
bok	book
anrop	call
grafem	character
strid	controversy
rop	cry
data	data
beslutning	decision
ordliste	dictionary
diskusjon	discussion
tvil	doubt
følelser	feeling
humor	humor
idé	idea
opplysning	information
interesse	interest
intervju	interview
språk	language
naturlig språk	language
tegn	letter
brev	letter
løgn	lie
øyekast	look
tidsskrift	magazine
post	mail
hukommelse	memory
minne	memory
feil	mistake
navn	name
avis	newspaper
notat	note
nummer	number
mening	opinion
side	page
uttale	pronunciation
forslag	proposal
spørring	question
reaksjon	reaction
årsak	reason
bønn	request
setning	sentence
rettskrivning	spelling
kriterium	standard
subjekt	subject
forslag	suggestion
stemme	voice
ord	word
nei	no
ja	yes
Storbritannia	Britain
Kina	China
Republic Den tsjekkiske republikken	Czech
Republikken Frankrike	France
Forbundsrepublikken Tyskland	Germany
Republikken India	India
Italia	Italy
Japan	Japan
Kongeriket Spania	Spain
States of America Amerikas forente stater	United
fotoapparat	camera
phone mobiltelefon	cellular
ur	clock
datamaskin	computer
heis	elevator
motor	engine
instrument	instrument
maskin	machine
ovn	oven
ur	watch
klasse	class
utdannelse	education
utdannelse	education
pedagogikk	education
eksamen	examination
karaktersystemer i norge	grade
kunnskap	knowledge
student	student
lærer	teacher
opplæring	training
frykt	fear
hat	hate
kjærlighet	love
støkk	shock
omhu	care
forkjølelse	cold
hoste	cough
sykdom	disease
doktor	doctor
sunnhet	health
menstruasjon	menstruation
sykepleier	nurse
smerte	pain
pasient	patient
blad	blade
kjede	chain
klubbe	club
omslag	cover
fjær	feather
flagg	flag
bilde	frame
håndtak	handle
spiseseddel	menu
mutter	nut
knappenål	pin
rør	pipe
porto	postage
presang	present
seil	sail
rull	scroll
frø	seed
stokk	stick
bergart	stone
billett	ticket
hjul	wheel
elektrisk ladning	charge
energi	energy
lys	light
masse	mass
måling	measurement
speil	mirror
trykk	pressure
prosess	process
lyd	sound
damp	steam
kraft	strength
tid	time
enhet	unit
vekt	weight
avtale	date
gjest	guest
kyss	kiss
fest	party
sex	sex
grin	smile
forbauselse	surprise
visitt	visit
alternativ	alternative
biologi	biology
årsak	cause
kjemi	chemistry
sammenligning	comparison
effekt	consequence
kontroll	control
disiplin	discipline
oppdagelse	discovery
hendelse	event
eksempel	example
kjensgjerning	fact
kjerne	kernel
metode	method
fase	phase
prosedyre	procedure
produksjon	production
program	program
prosjekt	project
omfang	range
forskning	research
vitenskap	science
samfunn	society
system	system
teknologi	technology
teori	theory
tendens	trend
vanskelighet	trouble
bruker	user
armé	army
basis	base
forening	club
selskap	company
konkurranse	contest
land	country
rett	court
forbrytelse	crime
kultur	culture
republikk	democracy
valg	election
eksistens	existence
regjering	government
historie	history
institusjon	institution
king	king
medlem	member
nasjon	nation
støy	noise
ordre	order
organisasjon	organization
pass	passport
fred	peace
mennesker	people
politi	police
politikk	policy
befolkning	population
offentligheteten	public
straff	punishment
tro	religion
religion	religion
stat	state
enighet	union
krig	war
testament	will
ball	ball
baseball	baseball
sykkel	bike
mesterskap	championship
konkurrent	competitor
spill	game
mål	goal
mål	goal
gull	gold
golf	golf
sprang	jump
rekord	record
sølv	silver
tennis	tennis
