English	Norwegian
above	ovenfor
again	atter
almost	nesten
already	alt
always	støtt
approximately	omkring
as	som
before	før
behind	bak
between	imellom
beyond	hinsides
by	forbi
either	enten
enough	nok
exactly	nettopp
first	for det første
however	ikke desto mindre
immediately	med en gang
in	inn
inside	innenfor
little	lite
merely	kun
never	aldri
not	ikke
obviously	tydeligvis
often	ofte
once	engang
particularly	særlig
possibly	kanskje
probably	sannsynligvis
really	virkelig
recently	nylig
so	så
solely	alene
soon	snart
still	ennå
such	den slags
surely	sikkert
then	så
there	der
therefore	derfor
today	i dag
tomorrow	i morgen
too	også
up	opp
very	meget