English	Spanish
everybody	todos
everything	todo
he	él
her	su
herself	se
him	él
himself	sí
his	su
it	eso
itself	mismo
me	me
my	mi
our	nuestro
she	ella
that	aquel
their	su
them	los
these	estos
they	ellos
this	esta
those	esas
us	nos
we	nosotros
what	que
when	cuando
which	cuál
which	cuál
who	quién
whom	quién
whose	cuyo
you	vos, vosotros
your	su
yourself	te