Spanish	﻿English
todos	everybody
todo	everything
él	he
su	her
se	herself
él	him
sí	himself
su	his
eso	it
mismo	itself
me	me
mi	my
nuestro	our
ella	she
aquel	that
su	their
los	them
estos	these
ellos	they
esta	this
esas	those
nos	us
nosotros	we
que	what
cuando	when
cuál	which
cuál	which
quién	who
quién	whom
cuyo	whose
vos, vosotros	you
su	your
