Vietnamese	﻿English
mọi người	everybody
mọi thứ	everything
anh ấy, ông ấy	he
của nó	her
tự nó	herself
nó	him
của nó	his
nó	it
tôi	me
của tôi	my
của chúng ta	our
nó	she
đó, cái đó	that
của họ	their
chúng nó	them
người vật đã được đề cập đến	they
này	this
chúng tôi	us
chúng tôi	we
gì	what
khi nào	when
ai	who
với ai	whom
của ai	whose
bạn	you
của bạn,	your
