English	Swedish
everybody	alla
everything	allt
he	han
her	hennes
herself	sig
him	honom
his	hans
it	det
itself	sig
me	mig
my	min
our	vår
she	hon
that	denna
their	deras
them	dem
they	de
this	den här, denna
those	de där
us	oss
we	vi
what	vad
when	när
which	som
which	som
who	vem
whom	vem
whose	vems
you	du
your	din,
yourself	dig