Swedish	﻿English
alla	everybody
allt	everything
han	he
hennes	her
sig	herself
honom	him
hans	his
det	it
sig	itself
mig	me
min	my
vår	our
hon	she
denna	that
deras	their
dem	them
de	they
den här, denna	this
de där	those
oss	us
vi	we
vad	what
när	when
som	which
som	which
vem	who
vem	whom
vems	whose
du	you
din,	your
