French	﻿English
quiconque	anyone
n'importe quoi	anything
tout le monde	everybody
tout	everything
lui	he
son	her
se	herself
lui	him
se	himself
son	his
ça	it
me	me
mon	my
notre	our
elle	she
ce	that
leur	their
les	them
ces	these
ils	they
cette	this
ces	those
nous	us
nous	we
ce	what
quand	when
quel	which
quel	which
qui	who
que	whom
de qui	whose
tu, vous	you
tes	your
