German	﻿English
irgendetwas	anything
jeder	everybody
alles	everything
er	he
ihr	her
sich	herself
ihm	him
sich, sich selbst	himself
sein	his
es	it
sich	itself
mir, mich	me
mein, meine	my
unser, unsere	our
sie	she
jene	that
ihr	their
sie	them
diese	these
sie	they
diese	this
diese	those
uns	us
wir	we
was	what
wann	when
welch, welcher	which
welch, welcher	which
wer	who
wen	whom
wessen	whose
du, Sie	you
dein (m), deine (f)	your
