English	German
about	rund um
above	oben, ober
again	wiederum
almost	fast
along	entlang
already	bereits
always	stets, immer
approximately	nahezu, um
as	wie
before	ehe, vor
behind	hinter
between	zwischen
beyond	jenseits
by	vorbei
clearly	deutlich
directly	direkt, gerade
down	abwärts
early	früh
either	entweder
enough	genug
even	sogar
exactly	genau, gerade
finally	letzter
first	erst, zunächst
forward	voraus, vordere
generally	gewöhnlich
here	hier
here	hier
however	dennoch, aber
immediately	sofort
in	hinein, im
inside	innen, innerhalb
instead	statt dessen
late	spät
later	nach, später
least	wenigsten
little	wenig, bisschen
merely	nur
more	mehr
never	niemals
not	nicht
now	jetzt
obviously	offensichtlich
often	häufig, oft
once	einmal
outside	außen, außer
particularly	besonders, zumal
possibly	vielleicht
probably	wahrscheinlich
quickly	schnell
really	tatsächlich, wirklich
really	wahrlich, wirklich
recently	neulich
slowly	langsam
so	so
solely	allein
sometimes	bisweilen, manchmal
soon	bald
still	noch
such	derart, derartig
suddenly	plötzlich
surely	gewiss, bestimmt
then	dann
there	da, dort
therefore	also, daher
today	heute
together	zusammen
tomorrow	morgen
tonight	heute abend
too	auch
up	hinauf, oben
usually	gewöhnlich
very	sehr
well	gut
why	warum