English	Chinese
be	是
begin	开始
buy	买
close	关闭
come	来
cut	切
dance	跳舞
do	练习
draw	画
drink	喝
eat	吃
fall	落下
fire	开枪
fly	飞
follow	跟从
forget	忘记
give	给予
have	具有
help	帮助
hope	希望
kiss	接吻
laugh	笑
learn	学 (xué)
lie	躺
lie	说谎, 說謊 (shuohuang)
like	喜欢
listen	侦听
look	看
love	爱
make	做 (zuò)
meet	会晤
need	要求
open	打开
pay	支付
play	演奏
pull	拉
put	安放
read	读
say	说
sell	销售
sing	唱歌
sit	坐
smile	微笑
swim	游泳 (yóuyǒng)
take	取
talk	谈话
understand	了解
use	使用
wait	等 (děng)
write	写
accept	接受
accuse	控告
act	表现
arrive	到达
ask	问 (wèn), 询问 (xúnwèn)
avoid	避开
beat	打
become	变成
believe	相信
build	建造
burn	烧毁
call	打电话
change	改变
choose	选择
classify	整理
compare	比较
continue	继续
control	掌管
copy	复制
cough	咳嗽
cry	哭
design	设计
desire	要, 想要
die	死
discuss	讨论
divide	拆分
doubt	怀疑
drive	开车
enhance	增高
enter	进入
establish	建立
estimate	猜測, 猜测
exist	存在
expect	等
explain	解釋, 解释
fill	装满
find	发现
finish	完成
forgive	原谅
free	释放
give	up 投降
grow	增长
happen	發生, 发生
hate	憎恨
hide	隐瞒
identify	识别
increase	增加
injure	伤害
keep	维护
kick	踢
kill	杀
lead	带领
lift	举起
limit	约束
measure	衡量
mention	援引
name	命名
order	吩咐
own	有
please	使高兴
polish	磨光
prepare	准备
press	按
print	打印
profit	获利
protest	抗议
prove	证明
receive	收到
reflect	反映
reply	回答
report	报道
request	请求
respect	尊敬
risk	赌博
rule	统治
save	节约
see	看
shout	叫喊
show	展览
smell	闻
spend	度过
stand	站住
steal	偷窃
study	學習, 学习 (xuéxí)
suffer	忍受
suggest	建議, 建议 (jiànyì)
supply	提供
surprise	使惊奇
teach	讲授
test	试
throw	扔
travel	去
treat	对待
try	企图
turn	转动
visit	訪問, 访问 (fǎngwèn)
walk	走 (zǒu)
wash	洗
weigh	稱 (chèng)
win	赢