Chinese	﻿English
黑色 [hēi sè]	black
蓝色 [lán sè]	blue
褐色 [hè sè], 棕色 [zōng sè]	brown
灰色 [huī sè]	gray
绿色 [lǜ sè]	green
橙色 [chéng sè]	orange
粉红色 [fěn hóng sè]	pink
红色 [hóng sè]	red
紫色 [zǐ sè]	violet
白色 [bái sè]	white
黄色 [huáng sè]	yellow
一对 [yī duì], 一双	couple
八 [bā]	eight
十八 (shíbā)	eighteen
八十 [bā shí]	eighty
十一 [shí yī]	eleven
十五 (shíwǔ)	fifteen
五十 (wǔ shí)	fifty
第一 [dì yī]	first
五 [wǔ]	five
四十 [sì shí]	forty
四 [sì]	four
十四 [shí sì]	fourteen
百 [bǎi]	hundred
百万 [bǎi wàn]	million
九 [jiǔ]	nine
十九 [shí jiǔ]	nineteen
九十 [jiǔ shí]	ninety
零 [líng]	nothing
一 [yī]	one
七 [qī]	seven
十七 (shíqī)	seventeen
七十 [qī shí]	seventy
六 [liù]	six
十六 [shí liù]	sixteen
六十 [liù shí]	sixty
十 [shí]	ten
第三 [dì sān]	third
十三 (shísān)	thirteen
三十 (sānshí)	thirty
一千	thousand
千 [qiān]	thousand
三 [sān]	three
二十 [èr shí]	twenty
二 [èr], 两 [liǎng]	two
手臂 [shǒu bì], 胳膊 [gē bo]	arm
背 [bèi], 背部	back
喙 [huì], 鸟嘴 [niǎo zuǐ]	beak
血 [xuè], 血液 [xuè yè]	blood
身体 [shēn tǐ]	body
骨头 [gǔ tou]	bone
脑 [nǎo], 头脑 [tóu nǎo]	brain
呼吸 [hū xī]	breath
细胞 [xì bāo]	cell
胸膛 [xiōng táng], 胸部 [xiōng bù]	chest
胸膛 [xiōng táng], 胸腔 [xiōng qiāng]	chest
下巴 [xià ba], 下颔 [xià hàn]	chin
耳 [ěr], 耳朵 [ěr duo]	ear
眼睛 [yǎn jing]	eye
脸 [liǎn]	face
手指 [shǒu zhǐ]	finger
脚 [jué], 足 [zú]	foot
额头 [é tóu]	forehead
基因 [jī yīn]	gene
头发 [tóu fa], 毛发 [máo fà]	hair
毛发 [máo fà]	hair
手 [shǒu], 爪 [zhuǎ]	hand
头 [tóu], 首 [shǒu]	head
心 [xīn], 心脏 [xīn zàng]	heart
膝 [xī], 膝盖 [xī gài]	knee
腿 [tuǐ]	leg
唇 [chún], 嘴唇 [zuǐ chún]	lip
口 [kǒu], 嘴 [zuǐ]	mouth
肌肉 [jī ròu]	muscle
指甲 [zhǐ jia]	nail
脖子 [bó zi], 颈部 [jǐng bù]	neck
神经 [shén jīng], 神经系统 [shén jīng xì tǒng]	nerve
鼻子 [bí zi]	nose
皮 [pí], 皮肤 [pí fū]	skin
胃 [wèi], 肚子 [dù zi]	stomach
尾巴 [wěi ba]	tail
喉咙 [hóu lóng], 咽喉 [yān hóu]	throat
拇指 [mǔ zhǐ]	thumb
脚趾 [jiǎo zhǐ]	toe
舌头 [shé tou]	tongue
牙 [yá], 牙齿 [yá chǐ]	tooth
翅膀 [chì bǎng], 翼 [yì]	wing
蚂蚁 [mǎ yǐ]	ant
熊 [xióng]	bear
蜜蜂 [mì fēng]	bee
鸟 [niǎo]	bird
猫 [māo]	cat
母牛 [mǔ niú]	cow
狗 [gǒu], 犬 [quǎn]	dog
象 [xiàng], 大象 [dà xiàng]	elephant
鱼 [yú]	fish
苍蝇 [cāng ying]	fly
山羊 [shān yáng]	goat
马 [mǎ]	horse
虫 [chóng], 虫子 [chóng zi]	insect
狮子 [shī zi]	lion
猴子 [hóu zi]	monkey
猪 [zhū]	pig
羊 [yáng], 绵羊 [mián yáng]	sheep
蛇 [shé]	snake
下午 [xià wǔ]	afternoon
年龄 [nián líng]	age
四月 [sì yuè]	April
八月 [bā yuè]	August
秋天 [qiū tiān]	autumn
开始 [kāi shǐ], 最初 [zuì chū]	beginning
世纪 [shì jì]	century
日期 [rì qī]	date
天 [tiān]	day
十二月 [shí èr yuè]	December
终点 [zhōng diǎn], 末端 [mò duān]	end
傍晚 [bàng wǎn]	evening
二月 [èr yuè]	February
星期五 [xīng qī wǔ], 周五 [zhōu wǔ]	Friday
将来 [jiāng lái], 未来 [wèi lái]	future
小时 [xiǎo shí], 钟头 [zhōng tóu]	hour
一月 [yī yuè]	January
七月 [qī yuè]	July
六月 [liù yuè]	June
五月 [wǔ yuè]	May
半夜 [bàn yè], 午夜 [wǔ yè]	midnight
分 [fèn], 分钟 [fēn zhōng]	minute
瞬间 [shùn jiān], 片刻 [piàn kè]	moment
瞬间 [shùn jiān]	moment
星期一 [xīng qī yī], 周一 [zhōu yī]	Monday
月 [yuè]	month
上午 [shàng wǔ]	morning
夜晚 [yè wǎn]	night
十一月 [shí yī yuè]	November
现在 [xiàn zài]	now
十月 [shí yuè]	October
过去 [guò qu]	past
暂停 [zàn tíng]	pause
时期 [shí qī]	period
现在 [xiàn zài]	present
星期六 [xīng qī liù]	Saturday
季节 [jì jié]	season
秒 [miǎo]	second
