English	Chinese
against	相反 [xiāng fǎn], 靠着
among	在…之中
at	在 [zài], 于 [yú]
at	在 [zài], 于 [yú]
beside	在旁边
during	在…期间在…时候
for	为了 [wèi le], 对于 [duì yú]
from	从 [zòng], 来自 [lái zì]
from	从 [zòng], 来自 [lái zì]
into	进入 [jìn rù], 到…里
of	的 [dí]
on	在…之上关于 [guān yú]
on	在…之上关于 [guān yú]
since	自从 [zì cóng], 自…以来
to	到 [dào]
with	和 [hé], 有 [yǒu]
with	和 [hé], 有 [yǒu]
without	没有 [méi yǒu], 不 [bù]