English	Chinese
above	上
again	又
almost	几乎
already	已经
always	总是
approximately	大概
directly	直接地
enough	足够
exactly	恰恰
forward	在前
here	这里 (zhèlǐ), 这儿 (zhèr)
however	仍然
immediately	立刻
inside	在...里面 (zài...lǐmiàn)
merely	仅仅
never	从不
not	不 (bu)
now	现在 (xiànzài)
often	常常
once	一次
please	请 (qǐng)
possibly	大概
really	真实地
really	确实
recently	最近
sometimes	有时
soon	不久
still	仍然
such	这样
suddenly	突然 (tūrán)
surely	一定
therefore	因此
today	今天
together	一起
tomorrow	明天
tonight	今晚 (jīnwǎn)
too	也
up	向上 (xiàngshàng)
very	非常
well	好
why	为什么 [wèi shén me]