Chinese	﻿English
相反 [xiāng fǎn], 靠着	against
在…之中	among
在 [zài], 于 [yú]	at
在 [zài], 于 [yú]	at
在旁边	beside
在…期间在…时候	during
为了 [wèi le], 对于 [duì yú]	for
从 [zòng], 来自 [lái zì]	from
从 [zòng], 来自 [lái zì]	from
进入 [jìn rù], 到…里	into
的 [dí]	of
在…之上关于 [guān yú]	on
在…之上关于 [guān yú]	on
自从 [zì cóng], 自…以来	since
到 [dào]	to
和 [hé], 有 [yǒu]	with
和 [hé], 有 [yǒu]	with
