Czech	﻿English
být	be
počínat, začínat	begin
rozbít, zlomit	break
koupit, nakoupit	buy
zavírat, zavřít	close
přicházet	come
řezat, uříznout	cut
tančit, tancovat	dance
dělat, provádět	do
nakreslit, malovat	draw
pít	drink
jíst, sníst	eat
padat, padnout	fall
vycítit, cítit	feel
nalézt, najít	find
vystřelit, střílet	fire
létat, letět	fly
následovat	follow
zapomenout, zapomínat	forget
získat, dostat	get
dávat, dát	give
mít	have
slyšet, uslyšet	hear
pomáhat, asistovat	help
doufat	hope
skákat, skočit	jump
líbat, políbit	kiss
znát, vědět	know
smát se	laugh
naučit se, učit se	learn
ležet	lie
lhát	lie
mít rád	like
naslouchat, poslouchat	listen
dívat se, dívat	look
ztratit, ztrácet	lose
milovat	love
dělat	make
potkávat, potkat	meet
pohybovat, pohnout	move
potřebovat, vyžadovat	need
nabídnout, nabízet	offer
otevřít, otvírat	open
platit, zaplatit	pay
hrát	play
tahat, táhnout	pull
strkat, tlačit	push
pokládat, umístit	put
číst, přečíst	read
vzpomenout, vzpomenout si	remember
běžet	run
říci, říkat	say
prodávat, prodat	sell
zpívat	sing
sedět	sit
usmívat se, smát se	smile
plavat	swim
vzít	take
hovořit, mluvit	talk
chápat, rozumět	understand
aplikovat, použít	use
vyčkávat, počkat	wait
napsat, psát	write
akceptovat, přijmout	accept
obvinit, obžalovat	accuse
dosahovat, dosáhnout	achieve
jednat, činit	act
přidat, přidávat	add
připočíst, sečítat	add
připouštět, připustit	admit
postihnout, ovlivňovat	affect
souhlasit	agree
dovolit, povolit	allow
ohlásit, oznámit	announce
hádat se, přít se	argue
dorazit, přijet	arrive
zeptat, ptát	ask
zaútočit, útočit	attack
vyhnout se, vyhýbat se	avoid
žít	be
nést, nosit	bear
zdolat, porazit	beat
stát se	become
jednat, chovat se	behave
věřit	believe
prospívat, prospět	benefit
kousat, kousnout	bite
přinášet, přinést	bring
budovat, stavět	build
spálit	burn
telefonovat, volat	call
starat se, pečovat	care
nosit, nést	carry
chytit, chytat	catch
přimět	cause
změnit	change
volit, zvolit	choose
třídit, klasifikovat	classify
vyčistit, očistit	clean
porovnat, porovnávat	compare
obsahovat	contain
pokračovat, vytrvat	continue
kontrolovat, ovládat	control
vařit	cook
kopírovat, zkopírovat	copy
kašlat	cough
počítat, spočítat	count
rozdrtit	crush
mačkat, smáčknout	crush
brečet, plakat	cry
rozhodovat, rozhodnout	decide
doručit	deliver
popisovat, vylíčit	describe
navrhnout	design
dychtit, toužit	desire
vyvíjet, vyvinout	develop
zemřít, umřít	die
zjistit	discover
diskutovat, debatovat	discuss
nemít rád	dislike
roztříštit, rozštěpit	divide
pochybovat	doubt
řídit	drive
zahrnovat, obsahovat	embrace
povzbudit	encourage
končit, skončit	end
zvýšit	enhance
užívat, vychutnat	enjoy
vstupovat, vniknout	enter
založit	establish
odhadovat, odhadnout	estimate
překročit, překonat	exceed
existovat	exist
očekávat	expect
objasnit, vysvětlit	explain
vyjádřit	express
bojovat, rvát se	fight
naplnit, vyplnit	fill
objevit	find
out zjistit	find
dokončit, ukončit	finish
vyrovnat	flush
prominout, odpustit	forgive
osvobozovat, vysvobodit	free
up kapitulovat, vzdát se	give
vyrůstat, narůstat	grow
přihodit se, nastat	happen
nenávidět	hate
schovat, schovávat	hide
držet	hold
identifikovat	identify
obsahovat, zahrnovat	imply
zahrnout	include
vzrůstat, zvětšovat se	increase
zranit, poranit	injure
uvést, představit	introduce
představovat, představit	introduce
připojit, spojit	join
udržet, udržovat	keep
kopat, kopnout	kick
usmrtit, zabít	kill
přistát	land
vydržet, vystačit	last
vést, zavést	lead
nechat, zanechat	leave
nechávat, nechat	let
nadzdvihnout, pozdvihnout	lift
omezit, limitovat	limit
nabít	load
zamknout, zamykat	lock
vypadat	look
prohrát	lose
spravovat, řídit	manage
oženit se, provdat se	marry
odpovídat si, shodovat se	match
znamenat	mean
mínit, zamýšlet	mean
měřit, změřit	measure
citovat, uvádět	mention
zameškat, zmeškat	miss
minout, netrefit	miss
nazvat, pojmenovat	name
obsluhovat, ovládat	operate
nařídit, přikázat	order
vlastnit	own
on předat	pass
loupat, oloupat	peel
naplánovat	plan
potěšit	please
orat, zorat	plow
otrávit	poison
leštit, nablýskat	polish
přichystat, připravit	prepare
stisknout, stlačit	press
předejít, zabránit	prevent
vytisknout	print
zpracovat, zpracovávat	process
profitovat	profit
protestovat	protest
dokazovat, prokázat	prove
publikovat, vydat	publish
vychovat	raise
hodnotit, ohodnotit	rate
dosahovat, dosáhnout	reach
