English	Czech
anyone	kdokoli
anything	cokoli
everybody	všichni
everything	vše
he	on
her	její
herself	sebe
him	jemu
himself	sebe
his	jeho
it	to
itself	samo, samo sebe
me	mně
my	můj
our	náš, naše
she	ona
that	tamten
their	jejich
them	oni
these	tyto, tyhle
they	oni
this	ten, ta
those	ty
us	nás
we	my
what	co
when	kdy
which	který
which	který
who	kdo
whom	od koho, komu
whose	čí
you	ty, Vy
your	tvůj, tvé
yourself	se