وَقُود (waqūd)‎, Noun
يُونُس (yūnus)‎, Proper noun
ءَامِن (ʾāmin)‎, Noun
آثِم (ʾāṯim)‎, Noun
آخِذ (ʾāḵiḏ)‎, Noun
أَبْيَض (ʾabyaḍ)‎, Adjective
أُجَاج (ʾujāj)‎, Noun
أَجْدَاث (ʾajdāṯ)‎, Noun
أَخْبَار (ʾaḵbār)‎, Noun
إِذَا (ʾiḏā)‎, Surprise particle
أَذْقَان (ʾaḏqān)‎, Noun
أَسْفَل (ʾasfal)‎, Noun
أُسْوَة (ʾuswa)‎, Noun
أَشَدّ (ʾašadd)‎, Adjective
أَشْقَى (ʾašqā)‎, Noun
إِصْر (ʾiṣr)‎, Noun
أَصْل (ʾaṣl)‎, Noun
أَصِيل (ʾaṣīl)‎, Noun
إِطْعَٰم (ʾiṭʿām)‎, Noun
أَعَزّ (ʾaʿazz)‎, Noun
أَعْلَىٰ (ʾaʿlā)‎, Adjective
أَعْمَىٰ (ʾaʿmā)‎, Adjective
أُفّ (ʾuff)‎, Noun
أُفُق (ʾufuq)‎, Noun
إِلَّا (ʾillā)‎, Particle of certainty
إِلْيَاس (ʾilyās)‎, Proper noun
أَوْتَاد (ʾawtād)‎, Noun
أَوْثَٰن (ʾawṯān)‎, Noun
إِيتَاءٌ (ʾītāʾun)‎, Noun
أَيْمَن (ʾayman)‎, Adjective
أَيْن (ʾayn)‎, Conditional particle
بَاطِن (bāṭin)‎, Noun
بَاغ (bāḡ)‎, Noun
بَرْزَخ (barzaḵ)‎, Noun
بَرَكَٰت (barakāt)‎, Noun
بُشْر (bušr)‎, Noun
بَطْش (baṭš)‎, Noun
بَقَر (baqar)‎, Noun
بَقِيَّت (baqiyyat)‎, Noun
بَهِيمَة (bahīma)‎, Noun
بَيَان (bayān)‎, Noun
تَابِع (tābiʿ)‎, Noun
تَارِك (tārik)‎, Noun
تَحْت (taḥt)‎, Location adverb
تَحْوِيل (taḥwīl)‎, Noun
تَسْلِيم (taslīm)‎, Noun
تَضَرُّع (taḍarruʿ)‎, Noun
ثُلَّة (ṯulla)‎, Noun
ثَمَٰنِيَة (ṯamāniya)‎, Noun
جَار (jār)‎, Noun
جَالُوت (jālūt)‎, Proper noun
جَامِع (jāmiʿ)‎, Noun
جَٰهِلِيَّة (jāhiliyya)‎, Proper noun
جِبْرِيل (jibrīl)‎, Proper noun
جِذْع (jiḏʿ)‎, Noun
جُزْء (juzʾ)‎, Noun
جَسَد (jasad)‎, Noun
جُنُب (junub)‎, Noun
جَهْرَة (jahra)‎, Noun
جَيْب (jayb)‎, Noun
حَآقَّة (ḥaʾāqqa)‎, Noun
حَاجَة (ḥāja)‎, Noun
حَٰشِرِين (ḥāširīn)‎, Noun
حَدَآئِق (ḥadaʾāʾiq)‎, Noun
حِذْر (ḥiḏr)‎, Noun
حَرّ (ḥarr)‎, Noun
حَرِير (ḥarīr)‎, Noun
حَزَن (ḥazan)‎, Noun
حُسْبَان (ḥusbān)‎, Noun
حَسَنَٰت (ḥasanāt)‎, Noun
حَسَنَة (ḥasana)‎, Adjective
حَسِيب (ḥasīb)‎, Noun
حُطَٰم (ḥuṭām)‎, Noun
حِفْظ (ḥifẓ)‎, Noun
حَكَم (ḥakam)‎, Noun
حَمَإ (ḥamaʾ)‎, Noun
حِمْل (ḥiml)‎, Noun
حَوْل (ḥawl)‎, Location adverb
خَآئِف (ḵaʾāʾif)‎, Noun
خَآئِنِين (ḵaʾāʾinīn)‎, Noun
خَارِج (ḵārij)‎, Noun
خَٰلَٰت (ḵālāt)‎, Noun
خَسَار (ḵasār)‎, Noun
خُسْرَان (ḵusrān)‎, Noun
خَصْم (ḵaṣm)‎, Noun
خِطَاب (ḵiṭāb)‎, Noun
خَمْسَة (ḵamsa)‎, Noun
دَآئِرَة (daʾāʾira)‎, Noun
دَّاع (ddāʿ)‎, Noun
دَكّ (dakk)‎, Noun
ذَآئِقَة (ḏaʾāʾiqa)‎, Noun
ذَرْع (ḏarʿ)‎, Noun
ذُّلّ (ḏḏull)‎, Noun
ذِّئْب (ḏḏiʾb)‎, Noun
رَآدّ (raʾādd)‎, Noun
رَاغِب (rāḡib)‎, Noun
رَبَّٰنِيِّن (rabbāniyyin)‎, Noun
رَجْع (rajʿ)‎, Noun
رَحْل (raḥl)‎, Noun
رُّمَّان (rrummān)‎, Noun
رُهْبَٰن (ruhbān)‎, Noun
رَهْط (rahṭ)‎, Noun
رَّوْح (rrawḥ)‎, Noun
رِئَآء (riʾaʾāʾ)‎, Noun
زَان (zān)‎, Noun
زَانِيَة (zāniya)‎, Noun
زَبَد (zabad)‎, Noun
زَبُور (zabūr)‎, Proper noun
زَفِير (zafīr)‎, Noun
زَقُّوم (zaqqūm)‎, Proper noun
سَّارِق (ssāriq)‎, Noun
سَافِل (sāfil)‎, Noun
سَّامِرِىّ‎, Proper noun
سِجِّيل (sijjīl)‎, Noun
سُّحْت (ssuḥt)‎, Noun
سَحَر (saḥar)‎, Noun
سُّدُس (ssudus)‎, Noun
سَرَٰبِيل (sarābīl)‎, Noun
سُكَٰرَىٰ (sukārā)‎, Noun
سَكَن (sakan)‎, Noun
سِلْسِلَة (silsila)‎, Noun
سَّلْوَىٰ (ssalwā)‎, Noun
سَمُوم (samūm)‎, Noun
سَمِين (samīn)‎, Adjective
سُندُس‎, Noun
سَوِيّ (sawiyy)‎, Adjective
سَيَّارَة (sayyāra)‎, Noun
سَيِّد (sayyid)‎, Noun
سَيِّئ (sayyiʾ)‎, Adjective
شُحّ (šuḥḥ)‎, Noun
شِرْب (širb)‎, Noun
شَهَٰدَٰت (šahādāt)‎, Noun
شَّهَوَٰت (ššahawāt)‎, Noun
شَيْخ (šayḵ)‎, Adjective
